Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,610028000.0,,,,260890000.0,546600000.0,63428000.0,,57973000.0,18457000.0,39516000.0,0.41,0.4,95810000.0,99689000.0,122364000.0,,284098000.0,,,,,517967000.0,,45205000.0,503816000.0,18643000.0,88640000.0,1174271000.0,,,450152000.0,892496000.0,,,,97544000.0,1067290000.0,548908000.0,6463000.0,106981000.0,1174271000.0,,16034000.0,-707000.0,-21359000.0,,,33572000.0,,26631000.0,,61592000.0,,,,,12151000.0,,,,-19844000.0,,7821000.0,-28286000.0,13462000.0,
2010-09-30,906150000.0,,,,388378000.0,809959000.0,96191000.0,,87358000.0,27767000.0,59591000.0,0.62,0.6,95698000.0,99584000.0,148412000.0,,299987000.0,,,,,571848000.0,,44272000.0,509652000.0,16116000.0,94485000.0,1236373000.0,,,496348000.0,927377000.0,,,,103273000.0,1082150000.0,568983000.0,14496000.0,154223000.0,1236373000.0,,23298000.0,-6699000.0,-15148000.0,,,36317000.0,,59811000.0,,126375000.0,,,,,12151000.0,,,,-24362000.0,,12575000.0,-73521000.0,28492000.0,
2010-12-31,1288454000.0,,,,543174000.0,1139189000.0,149265000.0,,134085000.0,37800000.0,96285000.0,1.01,0.96,95747000.0,99834000.0,120181000.0,,364818000.0,,,,,621102000.0,,47614000.0,510265000.0,13584000.0,93093000.0,1285658000.0,,,523263000.0,811152000.0,,,,107450000.0,1098602000.0,605677000.0,14638000.0,187056000.0,1285658000.0,,32634000.0,-2609000.0,48177000.0,,,34130000.0,,85336000.0,,205499000.0,,,,,12151000.0,,,,-33845000.0,,18364000.0,-171556000.0,98000.0,25486000.0
2011-03-31,329567000.0,,,,141672000.0,283786000.0,45781000.0,,42615000.0,13424000.0,29191000.0,0.3,0.29,96442000.0,99451000.0,109003000.0,,345035000.0,,,,,616240000.0,,45443000.0,514676000.0,11059000.0,87956000.0,1275374000.0,,,558034000.0,784218000.0,,,,108626000.0,1065344000.0,634868000.0,16288000.0,210030000.0,1275374000.0,,9162000.0,-10986000.0,-25744000.0,,,1344000.0,,25404000.0,,-24663000.0,,,,,,,,,-3705000.0,,20613000.0,17786000.0,-10582000.0,
2011-06-30,695110000.0,,410147000.0,,294430000.0,597761000.0,97349000.0,,90815000.0,29401000.0,61414000.0,0.64,0.62,96886000.0,99642000.0,125341000.0,,360564000.0,,,,,625609000.0,,52922000.0,516027000.0,8537000.0,92877000.0,1295972000.0,,,572053000.0,799367000.0,,,,115786000.0,1080153000.0,667091000.0,14363000.0,215819000.0,1295972000.0,,16993000.0,-1395000.0,-11915000.0,,,792000.0,,35478000.0,,63913000.0,,,,,,,,,-9460000.0,,21940000.0,-49728000.0,4725000.0,
2011-09-30,1040894000.0,,613773000.0,,442891000.0,896295000.0,144599000.0,,135242000.0,43364000.0,91878000.0,0.95,0.92,96462000.0,99467000.0,156903000.0,,349287000.0,,,,,633686000.0,,57109000.0,510227000.0,7798000.0,95611000.0,1304431000.0,,,598393000.0,834492000.0,,,,118372000.0,1110364000.0,697555000.0,5810000.0,194067000.0,1304431000.0,,24750000.0,3812000.0,-16023000.0,,,-2051000.0,,74021000.0,,176465000.0,,,,,,,,,-23720000.0,,22458000.0,-111141000.0,41604000.0,
2011-12-31,1468588000.0,,863239000.0,,613707000.0,1254526000.0,214062000.0,,202184000.0,65282000.0,136902000.0,1.43,1.39,96019000.0,98846000.0,142739000.0,,421033000.0,,53620000.0,,,705785000.0,,68132000.0,508550000.0,7060000.0,90345000.0,1379872000.0,27573000.0,2255000.0,611647000.0,921137000.0,4572000.0,0.0,,126951000.0,1198088000.0,742579000.0,5793000.0,181784000.0,1379872000.0,,32865000.0,-965000.0,58887000.0,,,-4397000.0,,91765000.0,,255566000.0,,,,,,,,,-41954000.0,,25572000.0,-186559000.0,27053000.0,24126000.0
2012-03-31,369171000.0,,224097000.0,,162518000.0,315615000.0,53556000.0,,50383000.0,16162000.0,34221000.0,0.37,0.36,93416000.0,96199000.0,138985000.0,,384125000.0,,,,,676820000.0,,69663000.0,510933000.0,6321000.0,86111000.0,1349848000.0,,,650666000.0,911052000.0,,,,127015000.0,1178067000.0,776801000.0,8447000.0,171781000.0,1349848000.0,,10939000.0,-1664000.0,-39695000.0,,,2141000.0,,34822000.0,,18679000.0,,,,,,,,,-7118000.0,,13784000.0,-17556000.0,-5995000.0,
2012-06-30,766653000.0,,461869000.0,,327739000.0,650375000.0,116278000.0,,110876000.0,35171000.0,75705000.0,0.81,0.79,93383000.0,95826000.0,150531000.0,,389414000.0,,,,,686350000.0,,77795000.0,515002000.0,14052000.0,86916000.0,1380115000.0,,,659741000.0,908357000.0,,,,126767000.0,1165124000.0,818284000.0,3623000.0,214991000.0,1380115000.0,,18802000.0,-3401000.0,-30660000.0,,,1845000.0,,46727000.0,,99452000.0,,,,,9509000.0,,,,-30151000.0,,16728000.0,-59108000.0,10193000.0,
2013-06-30,852801000.0,,514569000.0,,366107000.0,724809000.0,127992000.0,,123343000.0,40154000.0,83189000.0,0.89,0.87,93584000.0,95426000.0,333363000.0,,432011000.0,,,,,923358000.0,,89415000.0,516144000.0,8834000.0,76036000.0,1613787000.0,,,749240000.0,1014840000.0,,,,126503000.0,1285093000.0,991671000.0,2358000.0,328694000.0,1613787000.0,,19574000.0,-1747000.0,-27071000.0,,,2528000.0,,67320000.0,,140316000.0,,,,,0.0,,,,-19635000.0,,-17114000.0,-81084000.0,39597000.0,
2013-09-30,1263506000.0,,763108000.0,,547653000.0,1076771000.0,186735000.0,,179967000.0,58584000.0,121383000.0,1.3,1.28,93286000.0,95100000.0,374521000.0,,392174000.0,,,,,935155000.0,,90198000.0,518555000.0,7535000.0,76955000.0,1628398000.0,,,754120000.0,1043993000.0,,,,122770000.0,1306763000.0,1029865000.0,6734000.0,321635000.0,1628398000.0,,27049000.0,4989000.0,-69732000.0,,,3064000.0,,64662000.0,,242069000.0,,,,,0.0,,,,-27772000.0,,-18412000.0,-137853000.0,76444000.0,
2014-03-31,446702000.0,,279402000.0,,204617000.0,387532000.0,59170000.0,,56691000.0,18955000.0,37736000.0,0.41,0.4,91669000.0,93209000.0,283284000.0,,496997000.0,,,,,945668000.0,,94208000.0,589786000.0,34537000.0,93514000.0,1757713000.0,,,832555000.0,1266621000.0,,,,121869000.0,1520990000.0,1129019000.0,8552000.0,236723000.0,1757713000.0,,13752000.0,7351000.0,4210000.0,,,1311000.0,,65280000.0,,16470000.0,,,,,101770000.0,,,,-124455000.0,,11146000.0,-32276000.0,,
2014-06-30,966522000.0,,598133000.0,,423154000.0,825591000.0,140931000.0,,135947000.0,45171000.0,90776000.0,1.0,0.99,90595000.0,92012000.0,317925000.0,,493216000.0,,,,,971769000.0,,95831000.0,598731000.0,36415000.0,94062000.0,1796808000.0,,,847877000.0,1345548000.0,,,,125001000.0,1599299000.0,1182059000.0,9953000.0,197509000.0,1796808000.0,,20617000.0,4450000.0,-2909000.0,,,3708000.0,,77100000.0,,152758000.0,,,,,107528000.0,,,,-141042000.0,,14275000.0,-118109000.0,,
2014-12-31,2021441000.0,,1234229000.0,,876067000.0,1735279000.0,286162000.0,,274683000.0,90917000.0,183766000.0,2.06,2.03,89337000.0,90719000.0,365302000.0,,552107000.0,,32794000.0,,,1096658000.0,,97990000.0,586665000.0,30689000.0,92349000.0,1904351000.0,16802000.0,6586000.0,841457000.0,1215218000.0,7056000.0,,,142962000.0,1743180000.0,1275049000.0,-21170000.0,161171000.0,1904351000.0,39412000.0,38845000.0,586000.0,76424000.0,,,7139000.0,,105354000.0,,346779000.0,,,,,109928000.0,,,,-162777000.0,,20193000.0,-208670000.0,,70100000.0
2015-06-30,1019122000.0,,,,467513000.0,885220000.0,133902000.0,,123752000.0,44246000.0,79506000.0,0.94,0.92,84871000.0,86064000.0,357581000.0,,527615000.0,,,,,1066068000.0,,107112000.0,583002000.0,27110000.0,77747000.0,1861039000.0,,,922227000.0,1204520000.0,,,,131674000.0,2031194000.0,1354555000.0,-35617000.0,-170155000.0,1861039000.0,,27392000.0,2298000.0,-13582000.0,,,-11164000.0,,93454000.0,,149403000.0,,,,,0.0,,,,-23614000.0,,11117000.0,-116501000.0,,
2015-12-31,2163056000.0,,,,962677000.0,1875059000.0,287997000.0,,272211000.0,96576000.0,175635000.0,2.09,2.06,83852000.0,85056000.0,372976000.0,,580763000.0,,3022000.0,,,1140997000.0,,108733000.0,715359000.0,96544000.0,113053000.0,2174686000.0,31570000.0,,900801000.0,1323492000.0,7603000.0,,,193594000.0,2307086000.0,1450684000.0,-44402000.0,-132400000.0,2174686000.0,,46149000.0,-36000.0,44476000.0,,,14733000.0,,91840000.0,,345561000.0,,,,,170604000.0,,,,-242357000.0,,13860000.0,-67690000.0,,83500000.0
2016-03-31,557266000.0,,,,257411000.0,492837000.0,64429000.0,,60307000.0,20140000.0,40167000.0,0.49,0.48,82451000.0,83464000.0,403943000.0,,602877000.0,,,,,1179277000.0,,108628000.0,718034000.0,90553000.0,115017000.0,2211509000.0,,,986301000.0,1291224000.0,,,,200455000.0,2324179000.0,1490851000.0,-49430000.0,-112670000.0,2211509000.0,,15495000.0,-2191000.0,19089000.0,,,-5436000.0,,79141000.0,,8580000.0,,,,,,,,,-7360000.0,,4751000.0,26844000.0,,
2016-06-30,1167264000.0,,,,529420000.0,1019536000.0,147728000.0,,137498000.0,49420000.0,88078000.0,1.07,1.05,82559000.0,83498000.0,445053000.0,,613795000.0,,,,,1233656000.0,,117255000.0,742752000.0,99267000.0,111591000.0,2304521000.0,,,1029765000.0,1387241000.0,,,,214093000.0,2357349000.0,1538762000.0,-48003000.0,-52828000.0,2304521000.0,,26607000.0,-845000.0,20380000.0,,,1537000.0,,106771000.0,,153314000.0,,,,,,,,,-55233000.0,,8469000.0,-33771000.0,,
2016-09-30,1741323000.0,,,,799322000.0,1544869000.0,196454000.0,,182246000.0,55149000.0,127097000.0,1.54,1.52,82638000.0,83803000.0,465734000.0,,560202000.0,,,,,1245949000.0,,118789000.0,742926000.0,81769000.0,88307000.0,2277740000.0,,,1028995000.0,1417424000.0,,,,174409000.0,2288238000.0,1577521000.0,-47784000.0,-10498000.0,2277740000.0,,36128000.0,-13415000.0,-26242000.0,,,-21597000.0,,114197000.0,,282263000.0,,,,,,,,,-66240000.0,,0.0,-130933000.0,,
2016-12-31,2444540000.0,,,,1089184000.0,2139399000.0,305141000.0,,288431000.0,94849000.0,193582000.0,2.34,2.31,82571000.0,83820000.0,474233000.0,,643013000.0,,4755000.0,,,1343196000.0,,121606000.0,738453000.0,76801000.0,87279000.0,2367335000.0,41009000.0,,989478000.0,1460249000.0,11289000.0,,,181817000.0,2306457000.0,1644005000.0,-49683000.0,60878000.0,2367335000.0,,46661000.0,-2036000.0,68661000.0,,,-20005000.0,,97979000.0,,365632000.0,,,,,34186000.0,,,,-84049000.0,,0.0,-174686000.0,,86300000.0
2017-03-31,625169000.0,,,,304244000.0,571655000.0,53514000.0,,48497000.0,12100000.0,36433000.0,0.44,0.43,82835000.0,84095000.0,1227891000.0,,716487000.0,,,,,2175695000.0,,126419000.0,855330000.0,81209000.0,126647000.0,3365300000.0,,,1109162000.0,1470356000.0,,,,192796000.0,3262483000.0,1680439000.0,-47832000.0,102817000.0,3365300000.0,,22576000.0,-11998000.0,57919000.0,,,16730000.0,,92373000.0,,-29605000.0,,,,,,,,,-140015000.0,,,917271000.0,,
2017-06-30,1468900000.0,,,,712470000.0,1513774000.0,-98388000.0,,-142751000.0,-50500000.0,-92281000.0,-1.03,-1.03,89297000.0,89297000.0,589282000.0,,886393000.0,,,,,1759974000.0,,197129000.0,3169893000.0,1595376000.0,272515000.0,6994887000.0,,,1449211000.0,2243907000.0,,,,756998000.0,6141212000.0,1588158000.0,-48889000.0,853675000.0,6994887000.0,,53573000.0,-78004000.0,44939000.0,,,17328000.0,,167412000.0,,82718000.0,,,,,,,,,-2663969000.0,,,2685894000.0,,
