Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-09-30,234822000.0,137789000.0,97033000.0,15390000.0,,44258000.0,52775000.0,,49900000.0,18129000.0,31771000.0,0.37,0.37,85469000.0,86147000.0,46766000.0,,,,,,35645000.0,248754000.0,,274471000.0,537106000.0,,24730000.0,1415505000.0,8633000.0,37915000.0,220965000.0,305040000.0,14373000.0,75111000.0,,8395000.0,638341000.0,747791000.0,,777164000.0,1415505000.0,,933000.0,522000.0,74951000.0,,,,-4867000.0,-40279000.0,,75363000.0,,,,,,-10023000.0,,-999000.0,-16181000.0,,117000.0,-137934000.0,-78752000.0,
2010-12-31,477457000.0,277605000.0,199852000.0,31227000.0,,92088000.0,107764000.0,,102434000.0,34618000.0,67816000.0,0.79,0.79,85770000.0,86523000.0,46871000.0,,,,,,33273000.0,239063000.0,,270984000.0,533520000.0,,27250000.0,1397646000.0,8026000.0,40720000.0,174920000.0,249258000.0,15096000.0,74687000.0,,9569000.0,578499000.0,775690000.0,,819147000.0,1397646000.0,,2206000.0,1082000.0,-81623000.0,,,,-5475000.0,-85601000.0,,85829000.0,,,,,0.0,15452000.0,,2000000.0,-27585000.0,,-589000.0,-136891000.0,-78647000.0,
2011-03-31,717642000.0,422500000.0,295142000.0,46943000.0,,136875000.0,158267000.0,,151288000.0,50391000.0,100897000.0,1.18,1.17,86218000.0,86972000.0,54383000.0,,,,,,33929000.0,231754000.0,,270124000.0,533520000.0,,26133000.0,1384786000.0,8754000.0,42110000.0,122296000.0,207152000.0,15311000.0,78604000.0,,9610000.0,535264000.0,799715000.0,,849522000.0,1384786000.0,,3438000.0,5001000.0,-92921000.0,,,,-4746000.0,-138010000.0,,115158000.0,,,,,0.0,24216000.0,,2999000.0,-43494000.0,,-982000.0,-142799000.0,-71135000.0,
2011-12-31,504196000.0,292360000.0,211836000.0,30011000.0,,93251000.0,118585000.0,,115915000.0,40916000.0,74999000.0,0.87,0.86,86572000.0,87371000.0,95202000.0,,,,,,,308773000.0,,278233000.0,533520000.0,,29430000.0,1463602000.0,7527000.0,48311000.0,171394000.0,277361000.0,19926000.0,93214000.0,,10547000.0,519155000.0,884054000.0,,944447000.0,1463602000.0,,3014000.0,,-80910000.0,,,,-5302000.0,-103784000.0,,96261000.0,,,,,,18913000.0,670000.0,,-32637000.0,1552000.0,980000.0,-31547000.0,32077000.0,19145000.0
2012-03-31,760500000.0,445281000.0,315219000.0,45482000.0,,140136000.0,175083000.0,,171035000.0,59378000.0,111657000.0,1.29,1.28,86824000.0,87592000.0,89771000.0,,,,,,,292963000.0,,273106000.0,533520000.0,,29393000.0,1444035000.0,10236000.0,49549000.0,118039000.0,221707000.0,20228000.0,99407000.0,,11419000.0,465244000.0,910715000.0,,978791000.0,1444035000.0,,4886000.0,,-89139000.0,,,,-2593000.0,-156837000.0,,118017000.0,,,,,,26555000.0,720000.0,,-49358000.0,2416000.0,3006000.0,-42013000.0,26646000.0,34728000.0
2012-06-30,1027109000.0,603379000.0,423730000.0,60876000.0,,187495000.0,236235000.0,,231668000.0,76684000.0,154984000.0,1.79,1.78,86599000.0,87287000.0,157313000.0,,,,-127188000.0,,,468649000.0,,276730000.0,533520000.0,,30523000.0,1619492000.0,16317000.0,58260000.0,275907000.0,402243000.0,20093000.0,100932000.0,,7002000.0,636436000.0,944078000.0,,983056000.0,1619492000.0,,6950000.0,,10795000.0,,,,3488000.0,896000.0,,264550000.0,,,,,0.0,41441000.0,720000.0,,-76262000.0,3322000.0,3465000.0,-94100000.0,94188000.0,
2012-09-30,271001000.0,155073000.0,115928000.0,14645000.0,,48412000.0,67516000.0,,66362000.0,23887000.0,42475000.0,0.49,0.49,86109000.0,86605000.0,223688000.0,,,,,,,450729000.0,,279055000.0,533520000.0,,28873000.0,1602684000.0,10518000.0,47475000.0,228703000.0,355371000.0,18905000.0,104003000.0,,7159000.0,586669000.0,976642000.0,,1016015000.0,1602684000.0,,1734000.0,,-81478000.0,,,,-5799000.0,-48392000.0,,101849000.0,,,,,,6794000.0,186000.0,,-18495000.0,949000.0,1743000.0,-16979000.0,66375000.0,1229000.0
2012-12-31,549696000.0,311531000.0,238165000.0,30337000.0,,111222000.0,126943000.0,,124719000.0,41738000.0,82981000.0,0.96,0.96,86097000.0,86639000.0,192854000.0,,,,,,,408936000.0,,286420000.0,533291000.0,,29589000.0,1569508000.0,11607000.0,51462000.0,182715000.0,299756000.0,13404000.0,106525000.0,,4333000.0,522945000.0,1007246000.0,,1046563000.0,1569508000.0,,4109000.0,,-89193000.0,,,,-4710000.0,-99881000.0,,119168000.0,,,,,,18957000.0,186000.0,,-42704000.0,1672000.0,2354000.0,-40923000.0,35541000.0,33361000.0
2013-03-31,831238000.0,478483000.0,352755000.0,46333000.0,,160103000.0,192652000.0,,189527000.0,60551000.0,128976000.0,1.5,1.49,86120000.0,86705000.0,182051000.0,,,,,,,392764000.0,,291329000.0,533291000.0,,29553000.0,1563441000.0,11331000.0,55183000.0,129421000.0,260791000.0,13524000.0,108755000.0,,5476000.0,483601000.0,1042054000.0,,1079840000.0,1563441000.0,,6121000.0,,-91735000.0,,,,-4986000.0,-153055000.0,,152425000.0,,,,,,28413000.0,186000.0,,-66031000.0,2678000.0,3339000.0,-61656000.0,24738000.0,44455000.0
2013-06-30,1129386000.0,652394000.0,476992000.0,63202000.0,,211445000.0,265547000.0,,259850000.0,83205000.0,176645000.0,2.05,2.04,86040000.0,86619000.0,127905000.0,,,,-151279000.0,,,447885000.0,,300511000.0,533291000.0,,30411000.0,1629155000.0,11701000.0,68528000.0,293255000.0,412258000.0,11342000.0,120434000.0,,5586000.0,556986000.0,1072521000.0,,1072169000.0,1629155000.0,,8615000.0,,12739000.0,,,,-4582000.0,8597000.0,,309174000.0,,,,,,46256000.0,186000.0,,-97244000.0,3700000.0,3621000.0,-241338000.0,-29408000.0,
