Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-01-03,,,43450000000.0,,19801000000.0,,,,15755000000.0,3489000000.0,,4.45,4.4,2759500000.0,2789100000.0,15810000000.0,3615000000.0,9646000000.0,5180000000.0,2793000000.0,,,39541000000.0,,14759000000.0,14862000000.0,16323000000.0,3690000000.0,94682000000.0,5541000000.0,5796000000.0,,21731000000.0,,1424000000.0,,5947000000.0,44094000000.0,70306000000.0,-3058000000.0,,94682000000.0,2774000000.0,628000000.0,-436000000.0,453000000.0,95000000.0,,1209000000.0,,,31000000.0,16571000000.0,,,,,2470000000.0,2365000000.0,,109000000.0,-7598000000.0,,,-4092000000.0,5042000000.0,
2010-04-04,,,11103000000.0,,4779000000.0,,,,6280000000.0,1754000000.0,,1.64,1.62,2755400000.0,2797300000.0,13743000000.0,4267000000.0,10018000000.0,5308000000.0,2232000000.0,,,38861000000.0,,14277000000.0,14977000000.0,16799000000.0,3622000000.0,93441000000.0,5126000000.0,4415000000.0,,18499000000.0,,1672000000.0,,6043000000.0,40527000000.0,73184000000.0,-3837000000.0,,93441000000.0,734000000.0,157000000.0,960000000.0,-529000000.0,-193000000.0,,-1088000000.0,,,696000000.0,3690000000.0,,,,,772000000.0,397000000.0,,9000000.0,-1882000000.0,,,-3822000000.0,-2067000000.0,
2010-07-04,,,21803000000.0,,9535000000.0,,,,10500000000.0,2525000000.0,,2.89,2.85,2756600000.0,2796100000.0,12713000000.0,6188000000.0,9629000000.0,5071000000.0,2250000000.0,,,39023000000.0,,13881000000.0,14628000000.0,16459000000.0,3200000000.0,92300000000.0,4871000000.0,4186000000.0,,17164000000.0,,1669000000.0,,6359000000.0,39449000000.0,75252000000.0,-5705000000.0,,92300000000.0,1445000000.0,305000000.0,604000000.0,555000000.0,88000000.0,,704000000.0,,,218000000.0,7527000000.0,,,,,871000000.0,897000000.0,,21000000.0,-4575000000.0,,,-5887000000.0,-3097000000.0,
2010-10-03,,,32191000000.0,,14244000000.0,,,,14719000000.0,3327000000.0,,4.14,4.08,2754200000.0,2792000000.0,14338000000.0,7788000000.0,10290000000.0,5409000000.0,2418000000.0,,,42717000000.0,,14360000000.0,15375000000.0,17068000000.0,3552000000.0,98247000000.0,5477000000.0,4333000000.0,,17414000000.0,,1725000000.0,,6226000000.0,40956000000.0,77272000000.0,-2924000000.0,,98247000000.0,2170000000.0,474000000.0,644000000.0,585000000.0,197000000.0,,310000000.0,,,495000000.0,12561000000.0,,,,,1269000000.0,1425000000.0,,70000000.0,-6450000000.0,,,-7586000000.0,-1472000000.0,
2011-01-02,,,42795000000.0,,19424000000.0,,,,16947000000.0,3613000000.0,1942000000.0,4.85,4.78,2751400000.0,2788800000.0,19355000000.0,8303000000.0,9774000000.0,5378000000.0,9466000000.0,,,47307000000.0,,14553000000.0,15294000000.0,16716000000.0,3942000000.0,102908000000.0,5623000000.0,4100000000.0,,23072000000.0,,1447000000.0,,6567000000.0,46329000000.0,77773000000.0,-3531000000.0,,102908000000.0,2939000000.0,614000000.0,356000000.0,207000000.0,196000000.0,,574000000.0,,,87000000.0,16385000000.0,,,,,1269000000.0,2384000000.0,,38000000.0,-7854000000.0,,,-4980000000.0,3545000000.0,
2011-04-03,,,11395000000.0,,5056000000.0,,,,4510000000.0,1034000000.0,,1.27,1.25,2738400000.0,2772700000.0,22356000000.0,4511000000.0,10861000000.0,6200000000.0,2272000000.0,,,49221000000.0,,15084000000.0,16126000000.0,18687000000.0,3705000000.0,108150000000.0,5701000000.0,4093000000.0,,24011000000.0,,1895000000.0,,7001000000.0,48287000000.0,79515000000.0,-2020000000.0,,108150000000.0,755000000.0,152000000.0,-4000000.0,609000000.0,452000000.0,,970000000.0,,,1111000000.0,2316000000.0,,,,,2049000000.0,436000000.0,,57000000.0,1440000000.0,,,-825000000.0,3001000000.0,
2011-07-03,,,22820000000.0,,10271000000.0,,8264000000.0,,7932000000.0,1680000000.0,,2.28,2.25,2740500000.0,2781300000.0,14974000000.0,14708000000.0,10982000000.0,6413000000.0,2306000000.0,,,52673000000.0,,14974000000.0,16243000000.0,18378000000.0,4193000000.0,112114000000.0,5689000000.0,4405000000.0,,20985000000.0,,1888000000.0,,7227000000.0,49982000000.0,80836000000.0,-1192000000.0,,112114000000.0,1532000000.0,339000000.0,-504000000.0,576000000.0,620000000.0,,920000000.0,,,1199000000.0,6225000000.0,,,,,2049000000.0,1054000000.0,,62000000.0,-9260000000.0,,,-1464000000.0,-4381000000.0,
2011-10-02,,,33753000000.0,,15511000000.0,,12913000000.0,,12043000000.0,2589000000.0,,3.45,3.4,2738500000.0,2778200000.0,15617000000.0,15310000000.0,10552000000.0,6428000000.0,2480000000.0,,,53443000000.0,,14635000000.0,16049000000.0,18225000000.0,3905000000.0,111821000000.0,5730000000.0,4136000000.0,,21686000000.0,,1889000000.0,,7473000000.0,50294000000.0,82634000000.0,-3068000000.0,,111821000000.0,2315000000.0,484000000.0,-849000000.0,489000000.0,787000000.0,,906000000.0,,,1746000000.0,10847000000.0,,,,,2469000000.0,1765000000.0,,331000000.0,-10850000000.0,,,-3696000000.0,-3738000000.0,
2012-01-01,,,44670000000.0,,20969000000.0,,13765000000.0,,12361000000.0,2689000000.0,218000000.0,3.54,3.49,2736000000.0,2775300000.0,24542000000.0,7719000000.0,10581000000.0,6285000000.0,11586000000.0,,,54316000000.0,,14739000000.0,16138000000.0,18138000000.0,3773000000.0,113644000000.0,5725000000.0,4608000000.0,,22811000000.0,,1800000000.0,,10631000000.0,56564000000.0,81251000000.0,-5632000000.0,,113644000000.0,3158000000.0,621000000.0,-836000000.0,915000000.0,715000000.0,,1625000000.0,,,4413000000.0,14298000000.0,,,,,2797000000.0,2893000000.0,,778000000.0,-4612000000.0,,,-4452000000.0,5187000000.0,
2012-04-01,,,11224000000.0,,5015000000.0,,5130000000.0,,5045000000.0,1135000000.0,,1.43,1.41,2736900000.0,2774900000.0,30267000000.0,3580000000.0,10982000000.0,6800000000.0,2695000000.0,,,57007000000.0,,14824000000.0,16339000000.0,18157000000.0,3956000000.0,116194000000.0,5085000000.0,4369000000.0,,21198000000.0,,1846000000.0,,10538000000.0,54828000000.0,83103000000.0,-4540000000.0,,116194000000.0,773000000.0,173000000.0,557000000.0,215000000.0,449000000.0,,754000000.0,,,89000000.0,2795000000.0,,,,,0.0,502000000.0,,2000000.0,4056000000.0,,,-1183000000.0,5725000000.0,
2012-07-01,,,22556000000.0,,9980000000.0,,7788000000.0,,7080000000.0,1762000000.0,,1.94,1.91,2747400000.0,2798200000.0,14042000000.0,2873000000.0,10992000000.0,7697000000.0,3117000000.0,,,41615000000.0,,15622000000.0,21412000000.0,29199000000.0,3891000000.0,115750000000.0,5145000000.0,6533000000.0,,23848000000.0,,2276000000.0,,9487000000.0,55316000000.0,83530000000.0,-6204000000.0,,115750000000.0,1625000000.0,369000000.0,-511000000.0,-155000000.0,618000000.0,,29000000.0,,,-1136000000.0,7523000000.0,,,,,17659000000.0,1100000000.0,,8000000.0,-13405000000.0,,,-4586000000.0,-10500000000.0,
2012-09-30,,,34011000000.0,,15208000000.0,,11613000000.0,,10675000000.0,2728000000.0,8286000000.0,3.02,2.96,2757400000.0,2818100000.0,15486000000.0,4285000000.0,11175000000.0,7809000000.0,3247000000.0,,,44791000000.0,,15845000000.0,21777000000.0,28790000000.0,3521000000.0,118951000000.0,5344000000.0,6498000000.0,,23935000000.0,,2716000000.0,,9207000000.0,55190000000.0,84880000000.0,-4925000000.0,,118951000000.0,2630000000.0,515000000.0,-324000000.0,-94000000.0,593000000.0,,790000000.0,,,-1151000000.0,12020000000.0,,,,,4423000000.0,1782000000.0,,4000000.0,-2007000000.0,,,-19091000000.0,-9056000000.0,
2012-12-30,,,,,,,,,,,,,,,,14911000000.0,6178000000.0,11309000000.0,7495000000.0,12098000000.0,,,46116000000.0,,16097000000.0,22424000000.0,28752000000.0,3417000000.0,121347000000.0,5831000000.0,7299000000.0,,24262000000.0,,3136000000.0,,8552000000.0,56521000000.0,85992000000.0,-5810000000.0,,121347000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
