Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,3315912000.0,1157802000.0,2158110000.0,741708000.0,,1847415000.0,310695000.0,,312061000.0,196833000.0,116999000.0,0.22,0.22,523603000.0,534015000.0,1604723000.0,,458652000.0,,196318000.0,,,2878959000.0,,455651000.0,3658602000.0,13834000.0,35425000.0,7590263000.0,242591000.0,142526000.0,571652000.0,1375785000.0,181937000.0,,,37531000.0,,-3236525000.0,-1433000.0,5822136000.0,7590263000.0,148373000.0,139659000.0,9436000.0,-28682000.0,,,,,163326000.0,,796097000.0,1461532000.0,398435000.0,285379000.0,6205000.0,0.0,153101000.0,,,-948300000.0,164207000.0,3510000.0,-262158000.0,-414361000.0,
2010-03-31,912618000.0,300597000.0,612021000.0,206994000.0,,451749000.0,160272000.0,,161731000.0,-2879000.0,163115000.0,0.31,0.3,521141000.0,536718000.0,1723949000.0,,402934000.0,,209560000.0,,,2996980000.0,,457957000.0,3658602000.0,12672000.0,36899000.0,7678735000.0,230330000.0,149419000.0,619968000.0,1255152000.0,169920000.0,,,39764000.0,,-3143924000.0,-4466000.0,6119199000.0,7678735000.0,35269000.0,40561000.0,-12471000.0,55718000.0,,,,,36299000.0,,88546000.0,447716000.0,235960000.0,224514000.0,4773000.0,,37807000.0,,,-32617000.0,118920000.0,20520000.0,63297000.0,119226000.0,
2010-06-30,1890918000.0,618959000.0,1271959000.0,431762000.0,,926709000.0,345250000.0,,350774000.0,58700000.0,293626000.0,0.56,0.55,524463000.0,538947000.0,1660086000.0,,391545000.0,,224792000.0,,,2899306000.0,,466172000.0,3711726000.0,23360000.0,49302000.0,7744327000.0,243228000.0,134828000.0,544578000.0,1221019000.0,223217000.0,,,33336000.0,,-3181733000.0,-10667000.0,6170849000.0,7744327000.0,72748000.0,85164000.0,-25594000.0,-67168000.0,,,,,14035000.0,,309889000.0,932004000.0,557363000.0,354890000.0,727000.0,64215000.0,83157000.0,,,-181836000.0,176662000.0,28287000.0,-72690000.0,55363000.0,
2010-09-30,2903325000.0,953579000.0,1949746000.0,662913000.0,,1408960000.0,540786000.0,,546515000.0,117225000.0,428169000.0,0.82,0.8,522069000.0,537158000.0,1460914000.0,,473953000.0,,181955000.0,,,2866811000.0,,484802000.0,3759631000.0,47629000.0,53908000.0,7890897000.0,251431000.0,143836000.0,594437000.0,1240767000.0,190701000.0,,,44332000.0,,-3137836000.0,4427000.0,6316149000.0,7890897000.0,112366000.0,129555000.0,-26425000.0,-15093000.0,,,,,31274000.0,,441300000.0,1361510000.0,744464000.0,440788000.0,5288000.0,133333000.0,137481000.0,,,-467130000.0,257693000.0,32932000.0,-117979000.0,-143809000.0,
2011-12-31,4448709000.0,1580119000.0,2868590000.0,1026790000.0,,2250066000.0,618524000.0,-46808000.0,571716000.0,146704000.0,425136000.0,0.8,0.79,529768000.0,541417000.0,2910420000.0,,577386000.0,69100000.0,115600000.0,,,4439661000.0,,598581000.0,3928144000.0,123114000.0,75354000.0,9983820000.0,324843000.0,193634000.0,712663000.0,1466703000.0,254364000.0,,108471000.0,65590000.0,,-2972402000.0,-17590000.0,7089182000.0,9983820000.0,,217761000.0,20000000.0,-18633000.0,,,,,82247000.0,,986726000.0,2297363000.0,645362000.0,1281236000.0,33051000.0,30720000.0,266314000.0,,,-707238000.0,346951000.0,44961000.0,819045000.0,1098533000.0,-2080000.0
2012-03-31,1032498000.0,398443000.0,634055000.0,269602000.0,,586346000.0,47709000.0,-24431000.0,23278000.0,7008000.0,16270000.0,0.03,0.03,527186000.0,533683000.0,2913095000.0,,450987000.0,92000000.0,168214000.0,,,4231018000.0,,647414000.0,3987707000.0,152541000.0,58554000.0,9945023000.0,195420000.0,163610000.0,760621000.0,1360756000.0,238964000.0,,111368000.0,61905000.0,,-2974595000.0,-712000.0,7172483000.0,9945023000.0,43396000.0,65007000.0,,-126462000.0,,,,,32558000.0,,102266000.0,371285000.0,222840000.0,231366000.0,1122000.0,90487000.0,81991000.0,,,-93303000.0,37798000.0,4319000.0,-6288000.0,2675000.0,
2012-06-30,2106257000.0,804329000.0,1301928000.0,538336000.0,,1167501000.0,134427000.0,-21661000.0,112766000.0,38777000.0,73989000.0,0.14,0.14,527989000.0,533753000.0,3044310000.0,,406756000.0,104800000.0,177412000.0,,,4229756000.0,,711953000.0,3987707000.0,143774000.0,58123000.0,10046281000.0,199563000.0,180377000.0,773275000.0,1453264000.0,219617000.0,,108178000.0,57191000.0,,-2937653000.0,-8362000.0,7208447000.0,10046281000.0,89827000.0,126887000.0,,-170694000.0,,,,,25865000.0,,314330000.0,614842000.0,371635000.0,399642000.0,6123000.0,90487000.0,169713000.0,297000.0,,-93677000.0,49797000.0,6770000.0,-86763000.0,133890000.0,
2012-09-30,3224568000.0,1248809000.0,1975759000.0,826514000.0,,1798563000.0,177196000.0,-25617000.0,151579000.0,60776000.0,90803000.0,0.17,0.17,525419000.0,530343000.0,2707940000.0,,397082000.0,80800000.0,229374000.0,,,3942299000.0,,768530000.0,3987073000.0,118655000.0,140607000.0,9960594000.0,224242000.0,178976000.0,771709000.0,1501801000.0,221217000.0,,116929000.0,41622000.0,2880714000.0,-2968220000.0,5227000.0,7079404000.0,9960594000.0,137855000.0,186002000.0,,-180368000.0,,,,,15899000.0,,487571000.0,1009076000.0,431705000.0,625119000.0,11123000.0,90487000.0,256753000.0,65297000.0,,-367793000.0,88225000.0,7184000.0,-322258000.0,-202480000.0,
2012-12-31,4365400000.0,1656600000.0,2708800000.0,1101600000.0,,2400700000.0,308100000.0,-16600000.0,291500000.0,105000000.0,186500000.0,0.36,0.35,520900000.0,526200000.0,2407800000.0,,438400000.0,62500000.0,135100000.0,,,3600700000.0,,811900000.0,4057800000.0,128900000.0,138300000.0,9832100000.0,209300000.0,202400000.0,693500000.0,1422000000.0,229900000.0,,,69100000.0,2832600000.0,-2911400000.0,4700000.0,6999000000.0,9832100000.0,187000000.0,242700000.0,-26800000.0,-139100000.0,,,,,-53600000.0,,642400000.0,1496500000.0,559700000.0,894200000.0,12200000.0,139400000.0,348700000.0,65300000.0,,-596700000.0,99100000.0,7200000.0,-548300000.0,-502600000.0,118700000.0
2013-03-31,1059200000.0,388400000.0,670800000.0,262200000.0,,583800000.0,87000000.0,-10100000.0,76900000.0,-14100000.0,91000000.0,0.18,0.18,504700000.0,512700000.0,2043700000.0,,532600000.0,54100000.0,151400000.0,,,3540000000.0,,839000000.0,4057800000.0,131200000.0,152800000.0,9830400000.0,223800000.0,191300000.0,774700000.0,1423700000.0,206000000.0,,87100000.0,58000000.0,2774000000.0,-2862000000.0,-5200000.0,7055900000.0,9830400000.0,51600000.0,49900000.0,,94300000.0,,,,,57200000.0,,-8900000.0,582200000.0,54000000.0,331800000.0,7300000.0,10000000.0,71500000.0,,,-285100000.0,65000000.0,1100000.0,-70100000.0,-364100000.0,
2013-06-30,2209900000.0,818600000.0,1391300000.0,519900000.0,,1165800000.0,225500000.0,-22700000.0,202800000.0,28000000.0,188900000.0,0.37,0.37,503800000.0,510400000.0,2249900000.0,,509100000.0,50100000.0,141300000.0,,,3654100000.0,,855300000.0,4057700000.0,123600000.0,202600000.0,10013700000.0,206400000.0,221900000.0,750400000.0,1422800000.0,277600000.0,,115700000.0,80700000.0,2896100000.0,-2778200000.0,-3700000.0,7117600000.0,10013700000.0,93700000.0,111400000.0,,92300000.0,,,,,104500000.0,,275500000.0,895000000.0,183800000.0,587500000.0,14400000.0,10000000.0,142300000.0,10000000.0,2100000.0,-300800000.0,74300000.0,1300000.0,-132600000.0,-157900000.0,
2013-09-30,3395500000.0,1257700000.0,2137800000.0,784500000.0,,1767300000.0,370500000.0,-30200000.0,340300000.0,52300000.0,288000000.0,0.57,0.56,503000000.0,510700000.0,2271500000.0,,549300000.0,55200000.0,129400000.0,,,3680400000.0,,868200000.0,4057700000.0,115900000.0,194400000.0,10197700000.0,205600000.0,242900000.0,731900000.0,1400600000.0,289300000.0,,117500000.0,79300000.0,2886000000.0,-2708800000.0,66600000.0,7311700000.0,10197700000.0,135100000.0,180700000.0,,111000000.0,,,,,97700000.0,,451900000.0,1351600000.0,287600000.0,860400000.0,20400000.0,10000000.0,183000000.0,10000000.0,3100000.0,-421700000.0,123700000.0,1500000.0,-166500000.0,-136300000.0,
2013-12-31,4669100000.0,1727700000.0,2941400000.0,1043200000.0,,2375500000.0,565900000.0,-40400000.0,525500000.0,85700000.0,439800000.0,0.88,0.86,501800000.0,510300000.0,2284000000.0,,578300000.0,52700000.0,28900000.0,,,3703900000.0,,882300000.0,4057700000.0,106900000.0,233800000.0,10326000000.0,200400000.0,261300000.0,705800000.0,1441400000.0,363500000.0,53300000.0,114400000.0,105200000.0,3023800000.0,-2631300000.0,64600000.0,7302200000.0,10326000000.0,189900000.0,244600000.0,71100000.0,139900000.0,,,,,145900000.0,,842300000.0,1776000000.0,366200000.0,1135600000.0,41300000.0,10000000.0,233100000.0,,,-564400000.0,141700000.0,1900000.0,-401700000.0,-123800000.0,105100000.0
2014-03-31,1170100000.0,450000000.0,720100000.0,264000000.0,,726300000.0,-6200000.0,154200000.0,148000000.0,37400000.0,110600000.0,0.23,0.22,486200000.0,496500000.0,2579400000.0,,597900000.0,54700000.0,140400000.0,,,3879800000.0,,905700000.0,4071300000.0,115100000.0,158900000.0,9723600000.0,222200000.0,271000000.0,772500000.0,1446300000.0,381700000.0,,121700000.0,115500000.0,3414100000.0,-2947800000.0,1900000.0,,9723600000.0,48100000.0,60800000.0,,15700000.0,,,,,82800000.0,,126000000.0,327100000.0,79300000.0,1221400000.0,1700000.0,27100000.0,57300000.0,,,913200000.0,101200000.0,6700000.0,-743800000.0,295400000.0,
2014-06-30,2399600000.0,931300000.0,1468300000.0,519500000.0,,1358600000.0,115900000.0,332800000.0,442500000.0,110800000.0,331700000.0,0.69,0.68,478100000.0,487300000.0,2159800000.0,,560800000.0,47100000.0,151400000.0,,,3497700000.0,,889900000.0,4071500000.0,105300000.0,166500000.0,10137300000.0,246300000.0,291600000.0,803200000.0,1573500000.0,370100000.0,,125700000.0,107600000.0,3525800000.0,-2727100000.0,13100000.0,,10137300000.0,95600000.0,120100000.0,,-21400000.0,,,,,101900000.0,,551000000.0,1577600000.0,234200000.0,1504600000.0,5000000.0,27100000.0,98300000.0,,,55900000.0,121200000.0,8000000.0,-731100000.0,-124200000.0,
2014-09-30,3525500000.0,1342400000.0,2183100000.0,772700000.0,,1901000000.0,282100000.0,326000000.0,608100000.0,172800000.0,435300000.0,0.93,0.91,468100000.0,477000000.0,1615900000.0,,617000000.0,50600000.0,157500000.0,,,3063300000.0,,888800000.0,3911700000.0,90800000.0,162900000.0,9569000000.0,242200000.0,244600000.0,728400000.0,1449000000.0,345600000.0,,154200000.0,80900000.0,3378600000.0,-2963700000.0,-3000000.0,,9569000000.0,141900000.0,185400000.0,,33200000.0,,,,,40900000.0,,472500000.0,1970500000.0,339000000.0,1918700000.0,12300000.0,27100000.0,140900000.0,,,150900000.0,157600000.0,8800000.0,-1291500000.0,-668100000.0,
2014-12-31,4627100000.0,1768900000.0,2858200000.0,1006200000.0,,3277900000.0,-419700000.0,333400000.0,-86300000.0,248000000.0,-334300000.0,-0.73,-0.73,457400000.0,457400000.0,1639600000.0,,598900000.0,62500000.0,41300000.0,,,2971900000.0,,904300000.0,2981500000.0,62400000.0,303900000.0,8403100000.0,234600000.0,287300000.0,780800000.0,1527700000.0,294900000.0,107400000.0,177500000.0,134900000.0,3484000000.0,-3861100000.0,-13800000.0,4919100000.0,8403100000.0,186100000.0,240000000.0,19000000.0,16800000.0,,,,,45100000.0,,763400000.0,2440700000.0,337600000.0,2627700000.0,21700000.0,27100000.0,192900000.0,,,434000000.0,159800000.0,9400000.0,-1824200000.0,-644400000.0,206000000.0
2015-03-31,1067400000.0,410100000.0,657300000.0,248700000.0,,525500000.0,131800000.0,-15800000.0,116000000.0,35800000.0,80200000.0,0.2,0.19,407100000.0,414200000.0,1810800000.0,,507600000.0,68800000.0,148200000.0,,,3101700000.0,,912200000.0,2981300000.0,50500000.0,333300000.0,8666600000.0,223600000.0,221500000.0,855500000.0,1770400000.0,319200000.0,,178900000.0,132300000.0,4049500000.0,-3938400000.0,-29200000.0,,8666600000.0,47500000.0,46000000.0,,-54200000.0,,,,,99000000.0,,219300000.0,398800000.0,57300000.0,169500000.0,3200000.0,0.0,44200000.0,,,-221300000.0,31800000.0,1700000.0,185300000.0,171200000.0,
2015-06-30,2289600000.0,850800000.0,1438800000.0,500300000.0,,1063900000.0,374900000.0,-32900000.0,342000000.0,103800000.0,238200000.0,0.6,0.59,398400000.0,406100000.0,1330300000.0,,533000000.0,77400000.0,138300000.0,,,2726900000.0,,921200000.0,2981300000.0,44800000.0,334600000.0,8282800000.0,222600000.0,217300000.0,795400000.0,1762500000.0,309000000.0,,180200000.0,134500000.0,4034900000.0,-4057800000.0,-7300000.0,,8282800000.0,89000000.0,104900000.0,,-29000000.0,,,,,28600000.0,,482500000.0,841300000.0,115900000.0,450900000.0,3200000.0,0.0,83800000.0,,,-364000000.0,63000000.0,4300000.0,-421900000.0,-309300000.0,
2015-09-30,3538200000.0,1302000000.0,2236200000.0,747300000.0,,1603300000.0,632900000.0,-41300000.0,591600000.0,155700000.0,435900000.0,1.11,1.09,393200000.0,401200000.0,1453500000.0,,577500000.0,72300000.0,198400000.0,,,2898100000.0,,959900000.0,2981300000.0,39200000.0,329900000.0,8505900000.0,209100000.0,217800000.0,814400000.0,1734900000.0,310500000.0,,185000000.0,198700000.0,4077800000.0,-3886800000.0,-19400000.0,,8505900000.0,131500000.0,161300000.0,,15700000.0,,,,,49100000.0,,775500000.0,1147600000.0,197400000.0,625900000.0,5400000.0,3500000.0,154900000.0,,,-470000000.0,97000000.0,7400000.0,-476200000.0,-186100000.0,
2015-12-31,4857800000.0,1779200000.0,3078600000.0,994500000.0,,2166600000.0,912000000.0,-59800000.0,852200000.0,218500000.0,633700000.0,1.62,1.59,390600000.0,399400000.0,1420900000.0,,780700000.0,75000000.0,55900000.0,,,2912400000.0,,1021000000.0,2981300000.0,33900000.0,390200000.0,8619200000.0,159300000.0,250300000.0,822900000.0,1801900000.0,345200000.0,,187300000.0,61600000.0,4044800000.0,-3741200000.0,-19200000.0,4574400000.0,8619200000.0,176500000.0,217300000.0,-22100000.0,218900000.0,,,,,92300000.0,,892500000.0,1486400000.0,319800000.0,861600000.0,5400000.0,3500000.0,210300000.0,,,-508700000.0,121200000.0,12300000.0,-581400000.0,-218700000.0,128300000.0
2016-03-31,1097900000.0,407000000.0,690900000.0,251000000.0,,542200000.0,148700000.0,-22200000.0,126500000.0,35100000.0,91400000.0,0.24,0.23,383200000.0,389300000.0,1646000000.0,,783900000.0,98100000.0,,,,3274200000.0,,1047300000.0,2981300000.0,30600000.0,376800000.0,8917700000.0,233000000.0,208500000.0,893300000.0,1515300000.0,366700000.0,,190400000.0,75400000.0,4279600000.0,-3685100000.0,-7500000.0,,8917700000.0,47000000.0,51800000.0,,3200000.0,,,,,92000000.0,,172400000.0,360700000.0,79600000.0,286200000.0,10500000.0,,49300000.0,,,-57200000.0,32000000.0,0.0,104300000.0,225100000.0,
2016-06-30,2319200000.0,871900000.0,1447300000.0,498900000.0,,1094800000.0,352500000.0,-33800000.0,318700000.0,87300000.0,231400000.0,0.6,0.6,383000000.0,388600000.0,1756900000.0,,750300000.0,110500000.0,,,,3453800000.0,,1066600000.0,3001600000.0,69100000.0,259400000.0,9062800000.0,228400000.0,221200000.0,933000000.0,1581800000.0,362600000.0,,199800000.0,109900000.0,4386600000.0,-3596400000.0,-4400000.0,,9062800000.0,98600000.0,107400000.0,,-39500000.0,,,,,116400000.0,,526800000.0,794900000.0,152800000.0,665800000.0,10500000.0,22800000.0,116900000.0,,,-126400000.0,32200000.0,5600000.0,-71100000.0,336000000.0,
2016-09-30,3604500000.0,1357700000.0,2246800000.0,750700000.0,,1644300000.0,602500000.0,-47200000.0,555300000.0,151500000.0,403800000.0,1.06,1.04,382300000.0,387900000.0,1689000000.0,,753600000.0,106200000.0,,,,3429400000.0,,1067000000.0,3048400000.0,113200000.0,239000000.0,9145200000.0,208400000.0,207200000.0,918500000.0,1508400000.0,385600000.0,,205100000.0,140500000.0,4372700000.0,-3470400000.0,-13400000.0,,9145200000.0,151900000.0,162100000.0,,-36600000.0,,,,,124700000.0,,772200000.0,1251900000.0,232400000.0,985100000.0,17100000.0,96700000.0,162900000.0,,,-308300000.0,59700000.0,5800000.0,-196000000.0,268100000.0,
2016-12-31,4990100000.0,1885600000.0,3104500000.0,1013700000.0,,2214800000.0,889700000.0,-62300000.0,827400000.0,234700000.0,592700000.0,1.55,1.53,381700000.0,387800000.0,1833200000.0,,1054100000.0,95500000.0,408800000.0,,,3971900000.0,,1063800000.0,3081700000.0,130200000.0,237200000.0,9656500000.0,221000000.0,249300000.0,1032000000.0,1735900000.0,449100000.0,,209200000.0,166100000.0,4694000000.0,-3281800000.0,-37300000.0,4962500000.0,9656500000.0,206700000.0,224600000.0,57000000.0,263500000.0,,,,,301700000.0,,1106000000.0,1598000000.0,342300000.0,1182100000.0,20300000.0,144600000.0,214700000.0,,,-450100000.0,62300000.0,6700000.0,-229600000.0,412300000.0,173900000.0
2017-03-31,1221000000.0,474400000.0,746600000.0,276200000.0,,590300000.0,156300000.0,-15700000.0,140600000.0,31800000.0,108800000.0,0.29,0.28,380900000.0,388000000.0,2242000000.0,,670900000.0,98400000.0,,,,3993800000.0,,1050400000.0,3079400000.0,125900000.0,235600000.0,9638000000.0,201900000.0,210800000.0,992500000.0,1582600000.0,500500000.0,,216700000.0,185400000.0,4619600000.0,-3248700000.0,-21600000.0,,9638000000.0,55800000.0,62000000.0,,-383000000.0,,,,,11900000.0,,545300000.0,378900000.0,184300000.0,218800000.0,0.0,,32100000.0,,,-9700000.0,33700000.0,,-134000000.0,408800000.0,
