Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,100434000000.0,,,,,,,,16067000000.0,4415000000.0,11728000000.0,2.27,2.26,3863000000.0,3880000000.0,,,,,,,,,,11118000000.0,48357000000.0,,,2031989000000.0,,,,,,,,,1866624000000.0,62481000000.0,-91000000.0,165365000000.0,2031989000000.0,2783000000.0,3355000000.0,-3622000000.0,,,,,,,,121897000000.0,346372000000.0,87712000000.0,114041000000.0,,,,,762000000.0,29355000000.0,5756000000.0,17000000.0,-152179000000.0,-689000000.0,
2010-03-31,27671000000.0,,,,,,,,4537000000.0,1211000000.0,3326000000.0,0.75,0.74,3970500000.0,3994700000.0,,,,,,,,,,11123000000.0,48359000000.0,,,2135796000000.0,,,,,,,,,1971075000000.0,61043000000.0,761000000.0,164721000000.0,2135796000000.0,955000000.0,941000000.0,-40000000.0,,,,,,,,19132000000.0,57647000000.0,37323000000.0,20945000000.0,,,,,-515000000.0,-13862000000.0,,12000000.0,285000000.0,5216000000.0,
2010-06-30,52772000000.0,,,,,,,,11644000000.0,3523000000.0,8121000000.0,1.84,1.83,3983500000.0,4005600000.0,,,,,,,,,,11267000000.0,48320000000.0,,,2014019000000.0,,,,,,,,,1842899000000.0,65465000000.0,2404000000.0,171120000000.0,2014019000000.0,1926000000.0,1774000000.0,-567000000.0,,,,,,,,47555000000.0,102291000000.0,57012000000.0,77754000000.0,,,,,-1690000000.0,73674000000.0,,21000000.0,-114152000000.0,6600000000.0,
2010-09-30,76596000000.0,,,,,,,,17847000000.0,5308000000.0,12539000000.0,2.86,2.84,3969400000.0,3990700000.0,,,,,,,,,,11316000000.0,48736000000.0,,,2141595000000.0,,,,,,,,,1967765000000.0,69531000000.0,3096000000.0,173830000000.0,2141595000000.0,2981000000.0,2527000000.0,-1768000000.0,,,,,,,,-5646000000.0,146268000000.0,71848000000.0,85796000000.0,,,,,-1259000000.0,20721000000.0,0.0,23000000.0,-17790000000.0,-2246000000.0,
2010-12-31,102694000000.0,,,,,,,,24859000000.0,7489000000.0,17370000000.0,3.98,3.96,3956300000.0,3976900000.0,,,,,16319000000.0,,,,,13355000000.0,48854000000.0,,,2117605000000.0,,,,,,,,,1941499000000.0,73998000000.0,1001000000.0,176106000000.0,2117605000000.0,4029000000.0,3251000000.0,-968000000.0,,,,,,,,-3752000000.0,179487000000.0,92740000000.0,118600000000.0,,,,,114000000.0,54002000000.0,,26000000.0,-49217000000.0,1361000000.0,
2011-03-31,25221000000.0,,,,,,,,8057000000.0,2502000000.0,5555000000.0,1.29,1.28,3981600000.0,4014100000.0,,,,,,,,,,13422000000.0,48856000000.0,,,2198161000000.0,,,,,,,,,2017563000000.0,78342000000.0,712000000.0,180598000000.0,2198161000000.0,1057000000.0,830000000.0,-214000000.0,,,,,,,,-5979000000.0,39679000000.0,20591000000.0,4373000000.0,,,,,132000000.0,-65810000000.0,,765000000.0,67328000000.0,-4098000000.0,
2011-06-30,52000000000.0,,,,,,,,16184000000.0,5198000000.0,10986000000.0,2.57,2.55,3970000000.0,3998600000.0,,,,,,,,,,13679000000.0,48882000000.0,,,2246764000000.0,,,,,,,,,2063885000000.0,82612000000.0,1638000000.0,182879000000.0,2246764000000.0,2123000000.0,1557000000.0,679000000.0,,,,,,,,58725000000.0,83322000000.0,39902000000.0,42994000000.0,,,,,-6000000.0,-145807000000.0,,776000000.0,89325000000.0,2899000000.0,
2011-12-31,97234000000.0,,,,,,,,26749000000.0,7773000000.0,18976000000.0,4.5,4.48,3900400000.0,3920300000.0,,,,,14776000000.0,,,,,14041000000.0,48188000000.0,,,2265792000000.0,,,,,,,,,2082219000000.0,88315000000.0,944000000.0,183573000000.0,2265792000000.0,4257000000.0,2675000000.0,1693000000.0,,,,,,,,95932000000.0,202309000000.0,86850000000.0,68631000000.0,,,,,63000000.0,-170752000000.0,0.0,867000000.0,107706000000.0,32035000000.0,
2012-03-31,26712000000.0,,,,,,,,7641000000.0,2258000000.0,5383000000.0,1.31,1.31,3818800000.0,3833400000.0,,,,,,,,,,14213000000.0,48208000000.0,,,2320330000000.0,,,,,,,,,2130602000000.0,92347000000.0,2645000000.0,189728000000.0,2320330000000.0,1039000000.0,832000000.0,-444000000.0,,,,,,,,4266000000.0,63368000000.0,32279000000.0,19971000000.0,,,,,447000000.0,-45362000000.0,,276000000.0,35352000000.0,-4219000000.0,
2012-06-30,48232000000.0,,,,,,,,13981000000.0,4097000000.0,9884000000.0,2.41,2.41,3813900000.0,3827000000.0,,,,,,,,,,14206000000.0,48131000000.0,,,2290146000000.0,,,,,,,,,2098574000000.0,95518000000.0,2272000000.0,191572000000.0,2290146000000.0,2065000000.0,1441000000.0,1470000000.0,,,,,,,,46249000000.0,105166000000.0,63411000000.0,55389000000.0,,,,,1342000000.0,-65962000000.0,,283000000.0,4867000000.0,-14736000000.0,
