Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-03-31,1248000000.0,,752000000.0,,531000000.0,,187000000.0,,157000000.0,68000000.0,89000000.0,0.35,0.35,253300000.0,255100000.0,571000000.0,,529000000.0,270000000.0,59000000.0,,,1630000000.0,,1106000000.0,2984000000.0,2702000000.0,543000000.0,9117000000.0,,,36000000.0,850000000.0,861000000.0,1042000000.0,,736000000.0,6055000000.0,138000000.0,-41000000.0,3062000000.0,9117000000.0,,6000000.0,9000000.0,,-7000000.0,,-4000000.0,,36000000.0,-1000000.0,987000000.0,,,,,,55000000.0,,,-55000000.0,,,-645000000.0,287000000.0,
2010-09-30,4224000000.0,,2535000000.0,,1682000000.0,,757000000.0,,672000000.0,257000000.0,416000000.0,1.7,1.68,245100000.0,247300000.0,224000000.0,,527000000.0,283000000.0,58000000.0,,,1299000000.0,,1123000000.0,2984000000.0,2693000000.0,541000000.0,8790000000.0,,129000000.0,36000000.0,984000000.0,843000000.0,1083000000.0,,724000000.0,6205000000.0,346000000.0,-40000000.0,2585000000.0,8790000000.0,,21000000.0,44000000.0,,21000000.0,,62000000.0,,899000000.0,-5000000.0,1539000000.0,,,,,,170000000.0,,-4000000.0,-151000000.0,,,-1447000000.0,-59000000.0,
2011-12-31,5903000000.0,,3418000000.0,15000000.0,2257000000.0,,1024000000.0,,925000000.0,320000000.0,606000000.0,2.77,2.74,218700000.0,221200000.0,701000000.0,,585000000.0,212000000.0,-359000000.0,,,1757000000.0,,1152000000.0,2980000000.0,2677000000.0,573000000.0,9283000000.0,265000000.0,603000000.0,65000000.0,1915000000.0,1449000000.0,586000000.0,,814000000.0,7020000000.0,740000000.0,-110000000.0,2263000000.0,9283000000.0,,34000000.0,-498000000.0,55000000.0,-29000000.0,18000000.0,21000000.0,-30000000.0,0.0,1000000.0,760000000.0,,,,,,215000000.0,3000000.0,0.0,-217000000.0,,10000000.0,-152000000.0,391000000.0,
2012-03-31,1362000000.0,,778000000.0,,553000000.0,,192000000.0,,163000000.0,61000000.0,102000000.0,0.48,0.48,212600000.0,213900000.0,192000000.0,,564000000.0,225000000.0,86000000.0,,,1261000000.0,,1149000000.0,2983000000.0,2687000000.0,558000000.0,8784000000.0,313000000.0,542000000.0,65000000.0,1412000000.0,1434000000.0,602000000.0,,829000000.0,6524000000.0,769000000.0,-86000000.0,2260000000.0,8784000000.0,,8000000.0,,-24000000.0,11000000.0,-15000000.0,45000000.0,,,-44000000.0,-325000000.0,,,,,,51000000.0,6000000.0,,-53000000.0,,13000000.0,-134000000.0,-512000000.0,
2012-06-30,2983000000.0,,1714000000.0,,1152000000.0,,492000000.0,,434000000.0,154000000.0,280000000.0,1.32,1.31,212200000.0,214000000.0,303000000.0,,615000000.0,217000000.0,93000000.0,,,1391000000.0,,1141000000.0,2982000000.0,2683000000.0,565000000.0,8907000000.0,337000000.0,575000000.0,65000000.0,1734000000.0,1417000000.0,621000000.0,,820000000.0,6612000000.0,874000000.0,-105000000.0,2295000000.0,8907000000.0,,17000000.0,,30000000.0,4000000.0,-14000000.0,19000000.0,,,-35000000.0,-41000000.0,,,,,,89000000.0,7000000.0,,-91000000.0,,15000000.0,-268000000.0,-400000000.0,
2012-09-30,4511000000.0,,2616000000.0,,1713000000.0,,800000000.0,,715000000.0,256000000.0,459000000.0,2.17,2.15,211600000.0,213300000.0,383000000.0,,546000000.0,207000000.0,94000000.0,,,1396000000.0,,1194000000.0,2983000000.0,2685000000.0,583000000.0,8989000000.0,297000000.0,625000000.0,65000000.0,1736000000.0,1402000000.0,635000000.0,,833000000.0,6671000000.0,981000000.0,-98000000.0,2318000000.0,8989000000.0,,26000000.0,,-42000000.0,-7000000.0,1000000.0,20000000.0,,,23000000.0,264000000.0,,,,,,143000000.0,7000000.0,,-144000000.0,,16000000.0,-442000000.0,-322000000.0,
2012-12-31,5995000000.0,,3495000000.0,15000000.0,2268000000.0,,1092000000.0,,978000000.0,349000000.0,629000000.0,2.99,2.96,210600000.0,212300000.0,366000000.0,,552000000.0,197000000.0,-434000000.0,,,1335000000.0,,1202000000.0,2983000000.0,2684000000.0,580000000.0,8928000000.0,283000000.0,589000000.0,65000000.0,1232000000.0,1386000000.0,630000000.0,,846000000.0,6648000000.0,1080000000.0,-110000000.0,2280000000.0,8928000000.0,,35000000.0,91000000.0,-36000000.0,-17000000.0,-1000000.0,21000000.0,,0.0,-29000000.0,458000000.0,,,,,,193000000.0,7000000.0,0.0,-193000000.0,,16000000.0,-603000000.0,-338000000.0,
2013-03-31,1380000000.0,,790000000.0,,563000000.0,,197000000.0,,166000000.0,60000000.0,106000000.0,0.52,0.51,204600000.0,206300000.0,208000000.0,,583000000.0,216000000.0,67000000.0,,,1280000000.0,,1186000000.0,2990000000.0,2703000000.0,572000000.0,8872000000.0,317000000.0,544000000.0,65000000.0,1212000000.0,1369000000.0,652000000.0,,853000000.0,6633000000.0,1107000000.0,-97000000.0,2239000000.0,8872000000.0,,9000000.0,,29000000.0,18000000.0,1000000.0,55000000.0,,,-40000000.0,60000000.0,,,,,10000000.0,29000000.0,5000000.0,,-44000000.0,,4000000.0,-175000000.0,-159000000.0,
2013-06-30,2991000000.0,,1725000000.0,,1182000000.0,,482000000.0,,462000000.0,202000000.0,261000000.0,1.28,1.27,204400000.0,206000000.0,113000000.0,,625000000.0,222000000.0,66000000.0,,,1213000000.0,,1169000000.0,2989000000.0,2697000000.0,540000000.0,8709000000.0,299000000.0,571000000.0,65000000.0,1064000000.0,1351000000.0,670000000.0,,799000000.0,6405000000.0,1184000000.0,-104000000.0,2304000000.0,8709000000.0,,19000000.0,,73000000.0,25000000.0,6000000.0,17000000.0,,,-80000000.0,276000000.0,,,,,10000000.0,61000000.0,5000000.0,,-75000000.0,,6000000.0,-451000000.0,-250000000.0,
2013-09-30,4534000000.0,,2618000000.0,,1745000000.0,,782000000.0,,305000000.0,-364000000.0,468000000.0,2.29,2.28,204000000.0,205500000.0,119000000.0,,531000000.0,196000000.0,60000000.0,,,1059000000.0,19000000.0,1155000000.0,2988000000.0,2696000000.0,129000000.0,8129000000.0,271000000.0,598000000.0,65000000.0,956000000.0,1336000000.0,743000000.0,,265000000.0,5821000000.0,1313000000.0,-103000000.0,2308000000.0,8129000000.0,,28000000.0,,-21000000.0,-1000000.0,6000000.0,-436000000.0,,,-601000000.0,616000000.0,,,,,10000000.0,111000000.0,5000000.0,3000000.0,-128000000.0,,6000000.0,-732000000.0,-244000000.0,
