Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2015-01-31,701000000.0,318000000.0,,96000000.0,206000000.0,620000000.0,81000000.0,,120000000.0,8000000.0,,0.42,0.41,168000000.0,170000000.0,887000000.0,,309000000.0,477000000.0,82000000.0,,136000000.0,1892000000.0,,455000000.0,381000000.0,16000000.0,91000000.0,3029000000.0,158000000.0,96000000.0,176000000.0,700000000.0,66000000.0,,,59000000.0,2111000000.0,171000000.0,-369000000.0,918000000.0,3029000000.0,23000000.0,29000000.0,-1000000.0,-36000000.0,9000000.0,,,-13000000.0,,,92000000.0,,,,,,15000000.0,,,-14000000.0,,3000000.0,7000000.0,77000000.0,
2015-04-30,1441000000.0,642000000.0,,192000000.0,398000000.0,1232000000.0,209000000.0,,270000000.0,34000000.0,,0.99,0.97,169000000.0,171000000.0,894000000.0,,353000000.0,476000000.0,,,131000000.0,1927000000.0,,460000000.0,378000000.0,14000000.0,89000000.0,3061000000.0,178000000.0,65000000.0,164000000.0,631000000.0,64000000.0,,,58000000.0,2025000000.0,267000000.0,-357000000.0,1036000000.0,3061000000.0,46000000.0,42000000.0,13000000.0,5000000.0,17000000.0,,,1000000.0,,,160000000.0,,,,,,31000000.0,,,-30000000.0,,3000000.0,-38000000.0,84000000.0,22000000.0
2015-07-31,2106000000.0,937000000.0,,282000000.0,581000000.0,1786000000.0,320000000.0,,402000000.0,51000000.0,,1.4,1.38,169000000.0,172000000.0,1000000000.0,,313000000.0,478000000.0,,,119000000.0,1983000000.0,,462000000.0,372000000.0,12000000.0,86000000.0,3097000000.0,171000000.0,88000000.0,161000000.0,620000000.0,61000000.0,,,52000000.0,1992000000.0,337000000.0,-376000000.0,1105000000.0,3097000000.0,69000000.0,49000000.0,15000000.0,-31000000.0,25000000.0,,,1000000.0,,,295000000.0,,,,,0.0,66000000.0,,0.0,-72000000.0,,4000000.0,-22000000.0,190000000.0,35000000.0
2015-10-31,2856000000.0,1269000000.0,,387000000.0,787000000.0,2425000000.0,431000000.0,,559000000.0,-125000000.0,,3.04,3.0,169000000.0,171000000.0,483000000.0,,398000000.0,487000000.0,352000000.0,,137000000.0,1579000000.0,41000000.0,518000000.0,700000000.0,246000000.0,100000000.0,3508000000.0,209000000.0,84000000.0,175000000.0,686000000.0,61000000.0,15000000.0,14000000.0,80000000.0,2206000000.0,614000000.0,-479000000.0,1302000000.0,3508000000.0,99000000.0,55000000.0,-163000000.0,20000000.0,25000000.0,,,18000000.0,,,376000000.0,,,,,574000000.0,92000000.0,,0.0,-671000000.0,,4000000.0,-19000000.0,-327000000.0,40000000.0
2016-01-31,721000000.0,329000000.0,,108000000.0,200000000.0,623000000.0,98000000.0,,129000000.0,20000000.0,,0.37,0.37,171000000.0,172000000.0,572000000.0,,361000000.0,481000000.0,,,138000000.0,1626000000.0,,514000000.0,696000000.0,233000000.0,100000000.0,3481000000.0,175000000.0,79000000.0,185000000.0,602000000.0,62000000.0,,,81000000.0,2099000000.0,678000000.0,-497000000.0,1382000000.0,3481000000.0,33000000.0,16000000.0,4000000.0,-33000000.0,4000000.0,,,-22000000.0,,,92000000.0,,,,,,34000000.0,,,-24000000.0,,1000000.0,25000000.0,89000000.0,8000000.0
2016-04-30,1452000000.0,654000000.0,,216000000.0,407000000.0,1259000000.0,193000000.0,,264000000.0,19000000.0,,0.89,0.88,171000000.0,172000000.0,620000000.0,,408000000.0,475000000.0,,,159000000.0,1737000000.0,,531000000.0,731000000.0,226000000.0,108000000.0,3655000000.0,168000000.0,73000000.0,198000000.0,652000000.0,69000000.0,,,84000000.0,2155000000.0,766000000.0,-437000000.0,1500000000.0,3655000000.0,67000000.0,29000000.0,3000000.0,3000000.0,11000000.0,,,-27000000.0,,,209000000.0,,,,,,62000000.0,,,-62000000.0,,0.0,-16000000.0,137000000.0,8000000.0
2016-07-31,2167000000.0,963000000.0,,320000000.0,607000000.0,1868000000.0,299000000.0,,404000000.0,25000000.0,,1.43,1.41,170000000.0,172000000.0,664000000.0,,415000000.0,479000000.0,,,153000000.0,1711000000.0,,522000000.0,738000000.0,217000000.0,114000000.0,3675000000.0,156000000.0,62000000.0,192000000.0,601000000.0,73000000.0,,,69000000.0,2078000000.0,857000000.0,-433000000.0,1597000000.0,3675000000.0,101000000.0,39000000.0,5000000.0,16000000.0,23000000.0,,,-38000000.0,,,277000000.0,,,,,,76000000.0,,0.0,-76000000.0,,-4000000.0,-25000000.0,181000000.0,17000000.0
2016-10-31,2918000000.0,1294000000.0,,425000000.0,818000000.0,2512000000.0,406000000.0,,546000000.0,31000000.0,,1.97,1.95,170000000.0,172000000.0,783000000.0,,437000000.0,474000000.0,0.0,,160000000.0,1854000000.0,29000000.0,512000000.0,736000000.0,208000000.0,46000000.0,3803000000.0,189000000.0,51000000.0,180000000.0,644000000.0,72000000.0,1000000.0,21000000.0,69000000.0,2290000000.0,949000000.0,-618000000.0,1513000000.0,3803000000.0,134000000.0,49000000.0,17000000.0,42000000.0,22000000.0,,,-8000000.0,,,416000000.0,,,,,10000000.0,91000000.0,,-1000000.0,-90000000.0,,-5000000.0,-25000000.0,300000000.0,23000000.0
2017-01-31,726000000.0,322000000.0,,108000000.0,213000000.0,564000000.0,162000000.0,,128000000.0,43000000.0,,0.64,0.63,171000000.0,173000000.0,896000000.0,,395000000.0,479000000.0,,,162000000.0,1932000000.0,,494000000.0,721000000.0,197000000.0,123000000.0,3869000000.0,172000000.0,68000000.0,191000000.0,596000000.0,74000000.0,,,74000000.0,2221000000.0,1048000000.0,-611000000.0,1648000000.0,3869000000.0,32000000.0,18000000.0,40000000.0,-40000000.0,10000000.0,,,-12000000.0,,,102000000.0,,,,,,16000000.0,,,-8000000.0,,2000000.0,21000000.0,113000000.0,17000000.0
2017-04-30,1484000000.0,662000000.0,,227000000.0,469000000.0,1275000000.0,204000000.0,,275000000.0,-27000000.0,,0.91,0.9,177000000.0,179000000.0,983000000.0,40000000.0,518000000.0,585000000.0,,,188000000.0,2314000000.0,32000000.0,545000000.0,1702000000.0,918000000.0,130000000.0,6014000000.0,180000000.0,57000000.0,235000000.0,876000000.0,91000000.0,,,345000000.0,3842000000.0,1097000000.0,-595000000.0,2172000000.0,6014000000.0,73000000.0,31000000.0,-13000000.0,-10000000.0,10000000.0,,,-17000000.0,,,151000000.0,,,,,,33000000.0,,,-1642000000.0,444000000.0,2000000.0,1690000000.0,200000000.0,34000000.0
