Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2015-12-31,1166769000.0,,,,,823197000.0,343572000.0,,168916000.0,60230000.0,894115000.0,2.01,2.0,411319000.0,412851000.0,189534000.0,,,,55000000.0,,,,,,,,,11344171000.0,,,,,,,,,6075511000.0,,5588000.0,5046300000.0,11344171000.0,344527000.0,18465000.0,,,,,99980000.0,,,,493701000.0,,,,190278000.0,,,,,21365000.0,,,-512854000.0,2212000.0,100366000.0
2017-03-31,293588000.0,,,,,200951000.0,92637000.0,,47428000.0,-493000.0,76733000.0,0.15,0.15,423381000.0,424146000.0,167454000.0,,,,,,,,,,,,,11248419000.0,,,,,,,,,5791842000.0,,6485000.0,5211335000.0,11248419000.0,92074000.0,9631000.0,,,,,21103000.0,,,,157052000.0,,,,,,,,,-65375000.0,,,-66709000.0,24968000.0,2801000.0
2018-03-31,304078000.0,,,,,200140000.0,103938000.0,,60174000.0,52000.0,144090000.0,0.3,0.3,423404000.0,424521000.0,218313000.0,,,,,,,,,,,,,11372502000.0,,,,,,,,,5853954000.0,,-66000.0,5424566000.0,11372502000.0,81382000.0,5182000.0,,,,,12309000.0,,,,192279000.0,,,,,,,,,79426000.0,,,-291905000.0,-20200000.0,
2018-06-30,597481000.0,,,,,409194000.0,188287000.0,,101366000.0,-720000.0,309476000.0,0.66,0.66,422060000.0,423236000.0,305577000.0,,,,,,,,,,,,,11291783000.0,,,,,,,,,5786654000.0,,72000.0,5411210000.0,11291783000.0,161142000.0,10423000.0,,,,,23304000.0,,,,351986000.0,,,,,,,,,228151000.0,,,-513073000.0,67064000.0,
2019-03-31,295010000.0,,,,,184502000.0,134103000.0,,92330000.0,630000.0,116169000.0,0.24,0.24,419464000.0,420763000.0,143673000.0,,,,,,,,,,,,,11070200000.0,,,,,,,,,5649658000.0,,,5319877000.0,11070200000.0,71561000.0,5477000.0,,,,,26299000.0,,,,155258000.0,,,,6771000.0,,,,,-15542000.0,,,-139624000.0,92000.0,
2019-06-30,579883000.0,,,,,376737000.0,241503000.0,,157571000.0,-344000.0,217196000.0,,,419697000.0,420798000.0,113991000.0,,,,,,,,,,,,,11040903000.0,,,,,,,,,5649752000.0,,,5293902000.0,11040903000.0,140566000.0,10284000.0,,,,,32510000.0,,,,313529000.0,,,,9685000.0,,,,,-100519000.0,,,-242600000.0,-29590000.0,
2019-09-30,862754000.0,,,,,569165000.0,340971000.0,,218220000.0,-3866000.0,301186000.0,,,419823000.0,421002000.0,141310000.0,,,,,,,,,,,,,11085131000.0,,,,,,,,,6086967000.0,,,4901881000.0,11085131000.0,209440000.0,15025000.0,,,,,59206000.0,,,,482459000.0,,,,2500000.0,,,,,-161307000.0,,,-323423000.0,-2271000.0,
2019-12-31,1158884000.0,,,,,760515000.0,477587000.0,,312006000.0,-3317000.0,410605000.0,,,420370000.0,421799000.0,123947000.0,,,,240000.0,,,,,,,,,10997867000.0,,,,,,,,,6051017000.0,,,4864892000.0,10997867000.0,277879000.0,20200000.0,0.0,,,,55405000.0,,,,583628000.0,,,,2500000.0,,,,,-120421000.0,,,-482841000.0,-19634000.0,-1106000.0
2020-03-31,289744000.0,,,,,178283000.0,115308000.0,,65826000.0,43000.0,90100000.0,,,429735000.0,430505000.0,451796000.0,,,,,,,,,,,,,11305134000.0,,,,,,,,,6414722000.0,,,4809591000.0,11305134000.0,69397000.0,5905000.0,,,,,24787000.0,,,,155249000.0,,,,,,,,,-66553000.0,,,239153000.0,327849000.0,
2020-06-30,528660000.0,,,,,354929000.0,179428000.0,,799055000.0,94000.0,837993000.0,,,429967000.0,431527000.0,201687000.0,,,,,,,,,,,,,11559970000.0,,,,,,,,,5923653000.0,,,5556511000.0,11559970000.0,142956000.0,11482000.0,,,,,24348000.0,,,,237447000.0,,,,,,,,,96597000.0,,,-256304000.0,77740000.0,
