Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-12-31,1448669000.0,575367000.0,,189617000.0,179203000.0,944187000.0,504482000.0,,474503000.0,134815000.0,339688000.0,2.03,2.0,167052000.0,169685000.0,596104000.0,1040296000.0,531453000.0,504697000.0,333410000.0,,120351000.0,3126311000.0,,249468000.0,328147000.0,101900000.0,362635000.0,4168461000.0,123166000.0,396084000.0,,793937000.0,,,62329000.0,71560000.0,1702227000.0,1506747000.0,-13383000.0,2466234000.0,4168461000.0,42436000.0,43644000.0,,-79232000.0,-103160000.0,,-27267000.0,-14680000.0,,-17983000.0,289453000.0,418312000.0,,,28401000.0,,22715000.0,,,-43388000.0,31723000.0,,-191295000.0,66186000.0,117370000.0
2012-03-31,2279479000.0,968353000.0,,334227000.0,278873000.0,1581453000.0,698026000.0,,668202000.0,160064000.0,508138000.0,3.05,2.99,167070000.0,170146000.0,763913000.0,1605825000.0,638375000.0,650476000.0,203382000.0,,125356000.0,3987327000.0,,270171000.0,327887000.0,62897000.0,284922000.0,4933204000.0,139371000.0,491933000.0,,872355000.0,,,41801000.0,78670000.0,1774439000.0,2075218000.0,-7957000.0,3158765000.0,4933204000.0,68851000.0,61056000.0,,52290000.0,86535000.0,,-19629000.0,-3497000.0,,160874000.0,668311000.0,1114703000.0,,,44872000.0,,41324000.0,,,-329780000.0,123738000.0,,-278091000.0,52584000.0,17369000.0
2012-06-30,3171944000.0,1330016000.0,,452937000.0,372666000.0,2155619000.0,1016325000.0,,974094000.0,218079000.0,756015000.0,4.53,4.44,166795000.0,170147000.0,751294000.0,1783150000.0,701280000.0,650802000.0,297466000.0,,92847000.0,4164043000.0,,277686000.0,327716000.0,55636000.0,275227000.0,5100308000.0,139183000.0,513411000.0,,862907000.0,,,50839000.0,89235000.0,1784713000.0,2247258000.0,-21143000.0,3315595000.0,5100308000.0,92133000.0,78835000.0,194344000.0,113922000.0,93145000.0,,-58041000.0,-3732000.0,,16860000.0,941617000.0,1522424000.0,,,55906000.0,0.0,57596000.0,,,-528891000.0,163569000.0,0.0,-364103000.0,39965000.0,20018000.0
2012-09-30,720709000.0,317225000.0,,119742000.0,97185000.0,534152000.0,186557000.0,,176542000.0,41175000.0,135367000.0,0.81,0.8,166531000.0,169824000.0,709942000.0,1928135000.0,537460000.0,689713000.0,168241000.0,,107466000.0,4140957000.0,,288876000.0,326848000.0,48081000.0,260714000.0,5065476000.0,116247000.0,471435000.0,,787101000.0,,,52855000.0,90425000.0,1713164000.0,2256958000.0,-13111000.0,3352312000.0,5065476000.0,24016000.0,18984000.0,,-166855000.0,39289000.0,,-19676000.0,-23104000.0,,-45812000.0,245393000.0,410031000.0,,,11168000.0,,20272000.0,,,-167121000.0,23250000.0,7026000.0,-123631000.0,-41352000.0,27909000.0
2012-12-31,1393720000.0,621140000.0,,241350000.0,191426000.0,1053916000.0,339804000.0,,321416000.0,79419000.0,241997000.0,1.45,1.43,166632000.0,169702000.0,767313000.0,1810940000.0,606115000.0,662735000.0,168369000.0,,120828000.0,4136300000.0,,292394000.0,326779000.0,43514000.0,269776000.0,5068763000.0,103575000.0,468130000.0,,781737000.0,,,54910000.0,92134000.0,1707627000.0,2252772000.0,-15058000.0,3361136000.0,5068763000.0,45941000.0,33942000.0,,-89583000.0,10467000.0,,-615000.0,-35418000.0,,-38631000.0,322836000.0,751527000.0,,,19912000.0,,37363000.0,,,-69402000.0,46857000.0,13093000.0,-238233000.0,16019000.0,76204000.0
2013-03-31,2122749000.0,930648000.0,,360138000.0,289913000.0,1580699000.0,542050000.0,,513531000.0,105152000.0,408379000.0,2.46,2.41,166297000.0,169425000.0,934201000.0,1945302000.0,454224000.0,649822000.0,178928000.0,,101179000.0,4263656000.0,,298617000.0,326792000.0,39008000.0,266400000.0,5194473000.0,107753000.0,511688000.0,,820008000.0,,,59104000.0,89417000.0,1748090000.0,2329251000.0,-24827000.0,3446383000.0,5194473000.0,67109000.0,52478000.0,,-232347000.0,-671000.0,,-3367000.0,-30866000.0,,30403000.0,737619000.0,1178157000.0,,,33917000.0,,55663000.0,,,-225039000.0,95542000.0,13965000.0,-324308000.0,182907000.0,87245000.0
2013-06-30,2842781000.0,1237452000.0,,487832000.0,387812000.0,2113096000.0,729685000.0,,690621000.0,147472000.0,543149000.0,3.27,3.21,166089000.0,169260000.0,985390000.0,1933491000.0,524610000.0,634448000.0,301852000.0,,75039000.0,4351503000.0,,305281000.0,326635000.0,34515000.0,269423000.0,5287357000.0,115680000.0,527049000.0,,861532000.0,,,59494000.0,36616000.0,1805205000.0,2359233000.0,-36646000.0,3482152000.0,5287357000.0,87534000.0,70084000.0,-932000.0,-159245000.0,-14787000.0,,-6035000.0,-22812000.0,,56204000.0,913188000.0,1588093000.0,300209000.0,1117511000.0,40850000.0,,74573000.0,,,-241447000.0,126121000.0,14198000.0,-428510000.0,234096000.0,120342000.0
2013-09-30,658337000.0,277657000.0,,132273000.0,98496000.0,508426000.0,149911000.0,,139864000.0,28667000.0,111197000.0,0.67,0.66,165886000.0,168734000.0,904949000.0,2046926000.0,440674000.0,660276000.0,191449000.0,,110464000.0,4354738000.0,,319837000.0,326556000.0,30022000.0,252399000.0,5283552000.0,114716000.0,500100000.0,,835110000.0,,,58995000.0,36277000.0,1792389000.0,2344270000.0,-31891000.0,3491163000.0,5283552000.0,20637000.0,19219000.0,,-85771000.0,29805000.0,,9425000.0,-1058000.0,,-8415000.0,177248000.0,348031000.0,32058000.0,203541000.0,20851000.0,,21751000.0,,,-136668000.0,41047000.0,18605000.0,-123733000.0,-80441000.0,19052000.0
2013-12-31,1363466000.0,563471000.0,,266860000.0,195242000.0,1025573000.0,337893000.0,,316609000.0,66166000.0,250443000.0,1.51,1.49,166414000.0,168478000.0,793382000.0,2157279000.0,573077000.0,663040000.0,200614000.0,,120142000.0,4507534000.0,,325856000.0,326578000.0,26098000.0,254668000.0,5440734000.0,141545000.0,495222000.0,,927999000.0,,,62777000.0,35830000.0,1890527000.0,2386801000.0,-30248000.0,3550207000.0,5440734000.0,40448000.0,34089000.0,,50791000.0,32743000.0,,39993000.0,25939000.0,,-908000.0,292519000.0,796808000.0,50889000.0,520575000.0,32107000.0,,36216000.0,,,-262788000.0,78766000.0,19530000.0,-221319000.0,-192008000.0,67241000.0
2014-03-31,2195065000.0,906297000.0,,401021000.0,288691000.0,1596009000.0,599056000.0,,567855000.0,113831000.0,454024000.0,2.73,2.7,166253000.0,168355000.0,776223000.0,2250601000.0,557661000.0,680919000.0,182899000.0,,94026000.0,4542329000.0,,326049000.0,335246000.0,31988000.0,251239000.0,5486851000.0,120771000.0,547102000.0,,887647000.0,,,59765000.0,35502000.0,1846923000.0,2464901000.0,-31350000.0,3639928000.0,5486851000.0,61062000.0,46812000.0,,34193000.0,47481000.0,,-8470000.0,5121000.0,,41342000.0,530246000.0,1156107000.0,110924000.0,723225000.0,53046000.0,18000000.0,54436000.0,,,-395385000.0,92100000.0,20187000.0,-344360000.0,-209167000.0,76877000.0
