Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2011-09-30,6247600000.0,,,,,5178500000.0,1069100000.0,-451500000.0,617600000.0,250200000.0,438600000.0,,,,,273900000.0,,,101300000.0,,,68600000.0,1478200000.0,,17715900000.0,4940600000.0,1201300000.0,,30157400000.0,640400000.0,,92100000.0,4395000000.0,,2226300000.0,,915700000.0,21409900000.0,56500000.0,-32400000.0,3455500000.0,30157400000.0,807600000.0,,77600000.0,34900000.0,9300000.0,,,,,,1587700000.0,,,,297000000.0,,845000000.0,,-3000000.0,-1814900000.0,,,13500000.0,-228500000.0,177300000.0
2012-03-31,1857000000.0,,,,,1341000000.0,516000000.0,-115000000.0,401000000.0,96000000.0,21000000.0,,,,,3000000.0,,,177000000.0,,,27000000.0,3902000000.0,,17304000000.0,4829000000.0,1164000000.0,,30370000000.0,629000000.0,,108000000.0,3708000000.0,,2239000000.0,,988000000.0,22248000000.0,-202000000.0,-128000000.0,3116000000.0,30370000000.0,274000000.0,,9000000.0,-89000000.0,73000000.0,,,,,,560000000.0,,,,49000000.0,,354000000.0,,,-365000000.0,,,-119000000.0,83000000.0,6000000.0
2012-06-30,4024000000.0,,,,,3248000000.0,776000000.0,-329000000.0,447000000.0,105000000.0,-126000000.0,,,,,675000000.0,,,313000000.0,,,787000000.0,5331000000.0,,30613000000.0,23453000000.0,1142000000.0,,69575000000.0,947000000.0,,109000000.0,6132000000.0,,3627000000.0,,2592000000.0,46385000000.0,-556000000.0,-42000000.0,14220000000.0,69575000000.0,607000000.0,87000000.0,-79000000.0,95000000.0,91000000.0,,,,,,1013000000.0,,,,101000000.0,4970000000.0,817000000.0,,21000000.0,-5790000000.0,,,5043000000.0,264000000.0,189000000.0
2012-09-30,6894000000.0,,,,,5266000000.0,1628000000.0,-735000000.0,893000000.0,165000000.0,200000000.0,,,,,775000000.0,,,322000000.0,,,625000000.0,5122000000.0,,30881000000.0,23557000000.0,1192000000.0,,70053000000.0,1066000000.0,,98000000.0,6860000000.0,,3920000000.0,,2718000000.0,46155000000.0,-733000000.0,-56000000.0,14146000000.0,70053000000.0,1010000000.0,87000000.0,20000000.0,25000000.0,100000000.0,,,,,,1927000000.0,,,,158000000.0,4970000000.0,1399000000.0,,0.0,-6365000000.0,,,4789000000.0,364000000.0,175000000.0
2012-12-31,9973000000.0,,,,,7380000000.0,2593000000.0,-1250000000.0,1343000000.0,139000000.0,315000000.0,,,,,714000000.0,,,374000000.0,,,821000000.0,3674000000.0,,30996000000.0,23572000000.0,1171000000.0,,68185000000.0,1200000000.0,,,5209000000.0,,4033000000.0,,2711000000.0,44086000000.0,-943000000.0,-119000000.0,24099000000.0,68185000000.0,1419000000.0,87000000.0,47000000.0,231000000.0,92000000.0,,,,,,2795000000.0,,,,192000000.0,83000000.0,2022000000.0,,38000000.0,-5084000000.0,,,2584000000.0,303000000.0,182000000.0
2013-03-31,3060000000.0,,,,,2040000000.0,1020000000.0,-83000000.0,937000000.0,279000000.0,292000000.0,,,,,1106000000.0,,1290000000.0,389000000.0,,,308000000.0,3686000000.0,,31201000000.0,23569000000.0,1151000000.0,,68308000000.0,1111000000.0,,,5582000000.0,,4219000000.0,,2569000000.0,44000000000.0,-1035000000.0,-157000000.0,13675000000.0,68308000000.0,412000000.0,,172000000.0,-7000000.0,13000000.0,,,,,,767000000.0,,,,40000000.0,,598000000.0,,12000000.0,-116000000.0,,,-253000000.0,392000000.0,-7000000.0
2013-06-30,6442000000.0,,,,,4647000000.0,1795000000.0,231000000.0,1943000000.0,504000000.0,569000000.0,,,,,1017000000.0,,1488000000.0,428000000.0,,,382000000.0,3772000000.0,,34599000000.0,24493000000.0,2485000000.0,,74120000000.0,1326000000.0,,,7333000000.0,,4113000000.0,,2395000000.0,45581000000.0,-1153000000.0,-148000000.0,13654000000.0,74120000000.0,854000000.0,,378000000.0,-7000000.0,50000000.0,,,,,,1717000000.0,,,,93000000.0,,1345000000.0,,-22000000.0,-1100000000.0,,,-294000000.0,303000000.0,71000000.0
2013-09-30,10198000000.0,,,,,7368000000.0,2830000000.0,-319000000.0,2665000000.0,675000000.0,855000000.0,,,,,816000000.0,,1420000000.0,435000000.0,,,492000000.0,3591000000.0,,35275000000.0,24494000000.0,2474000000.0,,74575000000.0,1427000000.0,,,6415000000.0,,4314000000.0,,2506000000.0,46273000000.0,-1284000000.0,-97000000.0,13265000000.0,74575000000.0,1327000000.0,,474000000.0,-126000000.0,57000000.0,,,,,,2777000000.0,,,,171000000.0,,2270000000.0,,-4000000.0,-2038000000.0,,,-625000000.0,102000000.0,82000000.0
2013-12-31,14070000000.0,5253000000.0,,,,10080000000.0,3990000000.0,-552000000.0,3438000000.0,742000000.0,1193000000.0,,,,,598000000.0,,,430000000.0,567000000.0,,552000000.0,3868000000.0,,35847000000.0,24504000000.0,2438000000.0,2577000000.0,75185000000.0,1676000000.0,,,6075000000.0,,4651000000.0,,,46900000000.0,-1372000000.0,-24000000.0,13093000000.0,75185000000.0,1806000000.0,0.0,640000000.0,131000000.0,53000000.0,,,,,,4064000000.0,,,,217000000.0,,3369000000.0,,-41000000.0,-3064000000.0,,,-1095000000.0,-116000000.0,67000000.0
2014-03-31,4047000000.0,,,,,2900000000.0,1147000000.0,-346000000.0,801000000.0,200000000.0,287000000.0,,,,,513000000.0,,,417000000.0,448000000.0,,446000000.0,3662000000.0,,36952000000.0,24563000000.0,2403000000.0,2512000000.0,76054000000.0,1575000000.0,,,6068000000.0,,4599000000.0,,,47620000000.0,-1510000000.0,-62000000.0,12800000000.0,76054000000.0,496000000.0,,111000000.0,-178000000.0,-10000000.0,,,,,,1118000000.0,,,,36000000.0,,845000000.0,,9000000.0,-1819000000.0,,,626000000.0,-85000000.0,-2000000.0
