Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2011-02-28,8975554000.0,7674326000.0,1301228000.0,,905091000.0,,,,613490000.0,232612000.0,380878000.0,1.7,1.67,223449000.0,227601000.0,41121000.0,,119597000.0,1049477000.0,5191000.0,,33660000.0,1410098000.0,,920045000.0,,,96913000.0,6839909000.0,269763000.0,103389000.0,,508217000.0,,,,130570000.0,4548279000.0,1383105000.0,-25057000.0,,6839909000.0,59421000.0,43606000.0,19393000.0,40538000.0,206344000.0,,6790000.0,,,1385000.0,-17198000.0,,,,,,76580000.0,,,-72212000.0,,8911000.0,112253000.0,22843000.0,
2011-05-31,2679417000.0,2296322000.0,383095000.0,,248205000.0,,,,203863000.0,77575000.0,126288000.0,0.56,0.55,225570.0,230278.0,156003000.0,,85058000.0,1116341000.0,4268000.0,,9187000.0,1540953000.0,,949623000.0,,,99250000.0,7160031000.0,288073000.0,107596000.0,,576829000.0,,,,123529000.0,4729605000.0,1509393000.0,-28007000.0,,7160031000.0,15404000.0,15010000.0,8838000.0,-34539000.0,66864000.0,,2948000.0,,,-10377000.0,22092000.0,,,,,,31046000.0,,,-39479000.0,,6015000.0,132269000.0,114882000.0,
2011-08-31,5267236000.0,4529866000.0,737370000.0,,484640000.0,,,,384852000.0,146669000.0,238183000.0,1.05,1.03,226300000.0,230681000.0,181913000.0,,64849000.0,1061309000.0,11042000.0,,21762000.0,1495819000.0,,976901000.0,,,98730000.0,7358975000.0,243473000.0,107653000.0,,490290000.0,,,,119495000.0,4806753000.0,1621288000.0,-33416000.0,,7358975000.0,31004000.0,26303000.0,4408000.0,-54748000.0,11832000.0,,1797000.0,,,-14907000.0,-81641000.0,2164000.0,,,,,80225000.0,,,-74137000.0,,7312000.0,296570000.0,140792000.0,
2011-11-30,7527750000.0,6487161000.0,1040589000.0,,716944000.0,,,119000.0,517518000.0,196541000.0,320977000.0,1.42,1.39,226446000.0,230632000.0,383411000.0,,54522000.0,1013183000.0,13085000.0,,9806000.0,1648399000.0,,988300000.0,,,101193000.0,7633401000.0,246393000.0,123074000.0,,531316000.0,,,,119474000.0,4996549000.0,1704082000.0,-39257000.0,,7633401000.0,48021000.0,37148000.0,-3858000.0,-65075000.0,-36294000.0,,5075000.0,,,-17476000.0,-2427000.0,2252000.0,,,,,105990000.0,,,-118535000.0,,7459000.0,463252000.0,342290000.0,
2012-02-29,10003599000.0,8624838000.0,1378761000.0,,940786000.0,,,464000.0,666910000.0,253115000.0,413795000.0,1.83,1.79,226282000.0,230721000.0,442658000.0,,86434000.0,1092592000.0,143072000.0,,17512000.0,1853448000.0,,1278722000.0,10100000.0,,106392000.0,8331543000.0,324827000.0,128973000.0,,646313000.0,,,,148800000.0,5658431000.0,1744519000.0,-62459000.0,,8331543000.0,82812000.0,48089000.0,-872000.0,-33163000.0,43115000.0,,6986000.0,,,-11652000.0,-62164000.0,2638000.0,,,,,172616000.0,,,-219402000.0,,9717000.0,683103000.0,401537000.0,
2012-05-31,2774420000.0,2392505000.0,381915000.0,,253603000.0,,,285000.0,195633000.0,74887000.0,120746000.0,0.53,0.52,227773000.0,231802000.0,456413000.0,,65705000.0,1210196000.0,6119000.0,,10258000.0,1931007000.0,,1305462000.0,,,98948000.0,8598163000.0,293924000.0,108733000.0,,618516000.0,,,,136730000.0,5777815000.0,1865265000.0,-60795000.0,,8598163000.0,22982000.0,15592000.0,7511000.0,-20729000.0,117604000.0,,-2225000.0,,,-15178000.0,-115520000.0,1096000.0,,,,,47636000.0,,,-20419000.0,,9513000.0,149694000.0,13755000.0,
2012-08-31,5532424000.0,4782516000.0,749908000.0,,508277000.0,,,544000.0,376735000.0,144353000.0,232382000.0,1.02,1.0,228366000.0,231749000.0,458567000.0,,70426000.0,1198013000.0,7705000.0,,22106000.0,1961548000.0,,1347313000.0,,,103593000.0,8871440000.0,221430000.0,116167000.0,,525839000.0,,,,140684000.0,5921853000.0,1976901000.0,-53411000.0,,8871440000.0,46442000.0,30206000.0,-76000.0,-16008000.0,105421000.0,,-971000.0,,,-14431000.0,-285932000.0,1227000.0,,,,,103918000.0,,,-102507000.0,,9830000.0,404348000.0,15909000.0,
2014-02-28,12574299000.0,10925598000.0,1648701000.0,,1155215000.0,,,-1497000.0,797322000.0,304736000.0,492586000.0,2.2,2.16,223589000.0,227584000.0,627901000.0,,79923000.0,1641424000.0,160065000.0,,26811000.0,2643224000.0,,1652977000.0,10100000.0,,110909000.0,11707157000.0,427492000.0,202588000.0,,875497000.0,,,,174232000.0,8390160000.0,2214216000.0,-46271000.0,,11707157000.0,,,-17185000.0,,,,,,,,,,,,,,,,,,,,,,
2014-05-31,3750196000.0,3248465000.0,501731000.0,,313446000.0,,,-277000.0,275022000.0,105369000.0,169653000.0,0.77,0.76,220268000.0,223632000.0,532191000.0,,97810000.0,1681800000.0,8080000.0,,26202000.0,2636736000.0,,1696940000.0,,,116714000.0,12148960000.0,433115000.0,159298000.0,,962158000.0,,,,168665000.0,8819588000.0,2229709000.0,-45776000.0,,12148960000.0,27343000.0,15388000.0,771000.0,17887000.0,40376000.0,,-3467000.0,,,-30252000.0,-209080000.0,,,,,,53709000.0,,,-94119000.0,,4306000.0,207489000.0,-95710000.0,
2014-08-31,7349390000.0,6384320000.0,965070000.0,,611084000.0,,,-560000.0,525663000.0,201492000.0,324171000.0,1.48,1.46,219224000.0,222351000.0,354600000.0,,108859000.0,1708955000.0,8275000.0,,38685000.0,2516442000.0,,1753992000.0,,,128036000.0,12399913000.0,418269000.0,205480000.0,,906927000.0,,,,176026000.0,9041926000.0,2204785000.0,-44467000.0,,12399913000.0,55766000.0,37778000.0,-6530000.0,28936000.0,67531000.0,,313000.0,,,-46226000.0,-436619000.0,,,,,,135293000.0,,,-183793000.0,,29790000.0,347111000.0,-273301000.0,
