Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,,,19902000000.0,,11358000000.0,,8231000000.0,,,2040000000.0,6824000000.0,2.95,2.93,2314000000.0,2329000000.0,7021000000.0,,3758000000.0,2354000000.0,,,,17551000000.0,,9561000000.0,4224000000.0,,1976000000.0,48671000000.0,,,,13721000000.0,,1580000000.0,,2965000000.0,,41537000000.0,-757000000.0,24799000000.0,48671000000.0,1236000000.0,241000000.0,353000000.0,,,,,,,,8186000000.0,,,,,,1993000000.0,,48000000.0,-4149000000.0,662000000.0,,-2293000000.0,2320000000.0,
2010-04-02,,,4984000000.0,,2705000000.0,,2183000000.0,,,553000000.0,1614000000.0,0.7,0.69,2304000000.0,2327000000.0,5684000000.0,,3705000000.0,2327000000.0,,,,17208000000.0,,9036000000.0,3905000000.0,,2095000000.0,47403000000.0,,,,13583000000.0,,1481000000.0,,2763000000.0,,42136000000.0,-1445000000.0,24872000000.0,47403000000.0,295000000.0,53000000.0,34000000.0,,,,,,,,1326000000.0,,,,,,393000000.0,,84000000.0,-1368000000.0,123000000.0,,-1043000000.0,-1337000000.0,
2010-07-02,,,10703000000.0,,5583000000.0,,4946000000.0,,,1294000000.0,3983000000.0,1.73,1.71,2306000000.0,2326000000.0,7735000000.0,67000000.0,4001000000.0,2363000000.0,,,,18574000000.0,,8931000000.0,3810000000.0,,2092000000.0,48444000000.0,,,,13934000000.0,,1556000000.0,,2719000000.0,,43490000000.0,-2298000000.0,25518000000.0,48444000000.0,611000000.0,114000000.0,33000000.0,,,,,,,,4310000000.0,,,,,,893000000.0,,136000000.0,-1338000000.0,207000000.0,,-1875000000.0,714000000.0,
2010-10-01,,,16211000000.0,,8647000000.0,,7290000000.0,,,1927000000.0,6038000000.0,2.62,2.59,2310000000.0,2336000000.0,10509000000.0,112000000.0,3720000000.0,2259000000.0,,,,23105000000.0,,9145000000.0,3882000000.0,,2100000000.0,54089000000.0,,,,17271000000.0,,1384000000.0,,2777000000.0,,44541000000.0,-1381000000.0,27906000000.0,54089000000.0,934000000.0,185000000.0,46000000.0,,,,,,,,7224000000.0,,,,,,1335000000.0,,149000000.0,-2713000000.0,535000000.0,,-885000000.0,3488000000.0,
2010-12-31,,,22426000000.0,,13158000000.0,,8449000000.0,,14243000000.0,2384000000.0,11809000000.0,5.12,5.06,2308000000.0,2333000000.0,8517000000.0,138000000.0,4430000000.0,2650000000.0,-3703000000.0,,,21579000000.0,,14727000000.0,11665000000.0,,2121000000.0,72921000000.0,,,,18508000000.0,,4261000000.0,,4794000000.0,,49278000000.0,-1450000000.0,31003000000.0,72921000000.0,1443000000.0,380000000.0,617000000.0,41000000.0,-182000000.0,,,,,-13000000.0,9532000000.0,,,,,,2215000000.0,,106000000.0,-4405000000.0,1666000000.0,,-3465000000.0,1496000000.0,
2011-04-01,,,6568000000.0,,4080000000.0,,2279000000.0,,2511000000.0,598000000.0,1900000000.0,0.83,0.82,2292000000.0,2331000000.0,9075000000.0,153000000.0,4533000000.0,3033000000.0,,,,23542000000.0,,14834000000.0,11949000000.0,,2740000000.0,76058000000.0,,,,21923000000.0,,4421000000.0,,4437000000.0,,50097000000.0,-535000000.0,32279000000.0,76058000000.0,486000000.0,76000000.0,-26000000.0,,,,,,,,458000000.0,,,,,,589000000.0,,328000000.0,-1047000000.0,440000000.0,,986000000.0,558000000.0,
2011-07-01,,,14316000000.0,,8502000000.0,,5453000000.0,,6305000000.0,1588000000.0,4697000000.0,2.05,2.02,2291000000.0,2330000000.0,10166000000.0,146000000.0,5630000000.0,3237000000.0,,,,26539000000.0,,14933000000.0,12004000000.0,,2701000000.0,80090000000.0,,,,24194000000.0,,4706000000.0,,4393000000.0,,51816000000.0,287000000.0,35142000000.0,80090000000.0,957000000.0,181000000.0,178000000.0,,,,,,,,3642000000.0,,,,,,1190000000.0,,319000000.0,-2328000000.0,802000000.0,,30000000.0,1649000000.0,
2011-12-31,,,28326000000.0,,17440000000.0,,10154000000.0,,11439000000.0,2805000000.0,8572000000.0,3.75,3.69,2284000000.0,2323000000.0,12803000000.0,144000000.0,4920000000.0,3092000000.0,-4243000000.0,,,25497000000.0,,14939000000.0,12219000000.0,,3495000000.0,79974000000.0,,,,24283000000.0,,4694000000.0,,5420000000.0,,53550000000.0,-2703000000.0,31635000000.0,79974000000.0,1954000000.0,354000000.0,1028000000.0,562000000.0,447000000.0,,,,,-465000000.0,9474000000.0,,,37000000.0,,,2920000000.0,,93000000.0,-2524000000.0,1569000000.0,,-2234000000.0,4286000000.0,
2012-03-30,,,6789000000.0,,4181000000.0,,2509000000.0,,2725000000.0,658000000.0,2054000000.0,0.91,0.89,2263000000.0,2301000000.0,10664000000.0,2639000000.0,4814000000.0,3442000000.0,,,,28023000000.0,,15300000000.0,12344000000.0,,3770000000.0,83897000000.0,,,,24846000000.0,,4819000000.0,,4663000000.0,,54520000000.0,-1775000000.0,32818000000.0,83897000000.0,447000000.0,77000000.0,-103000000.0,,,,,,,,493000000.0,,,1231000000.0,,,592000000.0,,101000000.0,-4883000000.0,436000000.0,,1922000000.0,-2139000000.0,
2012-06-29,,,14650000000.0,,8678000000.0,,5803000000.0,,6348000000.0,1481000000.0,4842000000.0,2.14,2.11,2259000000.0,2298000000.0,9337000000.0,2822000000.0,5397000000.0,3587000000.0,,,,29325000000.0,,15174000000.0,12357000000.0,,3663000000.0,85149000000.0,,,,26482000000.0,,4990000000.0,,4658000000.0,,56159000000.0,-3369000000.0,32269000000.0,85149000000.0,955000000.0,166000000.0,53000000.0,,,,,,,,4178000000.0,,,2842000000.0,,,1305000000.0,,-16000000.0,-8560000000.0,995000000.0,,1148000000.0,-3466000000.0,
