Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-01-02,,,,,3390000000.0,,2001000000.0,,1684000000.0,476000000.0,1212000000.0,3.17,3.16,,,334000000.0,,1093000000.0,910000000.0,,,221000000.0,2558000000.0,,3010000000.0,3643000000.0,1458000000.0,531000000.0,11200000000.0,1077000000.0,1166000000.0,,2288000000.0,,425000000.0,,947000000.0,,5481000000.0,-1966000000.0,2272000000.0,11200000000.0,384000000.0,,,75000000.0,13000000.0,,,,,,1643000000.0,,,,,0.0,377000000.0,,-7000000.0,-370000000.0,131000000.0,,-1182000000.0,79000000.0,
2010-04-03,,,,,788000000.0,,637000000.0,,573000000.0,156000000.0,418000000.0,1.1,1.09,380000000.0,384000000.0,387000000.0,,1284000000.0,,127000000.0,,,2754000000.0,,2977000000.0,3645000000.0,1458000000.0,380000000.0,11389000000.0,1028000000.0,352000000.0,,3229000000.0,,439000000.0,,951000000.0,,5750000000.0,-2011000000.0,2439000000.0,11389000000.0,87000000.0,,,203000000.0,-93000000.0,,,,,,250000000.0,,,,,,60000000.0,,-1000000.0,-59000000.0,74000000.0,,-134000000.0,53000000.0,
2010-10-02,,,,,2438000000.0,,1661000000.0,,1482000000.0,427000000.0,1058000000.0,2.8,2.78,378000000.0,381000000.0,559000000.0,,1211000000.0,,148000000.0,,,3005000000.0,,3015000000.0,3644000000.0,1457000000.0,395000000.0,11724000000.0,1145000000.0,344000000.0,,3779000000.0,,431000000.0,,926000000.0,,6087000000.0,-1931000000.0,2218000000.0,11724000000.0,265000000.0,24000000.0,,-125000000.0,-43000000.0,,,68000000.0,,,1079000000.0,,,,,,252000000.0,,-2000000.0,-250000000.0,178000000.0,,-611000000.0,225000000.0,
2011-01-01,,,5289000000.0,187000000.0,3299000000.0,,1990000000.0,,1742000000.0,502000000.0,1247000000.0,3.32,3.3,376000000.0,378000000.0,444000000.0,,1190000000.0,1056000000.0,-539000000.0,,225000000.0,2915000000.0,,3128000000.0,3628000000.0,1456000000.0,720000000.0,11847000000.0,1149000000.0,1039000000.0,,3184000000.0,,697000000.0,,639000000.0,,6122000000.0,-1914000000.0,2158000000.0,11847000000.0,392000000.0,29000000.0,266000000.0,-59000000.0,146000000.0,,,72000000.0,,,1008000000.0,,,,,,474000000.0,,-9000000.0,-465000000.0,204000000.0,,-439000000.0,110000000.0,
2011-04-02,,,,,849000000.0,,572000000.0,,505000000.0,140000000.0,366000000.0,1.0,1.0,365000000.0,368000000.0,404000000.0,,1367000000.0,,134000000.0,,,3051000000.0,,3183000000.0,3630000000.0,1456000000.0,405000000.0,12188000000.0,1199000000.0,408000000.0,,3418000000.0,,749000000.0,,636000000.0,,6325000000.0,-1789000000.0,2309000000.0,12188000000.0,89000000.0,10000000.0,,301000000.0,-81000000.0,,,50000000.0,,,310000000.0,,,,,,103000000.0,,-4000000.0,-99000000.0,122000000.0,,-266000000.0,-40000000.0,
2011-07-02,,,,,1749000000.0,,1115000000.0,,994000000.0,287000000.0,709000000.0,1.95,1.93,364000000.0,367000000.0,457000000.0,,1364000000.0,,161000000.0,,,3136000000.0,,3246000000.0,3632000000.0,1455000000.0,413000000.0,12356000000.0,1208000000.0,412000000.0,,3026000000.0,,768000000.0,,416000000.0,,6511000000.0,-1765000000.0,2474000000.0,12356000000.0,175000000.0,22000000.0,,285000000.0,-39000000.0,,,59000000.0,,,646000000.0,,,,,,243000000.0,,-5000000.0,-238000000.0,249000000.0,,-417000000.0,13000000.0,
2011-10-01,,,,,2635000000.0,,1579000000.0,,1391000000.0,394000000.0,999000000.0,2.75,2.73,363000000.0,365000000.0,582000000.0,,1302000000.0,,159000000.0,,,3178000000.0,,3193000000.0,3622000000.0,1455000000.0,335000000.0,12263000000.0,1200000000.0,461000000.0,,3101000000.0,,790000000.0,,401000000.0,,6644000000.0,-1926000000.0,2283000000.0,12263000000.0,270000000.0,30000000.0,,224000000.0,-43000000.0,,,51000000.0,,,1269000000.0,,,,,,392000000.0,,-11000000.0,-381000000.0,265000000.0,,-730000000.0,138000000.0,
2011-12-31,,,,,,,,,,,,,,,,460000000.0,,1188000000.0,1132000000.0,-419000000.0,,247000000.0,3027000000.0,,3281000000.0,3623000000.0,1454000000.0,366000000.0,11901000000.0,1189000000.0,1129000000.0,,3313000000.0,,637000000.0,,404000000.0,,6721000000.0,-2458000000.0,1760000000.0,11901000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,,,,,836000000.0,,535000000.0,,515000000.0,157000000.0,358000000.0,1.0,1.0,357000000.0,359000000.0,404000000.0,,1304000000.0,,197000000.0,,,3192000000.0,,3295000000.0,3628000000.0,1454000000.0,375000000.0,12134000000.0,1186000000.0,,,4011000000.0,,648000000.0,,419000000.0,,6917000000.0,-2348000000.0,2062000000.0,12134000000.0,95000000.0,12000000.0,,168000000.0,14000000.0,,,1000000.0,,,340000000.0,,,,,,63000000.0,,-6000000.0,-57000000.0,41000000.0,,-355000000.0,-56000000.0,
2012-06-30,,,,,1765000000.0,,1020000000.0,,918000000.0,259000000.0,659000000.0,1.85,1.84,357000000.0,359000000.0,230000000.0,,1420000000.0,,176000000.0,,,3211000000.0,,3561000000.0,5044000000.0,2193000000.0,436000000.0,14640000000.0,1226000000.0,,,4606000000.0,,644000000.0,,431000000.0,,7061000000.0,-2438000000.0,2151000000.0,14640000000.0,194000000.0,22000000.0,,69000000.0,2000000.0,,,32000000.0,,,680000000.0,,,,,2674000000.0,155000000.0,,-6000000.0,-2823000000.0,65000000.0,,1920000000.0,-230000000.0,
