Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-07-31,5479000000.0,4740000000.0,,,,259000000.0,480000000.0,,442000000.0,159000000.0,314000000.0,0.82,0.82,,,604000000.0,,,,,,320000000.0,2956000000.0,,382000000.0,1548000000.0,130000000.0,71000000.0,5174000000.0,,,,1619000000.0,,,,173000000.0,,241000000.0,-38000000.0,2280000000.0,5174000000.0,51000000.0,51000000.0,,16000000.0,,,2000000.0,,,,249000000.0,,,,,140000000.0,35000000.0,,-1000000.0,-174000000.0,,13000000.0,-411000000.0,-257000000.0,
2010-10-31,8348000000.0,7221000000.0,,,,389000000.0,738000000.0,,688000000.0,251000000.0,486000000.0,1.29,1.28,,,644000000.0,,,,,,324000000.0,3171000000.0,,361000000.0,1688000000.0,216000000.0,66000000.0,5538000000.0,,,,1807000000.0,,,,145000000.0,,410000000.0,-37000000.0,2485000000.0,5538000000.0,80000000.0,78000000.0,,-142000000.0,,,4000000.0,,,,564000000.0,,,,,358000000.0,53000000.0,,-6000000.0,-405000000.0,,13000000.0,-407000000.0,-217000000.0,
2011-01-31,11117000000.0,9632000000.0,,55000000.0,,527000000.0,958000000.0,,883000000.0,314000000.0,618000000.0,1.64,1.63,364000000.0,366000000.0,1367000000.0,,,116000000.0,96000000.0,,387000000.0,3849000000.0,,362000000.0,1678000000.0,211000000.0,71000000.0,6223000000.0,464000000.0,634000000.0,,1748000000.0,,,,135000000.0,,434000000.0,-33000000.0,2491000000.0,6223000000.0,111000000.0,102000000.0,,8000000.0,,,,,,,737000000.0,,,,,382000000.0,74000000.0,,-10000000.0,-446000000.0,,11000000.0,187000000.0,506000000.0,
2011-04-30,2688000000.0,2357000000.0,,,,101000000.0,230000000.0,,207000000.0,77000000.0,131000000.0,0.37,0.36,347000000.0,348000000.0,1282000000.0,,,,,,360000000.0,3845000000.0,,351000000.0,1659000000.0,200000000.0,84000000.0,6183000000.0,,,,1805000000.0,,,,135000000.0,,369000000.0,-7000000.0,2395000000.0,6183000000.0,28000000.0,24000000.0,,81000000.0,,,12000000.0,,,,154000000.0,,,,,,9000000.0,,-2000000.0,8000000.0,,,-242000000.0,-85000000.0,
2011-07-31,5284000000.0,4615000000.0,,,,230000000.0,439000000.0,,389000000.0,147000000.0,309000000.0,0.87,0.87,342000000.0,343000000.0,1336000000.0,,,,,,307000000.0,3767000000.0,,354000000.0,1674000000.0,196000000.0,91000000.0,6113000000.0,,,,2248000000.0,,,,143000000.0,,437000000.0,-3000000.0,2423000000.0,6113000000.0,55000000.0,43000000.0,,48000000.0,,,18000000.0,,,,210000000.0,,,,,26000000.0,30000000.0,,,19000000.0,,,-407000000.0,-31000000.0,
2011-10-31,8095000000.0,7110000000.0,,,,563000000.0,422000000.0,,343000000.0,191000000.0,220000000.0,0.63,0.63,338000000.0,339000000.0,1463000000.0,,,,,,309000000.0,3991000000.0,,349000000.0,1827000000.0,186000000.0,76000000.0,6463000000.0,,,,2698000000.0,,,,140000000.0,,326000000.0,-3000000.0,2326000000.0,6463000000.0,86000000.0,64000000.0,,93000000.0,,,21000000.0,,,,633000000.0,,,,,216000000.0,48000000.0,,1000000.0,-185000000.0,,,-454000000.0,96000000.0,
2012-01-31,10587000000.0,9606000000.0,,93000000.0,,670000000.0,311000000.0,,207000000.0,215000000.0,-161000000.0,-0.49,-0.49,336000000.0,336000000.0,1592000000.0,,,168000000.0,119000000.0,,439000000.0,4205000000.0,,348000000.0,1826000000.0,176000000.0,75000000.0,6667000000.0,487000000.0,1266000000.0,,3025000000.0,,,,162000000.0,,164000000.0,-11000000.0,2181000000.0,6667000000.0,114000000.0,84000000.0,,48000000.0,,,22000000.0,,,,772000000.0,,,,,218000000.0,65000000.0,,1000000.0,-203000000.0,,,-449000000.0,225000000.0,
2012-04-30,2782000000.0,2448000000.0,,,,126000000.0,208000000.0,,183000000.0,66000000.0,117000000.0,0.35,0.35,330000000.0,330000000.0,1167000000.0,,,,,,453000000.0,3791000000.0,,339000000.0,1826000000.0,166000000.0,75000000.0,6220000000.0,,,,2510000000.0,,,,146000000.0,,229000000.0,-1000000.0,2266000000.0,6220000000.0,27000000.0,24000000.0,,-3000000.0,,,,,,,-361000000.0,,,,,,8000000.0,,-1000000.0,-7000000.0,,,-57000000.0,-425000000.0,
2012-07-31,5630000000.0,4952000000.0,,,,279000000.0,399000000.0,,356000000.0,129000000.0,227000000.0,0.67,0.67,333000000.0,333000000.0,756000000.0,,,,,,430000000.0,3178000000.0,,324000000.0,1826000000.0,156000000.0,74000000.0,5580000000.0,,,,1781000000.0,,,,143000000.0,,296000000.0,-1000000.0,2359000000.0,5580000000.0,55000000.0,46000000.0,,-182000000.0,,,-1000000.0,,,,-161000000.0,,,,,,33000000.0,,,-30000000.0,,,-645000000.0,-836000000.0,
2012-10-31,8462000000.0,7429000000.0,,,,429000000.0,589000000.0,,530000000.0,193000000.0,339000000.0,1.0,1.0,334000000.0,334000000.0,531000000.0,,,,,,554000000.0,3062000000.0,,319000000.0,2195000000.0,214000000.0,76000000.0,5866000000.0,,,,1966000000.0,,,,148000000.0,,367000000.0,-1000000.0,2455000000.0,5866000000.0,85000000.0,67000000.0,,-271000000.0,,,1000000.0,,,,134000000.0,,,,,478000000.0,43000000.0,,,-517000000.0,,,-683000000.0,-1061000000.0,
2013-01-31,11173000000.0,9809000000.0,,64000000.0,,592000000.0,734000000.0,,658000000.0,135000000.0,525000000.0,1.54,1.54,333000000.0,333000000.0,736000000.0,,,192000000.0,7000000.0,,454000000.0,3079000000.0,,318000000.0,2195000000.0,190000000.0,79000000.0,5875000000.0,435000000.0,682000000.0,,1793000000.0,,25000000.0,,168000000.0,,510000000.0,-2000000.0,2618000000.0,5875000000.0,113000000.0,84000000.0,,-325000000.0,,,5000000.0,,,,345000000.0,,,,,483000000.0,48000000.0,,,-527000000.0,,,-722000000.0,-856000000.0,
2013-05-03,2707000000.0,2378000000.0,,,,154000000.0,142000000.0,,127000000.0,46000000.0,81000000.0,0.23,0.23,336000000.0,336000000.0,563000000.0,,,,,,393000000.0,3019000000.0,,315000000.0,2195000000.0,173000000.0,74000000.0,5790000000.0,,,,2017000000.0,,,,172000000.0,,182000000.0,-2000000.0,2304000000.0,5790000000.0,30000000.0,24000000.0,,174000000.0,,,-5000000.0,,,,-111000000.0,,,,,,19000000.0,,-2000000.0,8000000.0,,,-53000000.0,-173000000.0,
2013-08-02,5180000000.0,4594000000.0,,,266000000.0,,218000000.0,,190000000.0,64000000.0,123000000.0,0.36,0.36,337000000.0,341000000.0,462000000.0,,,,,,,2826000000.0,,280000000.0,2195000000.0,128000000.0,79000000.0,5521000000.0,,,,1669000000.0,,,,175000000.0,,182000000.0,-2000000.0,2345000000.0,5521000000.0,58000000.0,45000000.0,,114000000.0,,,,,,,106000000.0,,,,,,32000000.0,,-1000000.0,34000000.0,,,-399000000.0,-274000000.0,
2013-11-01,4486000000.0,3903000000.0,,,360000000.0,,69000000.0,,28000000.0,-12000000.0,120000000.0,1.39,1.39,84000000.0,84000000.0,814000000.0,,,,,,,2286000000.0,,473000000.0,1704000000.0,100000000.0,62000000.0,4635000000.0,,,,1240000000.0,,,,182000000.0,,150000000.0,-2000000.0,1883000000.0,4635000000.0,66000000.0,43000000.0,,139000000.0,,,,,,,78000000.0,,,,,1000000.0,31000000.0,,2000000.0,312000000.0,,,-419000000.0,79000000.0,
2014-01-31,5772000000.0,5006000000.0,,45000000.0,,442000000.0,164000000.0,,88000000.0,4000000.0,164000000.0,1.94,1.94,83000000.0,83000000.0,430000000.0,,,59000000.0,38000000.0,,256000000.0,1794000000.0,,483000000.0,1704000000.0,94000000.0,72000000.0,4162000000.0,218000000.0,395000000.0,,1009000000.0,,66000000.0,,227000000.0,,25000000.0,-6000000.0,1595000000.0,4162000000.0,81000000.0,55000000.0,,67000000.0,,,-19000000.0,,,,195000000.0,,,,,3000000.0,53000000.0,,-7000000.0,297000000.0,,,-894000000.0,-305000000.0,
2014-05-02,1320000000.0,1147000000.0,,,83000000.0,,89000000.0,,71000000.0,25000000.0,37000000.0,0.48,0.47,77000000.0,78000000.0,183000000.0,,,,,,,1571000000.0,,480000000.0,1704000000.0,88000000.0,112000000.0,3969000000.0,,,,1004000000.0,,,,230000000.0,,0.0,-6000000.0,1405000000.0,3969000000.0,19000000.0,11000000.0,,49000000.0,,,,,,,-8000000.0,,,,,,10000000.0,,0.0,-10000000.0,,,-233000000.0,-247000000.0,
2014-08-01,2618000000.0,2260000000.0,,,170000000.0,,-410000000.0,,-430000000.0,33000000.0,-438000000.0,-5.92,-5.92,75000000.0,75000000.0,358000000.0,,,,,,,1713000000.0,,372000000.0,1207000000.0,59000000.0,111000000.0,3481000000.0,,,,991000000.0,,,,204000000.0,,-463000000.0,-6000000.0,957000000.0,3481000000.0,34000000.0,23000000.0,,56000000.0,,,,,,,115000000.0,,,,,,22000000.0,,0.0,58000000.0,,,-256000000.0,-72000000.0,
2014-10-31,3894000000.0,3375000000.0,,,239000000.0,,-251000000.0,,-307000000.0,49000000.0,-367000000.0,-4.89,-4.89,75000000.0,75000000.0,418000000.0,,,,,,,1675000000.0,,360000000.0,1207000000.0,39000000.0,99000000.0,3398000000.0,,,,1001000000.0,,,,194000000.0,,-453000000.0,-6000000.0,976000000.0,3398000000.0,50000000.0,33000000.0,,-29000000.0,,,,,,,294000000.0,,,,,0.0,26000000.0,,0.0,54000000.0,,,-382000000.0,-12000000.0,
2015-01-30,5063000000.0,4392000000.0,,37000000.0,310000000.0,,-214000000.0,,-283000000.0,47000000.0,-323000000.0,-4.36,-4.36,74000000.0,74000000.0,443000000.0,,896000000.0,70000000.0,5000000.0,,273000000.0,1618000000.0,,308000000.0,1207000000.0,37000000.0,97000000.0,3281000000.0,244000000.0,327000000.0,,951000000.0,,21000000.0,,168000000.0,,-424000000.0,-11000000.0,998000000.0,3281000000.0,62000000.0,42000000.0,,-162000000.0,,,-2000000.0,,,,396000000.0,,,,,0.0,29000000.0,,0.0,51000000.0,,,-478000000.0,13000000.0,
2015-04-03,1246000000.0,1093000000.0,,,75000000.0,,38000000.0,,23000000.0,0.0,41000000.0,0.56,0.55,73000000.0,75000000.0,377000000.0,,,,,,,1651000000.0,,308000000.0,1207000000.0,35000000.0,95000000.0,3309000000.0,,,,987000000.0,,,,166000000.0,,-419000000.0,-12000000.0,1000000000.0,3309000000.0,12000000.0,6000000.0,,-17000000.0,,,,,,,-42000000.0,,,,,,3000000.0,,-1000000.0,-2000000.0,,,-57000000.0,-82000000.0,
2015-07-03,2503000000.0,2206000000.0,,,126000000.0,,102000000.0,,75000000.0,15000000.0,78000000.0,1.07,1.04,73000000.0,75000000.0,365000000.0,,,,,,,1692000000.0,,178000000.0,1207000000.0,32000000.0,88000000.0,3211000000.0,,,,996000000.0,,,,169000000.0,,-406000000.0,-11000000.0,919000000.0,3211000000.0,24000000.0,14000000.0,,-63000000.0,,,,,,,109000000.0,,,,,,8000000.0,,,-16000000.0,,,-206000000.0,-94000000.0,
