Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-01-01,2420700000.0,1590700000.0,,,,427800000.0,,,366000000.0,122000000.0,244000000.0,1.86,1.85,131300000.0,131600000.0,310200000.0,,,672200000.0,142700000.0,,66100000.0,1874600000.0,,521500000.0,1576800000.0,315400000.0,148700000.0,4529700000.0,284400000.0,,,1010700000.0,,,,189600000.0,,1436600000.0,-14700000.0,2013500000.0,4529700000.0,,21200000.0,1100000.0,,-72000000.0,,,,,,321400000.0,,,,,33700000.0,38500000.0,,,-76100000.0,,,-218700000.0,29000000.0,
2010-04-02,3750200000.0,2410700000.0,,,,672800000.0,,,612300000.0,202100000.0,410200000.0,3.13,3.12,131000000.0,131300000.0,405700000.0,,,647200000.0,144300000.0,,58100000.0,1911900000.0,,584300000.0,1576800000.0,306400000.0,154600000.0,4627700000.0,341500000.0,,,1013100000.0,,,,185300000.0,,1537300000.0,-12000000.0,2116900000.0,4627700000.0,,28800000.0,-600000.0,,-46900000.0,,,,,,635300000.0,,,,,40200000.0,129900000.0,,,-176400000.0,,,-336600000.0,124500000.0,
2010-07-02,5206100000.0,3334400000.0,1871700000.0,,,958900000.0,,-1900000.0,840300000.0,278700000.0,561600000.0,4.31,4.28,,130000000.0,455200000.0,,,615300000.0,145300000.0,,37500000.0,1995700000.0,,609700000.0,1576200000.0,297800000.0,147600000.0,4734700000.0,329400000.0,,,1042900000.0,,,,192700000.0,,1621400000.0,-20400000.0,2189600000.0,4734700000.0,,35300000.0,-10200000.0,,13900000.0,,,,,,802700000.0,,,,,52100000.0,189900000.0,,,-250100000.0,,,-380900000.0,174000000.0,
2010-10-01,1405400000.0,881100000.0,,,,255200000.0,,-400000.0,251500000.0,87600000.0,163900000.0,1.28,1.27,126800000.0,127700000.0,341400000.0,,,670800000.0,148500000.0,,63300000.0,1933300000.0,,672200000.0,1936200000.0,412900000.0,187900000.0,5206700000.0,390700000.0,,,1418300000.0,,,,188200000.0,,1715100000.0,-10900000.0,2293700000.0,5206700000.0,,16000000.0,,,20300000.0,,,,,,294900000.0,,,,,518000000.0,37100000.0,,,-569400000.0,,,159000000.0,-113800000.0,
2010-12-31,2843900000.0,1821600000.0,,,,510400000.0,,-1300000.0,473400000.0,158400000.0,315000000.0,2.46,2.44,126300000.0,127300000.0,740800000.0,,,651900000.0,153400000.0,,64900000.0,2370400000.0,,706900000.0,1935300000.0,396300000.0,198400000.0,5667400000.0,362700000.0,,,1069300000.0,,,,206700000.0,,1795900000.0,-3100000.0,2387900000.0,5667400000.0,,26100000.0,,,1500000.0,,,,,,389300000.0,,,,,518000000.0,101000000.0,,,-636200000.0,,,529500000.0,285600000.0,
2011-04-01,4257200000.0,2717900000.0,,,,796000000.0,,-1600000.0,679800000.0,225600000.0,454500000.0,3.57,3.54,125900000.0,126900000.0,885100000.0,,,693900000.0,156500000.0,,70700000.0,2633000000.0,,758800000.0,1963400000.0,416000000.0,214600000.0,6029300000.0,382600000.0,,,1310100000.0,,,,212600000.0,,1864800000.0,17600000.0,2484500000.0,6029300000.0,,36500000.0,,,44600000.0,,,,,,556800000.0,,,,,548400000.0,186100000.0,,,-754600000.0,,,622600000.0,429900000.0,
2011-07-01,5924600000.0,3810500000.0,,,,1143900000.0,,-1900000.0,880700000.0,293600000.0,588000000.0,4.63,4.6,,126300000.0,366900000.0,,,720800000.0,171000000.0,,64300000.0,2216800000.0,,872800000.0,2381400000.0,502400000.0,193700000.0,6172800000.0,450800000.0,,,1430500000.0,,,,222200000.0,,1889000000.0,18700000.0,2502000000.0,6172800000.0,,46100000.0,29600000.0,,64700000.0,,,,,,833100000.0,,,,,1082600000.0,311300000.0,,,-1417500000.0,,,492800000.0,-88300000.0,
2011-09-30,1460300000.0,966700000.0,,,,290900000.0,,700000.0,176300000.0,55200000.0,121600000.0,1.01,1.01,118800000.0,119400000.0,305400000.0,,,690500000.0,163900000.0,,85500000.0,2182200000.0,,906000000.0,2363300000.0,477700000.0,171800000.0,6131000000.0,409100000.0,,,1725700000.0,,23100000.0,,207500000.0,,1666400000.0,-18600000.0,2159500000.0,6131000000.0,,9300000.0,,,-32200000.0,,,,,,78700000.0,,,,,0.0,77400000.0,,,-81900000.0,,,-55800000.0,-61500000.0,
2011-12-30,2906700000.0,1900600000.0,,,,577300000.0,,3600000.0,377300000.0,123900000.0,254700000.0,2.17,2.16,116100000.0,116500000.0,387000000.0,,,701300000.0,154400000.0,,73500000.0,2227800000.0,,894400000.0,2358900000.0,472100000.0,182700000.0,6172200000.0,348100000.0,,,1661100000.0,,20900000.0,,238500000.0,,1754200000.0,-28900000.0,2243800000.0,6172200000.0,,16600000.0,,,-21500000.0,,,,,,278000000.0,,,,,14000000.0,111300000.0,0.0,,-136500000.0,,,-120300000.0,20100000.0,
2012-03-30,4372300000.0,2823300000.0,,,,864100000.0,,11700000.0,-202900000.0,183000000.0,-353200000.0,-3.15,-3.15,114900000.0,115500000.0,299000000.0,,,743000000.0,155700000.0,,73200000.0,2208600000.0,,701700000.0,1990600000.0,453000000.0,164500000.0,5648900000.0,346900000.0,,,1503900000.0,,0.0,,247700000.0,,1343600000.0,11500000.0,1893400000.0,5648900000.0,,26400000.0,,,18700000.0,,,,,,483200000.0,,,,,14000000.0,157400000.0,0.0,,-190300000.0,,,-362700000.0,-67900000.0,
