Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2017-09-30,,,,,,,-753465.0,,,,-753465.0,-30.14,-30.14,,,83342.0,,,,,,8984310.0,,,,,,,9067652.0,,622059.0,,,,,,,,-753465.0,-16116.0,-774997.0,9067652.0,,,,,,,119140.0,,,,-34798.0,,,,,,,,,,,,118140.0,,
2017-12-31,,,,,,,,,,,,,,,,84862.0,,,,,,9129562.0,,,,,,,9214424.0,,1644799.0,,,,,,,,-1882646.0,-42828.0,-1931845.0,9214424.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,,,,,,,-9397039.0,,,0.0,-9397039.0,,-375.88,,,104942.0,,,,,,8824609.0,,,,,,0.0,8929551.0,,6164855.0,,,,,,,,-11279685.0,132535.0,-11151516.0,8929551.0,,,,,,,0.0,,,,-4789805.0,,,,,,,,,0.0,,,4812761.0,20080.0,
2018-12-31,14900000000.0,,,113000000.0,1629000000.0,,5247000000.0,,5049000000.0,817000000.0,4381000000.0,13.26,13.11,330401000.0,334127000.0,4466000000.0,,4297000000.0,1651000000.0,2039000000.0,,1077000000.0,17272000000.0,,29717000000.0,26874000000.0,16223000000.0,1462000000.0,93386000000.0,3219000000.0,3758000000.0,1546000000.0,12956000000.0,,,,3435000000.0,36290000000.0,16529000000.0,-4456000000.0,51596000000.0,93386000000.0,,62000000.0,-186000000.0,124000000.0,4000000.0,,,,,,3654000000.0,,,,,,1883000000.0,,,5363000000.0,77000000.0,,-4998000000.0,3986000000.0,
2019-03-31,6944000000.0,,,46000000.0,879000000.0,,609000000.0,,571000000.0,140000000.0,517000000.0,0.95,0.94,545554000.0,549147000.0,5791000000.0,,4390000000.0,1667000000.0,,,1203000000.0,15088000000.0,,29418000000.0,26820000000.0,15944000000.0,4371000000.0,91641000000.0,3166000000.0,4196000000.0,1719000000.0,11140000000.0,,,,11664000000.0,34994000000.0,16569000000.0,-4235000000.0,51175000000.0,91641000000.0,,16000000.0,-14000000.0,56000000.0,32000000.0,,,,,,1068000000.0,,,,,,843000000.0,,,2460000000.0,28000000.0,,-2211000000.0,1335000000.0,
2019-06-30,14148000000.0,,,91000000.0,1763000000.0,,1278000000.0,,1254000000.0,309000000.0,1039000000.0,1.91,1.9,544033000.0,547771000.0,2686000000.0,,4483000000.0,1708000000.0,,,1116000000.0,10681000000.0,,29540000000.0,26947000000.0,15804000000.0,4217000000.0,87189000000.0,3358000000.0,3768000000.0,1682000000.0,10521000000.0,,,,11519000000.0,34295000000.0,16555000000.0,-4377000000.0,50564000000.0,87189000000.0,2418000000.0,38000000.0,-110000000.0,188000000.0,73000000.0,,,,,,2073000000.0,,,,,,1708000000.0,,,2841000000.0,55000000.0,,-6645000000.0,-1764000000.0,
2019-09-30,21148000000.0,,,135000000.0,2613000000.0,,2278000000.0,,2255000000.0,607000000.0,1774000000.0,3.27,3.25,542589000.0,546507000.0,2120000000.0,,4238000000.0,1653000000.0,,,1202000000.0,9812000000.0,,28460000000.0,26261000000.0,15836000000.0,4025000000.0,84394000000.0,3071000000.0,3572000000.0,1597000000.0,10883000000.0,,,,11636000000.0,33086000000.0,16810000000.0,-5600000000.0,48953000000.0,84394000000.0,3513000000.0,64000000.0,-125000000.0,30000000.0,61000000.0,,,,,,3945000000.0,,,,,,2667000000.0,,,2132000000.0,60000000.0,,-8297000000.0,-2333000000.0,
2019-12-31,28228000000.0,,,184000000.0,3457000000.0,,2933000000.0,,2927000000.0,769000000.0,2285000000.0,4.22,4.19,541094000.0,545170000.0,2700000000.0,,4322000000.0,1697000000.0,2179000000.0,,1140000000.0,10352000000.0,,29064000000.0,27019000000.0,16137000000.0,2013000000.0,86612000000.0,3266000000.0,3501000000.0,1758000000.0,12160000000.0,,,,4888000000.0,34977000000.0,16842000000.0,-4814000000.0,49074000000.0,86612000000.0,,95000000.0,-303000000.0,-80000000.0,81000000.0,,,,,,6119000000.0,,,,,225000000.0,3682000000.0,,,1189000000.0,72000000.0,,-8997000000.0,-1752000000.0,
2020-03-31,6739000000.0,,,44000000.0,861000000.0,,733000000.0,,754000000.0,165000000.0,573000000.0,1.07,1.07,531215000.0,534956000.0,4014000000.0,,4084000000.0,1689000000.0,,,1255000000.0,11513000000.0,,27418000000.0,26073000000.0,15339000000.0,4026000000.0,84369000000.0,2965000000.0,3772000000.0,1854000000.0,15490000000.0,,,,11615000000.0,37126000000.0,16850000000.0,-7388000000.0,44776000000.0,84369000000.0,1142000000.0,43000000.0,-107000000.0,109000000.0,62000000.0,,,,,,1347000000.0,,,,,,803000000.0,,,-613000000.0,13000000.0,,759000000.0,1314000000.0,
2020-06-30,13116000000.0,,,78000000.0,1621000000.0,,1324000000.0,,1372000000.0,329000000.0,1031000000.0,1.95,1.93,528385000.0,532112000.0,4941000000.0,,3994000000.0,1715000000.0,,,1194000000.0,12073000000.0,,27693000000.0,26580000000.0,15504000000.0,4006000000.0,85856000000.0,2816000000.0,4183000000.0,1693000000.0,15095000000.0,,,,11746000000.0,37919000000.0,16782000000.0,-6621000000.0,45537000000.0,85856000000.0,2266000000.0,75000000.0,-261000000.0,118000000.0,82000000.0,,,,,,3111000000.0,,,,,,1586000000.0,,,-1247000000.0,25000000.0,,555000000.0,2241000000.0,
