Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,1188197000.0,643641000.0,544556000.0,,150766000.0,,159538000.0,,145406000.0,55517000.0,91842000.0,0.64,0.63,142842000.0,145496000.0,190477000.0,,,412507000.0,30027000.0,,,800533000.0,,293493000.0,950621000.0,,20927000.0,2130742000.0,52405000.0,25004000.0,9555000.0,195650000.0,,52830000.0,,25040000.0,,461301000.0,-4976000.0,1289898000.0,2130742000.0,20011000.0,5112000.0,,-1484000.0,-24672000.0,,,-393000.0,,,101191000.0,,,,,13742000.0,20847000.0,,,-22361000.0,,5953000.0,2508000.0,81571000.0,39697000.0
2010-09-30,1795818000.0,989838000.0,805980000.0,,228437000.0,,224745000.0,,203701000.0,77911000.0,127743000.0,0.89,0.88,143258000.0,145798000.0,168678000.0,,,444617000.0,29924000.0,,,821500000.0,,306820000.0,990589000.0,,21832000.0,2205449000.0,70413000.0,25992000.0,9672000.0,225292000.0,,53179000.0,,32478000.0,,497202000.0,-3476000.0,1336911000.0,2205449000.0,30389000.0,7713000.0,,-1433000.0,-43818000.0,,,11307000.0,,,144563000.0,,,,,70281000.0,36982000.0,,,-94294000.0,,9375000.0,9276000.0,59772000.0,65709000.0
2010-12-31,2469881000.0,1376401000.0,1093480000.0,,310228000.0,,297877000.0,-27752000.0,270125000.0,103007000.0,169071000.0,1.18,1.16,,,95689000.0,,,492688000.0,32506000.0,,,836876000.0,,331312000.0,1032973000.0,,29046000.0,2299509000.0,76437000.0,25832000.0,9224000.0,225321000.0,,66059000.0,,45902000.0,,538530000.0,4378000.0,1414161000.0,2299509000.0,41428000.0,9974000.0,,12309000.0,67795000.0,,,10156000.0,-201000.0,,159183000.0,,,,,143578000.0,61438000.0,,,-191583000.0,,15000000.0,18962000.0,-13217000.0,88294000.0
2011-03-31,786648000.0,443002000.0,343646000.0,,89761000.0,,107371000.0,-11648000.0,95723000.0,37541000.0,58182000.0,0.4,0.39,145611000.0,147920000.0,64517000.0,,,514894000.0,34135000.0,,,852117000.0,,342181000.0,1057406000.0,,35803000.0,2355379000.0,75377000.0,32989000.0,9245000.0,208272000.0,,67582000.0,,49704000.0,,596712000.0,8993000.0,1485370000.0,2355379000.0,11926000.0,3342000.0,,19039000.0,-2678000.0,,,-9658000.0,,,77315000.0,,,,,43517000.0,18093000.0,,,-61519000.0,,2460000.0,-46987000.0,-31172000.0,3313000.0
2011-06-30,1546332000.0,880450000.0,665882000.0,,181156000.0,,185857000.0,-14322000.0,171535000.0,66647000.0,104888000.0,0.72,0.71,145917000.0,148131000.0,42256000.0,,,556541000.0,35039000.0,,,890376000.0,,358443000.0,1063507000.0,,37172000.0,2417714000.0,77951000.0,36829000.0,8869000.0,193469000.0,,64827000.0,,52875000.0,,643418000.0,5267000.0,1535702000.0,2417714000.0,24797000.0,,,24769000.0,19578000.0,,,-4525000.0,,,101080000.0,,,,,95591000.0,42540000.0,,,-137969000.0,,4053000.0,-16533000.0,-53433000.0,51238000.0
2011-09-30,2330230000.0,1330026000.0,1000204000.0,,274142000.0,,271345000.0,-19792000.0,251553000.0,97434000.0,154119000.0,1.06,1.04,146325000.0,148402000.0,45112000.0,,,605665000.0,35184000.0,,,936590000.0,,371160000.0,1121754000.0,,38024000.0,2538012000.0,84496000.0,41927000.0,8713000.0,227526000.0,,61832000.0,,55240000.0,,692649000.0,-7339000.0,1579723000.0,2538012000.0,38308000.0,,,18048000.0,51301000.0,,,1770000.0,,,159182000.0,,,,,180512000.0,61294000.0,,,-240328000.0,,5626000.0,30722000.0,-50577000.0,83655000.0
2011-12-31,3269862000.0,1877869000.0,1391993000.0,,391942000.0,,361483000.0,-25712000.0,335771000.0,125507000.0,210264000.0,1.44,1.42,146126000.0,148375000.0,48247000.0,,,736846000.0,-44667000.0,,,1149735000.0,,424098000.0,1476063000.0,,40898000.0,3199704000.0,210875000.0,59543000.0,,397693000.0,,88796000.0,,60796000.0,,748794000.0,-8961000.0,1644085000.0,3199704000.0,54505000.0,,,18074000.0,90091000.0,,,28589000.0,35000.0,,211772000.0,,,,,486934000.0,86416000.0,,,-571607000.0,,7973000.0,311411000.0,-47442000.0,113433000.0
2012-03-31,1031777000.0,584394000.0,447383000.0,,121714000.0,,133608000.0,-5511000.0,128097000.0,47106000.0,80991000.0,0.55,0.54,147139000.0,149671000.0,55169000.0,,,736641000.0,45257000.0,,,1174278000.0,,430777000.0,1499382000.0,,47358000.0,3260001000.0,212538000.0,79214000.0,,457074000.0,,89160000.0,,67183000.0,,829785000.0,-104000.0,1745085000.0,3260001000.0,16257000.0,,,22694000.0,-13000000.0,,,-2557000.0,,,110155000.0,,,,,24930000.0,21329000.0,,,-46026000.0,,2561000.0,-57747000.0,6922000.0,5710000.0
2012-06-30,2038308000.0,1168994000.0,869314000.0,,243412000.0,,242175000.0,-12879000.0,229296000.0,84307000.0,144989000.0,0.98,0.97,147645000.0,150076000.0,59353000.0,,,798807000.0,46596000.0,,,1253007000.0,,443565000.0,1578605000.0,,44655000.0,3425409000.0,224276000.0,80801000.0,,445322000.0,,88777000.0,,74320000.0,,893783000.0,-9616000.0,1813728000.0,3425409000.0,33446000.0,,,22662000.0,30763000.0,,,3802000.0,,,121012000.0,,,,,120315000.0,41615000.0,,,-161458000.0,,7219000.0,51461000.0,11106000.0,70698000.0
2012-09-30,3055015000.0,1775996000.0,1279019000.0,,364461000.0,,333609000.0,-21061000.0,312548000.0,113511000.0,199037000.0,0.67,0.66,296437000.0,301172000.0,69214000.0,,,826354000.0,47307000.0,,,1296349000.0,,453272000.0,1597936000.0,,46321000.0,3502575000.0,219098000.0,85256000.0,,464519000.0,,89486000.0,,78909000.0,,947831000.0,-676000.0,1888641000.0,3502575000.0,51574000.0,,,12394000.0,47669000.0,,,-7892000.0,,,182072000.0,,,,,133123000.0,60636000.0,,,-193067000.0,,11071000.0,31280000.0,20967000.0,110911000.0
