Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,21836000000.0,,,4326500000.0,6892500000.0,,,,5357800000.0,1029000000.0,4328800000.0,,,,,4462900000.0,,3343300000.0,2849900000.0,271000000.0,,,12486500000.0,,8197400000.0,,,1921400000.0,27460900000.0,968100000.0,2683900000.0,,6568100000.0,,84800000.0,1088400000.0,1224900000.0,,9830400000.0,-2471900000.0,,27460900000.0,-1297800000.0,-368500000.0,,,-179000000.0,,-84900000.0,,,,4335500000.0,,,,432300000.0,0.0,,,94500000.0,142800000.0,,,-5533700000.0,-1033800000.0,
2010-03-31,5485500000.0,,,1039100000.0,1614400000.0,,,,1707800000.0,459700000.0,1248100000.0,,,,,4725200000.0,,3194300000.0,2471100000.0,275200000.0,,,12252400000.0,,7987000000.0,,,1827600000.0,27197800000.0,964000000.0,2773100000.0,,5657600000.0,,81200000.0,1138300000.0,1172900000.0,,11077200000.0,-2776900000.0,,27197800000.0,-299400000.0,-73700000.0,,,,,,,,,958000000.0,,,,57200000.0,,,,10500000.0,-52600000.0,,,-547000000.0,262300000.0,
2010-09-30,16889000000.0,,,3446100000.0,5064700000.0,,,34400000.0,5115600000.0,1215700000.0,3899900000.0,,,,,5908800000.0,,3336000000.0,2679600000.0,297800000.0,,,14184300000.0,,7941900000.0,,,2129400000.0,29904300000.0,1034700000.0,2583700000.0,,6097400000.0,,84500000.0,1303800000.0,1213300000.0,,12647100000.0,-2529800000.0,,29904300000.0,989700000.0,175200000.0,,,,,,,,,4628700000.0,,,,518200000.0,328700000.0,,419000000.0,79800000.0,-1595300000.0,,,-1472300000.0,1445900000.0,
2010-12-31,23076000000.0,,,4884200000.0,7053400000.0,,,5000000.0,6525200000.0,1455700000.0,5069500000.0,4.58,4.58,1105788000.0,1105813000.0,5993200000.0,,3493800000.0,2517700000.0,-199900000.0,,,14840000000.0,,7940700000.0,1423900000.0,,1622400000.0,31001400000.0,1072200000.0,2651300000.0,,7101400000.0,,,1234800000.0,1594500000.0,,12732600000.0,-2670100000.0,,31001400000.0,1328200000.0,231000000.0,542300000.0,,157000000.0,,340500000.0,,,,6856800000.0,,,,1067200000.0,609400000.0,,442400000.0,219300000.0,-3159800000.0,,,-2021900000.0,1530300000.0,861000000.0
2011-03-31,5839200000.0,,,1124000000.0,1785700000.0,,,-11200000.0,1273900000.0,218000000.0,1055900000.0,,,,,6506400000.0,,3694300000.0,2767200000.0,,,,15354300000.0,,7967700000.0,,,1743300000.0,31695300000.0,1183200000.0,2600000000.0,,7651800000.0,,,1224300000.0,1886200000.0,,13785300000.0,-2188800000.0,,31695300000.0,340900000.0,37900000.0,,,,,,,,,1176100000.0,,,,238300000.0,,,29600000.0,34300000.0,-40700000.0,,,-713800000.0,513200000.0,
2011-06-30,12092000000.0,,,2384600000.0,3828700000.0,,,-68800000.0,2805200000.0,552000000.0,2253200000.0,,,,,6113500000.0,,3833600000.0,2870200000.0,,,,14950300000.0,,7953700000.0,,,1976900000.0,32779300000.0,1187600000.0,2786700000.0,,8620500000.0,,,1283000000.0,1550100000.0,,13888200000.0,-2009900000.0,,32779300000.0,696500000.0,74200000.0,,,,,,,,,3216400000.0,,,,1636100000.0,0.0,,432800000.0,31400000.0,-1939300000.0,,,-1278100000.0,120300000.0,
2011-09-30,18239900000.0,,,3665500000.0,5746500000.0,,,-152200000.0,4307700000.0,818200000.0,3489500000.0,,,,,6597700000.0,,3533200000.0,2513300000.0,,,,14572700000.0,,7812200000.0,,,2215800000.0,33042200000.0,1154300000.0,2720300000.0,,8219300000.0,,,1058800000.0,1449000000.0,,15125900000.0,-2505400000.0,,33042200000.0,1054700000.0,110700000.0,,,,,,,,,5289800000.0,,,,2659300000.0,307800000.0,,605700000.0,33300000.0,-2947600000.0,,,-1719000000.0,604500000.0,
2011-12-31,24286500000.0,,,5020800000.0,7879900000.0,,,-179000000.0,5349500000.0,1001800000.0,4347700000.0,3.9,3.9,1113923000.0,1113967000.0,5922500000.0,,3597700000.0,2299800000.0,520000000.0,,,14248200000.0,,7760300000.0,1434700000.0,,2493400000.0,33659800000.0,1125200000.0,2903500000.0,,8930900000.0,,,1086300000.0,1573800000.0,,14897800000.0,-3858600000.0,,33659800000.0,1373600000.0,147400000.0,-406200000.0,,-203100000.0,,-642700000.0,,,,7234500000.0,,,,4459400000.0,307800000.0,,632900000.0,112200000.0,-4824400000.0,,,-2369900000.0,-70700000.0,
2012-03-31,5602000000.0,,,1151500000.0,1847500000.0,,,-46000000.0,1335300000.0,324200000.0,1011100000.0,,,,,4122200000.0,,3402100000.0,2424200000.0,,,,12602600000.0,,7754600000.0,,,2093200000.0,32238200000.0,1246300000.0,2754400000.0,,6553700000.0,,,1158300000.0,1533900000.0,,15906700000.0,-3549200000.0,,32238200000.0,385900000.0,28200000.0,,,,,,,,,852500000.0,,,,2156100000.0,195400000.0,,0.0,50900000.0,-652300000.0,,,-2057000000.0,-1800300000.0,
2012-06-30,11202700000.0,,,2472200000.0,3778600000.0,,,-62500000.0,2521000000.0,586300000.0,1934700000.0,,,,,4345800000.0,,3181700000.0,2320800000.0,,,,12307300000.0,,7619900000.0,,,2195000000.0,31812600000.0,1201600000.0,2590400000.0,,6609700000.0,,,1207500000.0,1472800000.0,,15736200000.0,-3934200000.0,,31812600000.0,747900000.0,65800000.0,,,,,,,,,2158500000.0,,,,3476600000.0,199300000.0,,0.0,111500000.0,-1037600000.0,,,-2609700000.0,-1576700000.0,
