Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,45189000000.0,40965000000.0,4224000000.0,,,,4466000000.0,,,1260000000.0,3024000000.0,7.86,7.78,,,2391000000.0,,,2183000000.0,815000000.0,,1027000000.0,12477000000.0,,4520000000.0,9948000000.0,311000000.0,3916000000.0,35111000000.0,2030000000.0,1976000000.0,,10703000000.0,,,,3096000000.0,30982000000.0,12351000000.0,-8595000000.0,4129000000.0,35111000000.0,,154000000.0,542000000.0,719000000.0,233000000.0,,,-21000000.0,,,3173000000.0,,,,,,852000000.0,,-48000000.0,-1518000000.0,40000000.0,21000000.0,-1476000000.0,223000000.0,
2010-03-28,10637000000.0,9701000000.0,936000000.0,,,,982000000.0,,,375000000.0,547000000.0,1.46,1.45,,,3288000000.0,,,2476000000.0,839000000.0,,706000000.0,13919000000.0,,4436000000.0,9938000000.0,283000000.0,3922000000.0,36287000000.0,2247000000.0,2406000000.0,,11572000000.0,,,,3122000000.0,32259000000.0,12267000000.0,-8608000000.0,4028000000.0,36287000000.0,,41000000.0,,549000000.0,293000000.0,,,217000000.0,,,1649000000.0,,,,,,92000000.0,,4000000.0,-8000000.0,24000000.0,,-730000000.0,897000000.0,
2010-06-27,21915000000.0,19927000000.0,1988000000.0,,,,2107000000.0,,,675000000.0,1372000000.0,3.7,3.66,370600000.0,374700000.0,2722000000.0,,,2360000000.0,962000000.0,,409000000.0,14212000000.0,,4381000000.0,9797000000.0,179000000.0,3889000000.0,36239000000.0,2271000000.0,2429000000.0,,11859000000.0,,,,3123000000.0,32505000000.0,11988000000.0,-8614000000.0,3734000000.0,36239000000.0,,82000000.0,,552000000.0,197000000.0,,,247000000.0,,,2874000000.0,,,,,,223000000.0,,28000000.0,-804000000.0,37000000.0,8000000.0,-1720000000.0,331000000.0,
2010-09-26,33009000000.0,30250000000.0,2759000000.0,,,,2969000000.0,,,941000000.0,1943000000.0,5.3,5.23,367100000.0,371100000.0,2656000000.0,,,2093000000.0,930000000.0,,413000000.0,13939000000.0,,4347000000.0,9588000000.0,158000000.0,4009000000.0,35551000000.0,2352000000.0,1992000000.0,,11638000000.0,,,,3178000000.0,31633000000.0,12150000000.0,-8590000000.0,3918000000.0,35551000000.0,,,,515000000.0,-60000000.0,,,354000000.0,,,3387000000.0,,,,,,394000000.0,,11000000.0,-867000000.0,57000000.0,,-2256000000.0,265000000.0,326000000.0
2010-12-31,45803000000.0,41967000000.0,3836000000.0,638000000.0,,,4097000000.0,,,1181000000.0,2926000000.0,8.03,7.94,364200000.0,368300000.0,2261000000.0,,,2378000000.0,4507000000.0,,502000000.0,12851000000.0,,4554000000.0,9605000000.0,,4575000000.0,35067000000.0,1627000000.0,1737000000.0,,11157000000.0,,,,3363000000.0,31359000000.0,12372000000.0,-9010000000.0,3708000000.0,35067000000.0,,168000000.0,576000000.0,15000000.0,227000000.0,,,-364000000.0,,,3547000000.0,,,,,,820000000.0,,-22000000.0,-319000000.0,,,-3363000000.0,-130000000.0,806000000.0
2011-03-27,10633000000.0,9831000000.0,802000000.0,,,,852000000.0,,,238000000.0,530000000.0,1.52,1.5,348500000.0,352600000.0,3357000000.0,,,2277000000.0,1156000000.0,,489000000.0,14743000000.0,,4461000000.0,9609000000.0,,4452000000.0,36677000000.0,2374000000.0,2193000000.0,,12430000000.0,,,,3380000000.0,32886000000.0,12274000000.0,-8828000000.0,3791000000.0,36677000000.0,,39000000.0,-12000000.0,900000000.0,-93000000.0,,,745000000.0,,,1684000000.0,,10000000.0,,,,95000000.0,,-22000000.0,-63000000.0,43000000.0,,-537000000.0,1096000000.0,
2011-06-26,22184000000.0,20485000000.0,1699000000.0,,,,1836000000.0,,1695000000.0,405000000.0,1272000000.0,3.68,3.64,345600000.0,349600000.0,3268000000.0,,,2226000000.0,1140000000.0,,519000000.0,13954000000.0,,4421000000.0,9615000000.0,,4460000000.0,35718000000.0,2219000000.0,1981000000.0,,12056000000.0,,,,3383000000.0,32430000000.0,11626000000.0,-8671000000.0,3288000000.0,35718000000.0,,79000000.0,59000000.0,861000000.0,-148000000.0,,,592000000.0,,,2527000000.0,,,,,,242000000.0,,-236000000.0,254000000.0,65000000.0,,-1784000000.0,1007000000.0,
2011-09-25,34288000000.0,31572000000.0,2716000000.0,,,,2898000000.0,,2665000000.0,,1972000000.0,5.79,5.73,340400000.0,344300000.0,4564000000.0,,,1789000000.0,1184000000.0,,606000000.0,14669000000.0,,4428000000.0,9606000000.0,,4388000000.0,36187000000.0,2328000000.0,1972000000.0,,12144000000.0,,,,3329000000.0,33244000000.0,11189000000.0,-8567000000.0,2943000000.0,36187000000.0,,116000000.0,178000000.0,853000000.0,-575000000.0,,,707000000.0,,,3038000000.0,,,,,,443000000.0,,-270000000.0,337000000.0,90000000.0,,-1063000000.0,2303000000.0,562000000.0
2011-12-31,46499000000.0,42795000000.0,3704000000.0,585000000.0,,,3980000000.0,,3631000000.0,964000000.0,2655000000.0,7.9,7.81,335900000.0,339900000.0,3582000000.0,,,2481000000.0,5719000000.0,,625000000.0,14094000000.0,,4611000000.0,10148000000.0,,4667000000.0,37908000000.0,2269000000.0,1798000000.0,,12130000000.0,,,,3541000000.0,36907000000.0,11937000000.0,-11257000000.0,1001000000.0,37908000000.0,,157000000.0,-2000000.0,363000000.0,74000000.0,,,609000000.0,,,4253000000.0,,,,,,987000000.0,,-313000000.0,-813000000.0,,,-2119000000.0,1321000000.0,722000000.0
2012-03-25,11293000000.0,10319000000.0,974000000.0,,,,1009000000.0,,948000000.0,,668000000.0,2.06,2.03,324100000.0,328600000.0,3518000000.0,,,2380000000.0,1332000000.0,,611000000.0,14561000000.0,,4530000000.0,10170000000.0,,4789000000.0,38340000000.0,2384000000.0,2055000000.0,,12211000000.0,,,,3613000000.0,36767000000.0,12277000000.0,-11030000000.0,1573000000.0,38340000000.0,,41000000.0,,654000000.0,-104000000.0,,,116000000.0,,,458000000.0,,,,,,131000000.0,,18000000.0,-149000000.0,159000000.0,,-373000000.0,-64000000.0,150000000.0
