Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,1631800000.0,,,,,1422100000.0,209700000.0,-51200000.0,,57700000.0,100600000.0,0.83,0.83,110409000.0,110490000.0,171100000.0,,114900000.0,,,,110600000.0,1154100000.0,,6424100000.0,,,144000000.0,9043600000.0,289900000.0,121600000.0,,894100000.0,,1243300000.0,,292700000.0,,1285700000.0,-2300000.0,2779100000.0,9043600000.0,,,,-64600000.0,,-120000000.0,,-11800000.0,,,479200000.0,,,,,,,,1700000.0,-395600000.0,,,-87800000.0,-4200000.0,-6700000.0
2010-09-30,2583500000.0,,,,,2127200000.0,456300000.0,-78200000.0,,121800000.0,254300000.0,2.17,2.17,110469000.0,110544000.0,137000000.0,,139300000.0,,,,95800000.0,1167600000.0,,6556900000.0,,,139700000.0,9225800000.0,295100000.0,132600000.0,,691900000.0,,1384800000.0,,231200000.0,,1391100000.0,-1700000.0,2887800000.0,9225800000.0,,,,-23000000.0,,-100000000.0,,-12100000.0,,,695600000.0,,,,,,,,2000000.0,-606500000.0,,,-127400000.0,-38300000.0,-6400000.0
2010-12-31,3416100000.0,,,,,2860000000.0,556100000.0,-102900000.0,,145200000.0,306300000.0,2.6,2.6,110442000.0,110521000.0,159300000.0,,120500000.0,,,,111400000.0,1092700000.0,,6730600000.0,,,137700000.0,9282900000.0,336300000.0,160100000.0,,866700000.0,,1434300000.0,,208900000.0,,1394700000.0,-1400000.0,2893600000.0,9282900000.0,,,,-16300000.0,,-65000000.0,,-400000.0,,,984900000.0,,,,,,,,16700000.0,-866500000.0,,,-134400000.0,-16000000.0,-116200000.0
2011-03-31,945000000.0,,,,,817200000.0,127800000.0,-26800000.0,,22600000.0,79700000.0,0.66,0.66,110569000.0,110632000.0,126100000.0,,140200000.0,,,,192100000.0,977000000.0,,6823400000.0,,,130900000.0,9400500000.0,300200000.0,163600000.0,,778900000.0,,1472700000.0,,208500000.0,,1421100000.0,-1400000.0,2920500000.0,9400500000.0,,,,400000.0,,-10000000.0,,2200000.0,,,261300000.0,,,,,,,,-3800000.0,-233300000.0,,,-61200000.0,-33200000.0,-3000000.0
2011-06-30,1764500000.0,,,,,1564700000.0,199800000.0,-54100000.0,,12000000.0,135000000.0,1.13,1.13,110624000.0,110677000.0,77100000.0,,127800000.0,,,,185700000.0,877800000.0,,6866400000.0,,,121900000.0,9301200000.0,305800000.0,161400000.0,,760100000.0,,1477900000.0,,212300000.0,,1425100000.0,-600000.0,2927200000.0,9301200000.0,,,,-27800000.0,,-55000000.0,,,,,466800000.0,,,,,,,,-17600000.0,-341100000.0,,,-207900000.0,-82200000.0,-3000000.0
2011-09-30,2786100000.0,,,,,2401200000.0,384900000.0,-79200000.0,305700000.0,46100000.0,260900000.0,2.23,2.23,110647000.0,110695000.0,45700000.0,,198500000.0,,,,132100000.0,947100000.0,,6937900000.0,,,93400000.0,9481300000.0,314600000.0,152700000.0,,774400000.0,,1561200000.0,,251600000.0,,1500200000.0,-600000.0,3001600000.0,9481300000.0,,,,49700000.0,,-50000000.0,,25900000.0,,,612700000.0,,,,,,,,,-506400000.0,,,-219900000.0,-113600000.0,-3000000.0
2011-12-31,3665300000.0,,,,,3186900000.0,478400000.0,-102700000.0,375700000.0,55100000.0,321900000.0,2.74,2.74,110626000.0,110678000.0,11400000.0,,188800000.0,,,,153500000.0,866500000.0,,7037100000.0,,,92100000.0,9687900000.0,308200000.0,127500000.0,,855000000.0,,1592200000.0,,259600000.0,,1510200000.0,-800000.0,3013000000.0,9687900000.0,,,,54300000.0,,-75000000.0,,,,,702700000.0,,,,,,673400000.0,,4600000.0,-652100000.0,,,-198500000.0,-147900000.0,-10800000.0
2012-03-31,765700000.0,,,,,670100000.0,95600000.0,-24600000.0,71000000.0,27700000.0,38900000.0,,,110716000.0,110741000.0,30900000.0,,92200000.0,,,,60400000.0,780600000.0,,7081300000.0,,,82200000.0,9628200000.0,263900000.0,87300000.0,,773300000.0,,1637700000.0,,248900000.0,,1495200000.0,-800000.0,2997500000.0,9628200000.0,,,,-63900000.0,,-5000000.0,,,,,215000000.0,,,,,,,,-500000.0,-135100000.0,,,-60400000.0,19500000.0,-100000.0
2012-06-30,1456000000.0,,,,,1251600000.0,204400000.0,-47200000.0,157200000.0,44500000.0,108700000.0,,,110756000.0,110769000.0,30800000.0,,81700000.0,,82900000.0,,34900000.0,920400000.0,,7248000000.0,,,76800000.0,9934200000.0,337600000.0,93400000.0,,957300000.0,,1736100000.0,,245100000.0,,1511300000.0,-800000.0,3014400000.0,9934200000.0,,,,-54000000.0,,27000000.0,,,,,339200000.0,,,,,,,,-600000.0,-321800000.0,,,2000000.0,19400000.0,-900000.0
2012-09-30,2343600000.0,,,,,1925500000.0,418100000.0,-68600000.0,349500000.0,83800000.0,263400000.0,,,110768000.0,110779000.0,41100000.0,,93900000.0,,90000000.0,,41700000.0,1028600000.0,,7384600000.0,,,98100000.0,10250900000.0,418000000.0,99300000.0,,945500000.0,,1836700000.0,,269100000.0,,1612100000.0,-800000.0,3116000000.0,10250900000.0,,,,-50900000.0,,85000000.0,,47200000.0,,,600300000.0,,,,,,,,-1300000.0,-517700000.0,,,-52900000.0,29700000.0,-800000.0
