Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-04-30,12388000000.0,8030000000.0,4358000000.0,,3093000000.0,3572000000.0,,,786000000.0,297000000.0,,0.34,0.34,1438000000.0,1441000000.0,2677000000.0,,,9899000000.0,202000000.0,,242000000.0,13695000000.0,832000000.0,22379000000.0,,,508000000.0,37414000000.0,7062000000.0,1788000000.0,901000000.0,10881000000.0,,521000000.0,,1462000000.0,18395000000.0,18246000000.0,45000000.0,,37414000000.0,,26000000.0,-82000000.0,,1644000000.0,,35000000.0,,,784000000.0,2736000000.0,,,,745000000.0,,283000000.0,,1000000.0,-1084000000.0,,,391000000.0,2045000000.0,
2010-07-30,26749000000.0,17384000000.0,9365000000.0,,6283000000.0,7244000000.0,,,2121000000.0,800000000.0,,0.92,0.92,1427000000.0,1430000000.0,1191000000.0,,,8653000000.0,205000000.0,,256000000.0,11121000000.0,730000000.0,22274000000.0,,,508000000.0,34633000000.0,4888000000.0,1761000000.0,770000000.0,7993000000.0,,459000000.0,,1435000000.0,15420000000.0,18454000000.0,39000000.0,,34633000000.0,,55000000.0,-143000000.0,,400000000.0,,41000000.0,,,526000000.0,2782000000.0,,,,,,612000000.0,,16000000.0,-1468000000.0,,1000000.0,-756000000.0,559000000.0,818000000.0
2010-10-29,38335000000.0,24909000000.0,13426000000.0,,9214000000.0,10654000000.0,,,2772000000.0,1047000000.0,,1.21,1.21,1415000000.0,1417000000.0,1078000000.0,,,8543000000.0,202000000.0,,219000000.0,10701000000.0,865000000.0,22180000000.0,,,595000000.0,34341000000.0,4959000000.0,1533000000.0,802000000.0,8008000000.0,,456000000.0,,1446000000.0,15449000000.0,18144000000.0,45000000.0,,34341000000.0,,84000000.0,-147000000.0,,288000000.0,,25000000.0,,,472000000.0,3833000000.0,,,,,,1012000000.0,,53000000.0,-1868000000.0,,1000000.0,-1521000000.0,446000000.0,1262000000.0
2011-01-28,48815000000.0,31663000000.0,17152000000.0,,12006000000.0,13924000000.0,,,3228000000.0,1218000000.0,,1.42,1.42,1401000000.0,1403000000.0,652000000.0,,,8321000000.0,-274000000.0,,330000000.0,9967000000.0,1008000000.0,22089000000.0,,,635000000.0,33699000000.0,4351000000.0,1358000000.0,707000000.0,7119000000.0,,467000000.0,,833000000.0,15587000000.0,17371000000.0,53000000.0,,33699000000.0,,115000000.0,-141000000.0,,64000000.0,,142000000.0,,,219000000.0,3852000000.0,,,814000000.0,,,1329000000.0,,97000000.0,-2184000000.0,,1000000.0,-1651000000.0,20000000.0,1590000000.0
2011-04-29,12185000000.0,7866000000.0,4319000000.0,,3120000000.0,3579000000.0,,,740000000.0,279000000.0,,0.35,0.34,1324000000.0,1328000000.0,1496000000.0,,,9661000000.0,232000000.0,,239000000.0,11973000000.0,1209000000.0,22060000000.0,,,642000000.0,35884000000.0,6694000000.0,1662000000.0,970000000.0,9921000000.0,,498000000.0,,818000000.0,18425000000.0,16715000000.0,85000000.0,,35884000000.0,,30000000.0,,,1329000000.0,,-106000000.0,,,453000000.0,2423000000.0,,,,,,313000000.0,,30000000.0,-411000000.0,,3000000.0,-1171000000.0,844000000.0,72000000.0
2011-07-29,26728000000.0,17393000000.0,9335000000.0,,6351000000.0,7266000000.0,,,2069000000.0,777000000.0,,0.99,0.98,1300000000.0,1303000000.0,568000000.0,,,8825000000.0,222000000.0,,213000000.0,10168000000.0,857000000.0,22195000000.0,,,825000000.0,34045000000.0,5378000000.0,1934000000.0,831000000.0,8677000000.0,,479000000.0,,856000000.0,17266000000.0,16060000000.0,82000000.0,,34045000000.0,,59000000.0,,,495000000.0,,-125000000.0,,,450000000.0,3293000000.0,,,,,,780000000.0,,218000000.0,-694000000.0,,3000000.0,-2687000000.0,-84000000.0,540000000.0
2011-10-28,38579000000.0,25208000000.0,13371000000.0,,9583000000.0,10950000000.0,,,2421000000.0,904000000.0,,1.17,1.17,1283000000.0,1286000000.0,675000000.0,,,8990000000.0,237000000.0,,227000000.0,10423000000.0,705000000.0,21888000000.0,,,850000000.0,33866000000.0,5242000000.0,1913000000.0,789000000.0,9156000000.0,,322000000.0,,867000000.0,17057000000.0,16109000000.0,46000000.0,,33866000000.0,,81000000.0,,,669000000.0,,-126000000.0,,,567000000.0,3892000000.0,,,,,,1264000000.0,,217000000.0,-983000000.0,,,-2886000000.0,23000000.0,787000000.0
2012-02-03,50208000000.0,32858000000.0,17350000000.0,,12593000000.0,14444000000.0,,,2906000000.0,1067000000.0,,1.43,1.43,1271000000.0,1273000000.0,1014000000.0,,,8355000000.0,-348000000.0,,234000000.0,10072000000.0,504000000.0,21970000000.0,,,1013000000.0,33559000000.0,4352000000.0,1533000000.0,801000000.0,7891000000.0,,531000000.0,,865000000.0,17026000000.0,15852000000.0,46000000.0,,33559000000.0,,107000000.0,52000000.0,,33000000.0,,-137000000.0,,,215000000.0,4349000000.0,,,1300000000.0,,,1829000000.0,,115000000.0,-1437000000.0,,,-2549000000.0,362000000.0,914000000.0
2012-05-04,13153000000.0,8589000000.0,4564000000.0,,3241000000.0,3714000000.0,,,850000000.0,323000000.0,,0.43,0.43,1206000000.0,1208000000.0,3072000000.0,,,9786000000.0,279000000.0,,330000000.0,13628000000.0,710000000.0,21821000000.0,,,1049000000.0,37208000000.0,6977000000.0,2053000000.0,881000000.0,10996000000.0,,412000000.0,,863000000.0,22005000000.0,14557000000.0,52000000.0,,37208000000.0,,25000000.0,,,1432000000.0,,65000000.0,,,587000000.0,2467000000.0,,,,,,337000000.0,,11000000.0,-470000000.0,,,60000000.0,2058000000.0,76000000.0
2012-08-03,27402000000.0,18003000000.0,9399000000.0,,6414000000.0,7352000000.0,,,2047000000.0,772000000.0,,1.07,1.07,1182000000.0,1183000000.0,1710000000.0,,,8699000000.0,279000000.0,,325000000.0,11599000000.0,485000000.0,21734000000.0,,,1214000000.0,35032000000.0,5084000000.0,1936000000.0,847000000.0,9022000000.0,,580000000.0,,872000000.0,20208000000.0,14199000000.0,47000000.0,,35032000000.0,,54000000.0,,,345000000.0,,159000000.0,,,445000000.0,2796000000.0,,,,,,622000000.0,,21000000.0,-1032000000.0,,,-1066000000.0,696000000.0,736000000.0
