Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-08-01,290505000.0,,154655000.0,,87938000.0,,66717000.0,,68971000.0,27676000.0,41380000.0,0.59,0.58,70820000.0,71750000.0,178172000.0,,,66520000.0,,,,259050000.0,,64609000.0,,,3587000.0,363696000.0,7275000.0,249000.0,,46713000.0,,5284000.0,,18385000.0,70382000.0,109189000.0,11032000.0,289354000.0,363696000.0,11990000.0,3563000.0,12475000.0,,17777000.0,,,-4721000.0,,,34552000.0,,,,,12482000.0,11571000.0,,,-24053000.0,,3800000.0,6138000.0,18599000.0,
2010-10-31,466305000.0,,251487000.0,,142394000.0,,109093000.0,,111438000.0,44207000.0,67081000.0,0.95,0.93,70938000.0,71835000.0,224775000.0,,,73023000.0,,,,311717000.0,,67457000.0,,,3493000.0,418972000.0,9275000.0,255000.0,,64276000.0,,8921000.0,,19102000.0,92299000.0,134890000.0,14517000.0,322149000.0,418972000.0,18416000.0,5365000.0,18170000.0,,24023000.0,,,-2665000.0,,,87917000.0,,,,,12482000.0,21951000.0,,,-34433000.0,,3958000.0,7945000.0,65202000.0,
2011-01-30,711704000.0,,394947000.0,,212784000.0,,180391000.0,,183277000.0,61080000.0,121847000.0,1.72,1.69,70860000.0,71929000.0,316286000.0,,,,,,,389279000.0,,70954000.0,,,4063000.0,499302000.0,6659000.0,,,85364000.0,,,,19645000.0,105009000.0,189656000.0,20329000.0,390389000.0,499302000.0,24614000.0,7273000.0,11234000.0,,,,,,,,179995000.0,,,,,12482000.0,30357000.0,,,-42839000.0,,7863000.0,13699000.0,156713000.0,
2011-05-01,186780000.0,,109684000.0,,57997000.0,,51687000.0,,52591000.0,19075000.0,33372000.0,0.47,0.46,71380000.0,72455000.0,260871000.0,,,,,,,349988000.0,,144917000.0,,,4597000.0,536460000.0,3409000.0,,,58990000.0,,,,21609000.0,80599000.0,223028000.0,37494000.0,451813000.0,536460000.0,6041000.0,2729000.0,-298000.0,2557000.0,5552000.0,,,-3104000.0,,,5655000.0,,,,,,74831000.0,,,-74831000.0,,2195000.0,8158000.0,-55415000.0,
2011-07-31,399103000.0,,231757000.0,,120587000.0,,111170000.0,,112671000.0,40537000.0,71751000.0,0.5,0.49,143163000.0,145228000.0,264728000.0,,,88884000.0,,,,383972000.0,,151120000.0,21999000.0,,4556000.0,586461000.0,4445000.0,,,64958000.0,,,,21826000.0,86784000.0,261407000.0,36416000.0,495389000.0,586461000.0,13561000.0,5066000.0,-10487000.0,,30164000.0,,,-2085000.0,,,19529000.0,,,,,,87324000.0,,,-87324000.0,,4391000.0,12095000.0,-51558000.0,
2011-10-30,629319000.0,,360252000.0,,189361000.0,,170891000.0,,173011000.0,61935000.0,110545000.0,0.77,0.76,143370000.0,145349000.0,276946000.0,,,129169000.0,,,,427816000.0,,153119000.0,24042000.0,,4434000.0,636070000.0,6040000.0,,,82514000.0,,,,24466000.0,106980000.0,300201000.0,21831000.0,524655000.0,636070000.0,20888000.0,7745000.0,-10456000.0,,70995000.0,,,-620000.0,,,53520000.0,,,,,5654000.0,100690000.0,,,-106344000.0,,5613000.0,14474000.0,-39340000.0,
2012-01-29,1000839000.0,,569270000.0,,282312000.0,,286958000.0,,289458000.0,104494000.0,184063000.0,1.29,1.27,143196000.0,145278000.0,409437000.0,,,,8587000.0,,,527093000.0,,162941000.0,,,4141000.0,734634000.0,14536000.0,,,103439000.0,,,,25014000.0,128453000.0,373719000.0,21549000.0,601376000.0,734634000.0,30259000.0,10340000.0,-693000.0,-3743000.0,46072000.0,,,,,,203615000.0,,,,,5654000.0,116657000.0,,,-122311000.0,,5750000.0,15364000.0,93151000.0,
2012-04-29,285698000.0,,157264000.0,,84199000.0,,73065000.0,,73975000.0,27001000.0,46643000.0,0.32,0.32,143678000.0,145637000.0,424330000.0,,,107679000.0,,,,558105000.0,,168374000.0,26246000.0,,4115000.0,770619000.0,4229000.0,,,70834000.0,,,,26383000.0,97217000.0,420362000.0,29094000.0,668266000.0,770619000.0,9798000.0,3891000.0,81000.0,,2749000.0,,,-10225000.0,,,15952000.0,,,,,,12696000.0,,,-12696000.0,,4237000.0,8811000.0,14893000.0,
2012-07-29,-568333000.0,,-313019000.0,,-169766000.0,,-143253000.0,,-145329000.0,-40653000.0,103865000.0,0.72,0.71,143972000.0,145698000.0,444286000.0,,,125378000.0,,,,603525000.0,,181122000.0,26042000.0,,5095000.0,829138000.0,6953000.0,,,74976000.0,,,,27817000.0,102793000.0,477584000.0,18527000.0,720729000.0,829138000.0,19479000.0,8040000.0,85000.0,,21468000.0,,,-7601000.0,,,63520000.0,,,,,,39046000.0,,,-39046000.0,,5121000.0,10470000.0,34849000.0,
2012-10-28,884869000.0,,488319000.0,,264455000.0,,223864000.0,,227364000.0,65308000.0,161181000.0,1.12,1.11,144057000.0,145750000.0,439423000.0,,,164726000.0,,,,641084000.0,,204052000.0,25989000.0,,4181000.0,888781000.0,6569000.0,,,91190000.0,,,,29770000.0,120960000.0,534900000.0,21168000.0,767821000.0,888781000.0,30962000.0,11828000.0,-347000.0,,60538000.0,,,-7958000.0,,,113240000.0,,,,,,72041000.0,,,-72041000.0,,7172000.0,-11863000.0,29986000.0,
