Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,10350000000.0,,,,,10088000000.0,262000000.0,,164000000.0,65000000.0,99000000.0,0.13,0.13,741.0,741.0,1114000000.0,,,,291000000.0,,,3358000000.0,,10634000000.0,,,277000000.0,14269000000.0,,,,2676000000.0,,2207000000.0,,493000000.0,,4983000000.0,-578000000.0,5466000000.0,14269000000.0,,13000000.0,72000000.0,,,,,,,,985000000.0,,,,,,585000000.0,,-2000000.0,-1569000000.0,,1000000.0,330000000.0,-254000000.0,
2010-03-31,2630000000.0,,,,,2576000000.0,54000000.0,,17000000.0,6000000.0,11000000.0,0.01,0.01,743000000.0,744000000.0,1110000000.0,,,,291000000.0,,,3621000000.0,,10621000000.0,,,288000000.0,14530000000.0,,,,2918000000.0,,2250000000.0,,423000000.0,,4973000000.0,-518000000.0,5536000000.0,14530000000.0,,3000000.0,12000000.0,,,,,,,,373000000.0,,,,,,139000000.0,,,-322000000.0,,-2000000.0,-55000000.0,-4000000.0,
2010-06-30,5798000000.0,,,,,5381000000.0,417000000.0,,200000000.0,77000000.0,123000000.0,0.17,0.17,745000000.0,746000000.0,989000000.0,,,,252000000.0,,,3971000000.0,,10627000000.0,,,389000000.0,14987000000.0,,942000000.0,,3338000000.0,,2192000000.0,,490000000.0,,5075000000.0,-641000000.0,5548000000.0,14987000000.0,,,75000000.0,,,,,,,,913000000.0,,,,,,-298000000.0,,0.0,-932000000.0,,,-106000000.0,-125000000.0,
2010-12-31,12104000000.0,,,,,11116000000.0,988000000.0,,745000000.0,286000000.0,459000000.0,0.62,0.61,746.0,747.0,1261000000.0,,,,2279000000.0,,,4279000000.0,,10578000000.0,,,606000000.0,15463000000.0,,863000000.0,,3305000000.0,,2493000000.0,,465000000.0,,5399000000.0,-262000000.0,6237000000.0,15463000000.0,,,69000000.0,,,,,,,,1561000000.0,,,,,,-493000000.0,,0.0,-1265000000.0,,,-149000000.0,147000000.0,
2011-03-31,3103000000.0,,,,,2989000000.0,114000000.0,,18000000.0,13000000.0,5000000.0,0.01,0.01,748000000.0,749000000.0,2039000000.0,,,,0.0,,,5329000000.0,,10496000000.0,,,589000000.0,16414000000.0,,827000000.0,,4358000000.0,,2496000000.0,,460000000.0,,5399000000.0,79000000.0,6587000000.0,16414000000.0,,,,,,,,,,,965000000.0,,,,,,-57000000.0,,,-231000000.0,,,44000000.0,778000000.0,
2011-06-30,7238.0,,,,,6917.0,321.0,68.0,293.0,127.0,166.0,0.22,0.22,780.0,787.0,1595.0,,,,0.0,,,5421.0,89.0,11721.0,971.0,,832.0,18945.0,1049.0,1130.0,,5318.0,,2263.0,,838.0,,5398.0,-107.0,7202.0,18945.0,,,,,,,,,,,1202.0,,,,,35.0,272.0,,0.0,-820.0,,,-92.0,-444.0,
2011-09-30,11550.0,,,,,11004.0,546.0,-478.0,-226.0,-86.0,-140.0,-0.18,-0.18,792.0,792.0,1016.0,,,,0.0,,,4594.0,112.0,11834.0,970.0,,487.0,17885.0,1083.0,1193.0,,5320.0,,1856.0,,926.0,,5251.0,-513.0,6485.0,17885.0,,,,,,,,,,,985.0,,,,,35.0,548.0,,0.0,-957.0,,,-273.0,-579.0,
2011-12-31,15658000000.0,,,,,14965000000.0,693000000.0,-370000000.0,323000000.0,145000000.0,178000000.0,0.23,0.23,774000000.0,775000000.0,829000000.0,,,,-2303000000.0,,,4345000000.0,97000000.0,12127000000.0,970000000.0,,626000000.0,18068000000.0,1057000000.0,996000000.0,,4533000000.0,,2566000000.0,,910000000.0,,5395000000.0,-224000000.0,6877000000.0,18068000000.0,,,128000000.0,,,,,,,,1385000000.0,,,,,35000000.0,968000000.0,,0.0,-1051000000.0,,,-766000000.0,-432000000.0,
2012-03-31,3991000000.0,,,,,3969000000.0,22000000.0,137000000.0,159000000.0,61000000.0,98000000.0,0.13,0.13,771000000.0,772000000.0,1558000000.0,,,,219000000.0,,,5120000000.0,73000000.0,12095000000.0,970000000.0,,641000000.0,18826000000.0,1208000000.0,1024000000.0,,5047000000.0,,2638000000.0,,924000000.0,,5486000000.0,-57000000.0,7097000000.0,18826000000.0,,,14000000.0,,,,,,,,1225000000.0,,,,,0.0,127000000.0,,,-12000000.0,,,-484000000.0,729000000.0,
2012-06-30,8606000000.0,,,,,8125000000.0,481000000.0,-92000000.0,527000000.0,200000000.0,327000000.0,0.43,0.43,764000000.0,771000000.0,1083000000.0,,,,284000000.0,,,4691000000.0,59000000.0,12342000000.0,970000000.0,,513000000.0,18516000000.0,1153000000.0,1142000000.0,,5080000000.0,,2563000000.0,,945000000.0,,5692000000.0,-320000000.0,6840000000.0,18516000000.0,,,38000000.0,,,,,,,,1370000000.0,,,,,0.0,543000000.0,,-14000000.0,-368000000.0,,,-748000000.0,-475000000.0,
