Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,2929364000.0,,,833000.0,299178000.0,2620769000.0,308595000.0,,147637000.0,21275000.0,59388000.0,,,,,3518835000.0,,530331000.0,26523000.0,75858000.0,,39833000.0,4456824000.0,,14122595000.0,,92010000.0,178936000.0,20267154000.0,119156000.0,915663000.0,,2394645000.0,,50229000.0,,89937000.0,12806166000.0,440249000.0,,5851771000.0,20267154000.0,,28932000.0,-6450000.0,104581000.0,-543000.0,,,,,,637905000.0,,,,,,1127268000.0,43305000.0,,-1315774000.0,,,-765800000.0,-1436581000.0,150000.0
2010-09-30,4838136000.0,,,1258000.0,492654000.0,4146236000.0,691900000.0,,441632000.0,46436000.0,273885000.0,0.25,0.21,660836841.0,789156247.0,2394712000.0,,618998000.0,27751000.0,26931000.0,,41481000.0,3313560000.0,,14471865000.0,,91735000.0,180060000.0,20247997000.0,101163000.0,1048075000.0,,2315961000.0,,44762000.0,,74260000.0,12445778000.0,608260000.0,,6111539000.0,20247997000.0,,42552000.0,58042000.0,219592000.0,479000.0,,,,,,1207998000.0,,,,,,1650264000.0,44599000.0,,-2525717000.0,,,-1254917000.0,-2560704000.0,175000.0
2011-03-31,2111919000.0,,,573000.0,210485000.0,1625992000.0,485927000.0,,,45211000.0,289323000.0,0.32,0.28,723389226.0,811239242.0,3133941000.0,,803100000.0,33633000.0,33860000.0,,54219000.0,4205285000.0,,14693989000.0,,87905000.0,180538000.0,21236990000.0,87734000.0,1072192000.0,,2586974000.0,,124038000.0,,81182000.0,12411208000.0,1108859000.0,,6957581000.0,21236990000.0,,20239000.0,35372000.0,119311000.0,1239000.0,,,,,,418378000.0,,,,,,332508000.0,329000.0,,-179778000.0,,,-147793000.0,96860000.0,-5726000.0
2011-06-30,4457015000.0,,,2993000.0,434046000.0,3362966000.0,1094049000.0,,,99585000.0,699960000.0,0.82,0.73,728695140.0,811274706.0,3479106000.0,,968988000.0,35634000.0,14713000.0,,51636000.0,4721305000.0,,14892790000.0,,85844000.0,180491000.0,21737157000.0,92953000.0,1136304000.0,,2739342000.0,,133859000.0,,79938000.0,12370507000.0,1476466000.0,,7397998000.0,21737157000.0,,33289000.0,61255000.0,297370000.0,3046000.0,,,,,,1081523000.0,,,,,,720696000.0,575000.0,,-350175000.0,,,-304986000.0,442025000.0,-5672000.0
2011-09-30,6866390000.0,,,,674718000.0,5139785000.0,1726605000.0,,1510727000.0,151960000.0,1124839000.0,1.31,1.17,729773246.0,812543534.0,3951575000.0,,,33462000.0,9664000.0,,,5342656000.0,,14804973000.0,,82546000.0,176247000.0,21965251000.0,103319000.0,1318857000.0,,2332971000.0,,134928000.0,,81950000.0,12267013000.0,1830097000.0,,7629156000.0,21965251000.0,,47242000.0,69219000.0,502848000.0,1287000.0,,,,,,1929173000.0,,,,,,1087605000.0,100000.0,,-492122000.0,,,-520611000.0,914494000.0,-5582000.0
2011-12-31,9410745000.0,,,,836924000.0,7020858000.0,2389887000.0,,2094823000.0,211704000.0,1560123000.0,1.74,1.56,728343428.0,811816687.0,3902718000.0,,,34990000.0,-133093000.0,,,5397152000.0,,15030979000.0,,80068000.0,169352000.0,22244123000.0,104113000.0,1439110000.0,,2498706000.0,,205438000.0,,89445000.0,12804971000.0,2145692000.0,,7850689000.0,22244123000.0,,62714000.0,90927000.0,789163000.0,2841000.0,,,,,,2662496000.0,,,,,,1508493000.0,100000.0,,-698106000.0,,,-1093461000.0,865637000.0,-5423000.0
2012-03-31,2762742000.0,,,,218717000.0,2055188000.0,707554000.0,,642280000.0,63171000.0,498942000.0,0.66,0.61,760437437.0,818797155.0,4056360000.0,,,40014000.0,15066000.0,,,5722739000.0,,15329602000.0,,78017000.0,141751000.0,22871032000.0,105205000.0,1422931000.0,,2492818000.0,,159427000.0,,105039000.0,12573184000.0,2438945000.0,,8806476000.0,22871032000.0,,19166000.0,-4083000.0,223358000.0,4742000.0,,,,,,667451000.0,,,,,,398260000.0,,,-397694000.0,,,-144576000.0,153642000.0,1955000.0
2012-06-30,5344648000.0,,,,477755000.0,4239366000.0,1105282000.0,,967746000.0,102256000.0,739529000.0,0.94,0.9,821110555.0,826102326.0,3522000000.0,,,40537000.0,14075000.0,,,5225597000.0,,15299920000.0,,75435000.0,128163000.0,22416806000.0,134447000.0,1550990000.0,,2249470000.0,,153918000.0,,117658000.0,12229776000.0,2473724000.0,,8828748000.0,22416806000.0,,32867000.0,-16489000.0,319650000.0,5330000.0,,,,,,1418319000.0,,,,,,735512000.0,,,-734488000.0,,,-1078199000.0,-380718000.0,56154000.0
2012-09-30,8054130000.0,,,,746587000.0,6414753000.0,1639377000.0,,1446077000.0,135607000.0,1089311000.0,1.36,1.32,821482154.0,825606248.0,3745415000.0,,,42511000.0,12023000.0,,,5599077000.0,,15638535000.0,,73165000.0,140770000.0,23158362000.0,150192000.0,1725871000.0,,2519977000.0,,156346000.0,,128858000.0,12634308000.0,2598984000.0,,9068196000.0,23158362000.0,,50268000.0,-20671000.0,509089000.0,7026000.0,,,,,,2172833000.0,,,,,,1062778000.0,,,-1061229000.0,,,-1306015000.0,-157303000.0,100397000.0
2012-12-31,11131132000.0,,,,1061935000.0,8819750000.0,2311382000.0,,2062576000.0,180763000.0,1524093000.0,1.89,1.85,806395660.0,824556036.0,2512766000.0,,,43875000.0,-140366000.0,,,4477514000.0,,15766748000.0,,70618000.0,130348000.0,22163652000.0,106498000.0,1895483000.0,,2622823000.0,,185945000.0,,133936000.0,13505240000.0,560452000.0,,7061842000.0,22163652000.0,,65428000.0,5188000.0,675461000.0,8355000.0,,,,,,3057757000.0,,,,,,1449234000.0,,,-1445632000.0,,,-3045306000.0,-1389952000.0,115045000.0
