Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,196365000.0,,,,,,47000000.0,401000.0,17313000.0,,16072000.0,0.25,0.25,30628000.0,30736000.0,25245000.0,,,,,,,,,,4106000.0,,,1998044000.0,,,,,,,,,1497240000.0,,-56836000.0,475939000.0,1998044000.0,51266000.0,,,,,,1447000.0,-234000.0,,,66916000.0,,,,,,,,,-51622000.0,161999000.0,,-3868000.0,11426000.0,
2010-09-30,297749000.0,,,,,,68285000.0,618000.0,24568000.0,,22821000.0,0.36,0.36,33312000.0,33413000.0,100091000.0,,,,,,,,,,4106000.0,,,2189851000.0,,,,,,,,,1701000000.0,,-60975000.0,465450000.0,2189851000.0,78407000.0,,,,,,4351000.0,399000.0,,,106668000.0,,,,,,,,,-188264000.0,247104000.0,,167868000.0,86272000.0,
2010-12-31,402229000.0,,,,,,90644000.0,837000.0,32026000.0,,29761000.0,0.57,0.56,31856000.0,31977000.0,45942000.0,,,,,,,,,,4106000.0,,,2176048000.0,,,,,,,,,1631656000.0,,-48847000.0,518503000.0,2176048000.0,106692000.0,,,,,,5529000.0,109000.0,,,133794000.0,,,,,,,,,-254271000.0,305526000.0,,152600000.0,32123000.0,
2011-03-31,107338000.0,,,,,,24024000.0,235000.0,9400000.0,,8844000.0,0.25,0.24,,,47222000.0,,,,,,,,,,4106000.0,,,2201747000.0,,,,,,,,,1574725000.0,,-41639000.0,600005000.0,2201747000.0,28456000.0,,,,,,1470000.0,789000.0,,,31302000.0,,,,,,,,,-47287000.0,91443000.0,,17265000.0,1280000.0,
2011-06-30,217339000.0,,,,,,46857000.0,349000.0,17196000.0,,16272000.0,0.45,0.44,36836000.0,38923000.0,12838000.0,,,,,,,,,,4106000.0,,,2313521000.0,,,,,,,,,1669079000.0,,-42268000.0,617640000.0,2313521000.0,57318000.0,,,,,,-1943000.0,1012000.0,,,83551000.0,,,,,,,,,-226570000.0,125737000.0,,109915000.0,-33104000.0,
2011-09-30,333166000.0,,,,,,72931000.0,457000.0,26818000.0,,30063000.0,0.82,0.81,37274000.0,38722000.0,24254000.0,,,,,,,,,,4106000.0,,,2412027000.0,,,,,,,,,1729940000.0,,-41584000.0,654501000.0,2412027000.0,87475000.0,4445000.0,,,,,3276000.0,1262000.0,,,129211000.0,,,,,,,,,-321185000.0,170515000.0,,170286000.0,-21688000.0,
2011-12-31,448992000.0,,,,,,99729000.0,574000.0,38325000.0,,48821000.0,1.32,1.31,36995000.0,39086000.0,57317000.0,,,,,,,,,,4106000.0,,,2530468000.0,,,,,,,,,1782969000.0,,-35848000.0,718331000.0,2530468000.0,119329000.0,5519000.0,,,,,1356000.0,265000.0,,,172288000.0,,,,,,,,,-442160000.0,235741000.0,,281247000.0,11375000.0,
2012-03-31,119631000.0,,,,,,30879000.0,108000.0,15882000.0,,23890000.0,0.6,0.6,39505000.0,39607000.0,41826000.0,,,,,,,,,,4106000.0,,,2527410000.0,,,,,,,,,1659246000.0,,-31800000.0,834526000.0,2527410000.0,31549000.0,814000.0,,,,,-2445000.0,1910000.0,,,37840000.0,,,,,,,,,-34042000.0,120135000.0,,-19289000.0,-15491000.0,
2012-06-30,242095000.0,,,,,,62030000.0,254000.0,32158000.0,,52050000.0,1.29,1.29,40983000.0,41028000.0,22341000.0,,,,,,,,,,4106000.0,,,2599088000.0,,,,,,,,,1728428000.0,,-30891000.0,839387000.0,2599088000.0,64341000.0,1231000.0,,,,,63000.0,3498000.0,,,100864000.0,,,,,,,,,-113239000.0,120148000.0,,-22601000.0,-34976000.0,
2012-09-30,364743000.0,,,,,,92991000.0,343000.0,47771000.0,,82916000.0,2.04,2.03,41405000.0,43221000.0,13422000.0,,,,,,,,,,4106000.0,,,2775835000.0,,,,,,,,,1845830000.0,,-30467000.0,894175000.0,2775835000.0,97691000.0,1730000.0,,,,,4569000.0,3572000.0,,,158021000.0,,,,,,,,,-310982000.0,173960000.0,,109066000.0,-43895000.0,
