Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-01-01,10908000000.0,,,,,11060000000.0,-152000000.0,,,-65000000.0,-346000000.0,-0.97,-0.97,,,115000000.0,,,1444000000.0,255000000.0,,199000000.0,2851000000.0,,1362000000.0,875000000.0,,393000000.0,7933000000.0,562000000.0,688000000.0,,2287000000.0,,,,1077000000.0,,3103000000.0,13000000.0,1142000000.0,7933000000.0,,,,,,,,,,,868000000.0,,,16000000.0,,,147000000.0,39000000.0,-75000000.0,-69000000.0,27000000.0,,-818000000.0,-19000000.0,
2010-03-26,2630000000.0,,,,,2450000000.0,180000000.0,,,46000000.0,83000000.0,0.23,0.22,,,118000000.0,,,1503000000.0,254000000.0,,84000000.0,3015000000.0,,1339000000.0,875000000.0,,219000000.0,8793000000.0,499000000.0,669000000.0,,2313000000.0,,,,1070000000.0,,3038000000.0,0.0,,8793000000.0,,,,,,,,,,,160000000.0,,,,,,25000000.0,16000000.0,-20000000.0,-24000000.0,17000000.0,,-133000000.0,3000000.0,
2010-06-18,5401000000.0,,,,,4995000000.0,406000000.0,,,111000000.0,202000000.0,0.56,0.54,362100000.0,377400000.0,100000000.0,,,1467000000.0,242000000.0,,93000000.0,2951000000.0,,1335000000.0,875000000.0,,202000000.0,8647000000.0,475000000.0,679000000.0,,2351000000.0,,,,1084000000.0,,3130000000.0,-5000000.0,1224000000.0,8647000000.0,,,,,,,,,,,522000000.0,,,,,,64000000.0,20000000.0,-25000000.0,-69000000.0,54000000.0,,-468000000.0,-15000000.0,
2010-09-10,8049000000.0,,,,,7476000000.0,573000000.0,,,156000000.0,285000000.0,0.79,0.76,363100000.0,378100000.0,223000000.0,,,1455000000.0,223000000.0,,155000000.0,3061000000.0,,1327000000.0,875000000.0,,188000000.0,8789000000.0,509000000.0,691000000.0,,2496000000.0,,,,1095000000.0,,3191000000.0,6000000.0,1355000000.0,8789000000.0,,,,,,,,,,,913000000.0,,,,,,147000000.0,35000000.0,-35000000.0,-161000000.0,78000000.0,,-644000000.0,108000000.0,
2010-12-31,,,,,,,,,,,,,,,,505000000.0,,,1489000000.0,1136000000.0,,123000000.0,3382000000.0,,1307000000.0,875000000.0,,205000000.0,8983000000.0,634000000.0,551000000.0,,2501000000.0,,23000000.0,,893000000.0,,3286000000.0,-2000000.0,,8983000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-25,2778000000.0,,,,,2587000000.0,191000000.0,,,51000000.0,101000000.0,0.27,0.26,367100000.0,381800000.0,144000000.0,,,1459000000.0,241000000.0,,107000000.0,2999000000.0,,1412000000.0,875000000.0,,224000000.0,8760000000.0,557000000.0,608000000.0,,2423000000.0,,,,889000000.0,,3310000000.0,2000000.0,1386000000.0,8760000000.0,,,,,,,,,,,139000000.0,,,,,,62000000.0,37000000.0,14000000.0,-178000000.0,45000000.0,,-322000000.0,-361000000.0,
2011-06-17,5750000000.0,,,,,5327000000.0,423000000.0,,,117000000.0,236000000.0,0.65,0.63,362000000.0,375900000.0,117000000.0,,,1365000000.0,237000000.0,,120000000.0,2938000000.0,,1483000000.0,875000000.0,,336000000.0,8791000000.0,607000000.0,667000000.0,,2917000000.0,,,,937000000.0,,3401000000.0,-11000000.0,1136000000.0,8791000000.0,,,,,,,,,,,481000000.0,,,,,,91000000.0,47000000.0,95000000.0,-226000000.0,62000000.0,,-643000000.0,-388000000.0,
2011-12-30,12317000000.0,,,,,11791000000.0,526000000.0,,356000000.0,158000000.0,198000000.0,0.56,0.55,350100000.0,362300000.0,102000000.0,,,11000000.0,1127000000.0,,0.0,1324000000.0,,1168000000.0,875000000.0,,261000000.0,5910000000.0,,491000000.0,,2558000000.0,,15000000.0,,883000000.0,,3212000000.0,-48000000.0,,5910000000.0,168000000.0,,156000000.0,,,,,,,,1089000000.0,,,0.0,,,183000000.0,74000000.0,11000000.0,-247000000.0,124000000.0,0.0,-1245000000.0,-403000000.0,45000000.0
2012-03-23,2552000000.0,,,,,2377000000.0,175000000.0,,147000000.0,43000000.0,104000000.0,0.31,0.3,333700000.0,344600000.0,290000000.0,,,12000000.0,230000000.0,,7000000.0,1464000000.0,,1367000000.0,875000000.0,,273000000.0,6171000000.0,,464000000.0,,2906000000.0,,,,882000000.0,,3249000000.0,-38000000.0,-848000000.0,6171000000.0,29000000.0,,,,,,,,,,125000000.0,,,,,,197000000.0,10000000.0,8000000.0,-135000000.0,30000000.0,,198000000.0,188000000.0,
2012-06-15,5328000000.0,,,,,4910000000.0,418000000.0,,356000000.0,109000000.0,247000000.0,0.75,0.72,330800000.0,341500000.0,105000000.0,,,12000000.0,181000000.0,,70000000.0,1355000000.0,,1383000000.0,874000000.0,,283000000.0,6007000000.0,,502000000.0,,2642000000.0,,,,868000000.0,,3335000000.0,-53000000.0,-1124000000.0,6007000000.0,67000000.0,,,,,,,,,,417000000.0,,,,,,257000000.0,19000000.0,39000000.0,-219000000.0,48000000.0,,-195000000.0,3000000.0,
