Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,5098684000.0,,,,,2838576000.0,2260108000.0,-42057000.0,2218051000.0,755427000.0,1462532000.0,11.19,11.16,129838000.0,130232000.0,2055439000.0,824345000.0,536472000.0,,243561000.0,,124915000.0,5003147000.0,179987000.0,448994000.0,309228000.0,414704000.0,184301000.0,7470279000.0,290414000.0,1224991000.0,,3167131000.0,,79728000.0,,426719000.0,3958412000.0,1147714000.0,193678000.0,3503760000.0,7470279000.0,,88430000.0,336704000.0,-122445000.0,,,,34231000.0,,,1378162000.0,332571000.0,,,,2913000.0,56563000.0,,5804000.0,-664180000.0,,39025000.0,-184940000.0,550279000.0,
2010-03-31,1308000000.0,,,,,608000000.0,700000000.0,-5000000.0,695000000.0,240000000.0,455000000.0,3.47,3.46,130000000.0,131000000.0,2119000000.0,831000000.0,505000000.0,,276000000.0,,92000000.0,5106000000.0,172000000.0,433000000.0,293000000.0,408000000.0,159000000.0,7286000000.0,251000000.0,935000000.0,,2822000000.0,,74000000.0,,412000000.0,3454000000.0,1583000000.0,88000000.0,3824000000.0,7286000000.0,,16000000.0,49000000.0,-19000000.0,,,,-36000000.0,,,95000000.0,33000000.0,11000000.0,20000000.0,,,3000000.0,,,-23000000.0,,91000000.0,77000000.0,64000000.0,
2010-06-30,2673000000.0,,,,,1256000000.0,1417000000.0,-9000000.0,1408000000.0,495000000.0,913000000.0,6.97,6.95,131000000.0,131000000.0,2323000000.0,829000000.0,517000000.0,,271000000.0,,78000000.0,5543000000.0,134000000.0,435000000.0,267000000.0,390000000.0,148000000.0,7432000000.0,244000000.0,927000000.0,,2818000000.0,,74000000.0,,392000000.0,3307000000.0,2022000000.0,-72000000.0,4117000000.0,7432000000.0,,31000000.0,110000000.0,12000000.0,,,,-38000000.0,,,438000000.0,68000000.0,60000000.0,56000000.0,,,25000000.0,,,-20000000.0,,89000000.0,59000000.0,268000000.0,
2010-09-30,4101000000.0,,,,,1918000000.0,2183000000.0,-8000000.0,2175000000.0,743000000.0,1431000000.0,10.93,10.89,131000000.0,131000000.0,2479000000.0,836000000.0,580000000.0,,253000000.0,,85000000.0,6233000000.0,118000000.0,433000000.0,297000000.0,412000000.0,160000000.0,8166000000.0,243000000.0,1122000000.0,,2832000000.0,,90000000.0,,388000000.0,3315000000.0,2520000000.0,141000000.0,4842000000.0,8166000000.0,,49000000.0,158000000.0,53000000.0,,,,-45000000.0,,,1027000000.0,118000000.0,86000000.0,94000000.0,,,37000000.0,,1000000.0,-583000000.0,,85000000.0,36000000.0,424000000.0,
2010-12-31,5539000000.0,,,,,2787000000.0,2752000000.0,5000000.0,2757000000.0,910000000.0,1846000000.0,14.1,14.05,131000000.0,131000000.0,3067000000.0,831000000.0,650000000.0,,216000000.0,,85000000.0,6454000000.0,106000000.0,439000000.0,677000000.0,530000000.0,225000000.0,8837000000.0,272000000.0,1315000000.0,,3143000000.0,,74000000.0,,400000000.0,3621000000.0,2915000000.0,95000000.0,5205000000.0,8837000000.0,,63000000.0,213000000.0,115000000.0,,,,-19000000.0,,,1697000000.0,329000000.0,110000000.0,297000000.0,,498000000.0,61000000.0,,3000000.0,-641000000.0,,85000000.0,19000000.0,1012000000.0,
2011-03-31,1501000000.0,,,,,665000000.0,836000000.0,,836000000.0,274000000.0,562000000.0,4.31,4.29,130000000.0,131000000.0,2954000000.0,835000000.0,642000000.0,,174000000.0,,84000000.0,6073000000.0,93000000.0,436000000.0,710000000.0,539000000.0,237000000.0,8502000000.0,283000000.0,1196000000.0,,2791000000.0,,95000000.0,,410000000.0,3300000000.0,3457000000.0,201000000.0,5191000000.0,8502000000.0,,15000000.0,,2000000.0,,,,8000000.0,,,355000000.0,15000000.0,15000000.0,10000000.0,,,10000000.0,,,135000000.0,,7000000.0,-665000000.0,-113000000.0,
2011-06-30,3168000000.0,,,,,1447000000.0,1721000000.0,7000000.0,1728000000.0,558000000.0,1170000000.0,9.08,9.05,129000000.0,129000000.0,2764000000.0,840000000.0,713000000.0,,134000000.0,,68000000.0,6011000000.0,81000000.0,454000000.0,1068000000.0,700000000.0,279000000.0,9025000000.0,336000000.0,1280000000.0,,2964000000.0,,130000000.0,,450000000.0,3544000000.0,4047000000.0,247000000.0,5470000000.0,9025000000.0,,36000000.0,,22000000.0,,,,34000000.0,,,893000000.0,39000000.0,28000000.0,30000000.0,,460000000.0,35000000.0,,,-214000000.0,,10000000.0,-1083000000.0,-303000000.0,
2011-12-31,6714000000.0,,,,,4001000000.0,2713000000.0,33000000.0,2746000000.0,842000000.0,1906000000.0,14.9,14.85,128000000.0,128000000.0,3734000000.0,1215000000.0,808000000.0,,334000000.0,,144000000.0,7741000000.0,70000000.0,449000000.0,1014000000.0,665000000.0,630000000.0,10693000000.0,360000000.0,1610000000.0,,4217000000.0,,113000000.0,,486000000.0,4816000000.0,4745000000.0,-2000000.0,5868000000.0,10693000000.0,,80000000.0,-176000000.0,162000000.0,,,,67000000.0,,,2684000000.0,899000000.0,63000000.0,485000000.0,,460000000.0,77000000.0,,-14000000.0,-748000000.0,,12000000.0,-1215000000.0,667000000.0,
2012-03-31,1758000000.0,,,,,758000000.0,1000000000.0,-1000000.0,999000000.0,318000000.0,682000000.0,5.38,5.36,127000000.0,127000000.0,3684000000.0,1457000000.0,812000000.0,,347000000.0,,175000000.0,8113000000.0,70000000.0,450000000.0,1042000000.0,682000000.0,751000000.0,11131000000.0,274000000.0,1575000000.0,,4092000000.0,,112000000.0,,548000000.0,4752000000.0,5389000000.0,78000000.0,6371000000.0,11131000000.0,,18000000.0,,-7000000.0,,,,-88000000.0,,,427000000.0,398000000.0,111000000.0,43000000.0,,,12000000.0,,,-302000000.0,,33000000.0,-220000000.0,-50000000.0,
2012-06-30,3578000000.0,,,,,1604000000.0,1974000000.0,-2000000.0,1972000000.0,591000000.0,1382000000.0,10.95,10.91,126000000.0,127000000.0,3153000000.0,1803000000.0,844000000.0,,358000000.0,,181000000.0,8283000000.0,41000000.0,458000000.0,1009000000.0,656000000.0,718000000.0,11240000000.0,330000000.0,1475000000.0,,4307000000.0,,105000000.0,,552000000.0,4964000000.0,6052000000.0,-47000000.0,6265000000.0,11240000000.0,,41000000.0,,51000000.0,,,,-27000000.0,,,1068000000.0,1054000000.0,386000000.0,104000000.0,,0.0,40000000.0,,,-690000000.0,,33000000.0,-922000000.0,-581000000.0,
