Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,22744700000.0,,,,2234200000.0,15903700000.0,6841000000.0,24300000.0,,1936000000.0,4551000000.0,4.17,4.11,1092200000.0,1107400000.0,1796000000.0,,,106200000.0,,,,3416300000.0,,21531500000.0,2425200000.0,,1639200000.0,30224900000.0,636000000.0,1659000000.0,,2988700000.0,,1278900000.0,,1363100000.0,,31270800000.0,747400000.0,14033900000.0,30224900000.0,,112900000.0,203000000.0,42000000.0,,,,-2200000.0,,,5751000000.0,,,,,,145700000.0,,108400000.0,-1655300000.0,,73600000.0,-4421000000.0,-267400000.0,
2010-03-31,5610100000.0,,,,546300000.0,3936000000.0,1674100000.0,-6200000.0,,467100000.0,1089800000.0,1.01,1.0,1076000000.0,1090100000.0,2007300000.0,,,99300000.0,,,,3472300000.0,,21070000000.0,2471100000.0,,1655000000.0,29825600000.0,472100000.0,1304500000.0,,2569300000.0,,1248300000.0,,1408600000.0,,31769300000.0,512900000.0,14116800000.0,29825600000.0,,25900000.0,-6300000.0,,,,,,,,1422700000.0,,,,,,401800000.0,,23400000.0,-390400000.0,,40900000.0,-808400000.0,211300000.0,
2010-06-30,11555600000.0,,,,1111200000.0,8036200000.0,3519400000.0,-8100000.0,,976600000.0,2315600000.0,2.16,2.13,1074100000.0,1088100000.0,1665500000.0,,,94400000.0,,,,3166500000.0,,20293000000.0,2413900000.0,,1589500000.0,28675400000.0,578000000.0,1246200000.0,,2582800000.0,,1244700000.0,,1424800000.0,,32406700000.0,-278900000.0,13131800000.0,28675400000.0,,44700000.0,-6600000.0,,,,,,,,2671400000.0,,,,,,796300000.0,,55500000.0,-781100000.0,,63700000.0,-1930700000.0,-341800000.0,
2010-09-30,17860500000.0,,,,1667500000.0,12244600000.0,5615900000.0,-15300000.0,,1562700000.0,3704000000.0,3.46,3.42,1069700000.0,1083900000.0,2495000000.0,,,103600000.0,,,,4176500000.0,,21477500000.0,2521500000.0,,1697100000.0,31168500000.0,596500000.0,1419600000.0,,3266300000.0,,1336900000.0,,1570400000.0,,32568900000.0,703800000.0,13637800000.0,31168500000.0,,64700000.0,12100000.0,,,,,,,,4615800000.0,,,,,,1319400000.0,,64700000.0,-1227100000.0,,92600000.0,-2718600000.0,829500000.0,
2010-12-31,24074600000.0,,,,2333300000.0,16601500000.0,7473100000.0,-21900000.0,,2054000000.0,4946300000.0,4.64,4.58,1066000000.0,1080300000.0,2387000000.0,,,109900000.0,546800000.0,,,4368500000.0,,22060600000.0,2586100000.0,,1624700000.0,31975200000.0,943900000.0,,,2924700000.0,,1332400000.0,,1586900000.0,,33811700000.0,752900000.0,14634200000.0,31975200000.0,,83100000.0,-75700000.0,50100000.0,,,,-39800000.0,,,6341600000.0,,,,,,183400000.0,,115000000.0,-2056000000.0,,128700000.0,-3728700000.0,591000000.0,
2011-03-31,6111600000.0,,,,563600000.0,4285700000.0,1825900000.0,-6900000.0,,489900000.0,1209000000.0,1.16,1.15,1042400000.0,1054600000.0,1939900000.0,,,111500000.0,,,,3824200000.0,,22644800000.0,2669600000.0,,1624100000.0,32080200000.0,700900000.0,,,4254100000.0,,1303700000.0,,1544500000.0,,34386200000.0,1254200000.0,14453600000.0,32080200000.0,,24000000.0,-13000000.0,,,,,,,,1553100000.0,,,,,,508700000.0,,1700000.0,-519200000.0,,21800000.0,-1512300000.0,-447100000.0,
2011-06-30,13017000000.0,,,,1151600000.0,9002000000.0,4015000000.0,-7800000.0,,1146100000.0,2619200000.0,2.52,2.49,1039000000.0,1051400000.0,2070000000.0,,,115000000.0,,,,4025400000.0,,23015800000.0,2725400000.0,,1710800000.0,32833000000.0,709900000.0,,,3948800000.0,,1320400000.0,,1548200000.0,,35165000000.0,1544400000.0,14952800000.0,32833000000.0,,44100000.0,38700000.0,,,,,,,,3195900000.0,,,,,,1099100000.0,,71900000.0,-972300000.0,,57400000.0,-2637700000.0,-317000000.0,
2011-09-30,20183300000.0,,,,1732500000.0,13773600000.0,6409700000.0,-15300000.0,,1902000000.0,4126500000.0,3.98,3.94,1035500000.0,1048200000.0,2388800000.0,,,115000000.0,,,,4421900000.0,,22337900000.0,2638400000.0,,1487200000.0,32277500000.0,750100000.0,,,5078200000.0,,1352200000.0,,1520800000.0,,35329800000.0,548500000.0,13338200000.0,32277500000.0,,65300000.0,185400000.0,,,,,,,,5365500000.0,,,,,,1791400000.0,,133500000.0,-1672100000.0,,83200000.0,-3616000000.0,318800000.0,
2011-12-31,27006000000.0,,,,2393700000.0,18476300000.0,8529700000.0,-24700000.0,,2509100000.0,5503100000.0,5.33,5.27,1032100000.0,1044900000.0,2335700000.0,,,116800000.0,660100000.0,,,4403000000.0,,22834500000.0,2653200000.0,,1672200000.0,32989900000.0,961300000.0,,,3509200000.0,,1344100000.0,,1612600000.0,,36707500000.0,449700000.0,14390200000.0,32989900000.0,,86200000.0,188400000.0,160800000.0,,,,35800000.0,,,7150100000.0,,,,,,186400000.0,,166100000.0,-2570900000.0,,112500000.0,-4533000000.0,-51300000.0,
2012-03-31,6546600000.0,,,,592500000.0,4582000000.0,1964600000.0,11800000.0,,580800000.0,1266700000.0,1.24,1.23,1018200000.0,1030000000.0,2289100000.0,,,111700000.0,,,,4254800000.0,,23304500000.0,2719100000.0,,1689800000.0,33334200000.0,708300000.0,,,3646400000.0,,1396200000.0,,1575400000.0,,37262500000.0,799200000.0,14660500000.0,33334200000.0,,26500000.0,22600000.0,,,,,,,,1633500000.0,,,,,,588400000.0,,18700000.0,-597400000.0,,46700000.0,-1131400000.0,-46600000.0,
