Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,669709000.0,303938000.0,365771000.0,87536000.0,120525000.0,209299000.0,156472000.0,,153816000.0,12560000.0,141256000.0,0.77,0.76,183856000.0,187861000.0,361291000.0,,113763000.0,112784000.0,73744000.0,,50348000.0,1442737000.0,,495065000.0,36165000.0,28996000.0,19016000.0,2443607000.0,,,97583000.0,185135000.0,,377647000.0,,3983000.0,,1253977000.0,2712000.0,1483875000.0,2443607000.0,67735000.0,27335000.0,,-25238000.0,19216000.0,,,,13652000.0,,344019000.0,1311946000.0,,,,,5975000.0,,,-263091000.0,18578000.0,2050000.0,-165966000.0,-85038000.0,
2010-03-31,947729000.0,413487000.0,534242000.0,120823000.0,167222000.0,289283000.0,244959000.0,,237813000.0,20808000.0,217005000.0,1.18,1.16,183642000.0,187339000.0,492130000.0,,137806000.0,116579000.0,77810000.0,,51383000.0,1610969000.0,,493039000.0,40338000.0,35527000.0,19225000.0,2516313000.0,,,98941000.0,203390000.0,,376713000.0,,5018000.0,,1266699000.0,3032000.0,1533380000.0,2516313000.0,90057000.0,36778000.0,,-49078000.0,15239000.0,,,,15010000.0,,452047000.0,1576044000.0,,,,,15439000.0,,,-195262000.0,36478000.0,2094000.0,-210984000.0,45801000.0,
2010-06-30,320801000.0,121358000.0,199443000.0,38657000.0,53679000.0,92811000.0,106632000.0,,,13071000.0,89566000.0,0.48,0.47,185540.0,190072.0,523474000.0,,193499000.0,128129000.0,95529000.0,,54558000.0,1847882000.0,,507666000.0,49474000.0,77637000.0,50481000.0,2693269000.0,,,108070000.0,284084000.0,,395356000.0,,7920000.0,,1292812000.0,-4253000.0,1567465000.0,2693269000.0,25163000.0,9451000.0,,-9248000.0,-6611000.0,,,,6807000.0,,133318000.0,243209000.0,,,,112707000.0,142000.0,,,-45831000.0,7310000.0,,-56143000.0,31344000.0,
2010-12-31,1107220000.0,458375000.0,648845000.0,126448000.0,170896000.0,299023000.0,349822000.0,,,42114000.0,293422000.0,1.57,1.53,187488.0,196255.0,500616000.0,,187267000.0,177705000.0,107617000.0,,52594000.0,1738444000.0,,528215000.0,59457000.0,79074000.0,41704000.0,2828726000.0,,,142685000.0,299935000.0,,415807000.0,,11257000.0,,1303311000.0,2774000.0,1649945000.0,2828726000.0,80153000.0,27785000.0,,-3016000.0,-20779000.0,,,,41422000.0,,430124000.0,859307000.0,,,,112707000.0,14843000.0,,,-217417000.0,51347000.0,1240000.0,-204221000.0,8486000.0,
2011-03-31,1487205000.0,612769000.0,874436000.0,170607000.0,227781000.0,400253000.0,474183000.0,,,31531000.0,418950000.0,2.24,2.15,187066000.0,194715000.0,703924000.0,,181202000.0,180800000.0,88822000.0,,58429000.0,1774983000.0,,540513000.0,76018000.0,77929000.0,33777000.0,2968058000.0,,,140044000.0,340316000.0,,399527000.0,,10318000.0,,1428838000.0,3357000.0,1812438000.0,2968058000.0,106612000.0,36812000.0,8340000.0,6341000.0,-22068000.0,,,,38781000.0,,,1008056000.0,,,,112707000.0,29587000.0,,,-187850000.0,71940000.0,1854000.0,-183017000.0,211794000.0,
2011-12-31,1044265000.0,445744000.0,598521000.0,134937000.0,161637000.0,295914000.0,302607000.0,,287773000.0,,256069000.0,1.34,1.26,191640000.0,203291000.0,605725000.0,,149277000.0,217853000.0,87337000.0,,49634000.0,1830080000.0,,533652000.0,76098000.0,75051000.0,38184000.0,3021151000.0,,92741000.0,115786000.0,248566000.0,,397709000.0,71386000.0,8844000.0,,1485989000.0,-1755000.0,1941305000.0,3021151000.0,75170000.0,28470000.0,,-31925000.0,36297000.0,,,,-24258000.0,,293998000.0,962119000.0,,,,0.0,6878000.0,,,-234129000.0,40410000.0,441000.0,-158068000.0,-98199000.0,
2012-03-31,1383176000.0,590782000.0,792394000.0,182650000.0,212391000.0,395878000.0,396516000.0,,379695000.0,,336705000.0,1.76,1.65,191283000.0,203519000.0,635755000.0,,170201000.0,217278000.0,-320177000.0,,52524000.0,2015861000.0,,516611000.0,93513000.0,90436000.0,38769000.0,3083776000.0,50287000.0,88877000.0,108709000.0,247873000.0,,411368000.0,70490000.0,8322000.0,,1499365000.0,3101000.0,1990673000.0,3083776000.0,99424000.0,38289000.0,13661000.0,-11845000.0,35240000.0,,,,-31335000.0,,396458000.0,1133625000.0,,,,0.0,44398000.0,,,-256482000.0,57457000.0,576000.0,-208145000.0,-68169000.0,
2012-06-30,352134000.0,149055000.0,203079000.0,48826000.0,57920000.0,106746000.0,96333000.0,,90864000.0,,78710000.0,0.41,0.39,193452000.0,203700000.0,779848000.0,,174685000.0,221481000.0,94968000.0,,50815000.0,2229298000.0,,506229000.0,102193000.0,110257000.0,37387000.0,3144840000.0,,86550000.0,110793000.0,249989000.0,,416980000.0,73261000.0,29265000.0,,1510326000.0,2963000.0,2017990000.0,3144840000.0,25245000.0,9986000.0,,2814000.0,-316000.0,,,,2084000.0,,128971000.0,29130000.0,,,,20556000.0,1609000.0,,,77890000.0,4961000.0,20000.0,-62768000.0,144093000.0,
2012-09-30,735432000.0,,398992000.0,112908000.0,127359000.0,294565000.0,104427000.0,,92983000.0,,57526000.0,0.3,0.28,194060000.0,204627000.0,436735000.0,,230457000.0,289526000.0,116866000.0,,65088000.0,2289278000.0,,536727000.0,260059000.0,607127000.0,41183000.0,3888376000.0,,120086000.0,123122000.0,325473000.0,,434603000.0,179807000.0,24739000.0,,1420996000.0,6689000.0,1964098000.0,3888376000.0,76456000.0,24593000.0,,116000.0,-22334000.0,,,,3037000.0,,192271000.0,443106000.0,,,,20556000.0,2204000.0,,,-873165000.0,16318000.0,112000.0,480535000.0,-199020000.0,
2012-12-31,1151479000.0,,599420000.0,184285000.0,196727000.0,477580000.0,121840000.0,,102675000.0,,67699000.0,0.35,0.33,194958000.0,204553000.0,465293000.0,,177502000.0,261594000.0,129704000.0,,75472000.0,2296583000.0,,522737000.0,263311000.0,570804000.0,40427000.0,3843524000.0,,119617000.0,122611000.0,296279000.0,,445492000.0,181418000.0,21840000.0,,1362472000.0,6774000.0,1927086000.0,3843524000.0,140468000.0,38713000.0,-9981000.0,-52839000.0,-47146000.0,,,,2526000.0,,321178000.0,646424000.0,,,,20556000.0,4018000.0,,,-920807000.0,22619000.0,154000.0,428181000.0,-170462000.0,
