Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,82059000000.0,77966000000.0,4093000000.0,,,2658000000.0,1435000000.0,39000000.0,,417000000.0,,3.41,3.36,269000000.0,274000000.0,3428000000.0,,,8842000000.0,,,265000000.0,20854000000.0,,835000000.0,3559000000.0,580000000.0,1475000000.0,27539000000.0,13021000000.0,2430000000.0,1250000000.0,16918000000.0,,,,1204000000.0,,6921000000.0,23000000.0,,27539000000.0,350000000.0,83000000.0,,-415000000.0,-205000000.0,,,1131000000.0,57000000.0,,1725000000.0,,,,,18000000.0,137000000.0,,-31000000.0,-203000000.0,159000000.0,,-237000000.0,1319000000.0,
2010-03-31,108702000000.0,103026000000.0,5676000000.0,376000000.0,,3668000000.0,2008000000.0,43000000.0,,601000000.0,,4.7,4.62,269000000.0,273000000.0,3731000000.0,,,9441000000.0,,,257000000.0,21504000000.0,,851000000.0,3568000000.0,551000000.0,1481000000.0,28189000000.0,13255000000.0,2536000000.0,1218000000.0,17012000000.0,,,,1352000000.0,,7236000000.0,6000000.0,,28189000000.0,,114000000.0,,-133000000.0,-782000000.0,,,1340000000.0,27000000.0,,2316000000.0,,,,,18000000.0,199000000.0,,-31000000.0,-309000000.0,212000000.0,,-421000000.0,1622000000.0,234000000.0
2010-06-30,27450000000.0,26058000000.0,1392000000.0,,,,474000000.0,9000000.0,,142000000.0,,1.12,1.1,266000000.0,272000000.0,3265000000.0,,,9429000000.0,,,265000000.0,20791000000.0,,864000000.0,3522000000.0,522000000.0,1472000000.0,27399000000.0,13296000000.0,2434000000.0,1160000000.0,16890000000.0,,,,1352000000.0,,7488000000.0,-51000000.0,,27399000000.0,120000000.0,33000000.0,,-172000000.0,28000000.0,,,80000000.0,-69000000.0,,528000000.0,,,,,,52000000.0,,-8000000.0,-79000000.0,,,-903000000.0,-466000000.0,
2010-09-30,54984000000.0,52226000000.0,2758000000.0,,,1867000000.0,891000000.0,12000000.0,,263000000.0,,2.39,2.34,262000000.0,267000000.0,3050000000.0,,,8763000000.0,,,256000000.0,20244000000.0,,860000000.0,3529000000.0,520000000.0,1484000000.0,26792000000.0,12834000000.0,1411000000.0,1066000000.0,16385000000.0,,,,1313000000.0,,7767000000.0,-2000000.0,,26792000000.0,238000000.0,66000000.0,,145000000.0,-662000000.0,,,-417000000.0,-178000000.0,,798000000.0,,,,,,107000000.0,,22000000.0,-95000000.0,194000000.0,,-1376000000.0,-681000000.0,
2010-12-31,83231000000.0,79012000000.0,4219000000.0,,,3021000000.0,1198000000.0,19000000.0,,369000000.0,,3.01,2.96,259000000.0,264000000.0,3213000000.0,,,9547000000.0,,,286000000.0,21693000000.0,,934000000.0,4321000000.0,1596000000.0,1699000000.0,30396000000.0,13581000000.0,1890000000.0,1357000000.0,19685000000.0,,,,1326000000.0,,7876000000.0,51000000.0,,30396000000.0,352000000.0,99000000.0,,198000000.0,-22000000.0,,,52000000.0,82000000.0,,1338000000.0,,,,,292000000.0,157000000.0,,15000000.0,-466000000.0,238000000.0,,-1396000000.0,-518000000.0,
2011-03-31,112084000000.0,106114000000.0,5970000000.0,407000000.0,,4149000000.0,1821000000.0,36000000.0,1635000000.0,505000000.0,1202000000.0,4.65,4.57,258000000.0,263000000.0,3612000000.0,,,9225000000.0,-964000000.0,,333000000.0,22357000000.0,,991000000.0,4364000000.0,1456000000.0,1566000000.0,30886000000.0,14090000000.0,1861000000.0,1321000000.0,18726000000.0,,,,1353000000.0,,8250000000.0,87000000.0,7220000000.0,30886000000.0,,137000000.0,128000000.0,673000000.0,-367000000.0,,,533000000.0,42000000.0,,2338000000.0,,,,,292000000.0,233000000.0,,53000000.0,-624000000.0,367000000.0,,-1841000000.0,-119000000.0,347000000.0
2011-06-30,29980000000.0,28471000000.0,1509000000.0,,,,472000000.0,8000000.0,416000000.0,130000000.0,286000000.0,1.15,1.13,249000000.0,254000000.0,3116000000.0,,,9530000000.0,,,,22374000000.0,,988000000.0,4439000000.0,1414000000.0,1649000000.0,31017000000.0,14547000000.0,1820000000.0,1290000000.0,19142000000.0,,,,1383000000.0,,8486000000.0,103000000.0,6917000000.0,31017000000.0,135000000.0,39000000.0,,195000000.0,303000000.0,,,445000000.0,-50000000.0,,326000000.0,,,,,105000000.0,58000000.0,,-60000000.0,-154000000.0,,,-668000000.0,-496000000.0,
2011-09-30,60196000000.0,57040000000.0,3156000000.0,,,2206000000.0,950000000.0,14000000.0,836000000.0,254000000.0,582000000.0,2.35,2.31,247000000.0,252000000.0,3943000000.0,,,9426000000.0,,,,23262000000.0,,1006000000.0,4487000000.0,1383000000.0,1769000000.0,31907000000.0,14895000000.0,1980000000.0,1528000000.0,19845000000.0,,,,1368000000.0,,8731000000.0,-21000000.0,7116000000.0,31907000000.0,271000000.0,78000000.0,,435000000.0,269000000.0,,,880000000.0,191000000.0,,1395000000.0,,,,,191000000.0,126000000.0,,-69000000.0,-349000000.0,,,-685000000.0,331000000.0,
2011-12-31,91035000000.0,86313000000.0,4722000000.0,,,3280000000.0,1442000000.0,12000000.0,1262000000.0,380000000.0,882000000.0,3.57,3.51,247000000.0,252000000.0,4191000000.0,,,10376000000.0,,,,24569000000.0,,1015000000.0,4497000000.0,1341000000.0,1735000000.0,33157000000.0,15677000000.0,2120000000.0,1471000000.0,20715000000.0,,,,1408000000.0,,8981000000.0,2000000.0,7456000000.0,33157000000.0,408000000.0,113000000.0,,575000000.0,1200000000.0,,,1636000000.0,122000000.0,,1716000000.0,,,,,204000000.0,170000000.0,,-81000000.0,-430000000.0,122000000.0,,-697000000.0,579000000.0,
2012-03-31,122734000000.0,116167000000.0,6567000000.0,440000000.0,,4418000000.0,2149000000.0,21000000.0,1919000000.0,516000000.0,1403000000.0,5.7,5.59,246000000.0,251000000.0,3149000000.0,,,10073000000.0,-1160000000.0,,,23603000000.0,,1043000000.0,5032000000.0,1750000000.0,1665000000.0,33093000000.0,16114000000.0,2149000000.0,1423000000.0,21686000000.0,,88000000.0,,1504000000.0,,9451000000.0,5000000.0,6831000000.0,33093000000.0,,154000000.0,165000000.0,770000000.0,878000000.0,,,2027000000.0,66000000.0,,2950000000.0,,,,,1156000000.0,225000000.0,,-89000000.0,-1502000000.0,167000000.0,,-1905000000.0,-463000000.0,337000000.0
2012-06-30,30798000000.0,29198000000.0,1600000000.0,,,1021000000.0,579000000.0,8000000.0,531000000.0,151000000.0,380000000.0,1.61,1.58,236000000.0,240000000.0,2013000000.0,,,10059000000.0,,,,22054000000.0,,1221000000.0,5025000000.0,1678000000.0,1770000000.0,31748000000.0,15151000000.0,1587000000.0,1317000000.0,20097000000.0,,,,1376000000.0,,9783000000.0,-30000000.0,,31748000000.0,140000000.0,42000000.0,,-444000000.0,4000000.0,,,-936000000.0,-102000000.0,,-552000000.0,,,,,108000000.0,46000000.0,,-42000000.0,-150000000.0,43000000.0,,-425000000.0,-1136000000.0,
2012-09-30,60648000000.0,57328000000.0,3320000000.0,,,2130000000.0,1190000000.0,18000000.0,1097000000.0,316000000.0,781000000.0,3.31,3.25,236000000.0,240000000.0,2831000000.0,,,10070000000.0,,,,23091000000.0,,1223000000.0,5128000000.0,,1827000000.0,32968000000.0,15501000000.0,1503000000.0,1528000000.0,20750000000.0,,,,1430000000.0,,10135000000.0,46000000.0,,32968000000.0,282000000.0,82000000.0,,-219000000.0,-16000000.0,,,-629000000.0,147000000.0,,459000000.0,,,,,251000000.0,86000000.0,,-67000000.0,-351000000.0,80000000.0,,-433000000.0,-318000000.0,
2012-12-31,91835000000.0,86847000000.0,4988000000.0,,,3313000000.0,1675000000.0,28000000.0,1533000000.0,454000000.0,1079000000.0,4.58,4.49,236000000.0,240000000.0,2726000000.0,,,10390000000.0,,,,23439000000.0,,1247000000.0,5310000000.0,,1638000000.0,33433000000.0,15047000000.0,1705000000.0,1431000000.0,20208000000.0,,,,1603000000.0,,10384000000.0,35000000.0,,33433000000.0,428000000.0,123000000.0,,-57000000.0,313000000.0,,,-1081000000.0,49000000.0,,276000000.0,,,,,577000000.0,151000000.0,,-61000000.0,-784000000.0,112000000.0,,82000000.0,-423000000.0,
