Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,40386000000.0,,14600000000.0,,9108000000.0,,5524000000.0,,4287000000.0,1259000000.0,3021000000.0,2.04,2.03,,,2101000000.0,,,3775000000.0,730000000.0,,651000000.0,12454000000.0,,10693000000.0,28764000000.0,13429000000.0,1259000000.0,66714000000.0,3766000000.0,3403000000.0,,11491000000.0,,4508000000.0,,2138000000.0,40742000000.0,14636000000.0,-3955000000.0,25876000000.0,66714000000.0,,164000000.0,38000000.0,17000000.0,-299000000.0,,-351000000.0,126000000.0,,111000000.0,5084000000.0,,,,,0.0,1330000000.0,,-50000000.0,-1239000000.0,,,-3133000000.0,857000000.0,
2010-03-31,11318000000.0,,4089000000.0,,2850000000.0,,1206000000.0,,582000000.0,333000000.0,1883000000.0,1.17,1.16,,,3878000000.0,,,5097000000.0,839000000.0,,826000000.0,17215000000.0,,13896000000.0,37119000000.0,25648000000.0,1691000000.0,95709000000.0,5422000000.0,5258000000.0,,15581000000.0,,7561000000.0,,3134000000.0,61215000000.0,15971000000.0,-4422000000.0,34178000000.0,95709000000.0,,40000000.0,116000000.0,176000000.0,163000000.0,,-168000000.0,24000000.0,,-498000000.0,-5000000.0,,,,,9591000000.0,241000000.0,,-2000000.0,-6130000000.0,,,7993000000.0,1777000000.0,
2010-09-30,35434000000.0,,13104000000.0,,8541000000.0,,4426000000.0,,2930000000.0,982000000.0,3574000000.0,2.1,2.09,1748000000.0,1754000000.0,2288000000.0,,,5735000000.0,-5741000000.0,,887000000.0,15824000000.0,,13710000000.0,36764000000.0,25476000000.0,1651000000.0,93620000000.0,5130000000.0,4888000000.0,,13626000000.0,,6992000000.0,,3115000000.0,58638000000.0,16621000000.0,-4720000000.0,34880000000.0,93620000000.0,,132000000.0,127000000.0,-264000000.0,870000000.0,,44000000.0,-181000000.0,,-1383000000.0,1224000000.0,,,,,9843000000.0,1020000000.0,,-13000000.0,-6811000000.0,,,5888000000.0,187000000.0,
2010-12-31,49207000000.0,,17902000000.0,583000000.0,12001000000.0,,5666000000.0,,3642000000.0,1147000000.0,4114000000.0,2.4,2.39,1715000000.0,1720000000.0,2481000000.0,,,5310000000.0,-6837000000.0,,993000000.0,16221000000.0,,13792000000.0,37856000000.0,25963000000.0,1371000000.0,95289000000.0,5409000000.0,4579000000.0,,15660000000.0,,7984000000.0,,3416000000.0,59347000000.0,16619000000.0,-3890000000.0,35834000000.0,95289000000.0,,174000000.0,251000000.0,165000000.0,359000000.0,,-42000000.0,83000000.0,,-776000000.0,3748000000.0,,,,,9848000000.0,1661000000.0,,-8000000.0,-7462000000.0,,,4188000000.0,380000000.0,
2011-03-31,12573000000.0,,4636000000.0,,2933000000.0,,1646000000.0,,1200000000.0,398000000.0,799000000.0,0.46,0.45,1754000000.0,1760000000.0,2088000000.0,,,6116000000.0,969000000.0,,1225000000.0,17529000000.0,,14003000000.0,38592000000.0,26351000000.0,1677000000.0,98269000000.0,5535000000.0,4400000000.0,,19779000000.0,,8252000000.0,,3518000000.0,60770000000.0,16876000000.0,-2744000000.0,37381000000.0,98269000000.0,,44000000.0,-177000000.0,464000000.0,694000000.0,,233000000.0,-122000000.0,,-33000000.0,-986000000.0,,,,,,237000000.0,,7000000.0,-244000000.0,,,795000000.0,-393000000.0,
2011-06-30,26451000000.0,,9507000000.0,,5941000000.0,,3452000000.0,,2565000000.0,787000000.0,1775000000.0,1.01,1.01,1764000000.0,1771000000.0,2267000000.0,,,6414000000.0,919000000.0,,1066000000.0,17496000000.0,,14216000000.0,39063000000.0,26509000000.0,1590000000.0,99027000000.0,5308000000.0,4859000000.0,,20280000000.0,,7993000000.0,,3386000000.0,59916000000.0,17300000000.0,-2004000000.0,38991000000.0,99027000000.0,,89000000.0,-166000000.0,72000000.0,947000000.0,,164000000.0,-404000000.0,,-81000000.0,296000000.0,,,,,,655000000.0,,-30000000.0,-625000000.0,,,40000000.0,-214000000.0,
2011-09-30,39677000000.0,,14122000000.0,,8807000000.0,,5150000000.0,,3838000000.0,1133000000.0,2697000000.0,1.53,1.52,1770000000.0,1777000000.0,1976000000.0,,,6399000000.0,973000000.0,,1146000000.0,17329000000.0,,13856000000.0,37592000000.0,25416000000.0,1470000000.0,95832000000.0,5293000000.0,5284000000.0,,20360000000.0,,7580000000.0,,3281000000.0,59132000000.0,17695000000.0,-4864000000.0,36592000000.0,95832000000.0,,137000000.0,-429000000.0,437000000.0,1188000000.0,,278000000.0,-61000000.0,,489000000.0,1665000000.0,,,,,,1281000000.0,,,-1244000000.0,,,-843000000.0,-505000000.0,
2011-12-31,54365000000.0,,19015000000.0,702000000.0,12140000000.0,,6657000000.0,,4772000000.0,1225000000.0,3527000000.0,2.0,1.99,1765000000.0,1772000000.0,1974000000.0,,,5706000000.0,-5734000000.0,,1249000000.0,16202000000.0,,13813000000.0,37297000000.0,25186000000.0,1308000000.0,93837000000.0,5525000000.0,4856000000.0,,18445000000.0,,6738000000.0,,3396000000.0,58509000000.0,18012000000.0,-6637000000.0,35217000000.0,93837000000.0,,181000000.0,-351000000.0,115000000.0,556000000.0,,374000000.0,300000000.0,,676000000.0,4520000000.0,,,,,,1771000000.0,,,-1728000000.0,,,-3175000000.0,-507000000.0,
2012-03-31,13093000000.0,,4667000000.0,,2822000000.0,,1691000000.0,,1138000000.0,319000000.0,813000000.0,0.46,0.46,1773000000.0,1783000000.0,1852000000.0,,,6286000000.0,980000000.0,,1261000000.0,17693000000.0,,14084000000.0,37940000000.0,25602000000.0,1295000000.0,96647000000.0,5545000000.0,4660000000.0,,19298000000.0,,6901000000.0,,3360000000.0,59556000000.0,18298000000.0,-5242000000.0,36965000000.0,96647000000.0,,49000000.0,-96000000.0,747000000.0,482000000.0,,42000000.0,-184000000.0,,-651000000.0,-851000000.0,,,,,,335000000.0,,,-244000000.0,,,917000000.0,-122000000.0,
2012-06-30,26379000000.0,,9537000000.0,,5676000000.0,,3570000000.0,,2588000000.0,735000000.0,1842000000.0,1.04,1.03,1777000000.0,1786000000.0,4643000000.0,,,6165000000.0,1245000000.0,,1136000000.0,19831000000.0,,13757000000.0,37147000000.0,24981000000.0,1366000000.0,97114000000.0,5161000000.0,4999000000.0,,16054000000.0,,6807000000.0,,3318000000.0,60866000000.0,18800000000.0,-6684000000.0,36133000000.0,97114000000.0,,93000000.0,-90000000.0,298000000.0,514000000.0,,2000000.0,-384000000.0,,-429000000.0,1208000000.0,,,,,,740000000.0,,,-644000000.0,,,2126000000.0,2669000000.0,
