Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,41058000000.0,,,,,10556000000.0,,,,-2015000000.0,-2246000000.0,-2.89,-2.89,,,10112000000.0,,,,1228000000.0,,,,,,5047000000.0,,,539314000000.0,,,,,,,,,505816000000.0,19501000000.0,-3058000000.0,33121000000.0,539314000000.0,,,,,,,-660000000.0,,,865000000.0,3803000000.0,83940000000.0,,,,0.0,,,160000000.0,-13935000000.0,0.0,,-4103000000.0,-14127000000.0,
2010-03-31,13190000000.0,,,,,2942000000.0,,,,358000000.0,835000000.0,0.98,0.97,,,9202000000.0,,,,149000000.0,,,,,,5049000000.0,,,565566000000.0,,,,,,,,,529387000000.0,20294000000.0,-1191000000.0,35811000000.0,565566000000.0,,,,,,,,,,,2871000000.0,22518000000.0,,,,,,,35000000.0,-7598000000.0,,,3845000000.0,-910000000.0,
2010-06-30,27436000000.0,,,,,6362000000.0,,,,1188000000.0,2392000000.0,2.83,2.81,822905671.0,830472873.0,10702000000.0,,,,0.0,,,,,,5037000000.0,,,573907000000.0,,,,,,,,,534183000000.0,21820000000.0,822000000.0,39375000000.0,573907000000.0,,,,,,,,,,,3928000000.0,47014000000.0,,,,,,,95000000.0,-10120000000.0,,,6861000000.0,590000000.0,
2010-09-30,39880000000.0,,,,,9358000000.0,,,,1259000000.0,2708000000.0,3.11,3.09,875782191.0,883100164.0,14557000000.0,,,,-3543000000.0,,,,,,4966000000.0,,,617255000000.0,,,,,,,,,570486000000.0,22096000000.0,4030000000.0,46415000000.0,617255000000.0,,,,,,,,,,,5193000000.0,69997000000.0,,,,,,,115000000.0,-19369000000.0,,,18629000000.0,4445000000.0,
2010-12-31,52717000000.0,,,,,12803000000.0,,,,1181000000.0,2790000000.0,3.02,3.0,882436532.0,889567878.0,13046000000.0,,,,-1881000000.0,,,,,,11781000000.0,,,730906000000.0,,,,,,,,,681793000000.0,21363000000.0,1000000000.0,48625000000.0,730906000000.0,,84000000.0,816000000.0,,,,-1948000000.0,,,-315000000.0,7996000000.0,100713000000.0,,,,3021000000.0,,,186000000.0,-18314000000.0,,,13381000000.0,2934000000.0,
2011-03-31,15912000000.0,,,,,3902000000.0,,,,428000000.0,1006000000.0,0.78,0.78,1058517978.0,1069523536.0,10692000000.0,,,,-2238000000.0,,,,,,11946000000.0,,,751341000000.0,,,,,,,,,700992000000.0,22193000000.0,1115000000.0,49816000000.0,751341000000.0,,,,,,,,,,,3501000000.0,32954000000.0,,,,,,,53000000.0,-8094000000.0,2966000000.0,,2262000000.0,-2238000000.0,
2011-06-30,33061000000.0,,,,,8397000000.0,,,,947000000.0,2243000000.0,1.92,1.9,1059751486.0,1070975905.0,9628000000.0,,,,-3764000000.0,,,,,,12036000000.0,,,771483000000.0,,,,,,,,,717650000000.0,23399000000.0,3356000000.0,53309000000.0,771483000000.0,,,,,,,,,,,6793000000.0,66861000000.0,,,,,,,78000000.0,-16898000000.0,,,6586000000.0,-3373000000.0,
2011-09-30,53517000000.0,,,,,13410000000.0,,,8506000000.0,2681000000.0,5825000000.0,5.28,5.23,1060199513.0,1068664185.0,10001000000.0,,,,-7214000000.0,,,,,,12006000000.0,,,785230000000.0,,,,,,,,,724355000000.0,26951000000.0,6813000000.0,60348000000.0,785230000000.0,,,,,,,,,,,9040000000.0,95660000000.0,,,,,,,104000000.0,-23349000000.0,,,11182000000.0,-2994000000.0,
2011-12-31,70262000000.0,,,,,17730000000.0,,,10026000000.0,3075000000.0,6981000000.0,6.34,6.29,1059580442.0,1068094360.0,10461000000.0,,,,-7535000000.0,,,,,,11935000000.0,,,799625000000.0,,,,,,,,,739349000000.0,27289000000.0,5886000000.0,59797000000.0,799625000000.0,,144000000.0,2660000000.0,,,,-2360000000.0,,,1136000000.0,10290000000.0,116939000000.0,,,,163000000.0,,,169000000.0,-22235000000.0,,,9382000000.0,-2585000000.0,
2012-03-31,15916000000.0,,,,,4321000000.0,,,-409000000.0,-275000000.0,-144000000.0,-0.16,-0.16,1064252898.0,1064252898.0,18667000000.0,,,,-6375000000.0,,,,,,11903000000.0,,,819604000000.0,,,,,,,,,760480000000.0,24640000000.0,7266000000.0,58666000000.0,819604000000.0,,,,,,,,,,,5758000000.0,27657000000.0,,,,,,,40000000.0,2167000000.0,,,240000000.0,8206000000.0,
