Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,2995087000.0,,,,558458000.0,3948215000.0,-1060240000.0,-459824000.0,,-539847000.0,-980217000.0,-2.22,-2.22,,,1013208000.0,,,96805000.0,34901000.0,,,1791956000.0,,14814594000.0,86353000.0,343192000.0,832954000.0,19987547000.0,117463000.0,856077000.0,,1194987000.0,,2653470000.0,,243293000.0,,-609685000.0,-2770000.0,2849158000.0,19987547000.0,,17557000.0,-349177000.0,15316000.0,-5004000.0,,,,,,349844000.0,,,,,,79095000.0,,-14810000.0,-366186000.0,0.0,,-1026657000.0,-1042999000.0,-361533000.0
2010-09-30,4552792000.0,,,,850914000.0,5704697000.0,-1266141000.0,-764850000.0,,-732783000.0,-1298208000.0,-2.94,-2.94,,,552757000.0,,,93479000.0,22681000.0,,,1288801000.0,,14697192000.0,86353000.0,342995000.0,605271000.0,19136372000.0,153049000.0,942802000.0,,1318957000.0,,2400984000.0,,252209000.0,,-927676000.0,-1619000.0,2540371000.0,19136372000.0,,26156000.0,-587172000.0,12578000.0,-8330000.0,,,,,,380398000.0,,,,,,128539000.0,,1233000.0,-420922000.0,,,-1462926000.0,-1503450000.0,-331218000.0
2010-12-31,6019233000.0,,,,1128803000.0,7099730000.0,-1158931000.0,-1057094000.0,,-778628000.0,-1437397000.0,-3.19,-3.19,,,498964000.0,,,96392000.0,110092000.0,,,1455645000.0,,14554350000.0,86353000.0,342804000.0,598738000.0,18961045000.0,167084000.0,867223000.0,,1246221000.0,,2469333000.0,,199248000.0,,-1066865000.0,-301000.0,2998545000.0,18961045000.0,,34988000.0,-634082000.0,17376000.0,-5418000.0,,,,,,504014000.0,,,,,,207491000.0,,1670000.0,-586079000.0,588456000.0,,-1475178000.0,-1557243000.0,-330218000.0
2011-03-31,1504954000.0,,,,269562000.0,1398592000.0,169705000.0,-314159000.0,,-54583000.0,-89871000.0,-0.18,-0.18,,,431275000.0,,,95097000.0,84567000.0,,,1366411000.0,,14426622000.0,86353000.0,342626000.0,596551000.0,18760349000.0,138533000.0,795732000.0,,1172440000.0,,2371875000.0,,215764000.0,,-1156736000.0,2261000.0,2919162000.0,18760349000.0,,9210000.0,-65418000.0,4486000.0,-1294000.0,,,,,,23978000.0,,,,,,34459000.0,,374000.0,-110537000.0,,,18870000.0,-67689000.0,1913000.0
2011-09-30,5552423000.0,,,,875193000.0,2121552000.0,3966039000.0,-924231000.0,,-212437000.0,3228328000.0,6.61,5.83,488636000.0,558544000.0,1815125000.0,,,104279000.0,79458000.0,,,2721807000.0,,14868394000.0,2905378000.0,5120662000.0,577063000.0,27853023000.0,158477000.0,,,2015347000.0,,2603418000.0,,193578000.0,17911417000.0,2161463000.0,-3276000.0,6248856000.0,27853023000.0,,28661000.0,-222631000.0,107133000.0,-394000.0,,,,,,481040000.0,,,,,-407046000.0,176324000.0,,253000.0,125877000.0,,,709577000.0,1316161000.0,-171032000.0
2011-12-31,7849312000.0,,,,1182505000.0,3883260000.0,4057146000.0,-1225515000.0,,-403313000.0,-30308000.0,6.37,5.62,488652000.0,560895000.0,1865913000.0,,,112735000.0,91060000.0,,,2812720000.0,,14866644000.0,2896609000.0,5048117000.0,506614000.0,27766276000.0,170994000.0,,,1744764000.0,,2502096000.0,,167027000.0,17884054000.0,1981389000.0,5978000.0,6086578000.0,27766276000.0,,39707000.0,-394437000.0,155043000.0,8039000.0,,,,,,675126000.0,,,,,-407046000.0,301244000.0,,643000.0,-21312000.0,,,711922000.0,,-172018000.0
2012-03-31,2287590000.0,,,,303289000.0,2081675000.0,192606000.0,-368784000.0,,27129000.0,,-0.44,-0.44,488861000.0,488861000.0,1634892000.0,,,110674000.0,99935000.0,,,2593677000.0,,14786820000.0,2897049000.0,4965587000.0,557980000.0,27391028000.0,163626000.0,,,1892387000.0,,2471425000.0,,176028000.0,17899793000.0,1764136000.0,6837000.0,5878407000.0,27391028000.0,,10604000.0,-41862000.0,5243000.0,-2061000.0,,,,,,291694000.0,,,,,,113757000.0,,391000.0,-109941000.0,,,-412922000.0,,1830000.0
2012-06-30,4611355000.0,,,,612767000.0,4236051000.0,367981000.0,-665897000.0,,-51304000.0,-362705000.0,-0.74,-0.74,488931000.0,488931000.0,1731921000.0,,,113316000.0,122134000.0,,,2677417000.0,,14783177000.0,2900237000.0,4889311000.0,514002000.0,27263008000.0,171878000.0,,,1929384000.0,,2513840000.0,,182258000.0,17850801000.0,1618684000.0,11046000.0,5725785000.0,27263008000.0,,20796000.0,-43683000.0,18395000.0,568000.0,,,,,,512256000.0,,,,,,216230000.0,,811000.0,-224953000.0,,,-422114000.0,,6246000.0
2012-09-30,6866333000.0,,,,931873000.0,6315685000.0,505382000.0,-960557000.0,,-26760000.0,-543864000.0,-1.11,-1.11,488945000.0,488945000.0,2443159000.0,,,107772000.0,140831000.0,,,3347817000.0,,14765349000.0,2901273000.0,4813183000.0,515077000.0,27831361000.0,201150000.0,,,2025854000.0,,2527828000.0,,186725000.0,18565858000.0,1437525000.0,12533000.0,5553270000.0,27831361000.0,,30132000.0,-50918000.0,-32527000.0,-4981000.0,,,,,,887262000.0,,,,,,316757000.0,,985000.0,-323407000.0,,,12298000.0,,6539000.0
2012-12-31,9160844000.0,,,,,9033936000.0,80526000.0,-1814739000.0,-1734213000.0,-117301000.0,-1767691000.0,-3.62,-3.62,488988000.0,488988000.0,1543509000.0,,,107577000.0,179431000.0,,,2507092000.0,,14194652000.0,2902847000.0,4737833000.0,497767000.0,26284738000.0,199620000.0,,,1925671000.0,,2473889000.0,,179879000.0,18168722000.0,213698000.0,14303000.0,4365548000.0,26284738000.0,,39560000.0,-117203000.0,-1260000.0,-5183000.0,,,,,,909351000.0,,,,,,422763000.0,,1472000.0,-446417000.0,,,-786959000.0,,6982000.0
2013-03-31,2352148000.0,,,,,2066675000.0,301817000.0,-248808000.0,53009000.0,30431000.0,6546000.0,0.01,0.01,489291000.0,492305000.0,1480637000.0,,,105047000.0,119196000.0,,,2439245000.0,,14117778000.0,2898087000.0,4666659000.0,500969000.0,26057874000.0,178435000.0,,,1870988000.0,,2476384000.0,,140750000.0,18178821000.0,220244000.0,7982000.0,4372857000.0,26057874000.0,,8623000.0,63125000.0,45930000.0,-2509000.0,,,,,,194656000.0,,,,,,97415000.0,,113000.0,-103616000.0,,,-152522000.0,,3736000.0
