Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-08-31,2357400000.0,,971700000.0,,647300000.0,,324400000.0,,288400000.0,71400000.0,236500000.0,1.78,1.76,133300000.0,134900000.0,23600000.0,,319700000.0,,,,,955600000.0,,464800000.0,1392100000.0,231900000.0,,3264700000.0,,,,798500000.0,,,,304900000.0,1882900000.0,709600000.0,-37000000.0,,3264700000.0,70100000.0,9700000.0,,,,,,,,,145200000.0,,,,,,52500000.0,,,-46400000.0,,,-112700000.0,-15900000.0,
2010-11-30,3336800000.0,,1417700000.0,,907900000.0,,509800000.0,,462700000.0,118000000.0,370200000.0,2.79,2.75,,,50800000.0,,386700000.0,,,,,1015900000.0,,488000000.0,1417400000.0,232500000.0,,3419700000.0,,,,834800000.0,,,,342300000.0,1957000000.0,700900000.0,-3700000.0,,3419700000.0,95100000.0,11900000.0,10500000.0,-38200000.0,-26800000.0,,,10500000.0,,,387500000.0,,,,,,89000000.0,,,-129700000.0,,,-261100000.0,11300000.0,
2011-02-28,782800000.0,,328200000.0,,217600000.0,,110600000.0,,98900000.0,30000000.0,76800000.0,0.58,0.57,132900000.0,134600000.0,40600000.0,,326800000.0,,,,,1015600000.0,,491400000.0,1455100000.0,234100000.0,,3477600000.0,,,,806700000.0,,,,318700000.0,1901100000.0,731300000.0,64100000.0,,3477600000.0,23700000.0,2100000.0,,,,,,,,,-23100000.0,,,,,,14200000.0,,,-14200000.0,,,23200000.0,-10200000.0,
2011-05-31,1666500000.0,,678900000.0,,459000000.0,,219900000.0,,196800000.0,60400000.0,150400000.0,1.13,1.12,132700000.0,134300000.0,47900000.0,,342600000.0,,,,,1079600000.0,,494800000.0,1480300000.0,234700000.0,,3589400000.0,,,,846500000.0,,,,319600000.0,1947300000.0,732700000.0,112400000.0,,3589400000.0,48500000.0,7600000.0,,,,,,,,,36300000.0,,,,,,33400000.0,,,-33100000.0,,,-22400000.0,-2900000.0,
2011-08-31,2586900000.0,,1043400000.0,,695100000.0,,348300000.0,,313200000.0,91700000.0,242400000.0,1.83,1.81,132700000.0,134300000.0,52200000.0,,391700000.0,,,,,1163300000.0,,497600000.0,1511200000.0,236000000.0,,3714600000.0,,,,639500000.0,,,,323000000.0,1994200000.0,785700000.0,118800000.0,,3714600000.0,73200000.0,10400000.0,,,,,,,,,85700000.0,,,,,,58800000.0,,,-97300000.0,,,-3900000.0,1400000.0,
2011-11-30,3697600000.0,,1522500000.0,58100000.0,982200000.0,,540300000.0,,491400000.0,142600000.0,374200000.0,2.82,2.79,132700000.0,134300000.0,53900000.0,,427000000.0,,-4400000.0,,110500000.0,1222900000.0,,523100000.0,1694200000.0,350000000.0,59700000.0,4087800000.0,,,,993300000.0,,71500000.0,34900000.0,446300000.0,2469300000.0,838800000.0,-59000000.0,,4087800000.0,98300000.0,13000000.0,38000000.0,8600000.0,111300000.0,,,49300000.0,,,340000000.0,,,,,,96700000.0,,,-537500000.0,,,187800000.0,3100000.0,
2012-02-29,906700000.0,,355300000.0,,242800000.0,,112500000.0,,99900000.0,30000000.0,74500000.0,0.56,0.55,133100000.0,134500000.0,54400000.0,,381100000.0,,,,,1192800000.0,,523400000.0,1697400000.0,355000000.0,,4079700000.0,,,,959900000.0,,,,398500000.0,2387100000.0,869000000.0,-35600000.0,,4079700000.0,25800000.0,2600000.0,,,,,,,,,22500000.0,,,,,,15100000.0,,,-14900000.0,,,-9300000.0,500000.0,
2012-05-31,1890700000.0,,743700000.0,,509800000.0,,233900000.0,,207200000.0,60800000.0,154900000.0,1.17,1.15,132800000.0,134300000.0,61400000.0,,378000000.0,,,,,1167200000.0,,507500000.0,1651800000.0,341100000.0,,3965700000.0,,,,900300000.0,,,,398800000.0,2326800000.0,885900000.0,-127300000.0,,3965700000.0,50600000.0,8700000.0,,,,,,,,,144400000.0,,,,,,35200000.0,,,-34900000.0,,,-100300000.0,7500000.0,
2012-08-31,2868400000.0,,1135400000.0,,757400000.0,,378000000.0,,339100000.0,93800000.0,259300000.0,1.95,1.93,132800000.0,134300000.0,72200000.0,,411200000.0,,,,,1219400000.0,,518500000.0,1667000000.0,345400000.0,,4057000000.0,,,,902600000.0,,,,404200000.0,2333000000.0,909600000.0,-89500000.0,,4057000000.0,76800000.0,11900000.0,,,,,,,,,256300000.0,,,,,,62200000.0,,,-61500000.0,,,-177000000.0,18300000.0,
2012-11-30,4014200000.0,,1617800000.0,57800000.0,1039500000.0,,578300000.0,,526100000.0,139800000.0,407800000.0,3.07,3.04,132700000.0,134300000.0,79000000.0,,465900000.0,,17400000.0,,90900000.0,1285400000.0,,547300000.0,1695300000.0,323500000.0,57700000.0,4165400000.0,,,,1187600000.0,,56800000.0,41300000.0,498400000.0,2465200000.0,934600000.0,-159900000.0,,4165400000.0,,20200000.0,24300000.0,38800000.0,-1200000.0,,,8200000.0,,,455000000.0,,,,,,110300000.0,,,-109000000.0,,,-324300000.0,25100000.0,
