Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2011-06-30,89400000.0,,,,,,,,37571000.0,14854000.0,22717000.0,0.62,0.58,36762000.0,39490000.0,135768000.0,,,,14296000.0,,,,,13409000.0,,,,321267000.0,,,,,,,,,28410000.0,-18692000.0,-1693000.0,292857000.0,321267000.0,,3099000.0,9777000.0,8690000.0,,,,,-128000.0,,19409000.0,12556000.0,9873000.0,,,,1516000.0,,25000.0,-6014000.0,,2934000.0,-2084000.0,10774000.0,5980000.0
2011-09-30,135964000.0,,,,,,,,59867000.0,23706000.0,36161000.0,0.98,0.91,37126000.0,39828000.0,157622000.0,,,,9589000.0,,,,,14076000.0,,,,339200000.0,,,,,,,,,33367000.0,-8680000.0,-1692000.0,305833000.0,339200000.0,,4997000.0,14496000.0,6232000.0,,,,,466000.0,,46791000.0,27719000.0,20845000.0,,,,2517000.0,,,-8791000.0,,5473000.0,-4521000.0,32628000.0,9574000.0
2011-12-31,181099000.0,,,,,,,,78733000.0,31029000.0,47704000.0,1.29,1.2,37006000.0,39608000.0,169620000.0,,,,8089000.0,,,,,14460000.0,,,,349458000.0,,,,,,,,,37019000.0,-584000.0,-1882000.0,312439000.0,349458000.0,,6859000.0,16129000.0,11665000.0,,,,,755000.0,,65478000.0,32302000.0,27419000.0,,,,3160000.0,,,-8576000.0,,7305000.0,-11199000.0,44626000.0,10177000.0
2012-03-31,50735000.0,,,,,,,,22748000.0,9255000.0,13493000.0,0.37,0.35,36934000.0,38695000.0,119809000.0,,,,5684000.0,,,,,14875000.0,,,,274510000.0,,,,,,,,,25593000.0,8708000.0,-2213000.0,248917000.0,274510000.0,,1962000.0,2623000.0,-2777000.0,,,,,-97000.0,,13374000.0,3714000.0,7962000.0,13577000.0,,,607000.0,,,15892000.0,,2163000.0,-78718000.0,-49811000.0,988000.0
2012-06-30,99560000.0,,,,,,,,43948000.0,17826000.0,26122000.0,0.72,0.69,36531.0,38067.0,129595000.0,,,,5822000.0,,,,,14960000.0,31800000.0,,,289728000.0,,,,,,,,,27993000.0,17256000.0,-2417000.0,261735000.0,289728000.0,,4028000.0,2619000.0,-2515000.0,,,,,-200000.0,,25895000.0,6376000.0,11423000.0,13577000.0,,,1044000.0,,,15013000.0,,13681000.0,-80465000.0,-40025000.0,6936000.0
2012-09-30,147817000.0,,,,,,,,65157000.0,25553000.0,39604000.0,1.08,1.05,36521.0,37892.0,150101000.0,,,,6702000.0,,,,,18466000.0,31800000.0,,,304928000.0,,,,,,,,,32994000.0,26632000.0,-2817000.0,271934000.0,304928000.0,,6184000.0,1958000.0,-2347000.0,,,,,-262000.0,,53270000.0,6376000.0,15463000.0,13577000.0,,,4955000.0,,,13799000.0,,13639000.0,-85580000.0,-19519000.0,10602000.0
2012-12-31,198204000.0,,,,,,,,86686000.0,26617000.0,60069000.0,1.65,1.59,36516000.0,37816000.0,128908000.0,,,,9442000.0,,,,,18009000.0,31800000.0,,,279841000.0,,,,,,,,,37124000.0,-5644000.0,-3093000.0,242717000.0,279841000.0,,8385000.0,-643000.0,-4607000.0,,,,,-462000.0,,81582000.0,16543000.0,18313000.0,23663000.0,,,5153000.0,,,15030000.0,,14775000.0,-136175000.0,-40712000.0,15102000.0
2013-03-31,55557000.0,,,,,,,,24313000.0,8987000.0,15326000.0,0.42,0.41,36774000.0,37673000.0,125919000.0,,,,4639000.0,,,,,18743000.0,,,,282881000.0,,,,,,,,,30380000.0,4977000.0,-3483000.0,252501000.0,282881000.0,,1997000.0,2764000.0,1136000.0,,,,,-1041000.0,,10279000.0,,2770000.0,30900000.0,,37118000.0,794000.0,,-64000.0,-5544000.0,,1927000.0,-7927000.0,-2989000.0,829000.0
2013-09-30,178291000.0,,,,,,,,82481000.0,29388000.0,52883000.0,1.43,1.4,36919000.0,37965000.0,119009000.0,,,,4312000.0,,,,,27617000.0,26234000.0,,,332688000.0,,,,,,,,,46068000.0,32794000.0,-3931000.0,286620000.0,332688000.0,9305000.0,6419000.0,669000.0,4770000.0,,,,,-1065000.0,,67329000.0,49578000.0,10690000.0,30900000.0,,37827000.0,9357000.0,,-4000.0,-60574000.0,,3069000.0,-15383000.0,-9243000.0,17894000.0
2013-12-31,238733000.0,,,,,,,,107280000.0,38717000.0,76016000.0,2.06,2.01,36886000.0,37888000.0,132691000.0,,,,4947000.0,,,,,32703000.0,26085000.0,,,351578000.0,,,,,,,,,41216000.0,51042000.0,-4083000.0,310362000.0,351578000.0,13051000.0,8879000.0,1001000.0,1714000.0,,,,,-1571000.0,,90879000.0,60755000.0,12515000.0,30900000.0,,37827000.0,15337000.0,,,-69121000.0,,5032000.0,-17074000.0,3783000.0,30768000.0
