Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,23123000000.0,12109000000.0,,1293000000.0,4907000000.0,18309000000.0,4814000000.0,-182000000.0,4632000000.0,1388000000.0,3193000000.0,4.56,4.52,700500000.0,706700000.0,3040000000.0,744000000.0,3250000000.0,2639000000.0,,,1122000000.0,10795000000.0,825000000.0,7000000000.0,5832000000.0,1342000000.0,1275000000.0,27250000000.0,1453000000.0,1899000000.0,,4897000000.0,,,,1727000000.0,13948000000.0,23753000000.0,-3754000000.0,12764000000.0,27250000000.0,,217000000.0,701000000.0,-55000000.0,-453000000.0,,,109000000.0,,,4941000000.0,,683000000.0,,,69000000.0,903000000.0,,,-1732000000.0,,14000000.0,-2014000000.0,1191000000.0,
2010-03-31,6348000000.0,3238000000.0,,342000000.0,1323000000.0,4903000000.0,1445000000.0,-42000000.0,1403000000.0,448000000.0,930000000.0,1.31,1.29,711800000.0,723500000.0,2848000000.0,1759000000.0,3569000000.0,2798000000.0,,,1132000000.0,12106000000.0,580000000.0,6859000000.0,5734000000.0,1287000000.0,1255000000.0,28022000000.0,1582000000.0,1820000000.0,,5148000000.0,,,,1779000000.0,14171000000.0,24231000000.0,-3747000000.0,13566000000.0,28022000000.0,287000000.0,112000000.0,26000000.0,356000000.0,190000000.0,,,145000000.0,,,1082000000.0,,435000000.0,,,17000000.0,157000000.0,,63000000.0,-987000000.0,,12000000.0,-275000000.0,-192000000.0,
2010-06-30,13079000000.0,6673000000.0,,692000000.0,2673000000.0,10038000000.0,3041000000.0,-84000000.0,2957000000.0,862000000.0,2051000000.0,2.88,2.83,714500000.0,725700000.0,3022000000.0,1909000000.0,3745000000.0,2980000000.0,,,1235000000.0,12891000000.0,606000000.0,6715000000.0,5620000000.0,1268000000.0,1186000000.0,28496000000.0,1756000000.0,1951000000.0,,5437000000.0,,,,1710000000.0,14233000000.0,24788000000.0,-4016000000.0,13971000000.0,28496000000.0,559000000.0,171000000.0,18000000.0,586000000.0,428000000.0,,,243000000.0,,,2220000000.0,,851000000.0,,,30000000.0,337000000.0,,63000000.0,-1438000000.0,,36000000.0,-698000000.0,-18000000.0,
2010-09-30,19953000000.0,10256000000.0,,1046000000.0,4034000000.0,15336000000.0,4617000000.0,-124000000.0,4493000000.0,1273000000.0,3157000000.0,4.42,4.36,714000000.0,725200000.0,4466000000.0,1387000000.0,3869000000.0,3215000000.0,,,1111000000.0,14048000000.0,443000000.0,6915000000.0,5899000000.0,1279000000.0,1241000000.0,30065000000.0,1649000000.0,2039000000.0,,5395000000.0,,,,1879000000.0,14232000000.0,25493000000.0,-3366000000.0,15504000000.0,30065000000.0,837000000.0,228000000.0,20000000.0,529000000.0,521000000.0,,,173000000.0,,,3543000000.0,,1254000000.0,,,48000000.0,565000000.0,,66000000.0,-940000000.0,,43000000.0,-1162000000.0,1426000000.0,
2010-12-31,26662000000.0,13831000000.0,,919000000.0,5479000000.0,20744000000.0,5918000000.0,-163000000.0,5755000000.0,1592000000.0,4085000000.0,5.72,5.63,713700000.0,725500000.0,3377000000.0,1101000000.0,3615000000.0,3155000000.0,706000000.0,,967000000.0,12215000000.0,21000000.0,7279000000.0,6820000000.0,1820000000.0,1262000000.0,30156000000.0,1662000000.0,2022000000.0,369000000.0,6089000000.0,18000000.0,198000000.0,627000000.0,1854000000.0,14139000000.0,25995000000.0,-3543000000.0,15663000000.0,30156000000.0,1120000000.0,274000000.0,-170000000.0,189000000.0,404000000.0,,,146000000.0,,,5174000000.0,,1565000000.0,,,1830000000.0,1091000000.0,,66000000.0,-2689000000.0,,53000000.0,-2121000000.0,337000000.0,1509000000.0
2011-03-31,7311000000.0,3802000000.0,,398000000.0,1533000000.0,5733000000.0,1578000000.0,-33000000.0,1545000000.0,442000000.0,1081000000.0,1.52,1.49,711500000.0,726400000.0,2747000000.0,1285000000.0,4209000000.0,3489000000.0,,,915000000.0,12645000000.0,360000000.0,7503000000.0,7121000000.0,2004000000.0,1258000000.0,31129000000.0,1815000000.0,2080000000.0,,5900000000.0,,,,1892000000.0,14242000000.0,26521000000.0,-3237000000.0,16494000000.0,31129000000.0,289000000.0,116000000.0,3000000.0,469000000.0,180000000.0,,,80000000.0,,,733000000.0,,376000000.0,,,471000000.0,231000000.0,,39000000.0,-757000000.0,,15000000.0,-664000000.0,-630000000.0,
2011-06-30,14991000000.0,7842000000.0,,802000000.0,3114000000.0,11758000000.0,3233000000.0,-74000000.0,3159000000.0,879000000.0,2241000000.0,3.15,3.09,713400000.0,726500000.0,3376000000.0,1148000000.0,4385000000.0,3717000000.0,,,911000000.0,13537000000.0,407000000.0,7624000000.0,7233000000.0,2025000000.0,1208000000.0,32282000000.0,1851000000.0,2285000000.0,,6203000000.0,,,,1921000000.0,14540000000.0,27110000000.0,-2961000000.0,17330000000.0,32282000000.0,608000000.0,172000000.0,5000000.0,586000000.0,376000000.0,,,100000000.0,,,2184000000.0,,944000000.0,,,487000000.0,526000000.0,,6000000.0,-809000000.0,,49000000.0,-1437000000.0,-1000000.0,
2011-09-30,22522000000.0,11869000000.0,,1191000000.0,4648000000.0,17708000000.0,4814000000.0,-112000000.0,4702000000.0,1319000000.0,,4.68,4.61,710900000.0,722800000.0,3376000000.0,1486000000.0,4259000000.0,3604000000.0,,,944000000.0,13669000000.0,443000000.0,7509000000.0,7140000000.0,1952000000.0,1153000000.0,32115000000.0,1689000000.0,2197000000.0,,6165000000.0,,,,1879000000.0,14703000000.0,27784000000.0,-3339000000.0,16968000000.0,32115000000.0,919000000.0,210000000.0,-37000000.0,557000000.0,364000000.0,,,-30000000.0,,,3546000000.0,,1353000000.0,,,531000000.0,862000000.0,,6000000.0,-1584000000.0,,52000000.0,-1898000000.0,-1000000.0,
2011-12-31,29611000000.0,15693000000.0,,1036000000.0,6170000000.0,23433000000.0,6178000000.0,-147000000.0,6031000000.0,1674000000.0,,6.05,5.96,708500000.0,719000000.0,2219000000.0,1461000000.0,3867000000.0,3416000000.0,1129000000.0,,1277000000.0,12240000000.0,896000000.0,7666000000.0,7047000000.0,1916000000.0,1656000000.0,31616000000.0,1643000000.0,2085000000.0,389000000.0,5441000000.0,19000000.0,251000000.0,595000000.0,1857000000.0,15754000000.0,28348000000.0,-5025000000.0,15420000000.0,31616000000.0,1236000000.0,253000000.0,177000000.0,205000000.0,196000000.0,,,-83000000.0,,,5284000000.0,,1738000000.0,,,649000000.0,1379000000.0,,,-2718000000.0,,53000000.0,-3675000000.0,-1158000000.0,1542000000.0
2012-03-31,7486000000.0,3889000000.0,,411000000.0,1552000000.0,5852000000.0,1634000000.0,-31000000.0,1603000000.0,462000000.0,1125000000.0,1.61,1.59,696800000.0,706100000.0,2332000000.0,1399000000.0,4323000000.0,3561000000.0,,,1238000000.0,12853000000.0,763000000.0,7755000000.0,7090000000.0,1865000000.0,1486000000.0,32015000000.0,1779000000.0,2069000000.0,,5408000000.0,,,,1792000000.0,15396000000.0,28858000000.0,-4785000000.0,16182000000.0,32015000000.0,313000000.0,103000000.0,44000000.0,431000000.0,96000000.0,,,118000000.0,,,828000000.0,,574000000.0,,,,261000000.0,,-1000000.0,-43000000.0,,28000000.0,-722000000.0,113000000.0,
