Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,23556000000.0,,8834000000.0,,,,5462000000.0,,,1669000000.0,3206000000.0,1.55,1.54,,,1871000000.0,,,1810000000.0,1336000000.0,,660000000.0,5773000000.0,,2684000000.0,5174000000.0,12138000000.0,1097000000.0,36677000000.0,494000000.0,,,7992000000.0,,4383000000.0,,1248000000.0,32573000000.0,22599000000.0,-1561000000.0,4069000000.0,36677000000.0,291000000.0,,499000000.0,7000000.0,-51000000.0,,,-25000000.0,,,3443000000.0,,,,,10244000000.0,273000000.0,,31000000.0,-9764000000.0,89000000.0,,276000000.0,-6045000000.0,
2010-03-31,5760000000.0,,2084000000.0,,,,1430000000.0,,,468000000.0,813000000.0,0.39,0.39,,,3290000000.0,,,1813000000.0,1261000000.0,,504000000.0,7038000000.0,,2635000000.0,5174000000.0,12132000000.0,1102000000.0,37999000000.0,311000000.0,,,9040000000.0,,4468000000.0,,1223000000.0,33702000000.0,22683000000.0,-1491000000.0,4263000000.0,37999000000.0,69000000.0,,69000000.0,58000000.0,3000000.0,,,-8000000.0,,,2041000000.0,,,,,,38000000.0,,-15000000.0,17000000.0,21000000.0,,-639000000.0,1419000000.0,
2010-09-30,18436000000.0,,6934000000.0,,,,4735000000.0,,,1329000000.0,2986000000.0,1.43,1.43,2078000000.0,2080000000.0,1700000000.0,,,1618000000.0,1264000000.0,,842000000.0,5506000000.0,,2422000000.0,5174000000.0,12122000000.0,1837000000.0,37110000000.0,320000000.0,,,6349000000.0,,4779000000.0,,960000000.0,31925000000.0,23334000000.0,-1369000000.0,5150000000.0,37110000000.0,208000000.0,,197000000.0,-19000000.0,-192000000.0,,,6000000.0,,,1722000000.0,,,,,,116000000.0,,-80000000.0,83000000.0,89000000.0,,-1976000000.0,-171000000.0,
2010-12-31,24363000000.0,,9188000000.0,144000000.0,,,6228000000.0,,5723000000.0,1816000000.0,3905000000.0,1.87,1.87,2077000000.0,2079000000.0,2314000000.0,,,1803000000.0,1165000000.0,,614000000.0,5981000000.0,,2380000000.0,5174000000.0,12118000000.0,1851000000.0,37402000000.0,529000000.0,,,6840000000.0,,4618000000.0,,949000000.0,32175000000.0,23459000000.0,-1484000000.0,5192000000.0,37402000000.0,276000000.0,,124000000.0,-15000000.0,-7000000.0,,,48000000.0,,,2767000000.0,,,,,,168000000.0,,-115000000.0,259000000.0,104000000.0,,-2583000000.0,443000000.0,
2011-03-31,5643000000.0,,2148000000.0,,,,1539000000.0,,,512000000.0,937000000.0,0.45,0.45,2084000000.0,2084000000.0,3432000000.0,,,1824000000.0,1163000000.0,,498000000.0,6988000000.0,,2339000000.0,5174000000.0,12112000000.0,1821000000.0,38584000000.0,282000000.0,,,7884000000.0,,4742000000.0,,895000000.0,33096000000.0,23601000000.0,-1391000000.0,5453000000.0,38584000000.0,60000000.0,,72000000.0,5000000.0,21000000.0,,,-66000000.0,,,2062000000.0,,,,,,13000000.0,,-1000000.0,-8000000.0,21000000.0,,-936000000.0,1118000000.0,
2011-06-30,11563000000.0,,4120000000.0,,,,2834000000.0,,2606000000.0,1224000000.0,1381000000.0,0.66,0.66,2080000000.0,2080000000.0,2064000000.0,,,1673000000.0,1163000000.0,,591000000.0,5657000000.0,,2305000000.0,5174000000.0,12107000000.0,1774000000.0,36832000000.0,252000000.0,,,5446000000.0,,4861000000.0,,807000000.0,32164000000.0,23256000000.0,-1279000000.0,4633000000.0,36832000000.0,121000000.0,,132000000.0,12000000.0,-130000000.0,,,-94000000.0,,,479000000.0,,,,,,40000000.0,,-1000000.0,90000000.0,29000000.0,,-819000000.0,-250000000.0,
2011-09-30,17671000000.0,,6565000000.0,,,,4712000000.0,,4399000000.0,1843000000.0,2554000000.0,1.23,1.23,2071000000.0,2071000000.0,3043000000.0,,,1625000000.0,1187000000.0,,526000000.0,6575000000.0,,2284000000.0,5174000000.0,12102000000.0,1694000000.0,37201000000.0,326000000.0,,,6979000000.0,,4839000000.0,,727000000.0,32746000000.0,23585000000.0,-1461000000.0,4419000000.0,37201000000.0,184000000.0,,190000000.0,9000000.0,-178000000.0,,,-106000000.0,,,2564000000.0,,,,,,75000000.0,,-1000000.0,174000000.0,29000000.0,,-2009000000.0,729000000.0,
2011-12-31,23800000000.0,,8939000000.0,128000000.0,,,6068000000.0,,5582000000.0,2189000000.0,3390000000.0,1.64,1.64,2064000000.0,2064000000.0,3270000000.0,,,1779000000.0,1207000000.0,,607000000.0,7131000000.0,,2216000000.0,5174000000.0,12098000000.0,1257000000.0,36962000000.0,503000000.0,,,7643000000.0,,4751000000.0,,602000000.0,33247000000.0,23583000000.0,-1887000000.0,3680000000.0,36962000000.0,253000000.0,,-443000000.0,19000000.0,-24000000.0,,,-60000000.0,,,3613000000.0,,,,,,105000000.0,,-2000000.0,387000000.0,29000000.0,,-3044000000.0,956000000.0,
2012-03-31,5647000000.0,,2202000000.0,,,,1642000000.0,,1527000000.0,554000000.0,973000000.0,0.48,0.48,,,4156000000.0,,,1830000000.0,1207000000.0,,456000000.0,7893000000.0,,2165000000.0,5174000000.0,12093000000.0,1235000000.0,37815000000.0,328000000.0,,,8781000000.0,,4932000000.0,,590000000.0,34079000000.0,23720000000.0,-1685000000.0,3701000000.0,37815000000.0,56000000.0,,80000000.0,-13000000.0,51000000.0,,,-68000000.0,,,1837000000.0,,,,,,16000000.0,,,287000000.0,,,-1238000000.0,886000000.0,
2012-06-30,12134000000.0,,4696000000.0,,,,3519000000.0,,3676000000.0,1255000000.0,2420000000.0,1.19,1.19,,,1528000000.0,,,1684000000.0,1207000000.0,,468000000.0,5143000000.0,,2131000000.0,5174000000.0,12088000000.0,472000000.0,34547000000.0,335000000.0,,,6081000000.0,,5074000000.0,,606000000.0,30239000000.0,24334000000.0,-1674000000.0,4273000000.0,34547000000.0,113000000.0,,299000000.0,2000000.0,95000000.0,,,-64000000.0,,,-85000000.0,,,,,,39000000.0,,3000000.0,510000000.0,0.0,,-2167000000.0,-1742000000.0,
