Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2018-12-31,135068000.0,,,454082000.0,,548334000.0,-413266000.0,,-384408000.0,326000.0,-384734000.0,,,,,658364000.0,863063000.0,11686000.0,,0.0,,,1563006000.0,172990000.0,211977000.0,,,2644000.0,1962149000.0,31210000.0,79073000.0,109056000.0,222803000.0,165352000.0,,,258000.0,431908000.0,-1006627000.0,-1320000.0,1530241000.0,1962149000.0,24900000.0,72565000.0,0.0,-195000.0,,,,15017000.0,-65260000.0,910000.0,-330865000.0,1227709000.0,783373000.0,177008000.0,,,105766000.0,,,-372472000.0,,,1226842000.0,523505000.0,294000.0
2019-03-31,16025000.0,,,130575000.0,,157858000.0,-141833000.0,,-132681000.0,-24000.0,-132657000.0,,,,,502934000.0,605990000.0,5646000.0,,,,,1140827000.0,437659000.0,213460000.0,,,2438000.0,1806207000.0,38509000.0,42183000.0,73958000.0,159159000.0,,,,213000.0,360174000.0,-1111300000.0,591000.0,1446033000.0,1806207000.0,7328000.0,18497000.0,,-6040000.0,,,,1731000.0,-15604000.0,484000.0,-143927000.0,429517000.0,403940000.0,21413000.0,,,7595000.0,,,-11759000.0,,,-48000.0,-155734000.0,
2019-06-30,29108000.0,,,259071000.0,,314877000.0,-285769000.0,,-268059000.0,-348000.0,-267711000.0,,,,,151624000.0,918722000.0,3498000.0,,,,,1097418000.0,365032000.0,208509000.0,,,2558000.0,1685279000.0,29609000.0,44589000.0,83401000.0,161987000.0,,,,188000.0,346725000.0,-1246354000.0,2741000.0,1338554000.0,1685279000.0,14817000.0,39992000.0,,-8188000.0,,,,-1471000.0,-23100000.0,53000.0,-256147000.0,843313000.0,563634000.0,39200000.0,,,18181000.0,,,-258660000.0,,,7764000.0,-507043000.0,
2019-09-30,46154000.0,,,378786000.0,,462780000.0,-416626000.0,,-391431000.0,-526000.0,-390905000.0,,,,,173711000.0,884829000.0,2800000.0,,,,,1094466000.0,279860000.0,203688000.0,,,2094000.0,1590899000.0,11737000.0,60079000.0,70191000.0,147842000.0,,,,161000.0,339092000.0,-1369548000.0,2830000.0,1251807000.0,1590899000.0,22100000.0,60796000.0,,-8886000.0,,,,-19185000.0,-32795000.0,1617000.0,-363195000.0,949277000.0,747846000.0,81030000.0,,,24892000.0,,,-145293000.0,,,23531000.0,-484957000.0,
2019-12-31,60209000.0,,,496309000.0,,605929000.0,-545720000.0,,-514716000.0,-695000.0,-514021000.0,,,,,235876000.0,867124000.0,5032000.0,,0.0,,,1128804000.0,159987000.0,,,,1931000.0,1589422000.0,7090000.0,67652000.0,63310000.0,143115000.0,,,,138000.0,414612000.0,-1500000000.0,1804000.0,1174810000.0,1589422000.0,31021000.0,81122000.0,-1200000.0,-6654000.0,,,,-23964000.0,-44119000.0,-6169000.0,-458968000.0,1145226000.0,993181000.0,168654000.0,,,31554000.0,,,-14945000.0,,,51121000.0,-422792000.0,416000.0
2020-03-31,8389000.0,,,115137000.0,,139251000.0,-130862000.0,,-124164000.0,66000.0,-124230000.0,,,,,391720000.0,825981000.0,5617000.0,,,,,1249936000.0,502479000.0,,,,1736000.0,2067541000.0,11034000.0,55020000.0,58842000.0,134582000.0,,,,1247000.0,426667000.0,-1620684000.0,-6127000.0,1640874000.0,2067541000.0,7449000.0,20413000.0,,585000.0,,,,2331000.0,-474000.0,5732000.0,-106191000.0,621257000.0,269733000.0,41729000.0,,,6223000.0,,,-316018000.0,549455000.0,,578053000.0,155844000.0,
2020-06-30,74740000.0,,,266993000.0,,327729000.0,-252989000.0,,-240729000.0,214000.0,-240943000.0,,,,,1761629000.0,955384000.0,33362000.0,,,,,2796744000.0,354916000.0,,,,1570000.0,3486006000.0,18817000.0,89204000.0,45244000.0,161647000.0,,,,1224000.0,539121000.0,-1740000000.0,8256000.0,2946885000.0,3486006000.0,15045000.0,44336000.0,,27993000.0,,,,11473000.0,51417000.0,4405000.0,-130066000.0,903613000.0,516913000.0,108016000.0,,,24855000.0,,,-303539000.0,1852759000.0,,1959358000.0,1525753000.0,
2020-09-30,232650000.0,,,611479000.0,,720756000.0,-488106000.0,,-473501000.0,1100000.0,-474579000.0,,,,,1505581000.0,1770721000.0,190501000.0,,,,,3577211000.0,691969000.0,,,,2047000.0,4650873000.0,20521000.0,208832000.0,1234506000.0,1473561000.0,,,,2183000.0,1891075000.0,-1971033000.0,4784000.0,2759798000.0,4650873000.0,23545000.0,67542000.0,,185132000.0,,,,13633000.0,1239969000.0,6684000.0,762682000.0,2326141000.0,748152000.0,140337000.0,,,44147000.0,,,-1481799000.0,1852759000.0,,1989084000.0,1269967000.0,
2020-12-31,803395000.0,7933000.0,,1370339000.0,,1566539000.0,-763144000.0,,-744513000.0,2551000.0,-747100000.0,,,,,2623850000.0,1983758000.0,1390560000.0,46527000.0,0.0,,,6297879000.0,638848000.0,,,,1880000.0,7336750000.0,18359000.0,469591000.0,3867193000.0,4388808000.0,,,,1853000.0,4775375000.0,-2243518000.0,3004000.0,2561375000.0,7336750000.0,31300000.0,93021000.0,0.0,1385191000.0,46527000.0,,,11875000.0,3842307000.0,5989000.0,2026971000.0,2956295000.0,1137129000.0,214686000.0,,,67448000.0,,,-1671928000.0,1852725000.0,,2033193000.0,2388236000.0,572000.0
2021-03-31,1937000000.0,193000000.0,,401000000.0,,671000000.0,1266000000.0,,1260000000.0,39000000.0,1221000000.0,3.05,2.84,400000000.0,430000000.0,5442000000.0,2293000000.0,3210000000.0,494000000.0,,,,11703000000.0,468000000.0,,,,1000000.0,12694000000.0,8000000.0,753000000.0,7531000000.0,8441000000.0,,,,2000000.0,8856000000.0,-1023000000.0,1000000.0,3838000000.0,12694000000.0,15000000.0,30000000.0,-50000000.0,1819000000.0,448000000.0,,,-15000000.0,3666000000.0,93000000.0,2971000000.0,726000000.0,339000000.0,242000000.0,,,35000000.0,,,-180000000.0,0.0,,26000000.0,2817000000.0,
