Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,31942000000.0,6470000000.0,,4144000000.0,,18947000000.0,12995000000.0,653000000.0,13648000000.0,3412000000.0,10236000000.0,1.15,1.14,8885000000.0,8975000000.0,9422000000.0,26677000000.0,11196000000.0,589000000.0,2056000000.0,,2547000000.0,52487000000.0,,7402000000.0,12368000000.0,1346000000.0,1517000000.0,82096000000.0,3171000000.0,2885000000.0,11361000000.0,25715000000.0,1167000000.0,377000000.0,,6808000000.0,,-18283000000.0,1322000000.0,44283000000.0,82096000000.0,,928000000.0,550000000.0,2789000000.0,,,,,,,11076000000.0,,5394000000.0,7778000000.0,,102000000.0,811000000.0,,,-1291000000.0,977000000.0,24000000.0,-6467000000.0,3346000000.0,
2010-03-31,46445000000.0,9225000000.0,,6364000000.0,,28277000000.0,18168000000.0,821000000.0,18989000000.0,4747000000.0,14242000000.0,1.61,1.59,8846000000.0,8955000000.0,8155000000.0,31511000000.0,9137000000.0,501000000.0,2222000000.0,,2992000000.0,54518000000.0,,7372000000.0,12463000000.0,1282000000.0,1478000000.0,84910000000.0,3279000000.0,3145000000.0,11171000000.0,26424000000.0,1089000000.0,828000000.0,,7113000000.0,,-16807000000.0,1453000000.0,45710000000.0,84910000000.0,,1409000000.0,263000000.0,-1947000000.0,,,,,,,18469000000.0,,6448000000.0,12705000000.0,,245000000.0,1219000000.0,,,-7195000000.0,1399000000.0,38000000.0,-9193000000.0,2079000000.0,
2010-06-30,62484000000.0,12395000000.0,50089000000.0,8714000000.0,,38386000000.0,24098000000.0,915000000.0,25013000000.0,6253000000.0,18760000000.0,2.13,2.1,8813000000.0,8927000000.0,5505000000.0,31283000000.0,13014000000.0,740000000.0,1955000000.0,,2950000000.0,55676000000.0,,7630000000.0,12394000000.0,,1501000000.0,86113000000.0,4025000000.0,2931000000.0,13652000000.0,26147000000.0,1178000000.0,229000000.0,,7445000000.0,,-16681000000.0,1055000000.0,46175000000.0,86113000000.0,,,-220000000.0,2238000000.0,,,,,,,24073000000.0,,7453000000.0,15125000000.0,,245000000.0,1977000000.0,,,-11314000000.0,2311000000.0,45000000.0,-13291000000.0,-571000000.0,4100000000.0
2010-09-30,16195000000.0,3139000000.0,,2196000000.0,,9079000000.0,7116000000.0,114000000.0,7230000000.0,1820000000.0,5410000000.0,0.63,0.62,8614000000.0,8695000000.0,8161000000.0,36012000000.0,9646000000.0,1242000000.0,2344000000.0,,2176000000.0,59581000000.0,,7771000000.0,12471000000.0,,1429000000.0,91540000000.0,3654000000.0,3139000000.0,12767000000.0,25857000000.0,1152000000.0,540000000.0,6700000000.0,7384000000.0,44598000000.0,-14993000000.0,1519000000.0,46942000000.0,91540000000.0,,,-148000000.0,-3674000000.0,468000000.0,,,-400000000.0,,,8194000000.0,,870000000.0,1427000000.0,,0.0,564000000.0,,,-4957000000.0,177000000.0,5000000.0,-639000000.0,2656000000.0,
2010-12-31,36148000000.0,7972000000.0,,4381000000.0,,20867000000.0,15281000000.0,446000000.0,15727000000.0,3683000000.0,12044000000.0,1.41,1.39,8555000000.0,8646000000.0,4023000000.0,37229000000.0,12874000000.0,861000000.0,2548000000.0,,2149000000.0,59684000000.0,,7799000000.0,12502000000.0,,1307000000.0,92306000000.0,3863000000.0,3190000000.0,12063000000.0,24312000000.0,1354000000.0,826000000.0,6900000000.0,7662000000.0,43825000000.0,,1697000000.0,48481000000.0,92306000000.0,,,-265000000.0,3270000000.0,-380000000.0,,,216000000.0,,,12380000000.0,,2706000000.0,4030000000.0,,69000000.0,1055000000.0,,,-6527000000.0,837000000.0,9000000.0,-7390000000.0,-4138000000.0,
2011-03-31,52576000000.0,11869000000.0,,6650000000.0,,31586000000.0,20990000000.0,762000000.0,21752000000.0,4476000000.0,17276000000.0,2.03,2.01,8511000000.0,8609000000.0,7021000000.0,43129000000.0,10033000000.0,1056000000.0,2586000000.0,,2438000000.0,66263000000.0,,7969000000.0,12554000000.0,,1353000000.0,99727000000.0,3829000000.0,3325000000.0,11887000000.0,24042000000.0,1132000000.0,1185000000.0,7200000000.0,8001000000.0,46275000000.0,,1810000000.0,53452000000.0,99727000000.0,,,-324000000.0,-3435000000.0,258000000.0,,,-235000000.0,19331000000.0,,21052000000.0,,4992000000.0,9768000000.0,,69000000.0,1713000000.0,,,-13666000000.0,2242000000.0,14000000.0,-5953000000.0,2998000000.0,
2011-06-30,69943000000.0,15577000000.0,54366000000.0,9043000000.0,,42782000000.0,27161000000.0,910000000.0,28071000000.0,4921000000.0,23150000000.0,2.73,2.69,8490000000.0,8593000000.0,9610000000.0,43162000000.0,14987000000.0,1372000000.0,1011000000.0,,3320000000.0,74918000000.0,,8162000000.0,12581000000.0,,1434000000.0,108704000000.0,4197000000.0,3492000000.0,15722000000.0,28774000000.0,1398000000.0,1456000000.0,7381000000.0,8072000000.0,51621000000.0,,1863000000.0,57083000000.0,108704000000.0,,,2000000.0,1451000000.0,561000000.0,,,58000000.0,31227000000.0,,26994000000.0,,6897000000.0,15880000000.0,,71000000.0,2355000000.0,,,-14616000000.0,2422000000.0,17000000.0,-8376000000.0,4105000000.0,5300000000.0
2011-09-30,17372000000.0,3777000000.0,,2329000000.0,,10169000000.0,7203000000.0,103000000.0,7306000000.0,1568000000.0,5738000000.0,0.68,0.68,8392000000.0,8490000000.0,12881000000.0,44522000000.0,10153000000.0,2270000000.0,2190000000.0,,3255000000.0,75271000000.0,,8033000000.0,12537000000.0,,1972000000.0,107415000000.0,3719000000.0,3245000000.0,14345000000.0,25543000000.0,1313000000.0,1040000000.0,7500000000.0,8201000000.0,48024000000.0,,751000000.0,59391000000.0,107415000000.0,,,402000000.0,-4733000000.0,920000000.0,,,-442000000.0,6139000000.0,,8493000000.0,,2825000000.0,7536000000.0,,,436000000.0,,,-2315000000.0,336000000.0,70000000.0,-2869000000.0,3271000000.0,
2012-03-31,55664000000.0,13367000000.0,,7217000000.0,,34093000000.0,21571000000.0,337000000.0,21908000000.0,4438000000.0,17470000000.0,2.08,2.05,8401000000.0,8502000000.0,6388000000.0,53141000000.0,10961000000.0,1412000000.0,2350000000.0,,2608000000.0,76860000000.0,,8225000000.0,19698000000.0,,1403000000.0,118010000000.0,3790000000.0,3011000000.0,13929000000.0,26170000000.0,1262000000.0,1456000000.0,7900000000.0,8525000000.0,49351000000.0,,1332000000.0,68659000000.0,118010000000.0,,,282000000.0,-3851000000.0,79000000.0,,,-380000000.0,21825000000.0,,23949000000.0,,13122000000.0,23317000000.0,,,1683000000.0,,,-20124000000.0,1635000000.0,84000000.0,-6987000000.0,-4222000000.0,
2012-06-30,73723000000.0,17530000000.0,56193000000.0,9811000000.0,,51960000000.0,21763000000.0,504000000.0,22267000000.0,5289000000.0,16978000000.0,2.02,2.0,8396000000.0,8506000000.0,6938000000.0,56102000000.0,15780000000.0,1137000000.0,142000000.0,,3092000000.0,85084000000.0,,8269000000.0,13452000000.0,,1520000000.0,121271000000.0,4175000000.0,3151000000.0,18653000000.0,32688000000.0,1406000000.0,1893000000.0,7634000000.0,8208000000.0,54908000000.0,,1422000000.0,66363000000.0,121271000000.0,,,954000000.0,1156000000.0,-184000000.0,,,-31000000.0,36104000000.0,,31626000000.0,,15575000000.0,29700000000.0,,,2305000000.0,,,-24786000000.0,1913000000.0,93000000.0,-9408000000.0,-2672000000.0,3500000000.0
