Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,22044000000.0,14987000000.0,7057000000.0,3183000000.0,3381000000.0,,-148000000.0,-17000000.0,-165000000.0,-77000000.0,-51000000.0,-0.02,-0.02,2295600000.0,2295600000.0,2869000000.0,2000000.0,3495000000.0,1308000000.0,1082000000.0,,2184000000.0,16032000000.0,,2154000000.0,2823000000.0,,1785000000.0,25603000000.0,2429000000.0,5296000000.0,,8261000000.0,,,,4094000000.0,,3827000000.0,-2286000000.0,9775000000.0,25603000000.0,751000000.0,296000000.0,50000000.0,10000000.0,-1349000000.0,,-960000000.0,,,,629000000.0,,,,,,275000000.0,,,-668000000.0,116000000.0,,-210000000.0,-195000000.0,159000000.0
2010-04-03,5044000000.0,3258000000.0,1786000000.0,757000000.0,876000000.0,,76000000.0,-13000000.0,63000000.0,-5000000.0,69000000.0,0.03,0.03,2315700000.0,2341300000.0,3188000000.0,6000000.0,3086000000.0,1251000000.0,1125000000.0,,2066000000.0,15896000000.0,,2088000000.0,2830000000.0,,1669000000.0,25260000000.0,2147000000.0,5194000000.0,,7873000000.0,,,,3970000000.0,,3896000000.0,-2311000000.0,9944000000.0,25260000000.0,173000000.0,72000000.0,-22000000.0,-411000000.0,-58000000.0,,-114000000.0,,,,485000000.0,,,,,,70000000.0,,,-163000000.0,63000000.0,,49000000.0,319000000.0,44000000.0
2010-07-03,10458000000.0,6670000000.0,3788000000.0,1519000000.0,1772000000.0,,439000000.0,-31000000.0,408000000.0,179000000.0,231000000.0,0.1,0.1,2328800000.0,2365000000.0,2893000000.0,25000000.0,3465000000.0,1299000000.0,1212000000.0,,1807000000.0,16014000000.0,,1968000000.0,2828000000.0,,1693000000.0,24812000000.0,2336000000.0,5020000000.0,1442000000.0,7887000000.0,662000000.0,,,3798000000.0,,4058000000.0,-2376000000.0,10116000000.0,24812000000.0,341000000.0,149000000.0,261000000.0,17000000.0,,,-368000000.0,,,,727000000.0,,,,,,146000000.0,,,-172000000.0,68000000.0,,-425000000.0,24000000.0,34000000.0
2010-10-02,13619000000.0,8754000000.0,4865000000.0,1889000000.0,2423000000.0,,411000000.0,-82000000.0,329000000.0,278000000.0,340000000.0,0.15,0.14,2339000000.0,2374400000.0,3848000000.0,8000000.0,3236000000.0,1354000000.0,1230000000.0,,1442000000.0,17373000000.0,,1768000000.0,2752000000.0,,1447000000.0,25925000000.0,2379000000.0,4517000000.0,1061000000.0,8709000000.0,504000000.0,,,3639000000.0,,4167000000.0,-2315000000.0,10441000000.0,25925000000.0,426000000.0,200000000.0,323000000.0,305000000.0,257000000.0,,59000000.0,,,,915000000.0,,,,,,180000000.0,,,50000000.0,152000000.0,,62000000.0,979000000.0,95000000.0
2010-12-31,19282000000.0,12384000000.0,6898000000.0,2530000000.0,3367000000.0,,789000000.0,-112000000.0,677000000.0,406000000.0,633000000.0,1.9,1.87,333300000.0,338100000.0,4208000000.0,9000000.0,3268000000.0,1364000000.0,2877000000.0,,1342000000.0,17154000000.0,,1729000000.0,2825000000.0,,1428000000.0,25577000000.0,2462000000.0,4704000000.0,1071000000.0,8710000000.0,496000000.0,,,3542000000.0,,4460000000.0,-2222000000.0,10885000000.0,25577000000.0,572000000.0,273000000.0,165000000.0,311000000.0,267000000.0,,-41000000.0,,,,1534000000.0,,,,,,335000000.0,,,246000000.0,179000000.0,,-468000000.0,1339000000.0,259000000.0
2011-04-02,1884000000.0,942000000.0,942000000.0,249000000.0,468000000.0,,170000000.0,3000000.0,173000000.0,-186000000.0,497000000.0,1.47,1.44,337400000.0,344200000.0,2764000000.0,9000000.0,1406000000.0,521000000.0,911000000.0,,751000000.0,10861000000.0,,915000000.0,1429000000.0,,720000000.0,16560000000.0,560000000.0,2793000000.0,741000000.0,4904000000.0,273000000.0,,,3011000000.0,,497000000.0,-2140000000.0,6310000000.0,16560000000.0,91000000.0,39000000.0,,-175000000.0,10000000.0,,13000000.0,,,,231000000.0,,,,,,27000000.0,,,1267000000.0,70000000.0,,-2919000000.0,-1444000000.0,16000000.0
2011-07-02,3939000000.0,1958000000.0,1981000000.0,520000000.0,960000000.0,,340000000.0,-97000000.0,246000000.0,-169000000.0,846000000.0,2.49,2.44,341200000.0,348500000.0,2203000000.0,2000000.0,1546000000.0,522000000.0,729000000.0,,729000000.0,10269000000.0,,899000000.0,1429000000.0,,641000000.0,15597000000.0,625000000.0,2790000000.0,760000000.0,4131000000.0,293000000.0,,,3015000000.0,,846000000.0,-2140000000.0,6739000000.0,15597000000.0,181000000.0,78000000.0,,-88000000.0,12000000.0,,-9000000.0,,,,333000000.0,,,,,,60000000.0,,,1292000000.0,128000000.0,,-3613000000.0,-2005000000.0,39000000.0
2011-10-01,5969000000.0,2968000000.0,3001000000.0,775000000.0,1425000000.0,,580000000.0,-110000000.0,470000000.0,-91000000.0,974000000.0,2.89,2.84,337300000.0,343400000.0,1785000000.0,2000000.0,1535000000.0,548000000.0,629000000.0,,743000000.0,9715000000.0,,889000000.0,1449000000.0,,449000000.0,14771000000.0,641000000.0,2911000000.0,810000000.0,4169000000.0,291000000.0,,,2906000000.0,,902000000.0,-2154000000.0,6098000000.0,14771000000.0,273000000.0,123000000.0,,-82000000.0,37000000.0,,6000000.0,,,,803000000.0,,,,,,103000000.0,,,1172000000.0,148000000.0,39000000.0,-4347000000.0,-2423000000.0,57000000.0
2011-12-31,8203000000.0,4057000000.0,4146000000.0,1035000000.0,1912000000.0,,858000000.0,-120000000.0,738000000.0,-3000000.0,1158000000.0,3.47,3.41,333800000.0,339700000.0,1881000000.0,2000000.0,1866000000.0,512000000.0,2983000000.0,,676000000.0,8768000000.0,,896000000.0,1428000000.0,,294000000.0,13929000000.0,677000000.0,2721000000.0,774000000.0,3815000000.0,275000000.0,,,3710000000.0,,1016000000.0,-2876000000.0,5214000000.0,13929000000.0,366000000.0,168000000.0,-38000000.0,250000000.0,14000000.0,,-61000000.0,,,,848000000.0,,,,,,186000000.0,,,2426000000.0,192000000.0,42000000.0,-5528000000.0,-2327000000.0,107000000.0
2012-03-31,1956000000.0,983000000.0,973000000.0,254000000.0,472000000.0,,232000000.0,12000000.0,244000000.0,85000000.0,157000000.0,0.5,0.49,311300000.0,317700000.0,1720000000.0,2000000.0,1717000000.0,471000000.0,640000000.0,,772000000.0,7377000000.0,,874000000.0,1430000000.0,,274000000.0,12443000000.0,594000000.0,2573000000.0,802000000.0,3583000000.0,273000000.0,,,3624000000.0,,1109000000.0,-2827000000.0,4085000000.0,12443000000.0,53000000.0,43000000.0,,-141000000.0,-9000000.0,,100000000.0,,,,69000000.0,,,,,,49000000.0,,,1152000000.0,30000000.0,6000000.0,-1411000000.0,-161000000.0,38000000.0
