Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,23358000000.0,,,,,,,,857000000.0,-336000000.0,1346000000.0,-0.77,-0.77,1185414871.0,1185414871.0,31991000000.0,,,,,,,,,7067000000.0,7162000000.0,5054000000.0,,771462000000.0,,,,,,,,,718682000000.0,35056000000.0,-560000000.0,46688000000.0,771462000000.0,,1265000000.0,-932000000.0,2445000000.0,,,,818000000.0,,,-45951000000.0,0.0,,0.0,,2160000000.0,,,,-4472000000.0,43000000.0,102000000.0,3024000000.0,-46679000000.0,
2010-03-31,9078000000.0,,,,,,,,2516000000.0,436000000.0,1776000000.0,1.07,0.99,1314608020.0,1626207327.0,35478000000.0,,,,,,,,,6047000000.0,7169000000.0,4998000000.0,,819719000000.0,,,,,,,,,764540000000.0,36539000000.0,-559000000.0,48264000000.0,819719000000.0,,370000000.0,,-4521000000.0,,,,5487000000.0,,,21094000000.0,18674000000.0,,,,,,,,-18812000000.0,1000000.0,2000000.0,1585000000.0,3487000000.0,
2010-06-30,17028000000.0,,,,,,,,4194000000.0,653000000.0,3736000000.0,2.27,2.08,1317686493.0,1748208948.0,36347000000.0,,,,,,,,,6100000000.0,6749000000.0,4924000000.0,,809456000000.0,,,,,,,,,750297000000.0,38210000000.0,-354000000.0,51013000000.0,809456000000.0,,671000000.0,,-265000000.0,,,,858000000.0,,,29379000000.0,19233000000.0,,,,1028000000.0,,,-283000000.0,-19614000000.0,2000000.0,3000000.0,-4486000000.0,4356000000.0,
2010-09-30,23805000000.0,,,,,,,,5012000000.0,650000000.0,3867000000.0,2.22,2.15,1377230354.0,1709544142.0,33115000000.0,,,,,,,,,6032000000.0,6766000000.0,4808000000.0,,841372000000.0,,,,,,,,,775790000000.0,38056000000.0,-116000000.0,56876000000.0,841372000000.0,,977000000.0,,6081000000.0,,,,2451000000.0,,,19212000000.0,23374000000.0,,,,1028000000.0,,,-247000000.0,-24124000000.0,5581000000.0,4000000.0,5620000000.0,1124000000.0,
2010-12-31,31622000000.0,,,,,,,,6202000000.0,739000000.0,4703000000.0,2.64,2.63,1361670938.0,1411268971.0,47615000000.0,,,,7812000000.0,,,,,6154000000.0,6739000000.0,4667000000.0,,807698000000.0,,,,,,,,,742291000000.0,38603000000.0,-467000000.0,57211000000.0,807698000000.0,,1260000000.0,-129000000.0,9568000000.0,,,,761000000.0,,,40307000000.0,29989000000.0,,670000000.0,,1042000000.0,,,,-29157000000.0,5581000000.0,5000000.0,4163000000.0,15624000000.0,
2011-03-31,7635000000.0,,,,,,,,872000000.0,-256000000.0,968000000.0,0.51,0.5,1456015979.0,1472307592.0,52608000000.0,,,,,,,,,6366000000.0,6743000000.0,4581000000.0,,836185000000.0,,,,,,,,,769677000000.0,39269000000.0,-426000000.0,58186000000.0,836185000000.0,,340000000.0,,7417000000.0,,,,1350000000.0,,,-1322000000.0,3357000000.0,,6121000000.0,,,,,,2545000000.0,,29000000.0,2816000000.0,4993000000.0,
2011-06-30,16917000000.0,,,,,,,,2816000000.0,542000000.0,2161000000.0,-0.38,-0.38,1464295984.0,1477572132.0,50747000000.0,,,,,,,,,6399000000.0,6744000000.0,4474000000.0,,830747000000.0,,,,,,,,,762604000000.0,38637000000.0,-320000000.0,59707000000.0,830747000000.0,,728000000.0,,6271000000.0,,,,13458000000.0,,,-5174000000.0,8632000000.0,,13142000000.0,,,,,,4888000000.0,,29000000.0,2748000000.0,3132000000.0,
2011-09-30,26809000000.0,,,,,,,,6494000000.0,1696000000.0,4360000000.0,1.47,1.45,1848246471.0,1868743943.0,53907000000.0,,,,,,,,,6511000000.0,6709000000.0,4370000000.0,,794939000000.0,,,,,,,,,724845000000.0,40710000000.0,-413000000.0,61828000000.0,794939000000.0,,1006000000.0,,3989000000.0,,,,22501000000.0,,,3638000000.0,13968000000.0,,14917000000.0,,0.0,,,,1753000000.0,0.0,30000000.0,399000000.0,6292000000.0,
2011-12-31,32403000000.0,,,,,,,,6114000000.0,1418000000.0,4110000000.0,1.25,1.23,1654708640.0,1675271669.0,47312000000.0,,,,6911000000.0,,,,,6457000000.0,6686000000.0,4285000000.0,,749898000000.0,,,,,,,,,679820000000.0,40341000000.0,-157000000.0,62049000000.0,749898000000.0,,1300000000.0,539000000.0,-1519000000.0,,,,-6963000000.0,,,6684000000.0,20601000000.0,,17085000000.0,,0.0,,,,-2036000000.0,0.0,0.0,-5148000000.0,-303000000.0,
2012-03-31,6935000000.0,,,,,,,,203000000.0,54000000.0,-94000000.0,-0.06,-0.06,1876961836.0,1876961836.0,38725000000.0,,,,,,,,,6410000000.0,6700000000.0,4170000000.0,,781030000000.0,,,,,,,,,710438000000.0,40118000000.0,-60000000.0,62324000000.0,781030000000.0,,372000000.0,,6784000000.0,,,,11115000000.0,,,7431000000.0,3487000000.0,,0.0,,0.0,,,,-2696000000.0,0.0,34000000.0,-12881000000.0,-8587000000.0,
2012-06-30,13888000000.0,,,,,,,,1143000000.0,280000000.0,591000000.0,0.3,0.29,1885179182.0,1911709377.0,42006000000.0,,,,,,,,,6343000000.0,6610000000.0,3987000000.0,,748517000000.0,,,,,,,,,676880000000.0,40586000000.0,-220000000.0,62841000000.0,748517000000.0,,618000000.0,,15192000000.0,,,,5318000000.0,,,15866000000.0,6418000000.0,,0.0,,,,,,121000000.0,,42000000.0,-20539000000.0,-5306000000.0,
2012-09-30,19177000000.0,,,,,,,,-1480000000.0,-524000000.0,-1023000000.0,-0.55,-0.55,1889300631.0,1889300631.0,36586000000.0,,,,,,,,,6083000000.0,6622000000.0,3905000000.0,,764985000000.0,,,,,,,,,695513000000.0,39441000000.0,-146000000.0,61799000000.0,764985000000.0,,898000000.0,,23625000000.0,,,,9807000000.0,,,22772000000.0,17492000000.0,,0.0,,,,,,-10360000000.0,,42000000.0,-22609000000.0,-10726000000.0,
2012-12-31,26112000000.0,,,,,,,,515000000.0,-239000000.0,68000000.0,-0.02,-0.02,1885774276.0,1918811270.0,46904000000.0,,,,7286000000.0,,,,,5946000000.0,6650000000.0,3783000000.0,,780960000000.0,,,,,,,,,711223000000.0,39912000000.0,-516000000.0,62109000000.0,780960000000.0,,891000000.0,-646000000.0,10200000000.0,,,,-1283000000.0,,,24548000000.0,24477000000.0,,10398000000.0,,0.0,,,,-12414000000.0,0.0,42000000.0,-11897000000.0,-408000000.0,
2013-03-31,8158000000.0,,,,,,,,1582000000.0,332000000.0,962000000.0,0.49,0.48,1901204729.0,1940264085.0,42902000000.0,,,,,,,,,5928000000.0,6633000000.0,3694000000.0,,801383000000.0,,,,,,,,,730886000000.0,40750000000.0,-694000000.0,62704000000.0,801383000000.0,,265000000.0,,-2830000000.0,,,,6976000000.0,,,4600000000.0,4674000000.0,,2029000000.0,,,,,,-3244000000.0,,12000000.0,-4162000000.0,-4002000000.0,
2013-06-30,16661000000.0,,,,,,,,3357000000.0,887000000.0,1942000000.0,0.91,0.89,1907737175.0,1951362736.0,47199000000.0,,,,,,,,,5966000000.0,6600000000.0,3602000000.0,,802691000000.0,,,,,,,,,736577000000.0,41455000000.0,-1169000000.0,63181000000.0,802691000000.0,,559000000.0,,883000000.0,,,,13278000000.0,,,18402000000.0,14335000000.0,,,,,,,-186000000.0,-6603000000.0,,13000000.0,-10389000000.0,295000000.0,
2013-09-30,24593000000.0,,,,,,,,4696000000.0,1226000000.0,2848000000.0,1.37,1.34,1909350788.0,1964812610.0,57781000000.0,,,,,,,,,6008000000.0,6591000000.0,3514000000.0,,832223000000.0,,,,,,,,,763982000000.0,42237000000.0,-1014000000.0,65128000000.0,832223000000.0,,850000000.0,,-6761000000.0,,,,21500000000.0,,,16820000000.0,20497000000.0,,,,,,,-117000000.0,-13989000000.0,,8000000.0,8809000000.0,10877000000.0,
2013-12-31,32417000000.0,,,,,,,,4482000000.0,826000000.0,2932000000.0,1.39,1.36,1905823882.0,1956519738.0,59883000000.0,,,,7228000000.0,,,,,6019000000.0,6595000000.0,3286000000.0,,832702000000.0,,,,,,,,,763672000000.0,42172000000.0,-1093000000.0,65921000000.0,832702000000.0,,1180000000.0,-94000000.0,-6774000000.0,,,,26697000000.0,,,35553000000.0,30557000000.0,4757000000.0,11425000000.0,,,,,-140000000.0,-24461000000.0,,10000000.0,2633000000.0,12979000000.0,
2014-03-31,8929000000.0,,,,,,,,2307000000.0,762000000.0,1505000000.0,0.75,0.74,1924270160.0,1969652798.0,55424000000.0,,,,,,,,,5778000000.0,6601000000.0,3210000000.0,,831381000000.0,,,,,,,,,761113000000.0,43522000000.0,-968000000.0,67071000000.0,831381000000.0,,311000000.0,,1299000000.0,,,,16904000000.0,,,5327000000.0,8188000000.0,981000000.0,1853000000.0,,,,,41000000.0,-9818000000.0,,84000000.0,519000000.0,-4459000000.0,
2014-06-30,17555000000.0,,,,,,,,4258000000.0,795000000.0,3404000000.0,1.7,1.66,1928250328.0,1969698239.0,40885000000.0,,,,,,,,,5911000000.0,6600000000.0,3137000000.0,,826568000000.0,,,,,,,,,754367000000.0,45145000000.0,-733000000.0,70755000000.0,826568000000.0,,629000000.0,,-2904000000.0,,,,21972000000.0,,,5875000000.0,19329000000.0,2153000000.0,5499000000.0,,,,,388000000.0,-24109000000.0,,85000000.0,-843000000.0,-18998000000.0,
2014-09-30,26511000000.0,,,,,,,,6522000000.0,1263000000.0,5097000000.0,2.54,2.49,1925172108.0,1970922473.0,55826000000.0,,,,,,,,,5642000000.0,6589000000.0,3054000000.0,,814511000000.0,,,,,,,,,740500000000.0,46573000000.0,-1115000000.0,72918000000.0,814511000000.0,,933000000.0,,-2931000000.0,,,,23335000000.0,,,7740000000.0,24581000000.0,3415000000.0,11212000000.0,,,,,264000000.0,-23763000000.0,,91000000.0,12954000000.0,-4057000000.0,
2014-12-31,34275000000.0,,,,,,,,3591000000.0,-90000000.0,3467000000.0,1.64,1.6,1923805397.0,1970535560.0,46984000000.0,,,,7206000000.0,,,,,6108000000.0,6588000000.0,3159000000.0,,801510000000.0,,,,,,,,,729406000000.0,44625000000.0,-1248000000.0,70900000000.0,801510000000.0,,1260000000.0,-240000000.0,-3608000000.0,,,,27971000000.0,,,1131000000.0,,,,,,,,213000000.0,-35324000000.0,,101000000.0,23143000000.0,-12899000000.0,
2015-03-31,9907000000.0,,,,,,,,2855000000.0,387000000.0,2394000000.0,1.2,1.18,1924122199.0,1962996441.0,40293000000.0,,,,,,,,,6141000000.0,6597000000.0,3064000000.0,,829099000000.0,,,,,,,,,753633000000.0,46740000000.0,-1266000000.0,74162000000.0,829099000000.0,,295000000.0,,6257000000.0,,,,8052000000.0,,,-13055000000.0,,,,,,,,-48000000.0,-2905000000.0,,173000000.0,9951000000.0,-6691000000.0,
2015-06-30,19650000000.0,,,,,,,,5582000000.0,1281000000.0,4201000000.0,2.07,2.03,1921604663.0,1961676071.0,46359000000.0,,,,,,,,,6182000000.0,6594000000.0,3151000000.0,,825755000000.0,,,,,,,,,749688000000.0,48106000000.0,-1447000000.0,75038000000.0,825755000000.0,,611000000.0,,7556000000.0,,,,-1482000000.0,,,-8453000000.0,,,,,,,,97000000.0,-7334000000.0,,176000000.0,15704000000.0,-625000000.0,
2015-09-30,,,,,,,,,7056000000.0,1704000000.0,5219000000.0,2.57,2.51,1915807606.0,1957544581.0,53518000000.0,,,,,,,,,6259000000.0,6587000000.0,3069000000.0,,834113000000.0,,,,,,,,,757693000000.0,48746000000.0,-1419000000.0,75287000000.0,834113000000.0,,836000000.0,,-787000000.0,,,,10351000000.0,,,-7963000000.0,,,,,,,,61000000.0,-7398000000.0,,180000000.0,22662000000.0,6534000000.0,
2015-12-31,,,,,,,,,8495000000.0,2200000000.0,6127000000.0,2.97,2.9,1909116527.0,1952815453.0,54083000000.0,,,,5996000000.0,,,,,6373000000.0,6584000000.0,2984000000.0,,787465000000.0,,,,,,,,,711281000000.0,49204000000.0,-1656000000.0,75182000000.0,787465000000.0,,1104000000.0,1194000000.0,434000000.0,,,,4373000000.0,,,3674000000.0,,,,,,,,102000000.0,-19995000000.0,,211000000.0,24365000000.0,7099000000.0,677000000.0
2016-03-31,,,,,,,,,1738000000.0,578000000.0,1134000000.0,0.56,0.55,1883141468.0,1914840943.0,53638000000.0,,,,,,,,,,6586000000.0,2909000000.0,,807497000000.0,,,,,,,,,730322000000.0,50272000000.0,-1238000000.0,76010000000.0,807497000000.0,,217000000.0,,-899000000.0,,,,2153000000.0,,,4138000000.0,,,,,,,,136000000.0,-9116000000.0,,39000000.0,3888000000.0,-445000000.0,122000000.0
2016-06-30,,,,,,,,,4221000000.0,1411000000.0,2716000000.0,1.32,1.3,1875000000.0,1907000000.0,56133000000.0,,,,,,,,,,6581000000.0,2833000000.0,,828873000000.0,,,,,,,,,750498000000.0,51410000000.0,-905000000.0,77116000000.0,828873000000.0,,492000000.0,,10537000000.0,,,,9907000000.0,,,16266000000.0,,,,,,,,126000000.0,-12414000000.0,,42000000.0,-2516000000.0,2050000000.0,340000000.0
2016-09-30,,,,,,,,,6602000000.0,2160000000.0,4313000000.0,2.15,2.11,1863000000.0,1898000000.0,42552000000.0,,,,,,,,,,6584000000.0,2747000000.0,,813891000000.0,,,,,,,,,735429000000.0,52545000000.0,-1070000000.0,77149000000.0,813891000000.0,,794000000.0,,2800000000.0,,,,3798000000.0,,,7814000000.0,,,,,,,,24000000.0,-14988000000.0,,51000000.0,-5411000000.0,-11531000000.0,504000000.0
2016-12-31,,,,,,,,,8848000000.0,2726000000.0,5979000000.0,2.98,2.92,1849000000.0,1887000000.0,43381000000.0,,,,4767000000.0,,,,,,6577000000.0,2721000000.0,,814949000000.0,,,,,,,,,737772000000.0,53679000000.0,,76050000000.0,814949000000.0,,1136000000.0,1578000000.0,2881000000.0,,,,1803000000.0,,,2447000000.0,,,,,,,,-200000000.0,-19508000000.0,,61000000.0,7424000000.0,-10702000000.0,831000000.0
2017-03-31,,,,,,,,,2808000000.0,815000000.0,1930000000.0,1.02,1.0,1801000000.0,1842000000.0,42854000000.0,,,,,,,,,,6588000000.0,2644000000.0,,832391000000.0,,,,,,,,,753307000000.0,55109000000.0,-2450000000.0,77924000000.0,832391000000.0,,269000000.0,,3735000000.0,,,,-3419000000.0,,,-1611000000.0,,,,,,,,-61000000.0,-2168000000.0,,,2722000000.0,-527000000.0,262000000.0
2017-06-30,,,,,,,,,5450000000.0,1661000000.0,3687000000.0,1.91,1.87,1796000000.0,1836000000.0,44659000000.0,,,,,,,,,,6591000000.0,2567000000.0,,841016000000.0,,,,,,,,,761049000000.0,56325000000.0,,78826000000.0,841016000000.0,,518000000.0,,2336000000.0,,,,5732000000.0,,,-9470000000.0,,,,,,,,39000000.0,2695000000.0,,,7365000000.0,1278000000.0,732000000.0
2017-09-30,,,,,,,,,7932000000.0,2358000000.0,5468000000.0,2.86,2.79,1789000000.0,1830000000.0,48191000000.0,,,,,,,,,,6590000000.0,2491000000.0,,853693000000.0,,,,,,,,,773579000000.0,57554000000.0,,78978000000.0,853693000000.0,,775000000.0,,6682000000.0,,,,8196000000.0,,,-6113000000.0,,,,,,,,77000000.0,-8828000000.0,,,17533000000.0,4810000000.0,967000000.0
2017-12-31,,,,,,,,,10403000000.0,4168000000.0,6111000000.0,3.14,3.07,1780000000.0,1821000000.0,80395000000.0,,,,2574000000.0,,,,,,6597000000.0,2448000000.0,,851733000000.0,,,,,,,,,773267000000.0,57577000000.0,,77391000000.0,851733000000.0,,1026000000.0,2754000000.0,9315000000.0,,,,2007000000.0,,,-4505000000.0,,,,,,,,251000000.0,-12391000000.0,,,16261000000.0,3035000000.0,1390000000.0
2018-03-31,5910000000.0,,,,,,,,3420000000.0,714000000.0,2668000000.0,1.48,1.45,1740000000.0,1771000000.0,87344000000.0,,,,,,,,,,6706000000.0,2427000000.0,,858495000000.0,,,,,,,,,779006000000.0,60009000000.0,,78034000000.0,858495000000.0,,321000000.0,,13019000000.0,,,,1129000000.0,,,12648000000.0,,,,,,,,164000000.0,-6922000000.0,,,363000000.0,6949000000.0,250000000.0
2018-06-30,,,,,,,,,6529000000.0,1354000000.0,5105000000.0,2.8,2.75,1730000000.0,1760000000.0,81589000000.0,,,,,,,,,,6692000000.0,2332000000.0,,875875000000.0,,,,,,,,,795369000000.0,61835000000.0,,79109000000.0,875875000000.0,,526000000.0,,9279000000.0,,,,9053000000.0,,,-81000000.0,,,,,,,,147000000.0,-9303000000.0,,,11826000000.0,1194000000.0,790000000.0
2018-09-30,,,,,,,,,9380000000.0,2050000000.0,7217000000.0,3.99,3.92,1719000000.0,1749000000.0,92481000000.0,,,,,,,,,,6680000000.0,2240000000.0,,865517000000.0,,,,,,,,,785443000000.0,63330000000.0,,78703000000.0,865517000000.0,,743000000.0,,4092000000.0,,,,310000000.0,,,14484000000.0,,,,,,,,245000000.0,-14066000000.0,,,13362000000.0,12086000000.0,1009000000.0
2018-12-31,,,,,,,,,11237000000.0,2350000000.0,8748000000.0,4.81,4.73,1708000000.0,1738000000.0,87196000000.0,,,,1673000000.0,,,,,,6688000000.0,2163000000.0,,853531000000.0,,,,,,,,,772125000000.0,64175000000.0,-2292000000.0,80246000000.0,853531000000.0,,920000000.0,449000000.0,728000000.0,,,,-13063000000.0,,,7305000000.0,,,,,,,,298000000.0,-22881000000.0,,,24205000000.0,6801000000.0,1377000000.0
2019-03-31,,,,,,,,,2955000000.0,487000000.0,2429000000.0,1.41,1.39,1658000000.0,1677000000.0,80682000000.0,,,,,,,,,,6686000000.0,2084000000.0,,875964000000.0,,,,,,,,,794072000000.0,66061000000.0,-2473000000.0,80724000000.0,875964000000.0,,293000000.0,,-1567000000.0,,,,9971000000.0,,,17041000000.0,,,,,,,,12000000.0,-7227000000.0,,,-15864000000.0,-6514000000.0,245000000.0
2019-06-30,,,,,,,,,5858000000.0,1144000000.0,4630000000.0,2.65,2.62,1646000000.0,1666000000.0,,,,,,,,,,,7158000000.0,2276000000.0,,891959000000.0,,,,,,,,,809114000000.0,67588000000.0,-2051000000.0,81724000000.0,891959000000.0,,592000000.0,,-48000000.0,,,,11522000000.0,,,27572000000.0,,,,,,,,776000000.0,-17822000000.0,,,-17261000000.0,-7616000000.0,1115000000.0
2019-09-30,,,,,,,,,8568000000.0,1636000000.0,6803000000.0,3.94,3.89,1632000000.0,1653000000.0,,,,,,,,,,,7139000000.0,2211000000.0,,902604000000.0,,,,,,,,,819054000000.0,69071000000.0,-1598000000.0,82382000000.0,902604000000.0,,825000000.0,,5135000000.0,,,,22721000000.0,,,40909000000.0,,,,,,,,848000000.0,-25721000000.0,,,-21180000000.0,-7540000000.0,1603000000.0
2019-12-31,,,,,,,,,11301000000.0,2064000000.0,9042000000.0,5.26,5.19,1617000000.0,1640000000.0,,,,,1498000000.0,,,,,,7143000000.0,2107000000.0,,895429000000.0,,,,,,,,,812732000000.0,70589000000.0,-2788000000.0,81549000000.0,895429000000.0,,1153000000.0,165000000.0,-233000000.0,,,,19942000000.0,,,40773000000.0,,,,,,,,953000000.0,-33561000000.0,,,-11966000000.0,-5025000000.0,1908000000.0
