Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,788784000.0,280484000.0,,31962000.0,,761531000.0,27253000.0,-21287000.0,,8965000.0,13591000.0,0.12,0.12,,,915169000.0,551784000.0,104971000.0,,,,153149000.0,1725073000.0,,288177000.0,1043689000.0,264270000.0,177422000.0,3714912000.0,,,67308000.0,326838000.0,,,461874000.0,23493000.0,,-756491000.0,3098000.0,,3714912000.0,,,764000.0,6252000.0,,,-2445000.0,,10349000.0,,130633000.0,427286000.0,,,,16681000.0,25554000.0,,127000.0,-89776000.0,,4992000.0,-367919000.0,-330828000.0,
2010-09-30,1210436000.0,422704000.0,,47974000.0,,1147249000.0,63187000.0,-21019000.0,,23785000.0,17509000.0,0.17,0.16,,,902214000.0,471215000.0,113251000.0,,,,144898000.0,1631578000.0,,282143000.0,1047139000.0,262221000.0,179227000.0,3612198000.0,,,72694000.0,318037000.0,,,467130000.0,19302000.0,,-738982000.0,7929000.0,,3612198000.0,,,6987000.0,15809000.0,,,-1451000.0,,15628000.0,,205562000.0,600993000.0,,,,17334000.0,34042000.0,,127000.0,-30319000.0,,6551000.0,-517964000.0,-343783000.0,
2010-12-31,1636815000.0,593816000.0,,65097000.0,,1587020000.0,49795000.0,-27109000.0,,32079000.0,99359000.0,0.93,0.93,,,742099000.0,563997000.0,119581000.0,,,,118308000.0,1543985000.0,,267928000.0,989493000.0,245044000.0,192383000.0,3439554000.0,,,78175000.0,356873000.0,,,475685000.0,20350000.0,,-652018000.0,17546000.0,,3439554000.0,,,-6074000.0,32901000.0,,,8636000.0,,19653000.0,,340707000.0,838155000.0,,,,17333000.0,39829000.0,,501000.0,-118096000.0,,14291000.0,-717210000.0,-503898000.0,
2011-03-31,460213000.0,172718000.0,,17722000.0,,422877000.0,37336000.0,,,16041000.0,18070000.0,0.2,0.19,,,848595000.0,468890000.0,131735000.0,,,,118115000.0,1567335000.0,,262569000.0,1074885000.0,248431000.0,184230000.0,3536629000.0,,,92658000.0,404619000.0,,,478203000.0,19906000.0,,-633948000.0,20843000.0,,3536629000.0,,,6374000.0,13711000.0,,,1008000.0,,14263000.0,,53892000.0,98484000.0,,,,48269000.0,8294000.0,,-40000.0,43154000.0,,9680000.0,8619000.0,106496000.0,
2011-06-30,945617000.0,354190000.0,,35002000.0,,850050000.0,95567000.0,,91357000.0,25559000.0,60494000.0,0.68,0.63,90050000.0,97302000.0,622866000.0,288997000.0,126887000.0,,,,110341000.0,1149091000.0,,261118000.0,1077476000.0,245822000.0,159302000.0,3509301000.0,,,90412000.0,405492000.0,,,460138000.0,19710000.0,,-591524000.0,62224000.0,,3509301000.0,,,14136000.0,10210000.0,,,237000.0,,11878000.0,,157160000.0,135021000.0,,11808000.0,,79968000.0,19349000.0,,7127000.0,-189750000.0,,17865000.0,-85313000.0,-119233000.0,
2011-09-30,1462501000.0,,,56558000.0,,1320194000.0,142307000.0,,127327000.0,-32003000.0,125467000.0,1.43,1.32,87898000.0,94890000.0,679311000.0,185681000.0,154401000.0,,,,104748000.0,1124141000.0,,260003000.0,1337889000.0,398040000.0,250627000.0,3548327000.0,,,104844000.0,493278000.0,,,467878000.0,71370000.0,,-526551000.0,12137000.0,2306498000.0,3548327000.0,,,-44548000.0,27494000.0,,,-9005000.0,,26668000.0,,269566000.0,154718000.0,,14021000.0,,278469000.0,27346000.0,,11436000.0,-14219000.0,,22878000.0,-308342000.0,-62788000.0,
2011-12-31,2059444000.0,,,78760000.0,,1861682000.0,197762000.0,10060000.0,171522000.0,-4047000.0,,2.01,1.85,86755000.0,94321000.0,704153000.0,165695000.0,177030000.0,,-260117000.0,,112255000.0,1159133000.0,,259588000.0,1358524000.0,378107000.0,80761000.0,3409865000.0,,,126297000.0,534185000.0,,302213000.0,450533000.0,16601000.0,,-477785000.0,-12443000.0,1905049000.0,3409865000.0,,,-35483000.0,58314000.0,,,-1287000.0,,48950000.0,,372386000.0,203970000.0,,15214000.0,,278469000.0,39954000.0,,12697000.0,-25186000.0,,22166000.0,-372233000.0,-37946000.0,
2012-03-31,640600000.0,,,23482000.0,,577835000.0,62765000.0,1409000.0,58273000.0,27120000.0,,0.42,0.38,82801000.0,91718000.0,624096000.0,151549000.0,181804000.0,,,,120200000.0,1077649000.0,,255701000.0,1356183000.0,372960000.0,83032000.0,3352478000.0,,,145916000.0,524787000.0,,312209000.0,455312000.0,16023000.0,,-443307000.0,18453000.0,1855868000.0,3352478000.0,,,3129000.0,10537000.0,,,8950000.0,,19622000.0,,59050000.0,10012000.0,,8058000.0,,10267000.0,9633000.0,,8253000.0,-12234000.0,,6477000.0,-127725000.0,-80057000.0,
2012-06-30,1321212000.0,,,46597000.0,,1160971000.0,160241000.0,-1732000.0,135008000.0,55754000.0,,0.92,0.85,86174000.0,91940000.0,807196000.0,138597000.0,205156000.0,,,,128272000.0,1279221000.0,,255926000.0,1345873000.0,367207000.0,106514000.0,3546348000.0,,,159681000.0,609543000.0,,301616000.0,478287000.0,28125000.0,,-399975000.0,-15560000.0,1942916000.0,3546348000.0,,,819000.0,19382000.0,,,7937000.0,,8679000.0,,205527000.0,24254000.0,,12527000.0,,20411000.0,20353000.0,,12603000.0,-32338000.0,,14353000.0,-67740000.0,103043000.0,
2012-09-30,2035682000.0,,,71101000.0,,1797408000.0,238274000.0,-1267000.0,208799000.0,83360000.0,,1.38,1.28,88296000.0,94690000.0,501779000.0,138926000.0,220735000.0,,,,126787000.0,988227000.0,,272317000.0,1556833000.0,491485000.0,103985000.0,3582575000.0,,,159498000.0,625069000.0,,304889000.0,479693000.0,33332000.0,,-359258000.0,-11891000.0,1948394000.0,3582575000.0,,,5410000.0,16443000.0,,,9749000.0,,10575000.0,,323607000.0,47902000.0,,12744000.0,,377123000.0,32363000.0,,12264000.0,-387586000.0,,23486000.0,-138876000.0,-202374000.0,
