Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-03,1740000000.0,1297000000.0,443000000.0,137000000.0,97000000.0,,201000000.0,,212000000.0,-7000000.0,204000000.0,0.24,0.23,846300000.0,1000700000.0,1565000000.0,,,1037000000.0,,,76000000.0,3769000000.0,,6876000000.0,,334000000.0,381000000.0,11726000000.0,,,212000000.0,2242000000.0,,,,250000000.0,4635000000.0,-2181000000.0,4000000.0,5195000000.0,11726000000.0,491000000.0,31000000.0,,-324000000.0,-59000000.0,,,,0.0,,326000000.0,,0.0,,,,62000000.0,,-36000000.0,-25000000.0,,,-221000000.0,80000000.0,-2000000.0
2010-12-02,2252000000.0,1728000000.0,524000000.0,185000000.0,140000000.0,,390000000.0,,246000000.0,48000000.0,155000000.0,0.16,0.15,972900000.0,1031300000.0,2411000000.0,,1086000000.0,1892000000.0,,,118000000.0,5783000000.0,,7044000000.0,,,560000000.0,14617000000.0,,,325000000.0,2758000000.0,,,,517000000.0,4623000000.0,-381000000.0,35000000.0,8226000000.0,14617000000.0,517000000.0,19000000.0,,173000000.0,-128000000.0,,,,29000000.0,,732000000.0,,,,,,465000000.0,,5000000.0,-436000000.0,,,-798000000.0,-502000000.0,46000000.0
2011-03-03,4509000000.0,3550000000.0,959000000.0,371000000.0,286000000.0,,569000000.0,,404000000.0,83000000.0,227000000.0,0.23,0.22,988100000.0,1037300000.0,2184000000.0,,1061000000.0,1957000000.0,,,120000000.0,5654000000.0,,7055000000.0,,,507000000.0,14398000000.0,,,285000000.0,2590000000.0,,,,526000000.0,4436000000.0,-309000000.0,101000000.0,8462000000.0,14398000000.0,1003000000.0,38000000.0,,154000000.0,-196000000.0,,,,-11000000.0,,1541000000.0,,,,,,1189000000.0,,22000000.0,-1238000000.0,,,-1032000000.0,-729000000.0,60000000.0
2012-03-01,4099000000.0,3584000000.0,515000000.0,452000000.0,325000000.0,,-287000000.0,,-315000000.0,9000000.0,-469000000.0,-0.48,-0.48,982800000.0,982800000.0,2094000000.0,,913000000.0,2081000000.0,,,243000000.0,5659000000.0,,7357000000.0,,,388000000.0,14139000000.0,,,364000000.0,2102000000.0,,,,513000000.0,4780000000.0,-839000000.0,68000000.0,7986000000.0,14139000000.0,1133000000.0,50000000.0,,-225000000.0,1000000.0,,,,-74000000.0,,978000000.0,,,,,,1089000000.0,,2000000.0,-1183000000.0,,,139000000.0,-66000000.0,-29000000.0
2012-05-31,6271000000.0,5522000000.0,749000000.0,683000000.0,481000000.0,,-478000000.0,,-558000000.0,-38000000.0,-789000000.0,-0.8,-0.8,987300000.0,987300000.0,2191000000.0,134000000.0,973000000.0,1894000000.0,,,78000000.0,5630000000.0,361000000.0,7158000000.0,,,378000000.0,14316000000.0,,,247000000.0,2177000000.0,,,,717000000.0,5830000000.0,-1159000000.0,80000000.0,7811000000.0,14316000000.0,1658000000.0,71000000.0,,-134000000.0,-182000000.0,,,,-61000000.0,,1664000000.0,499000000.0,,,,,1367000000.0,,48000000.0,-1980000000.0,,,347000000.0,31000000.0,-15000000.0
2012-08-30,8234000000.0,7266000000.0,968000000.0,918000000.0,620000000.0,,-618000000.0,,-754000000.0,-17000000.0,-1032000000.0,-1.04,-1.04,991200000.0,991200000.0,2459000000.0,100000000.0,933000000.0,1812000000.0,65000000.0,,98000000.0,5758000000.0,374000000.0,7103000000.0,,,333000000.0,14328000000.0,,,248000000.0,2243000000.0,,,,630000000.0,5911000000.0,-1402000000.0,80000000.0,7700000000.0,14328000000.0,2141000000.0,87000000.0,-25000000.0,-238000000.0,-258000000.0,,,,-56000000.0,,2114000000.0,564000000.0,,,,,1699000000.0,,87000000.0,-2312000000.0,,,497000000.0,299000000.0,-13000000.0
2012-11-29,1834000000.0,1617000000.0,217000000.0,224000000.0,119000000.0,,-157000000.0,,-210000000.0,13000000.0,-275000000.0,-0.27,-0.27,1013700000.0,1013700000.0,2102000000.0,169000000.0,863000000.0,1831000000.0,,,74000000.0,5315000000.0,527000000.0,7199000000.0,,,324000000.0,14067000000.0,,,227000000.0,2138000000.0,,,,574000000.0,5881000000.0,-1677000000.0,83000000.0,7469000000.0,14067000000.0,457000000.0,19000000.0,,-98000000.0,26000000.0,,,,-21000000.0,,236000000.0,317000000.0,,,,,434000000.0,,3000000.0,-639000000.0,,,46000000.0,-357000000.0,
2013-02-28,3912000000.0,3329000000.0,583000000.0,438000000.0,242000000.0,,-120000000.0,,-445000000.0,-9000000.0,-561000000.0,-0.55,-0.55,1016000000.0,1016000000.0,2061000000.0,167000000.0,998000000.0,1721000000.0,,,189000000.0,5364000000.0,546000000.0,6973000000.0,,,392000000.0,13912000000.0,,,207000000.0,2117000000.0,,,,534000000.0,5952000000.0,-1963000000.0,79000000.0,7231000000.0,13912000000.0,912000000.0,40000000.0,,3000000.0,-27000000.0,,,,-36000000.0,,470000000.0,430000000.0,,,,,761000000.0,,20000000.0,-999000000.0,,,131000000.0,-398000000.0,
2013-05-30,6230000000.0,5091000000.0,1139000000.0,664000000.0,369000000.0,,149000000.0,,-393000000.0,3000000.0,-518000000.0,-0.51,-0.51,1024000000.0,1046600000.0,2440000000.0,112000000.0,1250000000.0,1732000000.0,,,99000000.0,5886000000.0,347000000.0,6830000000.0,,,389000000.0,14055000000.0,,,223000000.0,2342000000.0,,,,420000000.0,6029000000.0,-1920000000.0,69000000.0,7328000000.0,14055000000.0,1354000000.0,61000000.0,,280000000.0,-38000000.0,,,,-22000000.0,,1094000000.0,574000000.0,,,,,964000000.0,,54000000.0,-1170000000.0,,,57000000.0,-19000000.0,
2013-08-29,9073000000.0,7226000000.0,1847000000.0,931000000.0,562000000.0,,236000000.0,,1285000000.0,8000000.0,1190000000.0,1.16,1.13,1021700000.0,1056300000.0,2880000000.0,221000000.0,2069000000.0,2649000000.0,982000000.0,,276000000.0,8911000000.0,499000000.0,7626000000.0,,,439000000.0,19118000000.0,,,243000000.0,4125000000.0,,,,535000000.0,9112000000.0,-212000000.0,63000000.0,9142000000.0,19118000000.0,1926000000.0,91000000.0,-9000000.0,409000000.0,-83000000.0,,,,-7000000.0,,1811000000.0,924000000.0,,,,,1244000000.0,,93000000.0,-1712000000.0,,,322000000.0,421000000.0,-4000000.0
