Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,15643000000.0,,,,,13049000000.0,2594000000.0,,,327000000.0,,3.99,3.97,404400000.0,407200000.0,238000000.0,,1431000000.0,,,,409000000.0,4337000000.0,,36078000000.0,,,1625000000.0,48458000000.0,,1189000000.0,,6449000000.0,,4860000000.0,,2112000000.0,,,,12967000000.0,48458000000.0,,,273000000.0,18000000.0,85000000.0,-13000000.0,,-86000000.0,,,4463000000.0,,,,,,,,-3000000.0,-5935000000.0,198000000.0,,1175000000.0,-297000000.0,61000000.0
2010-03-31,3622000000.0,,,,,2683000000.0,939000000.0,,,214000000.0,,1.36,1.36,407500000.0,410100000.0,1215000000.0,,1174000000.0,,,,343000000.0,5557000000.0,,36854000000.0,,,1872000000.0,50942000000.0,,1046000000.0,,7782000000.0,,5083000000.0,,2102000000.0,,8091000000.0,157000000.0,,50942000000.0,,,270000000.0,257000000.0,26000000.0,-6000000.0,,-22000000.0,,,896000000.0,,,,,,,,-1000000.0,-1361000000.0,12000000.0,,1442000000.0,977000000.0,
2010-06-30,7213000000.0,,,,,5565000000.0,1648000000.0,,,291000000.0,973000000.0,2.38,2.37,408900000.0,411400000.0,829000000.0,,1485000000.0,,,,722000000.0,5299000000.0,,37578000000.0,,,1650000000.0,51209000000.0,,1000000000.0,,7126000000.0,,5242000000.0,,2249000000.0,,8303000000.0,49000000.0,,51209000000.0,,,280000000.0,-54000000.0,51000000.0,17000000.0,,360000000.0,,,1748000000.0,,,,,,,,4000000.0,-2283000000.0,69000000.0,,1126000000.0,591000000.0,
2010-09-30,11904000000.0,,,,,9131000000.0,2773000000.0,,,532000000.0,1694000000.0,4.14,4.11,410900000.0,413700000.0,791000000.0,,1595000000.0,,,,362000000.0,5776000000.0,,38301000000.0,,,1857000000.0,52734000000.0,,1090000000.0,,7187000000.0,,5149000000.0,,2365000000.0,,8817000000.0,47000000.0,,52734000000.0,,,336000000.0,-157000000.0,-17000000.0,-133000000.0,,102000000.0,,,2769000000.0,,,,,,,,0.0,-3556000000.0,184000000.0,,1340000000.0,553000000.0,
2010-12-31,15317000000.0,,,,,12074000000.0,3243000000.0,,,532000000.0,1957000000.0,4.77,4.74,410300000.0,413000000.0,302000000.0,,1509000000.0,,5160000000.0,,325000000.0,5258000000.0,,39075000000.0,117000000.0,,1779000000.0,52994000000.0,,917000000.0,,6904000000.0,,5109000000.0,,1417000000.0,,8873000000.0,166000000.0,14461000000.0,52994000000.0,,,511000000.0,-73000000.0,22000000.0,-29000000.0,,179000000.0,,,3834000000.0,,,,,,,,-32000000.0,-5284000000.0,308000000.0,,1514000000.0,64000000.0,20000000.0
2011-03-31,3134000000.0,,,,,2706000000.0,428000000.0,,,-32000000.0,268000000.0,0.64,0.64,415800000.0,418400000.0,425000000.0,,1285000000.0,,,,293000000.0,4519000000.0,,39937000000.0,,,1731000000.0,53257000000.0,,810000000.0,,6739000000.0,,5157000000.0,,1420000000.0,,8912000000.0,202000000.0,,53257000000.0,,,9000000.0,229000000.0,-18000000.0,21000000.0,,-105000000.0,,,983000000.0,,,,,,,,-33000000.0,-1077000000.0,18000000.0,,217000000.0,123000000.0,
2011-06-30,7094000000.0,,,,,5759000000.0,1335000000.0,-372000000.0,963000000.0,147000000.0,848000000.0,2.04,2.03,416900000.0,419300000.0,287000000.0,,1633000000.0,1072000000.0,,,404000000.0,4813000000.0,,40854000000.0,,,1324000000.0,54557000000.0,,823000000.0,,6389000000.0,,5281000000.0,,1520000000.0,,9262000000.0,115000000.0,,54557000000.0,,,156000000.0,123000000.0,214000000.0,-113000000.0,,193000000.0,,,1991000000.0,,,,343000000.0,,,,-85000000.0,-2359000000.0,33000000.0,,353000000.0,-15000000.0,
2011-12-31,15341000000.0,,,,,11963000000.0,3378000000.0,-926000000.0,2452000000.0,529000000.0,1923000000.0,4.62,4.59,416600000.0,419000000.0,377000000.0,,1372000000.0,1074000000.0,-5565000000.0,,310000000.0,4872000000.0,,42490000000.0,147000000.0,,1920000000.0,57188000000.0,,752000000.0,,6719000000.0,,5681000000.0,,1424000000.0,,9876000000.0,-154000000.0,14943000000.0,57188000000.0,,,553000000.0,-93000000.0,308000000.0,-56000000.0,,-97000000.0,,,4074000000.0,,,,515000000.0,,,,-132000000.0,-5279000000.0,48000000.0,,1280000000.0,75000000.0,-95000000.0
2012-03-31,3371000000.0,,,,,2528000000.0,843000000.0,-225000000.0,618000000.0,157000000.0,461000000.0,1.12,1.11,412300000.0,414700000.0,275000000.0,,1262000000.0,1092000000.0,,,264000000.0,5094000000.0,,43968000000.0,,,1867000000.0,59207000000.0,,684000000.0,,8005000000.0,,5813000000.0,,1441000000.0,,10089000000.0,-94000000.0,,59207000000.0,,,134000000.0,-110000000.0,18000000.0,51000000.0,,-75000000.0,,,835000000.0,,,,95000000.0,,,,-7000000.0,-1995000000.0,12000000.0,,1058000000.0,-102000000.0,
2012-06-30,7038000000.0,,,,,5172000000.0,1866000000.0,-399000000.0,1467000000.0,399000000.0,1068000000.0,2.58,2.57,415000000.0,417200000.0,295000000.0,,1466000000.0,1082000000.0,,,344000000.0,4854000000.0,,45495000000.0,,,1790000000.0,60390000000.0,,718000000.0,,7643000000.0,,5987000000.0,,1440000000.0,,10444000000.0,-190000000.0,,60390000000.0,,,373000000.0,88000000.0,6000000.0,57000000.0,,-12000000.0,,,1928000000.0,,,,203000000.0,,,,-15000000.0,-4021000000.0,372000000.0,,2011000000.0,-82000000.0,
2012-09-30,10881000000.0,,,,,8266000000.0,2615000000.0,-580000000.0,2035000000.0,553000000.0,1482000000.0,3.57,3.55,419300000.0,421700000.0,246000000.0,,1633000000.0,1055000000.0,,,332000000.0,4437000000.0,,47693000000.0,,,1702000000.0,62049000000.0,,831000000.0,,7875000000.0,,6166000000.0,,1503000000.0,,10607000000.0,-219000000.0,,62049000000.0,,,517000000.0,255000000.0,-21000000.0,92000000.0,,1000000.0,,,3157000000.0,,,,259000000.0,,,,-15000000.0,-6501000000.0,386000000.0,,3213000000.0,-131000000.0,
2012-12-31,14256000000.0,,,,,10980000000.0,3276000000.0,-673000000.0,2603000000.0,692000000.0,1911000000.0,4.59,4.56,416700000.0,419200000.0,329000000.0,,1487000000.0,1073000000.0,-6206000000.0,,342000000.0,5237000000.0,,49413000000.0,151000000.0,,1629000000.0,64439000000.0,,904000000.0,,8879000000.0,,6703000000.0,,1454000000.0,,10783000000.0,-255000000.0,16068000000.0,64439000000.0,,,682000000.0,,-1000000.0,,,-17000000.0,,,3992000000.0,,,,312000000.0,,,,-93000000.0,-8928000000.0,405000000.0,,4888000000.0,-48000000.0,25000000.0
2013-03-31,3279000000.0,,,,,2845000000.0,434000000.0,-182000000.0,252000000.0,168000000.0,272000000.0,0.65,0.64,421000000.0,423700000.0,215000000.0,,1366000000.0,1098000000.0,10000000.0,,267000000.0,4045000000.0,,49824000000.0,,,1554000000.0,63843000000.0,,849000000.0,,8776000000.0,,6660000000.0,,1371000000.0,,10777000000.0,-136000000.0,,63843000000.0,,,363000000.0,,25000000.0,,,42000000.0,,,1082000000.0,,,,68000000.0,,,,-16000000.0,-1578000000.0,8000000.0,,382000000.0,-114000000.0,
2013-06-30,7112000000.0,,,,,5697000000.0,1415000000.0,-341000000.0,1074000000.0,379000000.0,883000000.0,2.09,2.08,421800000.0,424800000.0,411000000.0,,1809000000.0,1120000000.0,11000000.0,,349000000.0,4735000000.0,,50460000000.0,,,1514000000.0,65217000000.0,,743000000.0,,8867000000.0,,6861000000.0,,1331000000.0,,11109000000.0,-102000000.0,,65217000000.0,,,535000000.0,,47000000.0,,,224000000.0,,,2250000000.0,,,,116000000.0,,,,-32000000.0,-2785000000.0,9000000.0,,617000000.0,82000000.0,
2013-09-30,11506000000.0,,,,,8905000000.0,2601000000.0,-531000000.0,2070000000.0,677000000.0,1581000000.0,3.74,3.72,423800000.0,426800000.0,558000000.0,,1888000000.0,1142000000.0,8000000.0,,788000000.0,5472000000.0,,51399000000.0,,,1502000000.0,67166000000.0,,771000000.0,,9213000000.0,,7207000000.0,,1323000000.0,,11528000000.0,-82000000.0,,67166000000.0,,,823000000.0,,69000000.0,,,128000000.0,,,3390000000.0,,,,176000000.0,,,,-49000000.0,-4266000000.0,415000000.0,,1105000000.0,229000000.0,
