Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,,,,135000000.0,,4760000000.0,,,2913000000.0,788000000.0,1297000000.0,,,,,3215000000.0,,438000000.0,493000000.0,215000000.0,,900000000.0,5822000000.0,1186000000.0,12370000000.0,,,482000000.0,22299000000.0,396000000.0,1317000000.0,,2320000000.0,,1341000000.0,,174000000.0,9686000000.0,1149000000.0,626000000.0,10703000000.0,22299000000.0,,,1000000.0,,,,,,,,2947000000.0,,,,,1007000000.0,1769000000.0,,17000000.0,-2781000000.0,1278000000.0,,2570000000.0,2780000000.0,
2010-03-31,,,,46000000.0,,1335000000.0,,,880000000.0,135000000.0,546000000.0,,,,,3364000000.0,,491000000.0,501000000.0,229000000.0,,723000000.0,5961000000.0,1232000000.0,12456000000.0,,,447000000.0,22645000000.0,356000000.0,1120000000.0,,2013000000.0,,1370000000.0,,156000000.0,9240000000.0,1646000000.0,743000000.0,11350000000.0,22645000000.0,,,-102000000.0,,,,,,,,715000000.0,,,,,,309000000.0,,11000000.0,-285000000.0,3000000.0,,-280000000.0,149000000.0,
2010-06-30,,,,103000000.0,,2651000000.0,,,1692000000.0,408000000.0,928000000.0,1.89,1.87,492000000.0,499000000.0,3602000000.0,,358000000.0,510000000.0,202000000.0,,702000000.0,6071000000.0,1146000000.0,12399000000.0,188000000.0,91000000.0,463000000.0,22769000000.0,366000000.0,205000000.0,,2195000000.0,,1320000000.0,51000000.0,215000000.0,9214000000.0,1979000000.0,526000000.0,11515000000.0,22769000000.0,,29000000.0,-86000000.0,74000000.0,-187000000.0,,-30000000.0,,,,1468000000.0,,,,,0.0,628000000.0,,22000000.0,-605000000.0,30000000.0,,-470000000.0,387000000.0,
2010-09-30,,,,149000000.0,,4022000000.0,,,2857000000.0,756000000.0,1465000000.0,2.98,2.94,493000000.0,502000000.0,3951000000.0,,489000000.0,526000000.0,195000000.0,,1218000000.0,7056000000.0,1278000000.0,12532000000.0,188000000.0,92000000.0,702000000.0,24376000000.0,396000000.0,203000000.0,,2798000000.0,,1432000000.0,23000000.0,169000000.0,9857000000.0,2442000000.0,768000000.0,12248000000.0,24376000000.0,,40000000.0,-52000000.0,-63000000.0,-297000000.0,,-50000000.0,,,,2322000000.0,,,,,2000000.0,972000000.0,,72000000.0,-1002000000.0,56000000.0,,-584000000.0,736000000.0,
2010-12-31,,,,216000000.0,,5373000000.0,,,3997000000.0,856000000.0,2277000000.0,4.63,4.55,492000000.0,500000000.0,4056000000.0,,582000000.0,658000000.0,72000000.0,,962000000.0,7253000000.0,1568000000.0,12907000000.0,188000000.0,91000000.0,741000000.0,25663000000.0,427000000.0,217000000.0,,2747000000.0,,1488000000.0,36000000.0,221000000.0,9947000000.0,3180000000.0,1108000000.0,13345000000.0,25663000000.0,,52000000.0,-380000000.0,-153000000.0,-501000000.0,,-87000000.0,,,,3167000000.0,,,,,4000000.0,1402000000.0,,44000000.0,-1419000000.0,60000000.0,,-915000000.0,841000000.0,1185000000.0
2011-03-31,,,,68000000.0,,1458000000.0,,,973000000.0,305000000.0,514000000.0,1.04,1.03,493000000.0,501000000.0,4533000000.0,,439000000.0,607000000.0,178000000.0,,1228000000.0,7884000000.0,1779000000.0,13074000000.0,188000000.0,154000000.0,815000000.0,26854000000.0,420000000.0,240000000.0,,3501000000.0,,1531000000.0,29000000.0,196000000.0,10233000000.0,3620000000.0,1389000000.0,14092000000.0,26854000000.0,,15000000.0,-33000000.0,119000000.0,-56000000.0,,-38000000.0,,,,989000000.0,,,,,7000000.0,402000000.0,,3000000.0,-418000000.0,3000000.0,,-117000000.0,477000000.0,278000000.0
2011-06-30,,,,154000000.0,,2980000000.0,,,1820000000.0,492000000.0,901000000.0,1.82,1.8,494000000.0,501000000.0,1855000000.0,,418000000.0,671000000.0,308000000.0,,1613000000.0,5899000000.0,1675000000.0,16663000000.0,188000000.0,151000000.0,946000000.0,28638000000.0,490000000.0,249000000.0,,3440000000.0,,2735000000.0,29000000.0,314000000.0,11645000000.0,3908000000.0,1310000000.0,14328000000.0,28638000000.0,,34000000.0,-38000000.0,121000000.0,-230000000.0,,-67000000.0,,,,1401000000.0,,,,,2291000000.0,1020000000.0,,15000000.0,-3280000000.0,8000000.0,,-380000000.0,-2201000000.0,892000000.0
2011-09-30,,,,247000000.0,,4547000000.0,,,2856000000.0,863000000.0,1394000000.0,2.82,2.78,494000000.0,504000000.0,2135000000.0,,312000000.0,720000000.0,425000000.0,,1788000000.0,6360000000.0,1254000000.0,17019000000.0,188000000.0,149000000.0,781000000.0,29139000000.0,542000000.0,245000000.0,,4475000000.0,,2592000000.0,34000000.0,328000000.0,12435000000.0,4253000000.0,462000000.0,13860000000.0,29139000000.0,,46000000.0,-106000000.0,125000000.0,-332000000.0,,-109000000.0,,,,2662000000.0,,,,,2301000000.0,1781000000.0,,9000000.0,-4028000000.0,35000000.0,,-588000000.0,-1921000000.0,1301000000.0
2011-12-31,,,,373000000.0,,8316000000.0,,,1810000000.0,713000000.0,366000000.0,0.74,0.73,494000000.0,504000000.0,1760000000.0,,300000000.0,714000000.0,-196000000.0,,1133000000.0,5388000000.0,1472000000.0,15881000000.0,188000000.0,147000000.0,857000000.0,27474000000.0,561000000.0,231000000.0,,3940000000.0,,2147000000.0,88000000.0,364000000.0,11703000000.0,3052000000.0,652000000.0,12896000000.0,27474000000.0,,58000000.0,-671000000.0,52000000.0,-495000000.0,,-51000000.0,,,,3584000000.0,,,,,2309000000.0,2787000000.0,,40000000.0,-5067000000.0,40000000.0,,-854000000.0,-2296000000.0,1526000000.0
2012-03-31,,,,102000000.0,,1628000000.0,,,1036000000.0,343000000.0,490000000.0,0.99,0.97,495000000.0,504000000.0,2612000000.0,,349000000.0,699000000.0,263000000.0,,884000000.0,6092000000.0,1479000000.0,16364000000.0,188000000.0,144000000.0,904000000.0,28961000000.0,497000000.0,256000000.0,,2571000000.0,,2100000000.0,86000000.0,397000000.0,12896000000.0,3369000000.0,658000000.0,13075000000.0,28961000000.0,,12000000.0,-55000000.0,-21000000.0,-201000000.0,,-74000000.0,,,,609000000.0,,,,,11000000.0,696000000.0,,17000000.0,-855000000.0,2000000.0,,1094000000.0,852000000.0,296000000.0
