Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,1670269000.0,1079271000.0,590998000.0,114542000.0,,399059000.0,191939000.0,,192192000.0,76332000.0,115860000.0,2.05,1.98,56560000.0,58416000.0,134224000.0,186018000.0,,,,,23818000.0,411013000.0,,131653000.0,,,12300000.0,679734000.0,91475000.0,33387000.0,100097000.0,226369000.0,,,,17650000.0,480591000.0,198817000.0,,199143000.0,679734000.0,,12618000.0,6328000.0,,,,,-2256000.0,16970000.0,,325063000.0,228000000.0,35673000.0,166706000.0,0.0,,45932000.0,200000.0,,-246079000.0,35274000.0,12683000.0,-84641000.0,-5657000.0,
2010-03-31,493665000.0,307162000.0,186503000.0,37399000.0,,128158000.0,58345000.0,,54358000.0,22086000.0,32272000.0,0.61,0.59,52911000.0,54775000.0,79861000.0,186469000.0,,,,,,379538000.0,,127165000.0,,,13368000.0,648293000.0,102703000.0,38718000.0,100109000.0,243447000.0,,,,22407000.0,501558000.0,146196000.0,,146735000.0,648293000.0,,5502000.0,-2761000.0,,,,,16878000.0,12000.0,,75412000.0,34202000.0,4013000.0,30770000.0,,,6393000.0,130000.0,,-39032000.0,9918000.0,7424000.0,-90743000.0,-54363000.0,
2010-06-30,1013484000.0,622096000.0,391388000.0,75262000.0,,255701000.0,135687000.0,,127728000.0,51937000.0,75791000.0,1.44,1.39,52697000.0,54548000.0,107327000.0,171758000.0,,,,,35173000.0,441218000.0,,123292000.0,,,12845000.0,693972000.0,120031000.0,34746000.0,101419000.0,258167000.0,,,,23980000.0,517332000.0,175786000.0,,176640000.0,693972000.0,,12430000.0,-6155000.0,,,,9211000.0,36141000.0,1322000.0,,137457000.0,57790000.0,8323000.0,62825000.0,,,12064000.0,130000.0,,-52292000.0,23027000.0,18606000.0,-112062000.0,27466000.0,
2010-09-30,1566703000.0,966565000.0,600138000.0,117370000.0,,394950000.0,205188000.0,,193137000.0,79379000.0,113758000.0,2.17,2.09,52510000.0,54341000.0,113108000.0,143705000.0,,,,,37723000.0,492247000.0,,125057000.0,,,13713000.0,770283000.0,170120000.0,36974000.0,102986000.0,312107000.0,,,,31542000.0,578308000.0,190644000.0,,191975000.0,770283000.0,,19726000.0,3194000.0,,,,12037000.0,78738000.0,2889000.0,,179684000.0,73169000.0,10318000.0,105063000.0,,,19406000.0,,,-57898000.0,33954000.0,34699000.0,-142902000.0,-21116000.0,
2010-12-31,2162625000.0,1357355000.0,805270000.0,163329000.0,,521629000.0,283641000.0,,267696000.0,106843000.0,160853000.0,3.06,2.96,52529000.0,54304000.0,194499000.0,155888000.0,,,,,47357000.0,640967000.0,,128570000.0,,,14090000.0,982067000.0,222824000.0,36489000.0,127183000.0,388579000.0,,,,69201000.0,691903000.0,237739000.0,,290164000.0,982067000.0,,27996000.0,-962000.0,,,,21763000.0,139983000.0,27086000.0,,276401000.0,107362000.0,15818000.0,120857000.0,,,33837000.0,505000.0,,-116081000.0,49776000.0,62214000.0,-100045000.0,60275000.0,
2011-03-31,718553000.0,438151000.0,280402000.0,50905000.0,,178162000.0,102240000.0,,98240000.0,38007000.0,60233000.0,1.14,1.11,52759000.0,54246000.0,150419000.0,192302000.0,,,,,38351000.0,721602000.0,,134800000.0,,,13780000.0,1090188000.0,301009000.0,44123000.0,143045000.0,490318000.0,,,,90584000.0,814466000.0,275080000.0,,275722000.0,1090188000.0,,12264000.0,-4982000.0,,,,-9084000.0,77963000.0,15862000.0,,116323000.0,52266000.0,650000.0,14961000.0,,,16320000.0,,,-73675000.0,6762000.0,15654000.0,-86728000.0,-44080000.0,
2011-06-30,1507163000.0,928129000.0,579034000.0,108770000.0,,1127371000.0,217354000.0,-8290000.0,209064000.0,80617000.0,128447000.0,2.44,2.37,52614000.0,54077000.0,175207000.0,201200000.0,,,,,33792000.0,969444000.0,,136948000.0,,,13172000.0,1570693000.0,533436000.0,44137000.0,146937000.0,726709000.0,,,,276964000.0,1236659000.0,333097000.0,,334034000.0,1570693000.0,,27800000.0,-8909000.0,,,,-13744000.0,10370000.0,19754000.0,,202715000.0,92863000.0,16635000.0,31471000.0,,,24946000.0,,-2263000.0,-108624000.0,14180000.0,33522000.0,-113383000.0,24788000.0,
2011-09-30,2329002000.0,1464746000.0,864256000.0,178250000.0,,550060000.0,314196000.0,-11509000.0,302687000.0,111780000.0,190907000.0,3.63,3.53,52599000.0,54008000.0,159199000.0,206573000.0,,,,,41797000.0,1190113000.0,,143993000.0,,,28499000.0,1961558000.0,750107000.0,54671000.0,160929000.0,967966000.0,,,,372840000.0,1573206000.0,387711000.0,,388352000.0,1961558000.0,,43505000.0,-14190000.0,,,,8578000.0,-5422000.0,33746000.0,,252246000.0,100536000.0,18440000.0,31508000.0,,,39026000.0,,-1419000.0,-150205000.0,18589000.0,45283000.0,-137341000.0,-35300000.0,
2011-12-31,3204577000.0,2039901000.0,1164676000.0,259033000.0,,788608000.0,376068000.0,,359522000.0,133396000.0,226126000.0,4.28,4.16,52847000.0,54369000.0,508053000.0,289758000.0,,,38328000.0,,57330000.0,1830857000.0,,136353000.0,,,55052000.0,3069196000.0,87860000.0,63693000.0,148796000.0,1225055000.0,,,,61703000.0,2426386000.0,422930000.0,706000.0,642810000.0,3069196000.0,,61582000.0,-18597000.0,,,,4775000.0,24314000.0,21613000.0,,317712000.0,223750000.0,38105000.0,50993000.0,,,49682000.0,,-3674000.0,-265814000.0,199947000.0,45784000.0,261656000.0,313554000.0,
2012-03-31,869791000.0,623933000.0,245858000.0,82801000.0,,247793000.0,-1935000.0,-5090000.0,-7025000.0,-2441000.0,-4584000.0,-0.08,-0.08,55456000.0,55456000.0,395992000.0,408534000.0,,,9800000.0,,45759000.0,2058741000.0,,128197000.0,,,67247000.0,3480459000.0,83119000.0,49106000.0,150602000.0,1446666000.0,,,,62203000.0,2817057000.0,418346000.0,1577000.0,663402000.0,3480459000.0,,19332000.0,-10843000.0,,,,-11741000.0,-1756000.0,1806000.0,,19109000.0,299467000.0,8275000.0,172335000.0,,,4766000.0,,-1334000.0,-135817000.0,1224000.0,3755000.0,4032000.0,-112061000.0,
2012-06-30,1758954000.0,1267361000.0,491593000.0,164348000.0,,477374000.0,16154000.0,-10589000.0,10655000.0,4491000.0,6164000.0,0.11,0.11,55526000.0,58878000.0,402251000.0,411092000.0,,,9000000.0,,52294000.0,2137785000.0,,124644000.0,,,68056000.0,3478290000.0,90961000.0,50884000.0,152790000.0,1498844000.0,,,,62057000.0,2790064000.0,424510000.0,961000.0,688226000.0,3478290000.0,,37782000.0,-10843000.0,,,,8077000.0,-1155000.0,3994000.0,,38801000.0,362770000.0,20990000.0,220508000.0,,,8410000.0,,-4466000.0,-146756000.0,1748000.0,4062000.0,3915000.0,-105802000.0,
2012-09-30,2664043000.0,1929999000.0,734044000.0,246869000.0,,703690000.0,30354000.0,-14778000.0,15576000.0,6321000.0,9255000.0,0.17,0.16,55541000.0,58829000.0,370298000.0,428057000.0,,,8400000.0,,57742000.0,2225018000.0,,133603000.0,,,83646000.0,3808833000.0,91511000.0,70681000.0,155146000.0,1598223000.0,,,,62791000.0,3091993000.0,432185000.0,3006000.0,716840000.0,3808833000.0,,56254000.0,-26449000.0,,,,3476000.0,-7807000.0,6350000.0,,38951000.0,430549000.0,23685000.0,272680000.0,,,22293000.0,,-6323000.0,-180280000.0,2066000.0,4173000.0,3757000.0,-137755000.0,
2012-12-31,3609282000.0,2625866000.0,,329008000.0,,,49992000.0,-19512000.0,30480000.0,13328000.0,17152000.0,0.31,0.29,55521000.0,58904000.0,290291000.0,457787000.0,,,67862000.0,,64622000.0,2240791000.0,,131681000.0,,,89410000.0,3967890000.0,86468000.0,53139000.0,169472000.0,1675926000.0,,,,70669000.0,3223217000.0,440082000.0,2919000.0,744673000.0,3967890000.0,,73948000.0,-30071000.0,,,,1510000.0,-3764000.0,20676000.0,,22765000.0,477321000.0,29365000.0,282953000.0,,,41457000.0,,-8816000.0,-245919000.0,-464000.0,4543000.0,5589000.0,-217762000.0,
