Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,3529800000.0,,1804400000.0,,,1269600000.0,542600000.0,-192000000.0,,125200000.0,225400000.0,0.81,0.81,277600000.0,278400000.0,7400000.0,,568900000.0,,,,118600000.0,1893400000.0,,10800000000.0,3677300000.0,,6076100000.0,19048100000.0,278900000.0,244200000.0,10100000.0,2717400000.0,200000.0,2074300000.0,,175000000.0,,899500000.0,-60400000.0,4894900000.0,19048100000.0,301400000.0,6000000.0,,-245100000.0,-147600000.0,,,-235400000.0,,2900000.0,402500000.0,,,,,,336900000.0,,19900000.0,-393900000.0,6800000.0,,-17600000.0,,
2010-09-30,4667900000.0,,2522500000.0,,,1867900000.0,665900000.0,-287500000.0,,119600000.0,258600000.0,0.93,0.93,278100000.0,279900000.0,10900000.0,,517800000.0,,,,103000000.0,2195500000.0,,10921500000.0,3677300000.0,,6053900000.0,19525400000.0,242900000.0,270300000.0,4500000.0,3251200000.0,200000.0,2207700000.0,,167500000.0,,868500000.0,-57400000.0,4877900000.0,19525400000.0,454500000.0,23200000.0,,-299200000.0,32800000.0,,,-266800000.0,,-9700000.0,332500000.0,,,,,,553700000.0,,45900000.0,-761100000.0,10600000.0,,423100000.0,,
2010-12-31,6422000000.0,,3447900000.0,,,2541600000.0,921300000.0,-485200000.0,,141500000.0,292000000.0,1.05,1.04,277800000.0,280100000.0,9200000.0,,1079300000.0,,,,120800000.0,2448900000.0,,11097000000.0,3677300000.0,,6044400000.0,19938800000.0,581800000.0,336400000.0,6800000.0,3649400000.0,300000.0,2209700000.0,,162000000.0,,901800000.0,-57900000.0,4923200000.0,19938800000.0,596300000.0,30900000.0,,243900000.0,-103300000.0,,,37700000.0,,-13200000.0,725400000.0,,,,,,803800000.0,,53100000.0,-943300000.0,14400000.0,,210700000.0,,
2011-03-31,2232200000.0,,1061300000.0,,,665100000.0,399200000.0,-86500000.0,,107900000.0,205200000.0,0.73,0.72,279300000.0,285000000.0,62500000.0,,1063200000.0,,,,119700000.0,1985200000.0,,11140600000.0,3677300000.0,,6011800000.0,19478800000.0,429600000.0,249200000.0,7800000.0,3096100000.0,0.0,2340200000.0,,163400000.0,,978300000.0,-56700000.0,5014300000.0,19478800000.0,138900000.0,7800000.0,,-16000000.0,-208500000.0,,,-119900000.0,,900000.0,422100000.0,,,,,,209400000.0,,9200000.0,-175100000.0,3700000.0,,-193700000.0,,
2011-06-30,3460500000.0,1633400000.0,1827100000.0,,,1269900000.0,562500000.0,-180300000.0,,137900000.0,244100000.0,0.87,0.85,280200000.0,287100000.0,59900000.0,,638300000.0,,,,100400000.0,1745100000.0,,,3677300000.0,,5955900000.0,19346300000.0,316200000.0,230000000.0,5000000.0,2558100000.0,,2369100000.0,,157800000.0,,952600000.0,-54500000.0,5003400000.0,19346300000.0,273400000.0,17200000.0,,-434600000.0,-13700000.0,,,-250400000.0,,-4800000.0,736000000.0,,,,,,445000000.0,,36000000.0,-423400000.0,7900000.0,,-261900000.0,,
2011-09-30,4529200000.0,1956500000.0,2572700000.0,,,1871500000.0,710000000.0,-274400000.0,,155000000.0,278800000.0,0.99,0.97,280765000.0,289010000.0,22200000.0,,512500000.0,,,,119700000.0,1860500000.0,,,3677300000.0,,5966100000.0,19742100000.0,244400000.0,254500000.0,3500000.0,2887200000.0,,2430200000.0,,193100000.0,,922600000.0,-54400000.0,4990000000.0,19742100000.0,408300000.0,27400000.0,,-561400000.0,171400000.0,,,-325100000.0,,32600000.0,794100000.0,,,,,,774200000.0,,59700000.0,-801900000.0,15100000.0,,20800000.0,,
2011-12-31,6019100000.0,2556400000.0,3462700000.0,,,2572200000.0,905100000.0,-438000000.0,,163300000.0,299100000.0,1.06,1.03,280400000.0,288500000.0,11500000.0,,854800000.0,,2411100000.0,,261800000.0,2248200000.0,,11800100000.0,3677300000.0,297600000.0,6304200000.0,20708300000.0,434800000.0,301000000.0,10100000.0,3646400000.0,,2541900000.0,,244700000.0,,917000000.0,-59700000.0,4997300000.0,20708300000.0,538200000.0,39200000.0,183200000.0,-219600000.0,141800000.0,,,-154800000.0,,82000000.0,870200000.0,,,,,,1125200000.0,,69400000.0,-1149300000.0,24400000.0,,281400000.0,,
2012-03-31,1658700000.0,630300000.0,1028400000.0,,,636700000.0,399400000.0,-103000000.0,,102900000.0,193400000.0,0.68,0.66,282900000.0,293100000.0,38500000.0,,730300000.0,,,,277400000.0,1970300000.0,,,3677300000.0,,6212100000.0,20445900000.0,380700000.0,239700000.0,10600000.0,3718400000.0,,2650700000.0,,247800000.0,,980000000.0,-60900000.0,5080500000.0,20445900000.0,146100000.0,8900000.0,,-127900000.0,-211200000.0,,,-41300000.0,,4000000.0,480000000.0,,,,,,292600000.0,,10400000.0,-294700000.0,17400000.0,,-158300000.0,,
2012-06-30,2707400000.0,871400000.0,1836000000.0,,,1244200000.0,608000000.0,-203400000.0,,140600000.0,262800000.0,0.93,0.89,284370400.0,295766800.0,52800000.0,,553300000.0,,,,274200000.0,1751600000.0,,,3677300000.0,,6140300000.0,20409400000.0,292100000.0,219800000.0,10000000.0,2662300000.0,,2730500000.0,,242100000.0,,980900000.0,-59000000.0,5105300000.0,20409400000.0,294100000.0,19700000.0,,-305200000.0,-133600000.0,,,-147500000.0,,-1100000.0,771800000.0,,,,,,619500000.0,,19900000.0,-568900000.0,30000000.0,,-161600000.0,,
2012-09-30,3680900000.0,1105100000.0,2575800000.0,,,1854800000.0,745200000.0,-309100000.0,,152100000.0,282100000.0,0.99,0.95,290328000.0,300012000.0,12300000.0,,526200000.0,,,,280800000.0,1838700000.0,,,3677300000.0,,6045300000.0,20838600000.0,300100000.0,232700000.0,30900000.0,2727100000.0,22800000.0,2758500000.0,,246200000.0,,925700000.0,-56800000.0,5410800000.0,20838600000.0,420100000.0,33000000.0,,-333900000.0,-19600000.0,,,-151000000.0,,4100000.0,941800000.0,,,,,,1024300000.0,,38100000.0,-951300000.0,376400000.0,,10300000.0,,
