Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,8952000000.0,5323000000.0,,,550000000.0,6793000000.0,2159000000.0,,,728000000.0,942000000.0,3.7,3.44,246000000.0,271000000.0,2304000000.0,,876000000.0,541000000.0,,,,6208000000.0,,11564000000.0,1718000000.0,,148000000.0,23378000000.0,693000000.0,142000000.0,,3762000000.0,,1783000000.0,,519000000.0,15434000000.0,3332000000.0,416000000.0,,23378000000.0,818000000.0,26000000.0,,88000000.0,-83000000.0,,,,,,2106000000.0,0.0,,,,427000000.0,734000000.0,78000000.0,5000000.0,-954000000.0,2000000.0,,-343000000.0,810000000.0,
2010-03-31,2215000000.0,1639000000.0,,,130000000.0,1980000000.0,258000000.0,,,65000000.0,58000000.0,0.22,0.22,254000000.0,257000000.0,1813000000.0,,700000000.0,549000000.0,,,,7142000000.0,,11627000000.0,1713000000.0,,156000000.0,24578000000.0,595000000.0,,,4372000000.0,,1925000000.0,,885000000.0,16310000000.0,3388000000.0,667000000.0,,24578000000.0,202000000.0,6000000.0,,,,,,,,,114000000.0,,,,,,185000000.0,34000000.0,5000000.0,-194000000.0,2000000.0,,-408000000.0,-491000000.0,
2010-09-30,7033000000.0,4803000000.0,,,441000000.0,5900000000.0,1156000000.0,-394000000.0,,271000000.0,492000000.0,1.91,1.9,254000000.0,255000000.0,3447000000.0,,904000000.0,463000000.0,,,,8496000000.0,,11844000000.0,1713000000.0,,222000000.0,27419000000.0,765000000.0,,,4482000000.0,,1747000000.0,,1054000000.0,18950000000.0,3817000000.0,571000000.0,,27419000000.0,620000000.0,23000000.0,,,,,,,,,1141000000.0,,,,,142000000.0,490000000.0,56000000.0,13000000.0,-570000000.0,2000000.0,,575000000.0,1143000000.0,
2010-12-31,8849000000.0,6073000000.0,,,598000000.0,7564000000.0,1308000000.0,-555000000.0,753000000.0,277000000.0,477000000.0,1.86,1.84,252000000.0,254000000.0,2951000000.0,,734000000.0,453000000.0,-2097000000.0,,,7137000000.0,,12517000000.0,1868000000.0,,208000000.0,26896000000.0,783000000.0,274000000.0,,4220000000.0,,1989000000.0,,820000000.0,18576000000.0,3800000000.0,432000000.0,,26896000000.0,838000000.0,30000000.0,8000000.0,-138000000.0,-91000000.0,,,-261000000.0,,,1623000000.0,,,,,1006000000.0,706000000.0,71000000.0,,-1623000000.0,2000000.0,,651000000.0,647000000.0,20000000.0
2011-03-31,1995000000.0,1324000000.0,,,143000000.0,1681000000.0,314000000.0,-679000000.0,-365000000.0,-105000000.0,-260000000.0,-1.06,-1.06,247000000.0,247000000.0,2711000000.0,,687000000.0,418000000.0,,,,6378000000.0,,11579000000.0,1863000000.0,,198000000.0,25043000000.0,568000000.0,,,2998000000.0,,1812000000.0,,1133000000.0,17194000000.0,3538000000.0,363000000.0,,25043000000.0,205000000.0,,,,,,,,,,216000000.0,,,,,,219000000.0,7000000.0,15000000.0,-228000000.0,1000000.0,,-232000000.0,-240000000.0,
2011-12-31,9079000000.0,6675000000.0,,,668000000.0,8444000000.0,635000000.0,-1281000000.0,-646000000.0,-843000000.0,197000000.0,0.78,0.78,240000000.0,241000000.0,1105000000.0,,834000000.0,308000000.0,-1516000000.0,,,7597000000.0,,13621000000.0,1886000000.0,,336000000.0,26715000000.0,808000000.0,194000000.0,,5671000000.0,,1389000000.0,,356000000.0,18797000000.0,3987000000.0,74000000.0,,26715000000.0,896000000.0,28000000.0,-331000000.0,119000000.0,-145000000.0,,,9000000.0,,,1166000000.0,406000000.0,,385000000.0,,377000000.0,2310000000.0,19000000.0,23000000.0,-3047000000.0,2000000.0,,33000000.0,-1846000000.0,26000000.0
2012-03-31,1862000000.0,1573000000.0,,,221000000.0,2032000000.0,-170000000.0,-156000000.0,-326000000.0,-120000000.0,-207000000.0,,,,,1014000000.0,,716000000.0,392000000.0,,,,8458000000.0,,14376000000.0,1886000000.0,,352000000.0,28530000000.0,1080000000.0,,,6885000000.0,,1300000000.0,,810000000.0,20648000000.0,3777000000.0,71000000.0,,28530000000.0,230000000.0,,,,,,,,,,-76000000.0,126000000.0,,119000000.0,,,639000000.0,,-7000000.0,-543000000.0,,,527000000.0,-91000000.0,
2012-06-30,4028000000.0,2892000000.0,,,428000000.0,3801000000.0,397000000.0,-307000000.0,246000000.0,-133000000.0,251000000.0,1.09,1.08,228000000.0,229000000.0,1149000000.0,,1000000000.0,416000000.0,,,,7255000000.0,,15318000000.0,1886000000.0,,392000000.0,27856000000.0,1350000000.0,,,5698000000.0,,1147000000.0,,878000000.0,19704000000.0,4026000000.0,-17000000.0,,27856000000.0,464000000.0,18000000.0,,,,,,,,,585000000.0,236000000.0,,220000000.0,,0.0,1593000000.0,,44000000.0,-1555000000.0,,,1015000000.0,44000000.0,
2012-12-31,8422000000.0,6087000000.0,,,892000000.0,8072000000.0,350000000.0,-98000000.0,252000000.0,-327000000.0,559000000.0,2.37,2.35,232000000.0,234000000.0,2087000000.0,,986000000.0,931000000.0,1262000000.0,,,7956000000.0,,20268000000.0,1956000000.0,,597000000.0,35128000000.0,1170000000.0,350000000.0,,4677000000.0,,55000000.0,,735000000.0,24346000000.0,4494000000.0,-150000000.0,,35128000000.0,950000000.0,41000000.0,-360000000.0,131000000.0,172000000.0,,,-132000000.0,,,1149000000.0,436000000.0,,399000000.0,,81000000.0,3396000000.0,1000000.0,-22000000.0,-2262000000.0,0.0,,2099000000.0,982000000.0,17000000.0
2013-03-31,2081000000.0,1765000000.0,,,229000000.0,2340000000.0,-259000000.0,-217000000.0,-476000000.0,-149000000.0,-328000000.0,-1.02,,323000000.0,,1707000000.0,,982000000.0,904000000.0,128000000.0,,,8031000000.0,,20404000000.0,1954000000.0,,545000000.0,35371000000.0,1054000000.0,,,5162000000.0,,53000000.0,,1474000000.0,24926000000.0,4124000000.0,-136000000.0,,35371000000.0,298000000.0,18000000.0,,,,,,,,,-124000000.0,95000000.0,,85000000.0,,18000000.0,813000000.0,,1000000.0,-836000000.0,1000000.0,,580000000.0,-380000000.0,
