Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-10-29,2345200000.0,819700000.0,1525500000.0,306100000.0,,1163900000.0,361600000.0,-17100000.0,344500000.0,38100000.0,306400000.0,0.86,0.8,359100000.0,391700000.0,1771100000.0,2610400000.0,446600000.0,84700000.0,65800000.0,,218300000.0,5131100000.0,,845300000.0,737000000.0,38800000.0,415800000.0,7237800000.0,175900000.0,245400000.0,1135600000.0,1834500000.0,866400000.0,,,204100000.0,4030400000.0,2307300000.0,11000000.0,3207400000.0,7237800000.0,,82000000.0,,27300000.0,28200000.0,,6000000.0,,81600000.0,19900000.0,542000000.0,1650100000.0,,,,74900000.0,83500000.0,,0.0,-753200000.0,236100000.0,32700000.0,266800000.0,66100000.0,11800000.0
2011-01-28,3613300000.0,1264000000.0,2349300000.0,472100000.0,,1789100000.0,560200000.0,-25400000.0,534800000.0,55900000.0,478900000.0,1.33,1.23,364800000.0,406200000.0,1919400000.0,2836200000.0,541500000.0,97200000.0,35500000.0,,204400000.0,5598700000.0,,862200000.0,737000000.0,35400000.0,460900000.0,7763400000.0,183600000.0,269000000.0,1176900000.0,1942400000.0,966400000.0,,,203500000.0,4250000000.0,2479800000.0,7200000.0,3513400000.0,7763400000.0,,127000000.0,,-67700000.0,15700000.0,,5100000.0,,222500000.0,12300000.0,905500000.0,2190400000.0,,,,74900000.0,149800000.0,,-800000.0,-1059400000.0,312000000.0,45300000.0,357700000.0,214400000.0,23400000.0
2011-04-29,5122600000.0,1793900000.0,3328700000.0,648600000.0,,2504400000.0,824300000.0,-30200000.0,794100000.0,121000000.0,673100000.0,1.87,1.71,360900000.0,393700000.0,2757300000.0,2417400000.0,742600000.0,108500000.0,353700000.0,,339400000.0,6365200000.0,,911600000.0,760300000.0,53000000.0,339500000.0,8498800000.0,232800000.0,325800000.0,1226600000.0,3372800000.0,1088300000.0,,,192900000.0,4654000000.0,2674000000.0,12800000.0,3730200000.0,8498800000.0,,175200000.0,-26300000.0,262700000.0,-4400000.0,,-6000000.0,,382900000.0,1900000.0,1346300000.0,2190900000.0,,,,136500000.0,222700000.0,,-500000.0,-777200000.0,324200000.0,127700000.0,450900000.0,1052300000.0,27900000.0
2011-07-29,1458200000.0,561300000.0,896900000.0,198600000.0,,720700000.0,176200000.0,-9100000.0,167100000.0,27600000.0,139500000.0,0.38,0.34,370300000.0,405500000.0,2543200000.0,2170900000.0,597000000.0,138200000.0,179000000.0,,388300000.0,5837600000.0,60100000.0,993300000.0,904000000.0,300800000.0,350000000.0,8445800000.0,250800000.0,298900000.0,1240800000.0,3171200000.0,1141700000.0,,,206100000.0,4519000000.0,2652400000.0,15200000.0,3824900000.0,8445800000.0,,58100000.0,,-145000000.0,-6800000.0,,10400000.0,,66700000.0,12200000.0,240600000.0,564900000.0,,,,480000000.0,98300000.0,,-1700000.0,-330800000.0,46600000.0,32100000.0,-121000000.0,-214100000.0,13100000.0
2011-10-28,2965200000.0,1155300000.0,1809900000.0,398300000.0,,1441300000.0,368600000.0,-17600000.0,351000000.0,45900000.0,305100000.0,0.83,0.78,365900000.0,390800000.0,2269000000.0,2372600000.0,625200000.0,163300000.0,205400000.0,,399900000.0,5830000000.0,56000000.0,1046100000.0,904000000.0,,444900000.0,8504100000.0,273200000.0,331100000.0,1246700000.0,2122300000.0,1191900000.0,,,211100000.0,4701100000.0,2512000000.0,7000000.0,3803000000.0,8504100000.0,,121100000.0,,-115600000.0,18300000.0,,12500000.0,,126900000.0,18300000.0,610800000.0,1306600000.0,1347000000.0,,,480000000.0,191600000.0,,-2000000.0,-629200000.0,51900000.0,84700000.0,-461800000.0,-488300000.0,22700000.0
2012-01-27,4530700000.0,1812300000.0,2718400000.0,606600000.0,,2193300000.0,525100000.0,-27200000.0,497900000.0,73200000.0,424700000.0,1.17,1.1,364000000.0,385100000.0,2420900000.0,2445200000.0,685400000.0,153800000.0,223200000.0,,462400000.0,6167700000.0,51000000.0,1081800000.0,905200000.0,,409400000.0,8821600000.0,220200000.0,358800000.0,1309300000.0,2157500000.0,1236500000.0,,,197300000.0,4780100000.0,2624600000.0,4600000.0,4041500000.0,8821600000.0,,197800000.0,,-55800000.0,8800000.0,,49200000.0,,234500000.0,24800000.0,880000000.0,1718900000.0,1697700000.0,,,480000000.0,282900000.0,,0.0,-784100000.0,101000000.0,80700000.0,-415200000.0,-336400000.0,39300000.0
2012-04-27,6233200000.0,2519800000.0,3713400000.0,828200000.0,,2966900000.0,746500000.0,-34100000.0,712400000.0,107000000.0,605400000.0,1.66,1.58,363900000.0,384300000.0,1549800000.0,3848700000.0,830900000.0,161500000.0,405400000.0,,435600000.0,6826500000.0,51000000.0,1137200000.0,905200000.0,,427400000.0,9532300000.0,233100000.0,377600000.0,1366500000.0,3519800000.0,1449400000.0,,,206900000.0,5176100000.0,2805300000.0,4900000.0,4293600000.0,9532300000.0,,257600000.0,-60900000.0,90400000.0,16500000.0,,37000000.0,,506400000.0,,1462600000.0,3572400000.0,,,,480000000.0,407100000.0,,-1600000.0,-2310400000.0,142100000.0,113300000.0,-343600000.0,-1207500000.0,48200000.0
2012-07-27,1444600000.0,594500000.0,850100000.0,221400000.0,,769900000.0,80200000.0,-6000000.0,74200000.0,10400000.0,63800000.0,0.17,0.17,366100000.0,371200000.0,1529400000.0,3911700000.0,584200000.0,203700000.0,228000000.0,,511800000.0,6740800000.0,46300000.0,1139100000.0,905200000.0,,406300000.0,9406000000.0,275600000.0,346900000.0,1404400000.0,3459900000.0,1363100000.0,,,207300000.0,5030300000.0,2765700000.0,5200000.0,4375700000.0,9406000000.0,,79200000.0,,-244200000.0,42200000.0,,27100000.0,,-47000000.0,,229200000.0,628000000.0,,,,0.0,61900000.0,,-1300000.0,-126700000.0,35000000.0,4900000.0,-112100000.0,-20400000.0,16200000.0
2012-10-26,2985800000.0,1221800000.0,1764000000.0,445200000.0,,1548500000.0,215500000.0,-13600000.0,201900000.0,28500000.0,173400000.0,0.48,0.47,364100000.0,369700000.0,1816800000.0,3754200000.0,615000000.0,213200000.0,248400000.0,,488500000.0,6887700000.0,46500000.0,1132400000.0,905200000.0,,435500000.0,9553900000.0,246600000.0,378200000.0,1408500000.0,3573700000.0,1361700000.0,,,216300000.0,5151700000.0,2735000000.0,8200000.0,4402200000.0,9553900000.0,,144200000.0,,-212900000.0,51700000.0,,16900000.0,,-42600000.0,,565600000.0,1243000000.0,,,,0.0,129000000.0,,-2800000.0,-32800000.0,45100000.0,43600000.0,-259900000.0,267000000.0,26500000.0
2013-01-25,4615900000.0,1887000000.0,2728900000.0,660800000.0,,2325500000.0,403400000.0,-25700000.0,377700000.0,46200000.0,331500000.0,0.91,0.9,362500000.0,368100000.0,3081700000.0,3642200000.0,633800000.0,172900000.0,262900000.0,,518000000.0,8048600000.0,42200000.0,1189200000.0,978100000.0,,456200000.0,10865900000.0,221200000.0,398900000.0,1477300000.0,3621000000.0,1398700000.0,,,226900000.0,6240900000.0,2849600000.0,8600000.0,4625000000.0,10865900000.0,,211500000.0,,-193100000.0,11400000.0,,59300000.0,,62700000.0,,930700000.0,1548300000.0,,,,89400000.0,239700000.0,,-3000000.0,-122000000.0,95500000.0,53000000.0,725100000.0,1531900000.0,33900000.0
