Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-01-31,3326445000.0,2149522000.0,1176923000.0,908851000.0,367017000.0,1275868000.0,-98945000.0,,,-14307000.0,-67987000.0,-0.12,-0.12,549574.0,549574.0,447221000.0,1281006000.0,374963000.0,330674000.0,8752000.0,,,2480830000.0,,571858000.0,369844000.0,120458000.0,,3585918000.0,344527000.0,439851000.0,,784378000.0,,,,111950000.0,,1896182000.0,12172000.0,2665140000.0,3585918000.0,,107091000.0,-21147000.0,-56741000.0,204656000.0,,,119366000.0,,,487807000.0,,,,,0.0,,,218000.0,-519333000.0,138029000.0,,61059000.0,29533000.0,4217000.0
2010-05-02,1001813000.0,545436000.0,456377000.0,218105000.0,90879000.0,308984000.0,147393000.0,,,13131000.0,137594000.0,0.24,0.23,567183.0,590997.0,447262000.0,1317634000.0,529663000.0,388139000.0,8752000.0,,,2726980000.0,,548916000.0,369844000.0,115423000.0,,3803030000.0,362740000.0,402553000.0,,765293000.0,,,,152994000.0,,2033776000.0,10872000.0,2860645000.0,3803030000.0,,25177000.0,14398000.0,-155011000.0,-56816000.0,,,16822000.0,,,-5397000.0,,,,,,,,,-57342000.0,63062000.0,,62780000.0,41000.0,1089000.0
2010-08-01,1813021000.0,1222352000.0,590669000.0,428740000.0,189743000.0,618483000.0,-175207000.0,,-169047000.0,-28086000.0,-140961000.0,-0.25,-0.25,572764.0,572764.0,377003000.0,1395497000.0,395934000.0,434227000.0,8752000.0,,,2655962000.0,,542216000.0,369844000.0,118879000.0,,3731268000.0,280041000.0,539098000.0,13448000.0,819139000.0,,32173000.0,50430000.0,127881000.0,,1892815000.0,11234000.0,2760514000.0,3731268000.0,,49808000.0,-15244000.0,-21193000.0,-102778000.0,,,-67486000.0,,,28947000.0,,,,,,,,1525000.0,-176443000.0,77852000.0,,77278000.0,-70218000.0,1605000.0
2010-10-31,2656933000.0,1674202000.0,982731000.0,633267000.0,273495000.0,906762000.0,103783000.0,,103585000.0,18723000.0,84862000.0,0.15,0.15,577323.0,584500.0,451174000.0,1536046000.0,399502000.0,377812000.0,8752000.0,,,2807702000.0,,585672000.0,369844000.0,112642000.0,,3915579000.0,324770000.0,491719000.0,27336000.0,816489000.0,,47245000.0,53567000.0,177851000.0,,1977677000.0,12667000.0,2897880000.0,3915579000.0,,74985000.0,-172000.0,-24567000.0,-46746000.0,,,-21868000.0,,,241124000.0,,,,,,,,1656000.0,-340427000.0,104131000.0,,103256000.0,3953000.0,2522000.0
2011-01-30,3543309000.0,2134219000.0,1409090000.0,848830000.0,361513000.0,1153343000.0,255747000.0,,271169000.0,18023000.0,253146000.0,0.44,0.43,575177.0,588684.0,665361000.0,1825202000.0,348770000.0,345525000.0,-35823000.0,,,3226950000.0,,568857000.0,369844000.0,288745000.0,3816000.0,4495246000.0,286138000.0,656544000.0,245596000.0,942682000.0,163000000.0,46129000.0,57590000.0,347713000.0,,2149328000.0,10272000.0,3181462000.0,4495246000.0,,100353000.0,-2646000.0,26341000.0,-14128000.0,,,-69786000.0,,,675797000.0,,,,,0.0,,,2163000.0,-649678000.0,177276000.0,15316000.0,192021000.0,218140000.0,-1071000.0
2011-05-01,962039000.0,477536000.0,484503000.0,231524000.0,98117000.0,329641000.0,154862000.0,,156485000.0,21266000.0,135219000.0,0.23,0.22,594802.0,613474.0,683633000.0,2042908000.0,343202000.0,380964000.0,9456000.0,,,3496763000.0,,553366000.0,369844000.0,278761000.0,,4736744000.0,346295000.0,634871000.0,281790000.0,981166000.0,98583000.0,54544000.0,56460000.0,284813000.0,,2284547000.0,11121000.0,3447808000.0,4736744000.0,,31739000.0,8415000.0,5820000.0,-35183000.0,,,53740000.0,,,172200000.0,,,,,,,,383000.0,-252506000.0,85286000.0,13644000.0,98578000.0,18272000.0,1404000.0
2011-07-31,1978556000.0,968769000.0,1009787000.0,479245000.0,201650000.0,680895000.0,328892000.0,,334032000.0,47240000.0,286792000.0,0.48,0.47,601340.0,615552.0,532614000.0,1941882000.0,419944000.0,361911000.0,26281000.0,,,3317557000.0,,550896000.0,593513000.0,358136000.0,,4864424000.0,297813000.0,662486000.0,277594000.0,960299000.0,32699000.0,29029000.0,60078000.0,192163000.0,,2436120000.0,14434000.0,3689469000.0,4864424000.0,,67688000.0,20082000.0,-57511000.0,-2169000.0,,,-8366000.0,,,254221000.0,,,,,348884000.0,,,1890000.0,-525724000.0,124785000.0,25021000.0,138756000.0,-132747000.0,2854000.0
2012-01-29,3997930000.0,1941413000.0,2056517000.0,1002605000.0,405613000.0,1408218000.0,648299000.0,,663396000.0,82306000.0,581090000.0,0.96,0.94,603646000.0,616371000.0,667876000.0,2461700000.0,336143000.0,340297000.0,-75898000.0,,,3905358000.0,,560072000.0,641030000.0,326136000.0,120332000.0,5552928000.0,335072000.0,594886000.0,270649000.0,929958000.0,200370000.0,133288000.0,63007000.0,455807000.0,,2730418000.0,10614000.0,4145724000.0,5552928000.0,,136354000.0,19056000.0,-26236000.0,-18884000.0,,,35708000.0,,,909156000.0,,,,,348884000.0,138735000.0,,1590000.0,-1143364000.0,,52793000.0,236723000.0,2515000.0,58328000.0
2012-04-29,924877000.0,461513000.0,463364000.0,283902000.0,106636000.0,390538000.0,72826000.0,,77095000.0,16658000.0,60437000.0,0.1,0.1,615780000.0,623786000.0,369135000.0,2761677000.0,411155000.0,342707000.0,49931000.0,,118085000.0,4032116000.0,,553541000.0,641030000.0,363395000.0,,5708167000.0,395578000.0,551826000.0,272367000.0,947404000.0,134338000.0,133004000.0,108281000.0,452505000.0,,2790855000.0,10447000.0,4287428000.0,5708167000.0,,35569000.0,3630000.0,-75369000.0,-2191000.0,,-1882000.0,33516000.0,,,-9208000.0,,,,,,28923000.0,,-216000.0,-335054000.0,37361000.0,8675000.0,45521000.0,-298741000.0,2010000.0
2012-07-29,1969147000.0,965064000.0,1004083000.0,565095000.0,226539000.0,791634000.0,212449000.0,,222303000.0,42820000.0,179483000.0,0.29,0.29,618996000.0,623397000.0,499618000.0,2778482000.0,445312000.0,387185000.0,49931000.0,,116006000.0,4213851000.0,,574056000.0,641030000.0,346938000.0,,5891881000.0,417250000.0,604710000.0,273182000.0,1021960000.0,68172000.0,143165000.0,108588000.0,396019000.0,,2909901000.0,11159000.0,4453665000.0,5891881000.0,,67824000.0,13791000.0,-109218000.0,-46834000.0,,494000.0,65646000.0,,,191678000.0,,,,,0.0,90867000.0,,82000.0,-419757000.0,42678000.0,18154000.0,59821000.0,-168258000.0,
