Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,,,,,,,,,170990000.0,67627000.0,103363000.0,16.96,16.15,6123000.0,6405000.0,1090882000.0,,,,,,,,,,,,,2359435000.0,,,,,,,,,543969000.0,3926430000.0,,1815466000.0,2359435000.0,,20826000.0,,6169000.0,1983000.0,,,,,,-66306000.0,,,,,,2921000.0,,,39879000.0,,58562000.0,-132841000.0,-159268000.0,9710000.0
2010-09-30,,,,,,,,,235880000.0,88573000.0,147307000.0,24.64,23.49,5978000.0,6271000.0,1055843000.0,,,,,,,,,,,,,2249819000.0,,,,,,,,,563141000.0,3970374000.0,,1686678000.0,2249819000.0,5548000.0,40750000.0,,1899000.0,140278000.0,,,,,,-85599000.0,,,,,,4308000.0,,,188733000.0,,61659000.0,-297441000.0,-194307000.0,17424000.0
2010-12-31,,,,,,,,,,116388000.0,206005000.0,34.96,33.42,5893000.0,6165000.0,1193750000.0,,,,,,,,,,,,,2260061000.0,,,,,,,,,519687000.0,4029072000.0,,1740374000.0,2260061000.0,7263000.0,53136000.0,13558000.0,-1532000.0,8783000.0,,,,,,55388000.0,,,,,,6943000.0,,,212440000.0,,63558000.0,-324228000.0,-56400000.0,40669000.0
2011-03-31,,,,,,,,,,9661000.0,15174000.0,2.61,2.52,5823000.0,6020000.0,1220295000.0,,,,,,,,,,,,,2275728000.0,,,,,,,,,457527000.0,4044246000.0,,1818201000.0,2275728000.0,1598000.0,15580000.0,,-101000.0,61423000.0,,,,,,-9033000.0,,,,,,1012000.0,,,3538000.0,,17811000.0,32040000.0,26545000.0,10635000.0
2011-06-30,1210385000.0,,,,,,,,,34570000.0,53619000.0,9.24,8.98,5804000.0,5974000.0,930396000.0,,,,172318000.0,,,,,,,,,2175675000.0,,,,,,,,,524879000.0,4082691000.0,,1650796000.0,2175675000.0,3236000.0,31705000.0,,487000.0,103558000.0,,,,,,-25223000.0,,,,,,7478000.0,,,-61428000.0,,21391000.0,-176703000.0,-263354000.0,14033000.0
2011-09-30,1917861000.0,,,,,,,,,60103000.0,97028000.0,17.22,16.75,5634000.0,5792000.0,497122000.0,,,,171737000.0,,,,,,,,,1799616000.0,,,,,,,,,453597000.0,4126100000.0,,1346019000.0,1799616000.0,4948000.0,47966000.0,,-91000.0,148415000.0,,,,,,-4581000.0,,,,,,8674000.0,,,-60368000.0,,21272000.0,-631679000.0,-696628000.0,22733000.0
2011-12-31,2659149000.0,,,,,,,,,78156000.0,129420000.0,23.66,23.01,5469000.0,5624000.0,480794000.0,,,,164416000.0,,,,,,,,,1779485000.0,,,,,,,,,404686000.0,4158492000.0,,1374799000.0,1779485000.0,6672000.0,64473000.0,23732000.0,-465000.0,99527000.0,,,,,,1463000.0,,,,,,11444000.0,,,-61866000.0,,22835000.0,-652553000.0,-712956000.0,49763000.0
2012-03-31,600492000.0,,,,,,,,,10835000.0,20123000.0,3.99,3.9,5044000.0,5159000.0,575159000.0,,,,156843000.0,,,,,,,,,1850912000.0,,,,,,,,,432671000.0,4178615000.0,,1418241000.0,1850912000.0,1805000.0,16440000.0,,-788000.0,99635000.0,,,,,,90838000.0,,,,,,2895000.0,,,-291000.0,,876000.0,3818000.0,94365000.0,-376000.0
2012-06-30,1370275000.0,,,,,,,,,27952000.0,66961000.0,13.19,12.9,5106000.0,5221000.0,593263000.0,,,,156839000.0,,,,,,,,,1990960000.0,,,,,,,,,469136000.0,4225453000.0,,1521824000.0,1990960000.0,3730000.0,33173000.0,,3005000.0,164327000.0,,,,,,72391000.0,,,,,,5999000.0,,,-2315000.0,,4709000.0,42393000.0,112469000.0,15041000.0
2012-09-30,2240912000.0,,,,,,,,,59085000.0,119961000.0,23.76,23.22,5049000.0,5167000.0,1078548000.0,,,,163815000.0,,,,,,,,,2480726000.0,,,,,,,,,1101418000.0,4278453000.0,,1379308000.0,2480726000.0,5822000.0,50136000.0,,3265000.0,162507000.0,,,,,,178450000.0,,,,,,10367000.0,,,-5268000.0,,5687000.0,424572000.0,597754000.0,36054000.0
