Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,,,,,,629659000.0,56386000.0,-7696000.0,48690000.0,19476000.0,29214000.0,0.78,0.78,37284675.0,37284675.0,4783000.0,,162703000.0,,18175000.0,,,206832000.0,,942540000.0,19463000.0,,34046000.0,1202881000.0,30639000.0,,,179662000.0,,78575000.0,,70288000.0,580667000.0,527593000.0,,622214000.0,1202881000.0,,,-4078000.0,,,,,,,,69180000.0,,,,,,45625000.0,,,-51459000.0,,,-17109000.0,612000.0,
2010-09-30,,,,,,982256000.0,99770000.0,-10445000.0,89325000.0,35730000.0,53595000.0,0.96,0.96,55927003.0,55927003.0,5057000.0,,176595000.0,,18212000.0,,,221063000.0,,947315000.0,19463000.0,,31240000.0,1219081000.0,31166000.0,,,248768000.0,,83148000.0,,72593000.0,572488000.0,551974000.0,,646593000.0,1219081000.0,,,458000.0,,,,,,,,110165000.0,,,,,,69148000.0,,,-68361000.0,,,-40918000.0,886000.0,
2010-12-31,,,,,,1343259000.0,137739000.0,-13313000.0,124426000.0,48775000.0,75651000.0,1.35,1.35,55926988.0,55926988.0,5450000.0,,172989000.0,,18666000.0,,,222582000.0,,964216000.0,19463000.0,,33620000.0,1239881000.0,29221000.0,,,170046000.0,,90768000.0,,76331000.0,571232000.0,574030000.0,,668649000.0,1239881000.0,,,7624000.0,,,,,-4247000.0,,,141076000.0,,,,,0.0,106347000.0,,,-104297000.0,,,-35500000.0,1279000.0,
2011-03-31,,,,,,384758000.0,37921000.0,-2439000.0,35482000.0,13909000.0,21573000.0,0.38,0.38,56255970.0,56255970.0,88143000.0,,196694000.0,,21627000.0,,,330337000.0,,1000574000.0,19463000.0,,33528000.0,1383902000.0,48929000.0,,,227038000.0,,89083000.0,,77016000.0,645280000.0,595603000.0,,738622000.0,1383902000.0,,,-4646000.0,,,,,,,,73807000.0,,,,,,58450000.0,,,-57213000.0,48400000.0,,66099000.0,82693000.0,
2011-06-30,,,,,,800368000.0,102566000.0,-6251000.0,96315000.0,35359000.0,60956000.0,1.07,1.07,57443324.0,57443324.0,28664000.0,,212535000.0,,23262000.0,,,296136000.0,,1059702000.0,19463000.0,,34203000.0,1409504000.0,41157000.0,,,212383000.0,,110490000.0,,81483000.0,631499000.0,634986000.0,,778005000.0,1409504000.0,,,15125000.0,,,,,,,,119180000.0,,,,,,142445000.0,,,-138391000.0,48400000.0,,42425000.0,23214000.0,
2011-09-30,,,,,,1226649000.0,170760000.0,-11323000.0,159437000.0,59850000.0,99587000.0,1.75,1.75,57443324.0,57443324.0,42262000.0,,222525000.0,,21833000.0,,,318589000.0,,1103220000.0,19463000.0,,31926000.0,1473198000.0,50707000.0,,,220117000.0,,127614000.0,,81688000.0,656562000.0,673617000.0,,816636000.0,1473198000.0,,,33679000.0,,,,,,,,200349000.0,,,,,,209900000.0,,,-204690000.0,48400000.0,,41153000.0,36812000.0,
2011-12-31,,,,,,1648469000.0,234072000.0,-13988000.0,220084000.0,80614000.0,139470000.0,2.44,2.44,57146486.0,57146486.0,75850000.0,,213481000.0,,-115450000.0,,,331852000.0,,1126950000.0,19463000.0,,34809000.0,1513074000.0,42096000.0,,,204810000.0,,134916000.0,,86998000.0,656555000.0,713500000.0,,856519000.0,1513074000.0,,,43348000.0,,,,,12875000.0,,,277380000.0,,,,,,250214000.0,,,-244778000.0,48400000.0,,37798000.0,70400000.0,
2012-03-31,,,,,,442922000.0,54218000.0,-2821000.0,51397000.0,20302000.0,31095000.0,0.54,0.54,57443324.0,57443324.0,54219000.0,,228398000.0,,19650000.0,,,327900000.0,,1190137000.0,19463000.0,,36692000.0,1574192000.0,54677000.0,,,251268000.0,,121357000.0,,94836000.0,686578000.0,744595000.0,,887614000.0,1574192000.0,,,-13743000.0,,,,,,,,78327000.0,,,,,,89393000.0,,,-88765000.0,0.0,,-11193000.0,-21631000.0,
2012-06-30,,,,,,901839000.0,136806000.0,-6348000.0,130458000.0,51531000.0,78927000.0,1.37,1.37,57443324.0,57443324.0,11015000.0,,241433000.0,,20768000.0,,,301158000.0,,1282509000.0,19463000.0,,36514000.0,1639644000.0,62540000.0,,,244454000.0,,133880000.0,,97717000.0,704198000.0,792427000.0,,935446000.0,1639644000.0,,,-2338000.0,,,,,,,,144422000.0,,,,,,210019000.0,,,-206921000.0,0.0,,-2336000.0,-64835000.0,
2012-09-30,,,,,,1365400000.0,217738000.0,-8919000.0,208819000.0,78848000.0,129971000.0,1.51,1.51,86164980.0,86164980.0,6902000.0,,248254000.0,,19518000.0,,,305739000.0,,1351358000.0,19463000.0,,38062000.0,1714622000.0,56930000.0,,,237628000.0,,146843000.0,,100166000.0,728134000.0,843471000.0,,986488000.0,1714622000.0,,,11875000.0,,,,,,,,222738000.0,,,,,,309661000.0,,,-304216000.0,0.0,,12530000.0,-68948000.0,
2012-12-31,,,,,,1825229000.0,285254000.0,-12156000.0,273098000.0,103646000.0,169452000.0,1.97,1.97,86164964.0,86164964.0,12857000.0,,219039000.0,,-133132000.0,,,275028000.0,,1379305000.0,19463000.0,,38718000.0,1712514000.0,44891000.0,,,225139000.0,,153186000.0,,106791000.0,686545000.0,882952000.0,,1025969000.0,1712514000.0,,,17682000.0,,,,,2795000.0,,,328056000.0,,,,,,373193000.0,,,-361175000.0,0.0,,-29874000.0,-62993000.0,
2013-03-31,,,,,,466631000.0,65944000.0,-2460000.0,63484000.0,22931000.0,40553000.0,0.47,0.47,86164917.0,86164917.0,29183000.0,,248225000.0,,19324000.0,,,324964000.0,,1375749000.0,19463000.0,,41016000.0,1761192000.0,41471000.0,,,254130000.0,,148720000.0,,111106000.0,694670000.0,923505000.0,,1066522000.0,1761192000.0,,,-3736000.0,,,,,,,,63534000.0,,,,,,26949000.0,,,-26134000.0,,,-21074000.0,16326000.0,
2013-06-30,,,,,,965203000.0,163517000.0,-5155000.0,158362000.0,59554000.0,98808000.0,1.15,1.15,86164917.0,86164917.0,7370000.0,,267690000.0,,19605000.0,,,324082000.0,,1469392000.0,19463000.0,,41793000.0,1854730000.0,66718000.0,,,273128000.0,,154804000.0,,111627000.0,729953000.0,981760000.0,,1124777000.0,1854730000.0,,,2067000.0,,,,,,,,153864000.0,,,,,,156354000.0,,,-147741000.0,,,-11610000.0,-5487000.0,
2013-09-30,,,,,,1483585000.0,261593000.0,-7978000.0,253615000.0,94658000.0,158957000.0,1.84,1.84,86164917.0,86164917.0,12104000.0,,268223000.0,,21975000.0,,,333276000.0,,1508617000.0,19463000.0,,43323000.0,1904679000.0,54512000.0,,,248811000.0,,185408000.0,,117824000.0,719753000.0,1041909000.0,,1184926000.0,1904679000.0,,,30301000.0,,,,,,,,253386000.0,,,,,,229199000.0,,,-219845000.0,,,-34294000.0,-753000.0,
2013-12-31,,,,,,1999210000.0,338438000.0,-9752000.0,328686000.0,122573000.0,206113000.0,2.39,2.39,86164917.0,86164917.0,30174000.0,,248069000.0,,-165868000.0,,,332979000.0,,1543059000.0,19463000.0,,36588000.0,1932089000.0,36788000.0,,,232122000.0,,189117000.0,,123054000.0,700007000.0,1089065000.0,,1232082000.0,1932089000.0,,,32736000.0,,,,,-8103000.0,,,350666000.0,,,,,,295606000.0,,,-284371000.0,0.0,,-48978000.0,17317000.0,
2014-03-31,,,,,,540224000.0,80052000.0,-2818000.0,77234000.0,31347000.0,45887000.0,0.53,0.53,86164917.0,86164917.0,41244000.0,,285249000.0,,25726000.0,,,388974000.0,,1586076000.0,19463000.0,,37255000.0,2031768000.0,71764000.0,,,293505000.0,,189892000.0,,125402000.0,753799000.0,1134952000.0,,1277969000.0,2031768000.0,,,-1702000.0,,,,,,,,99568000.0,,,,,,79818000.0,,,-77783000.0,,,-10715000.0,11070000.0,
2014-06-30,,,,,,1120516000.0,202747000.0,-4449000.0,198298000.0,78562000.0,119736000.0,1.39,1.39,86164917.0,86164917.0,19789000.0,,302262000.0,,26722000.0,,,382373000.0,,1676357000.0,19463000.0,,45870000.0,2124063000.0,63783000.0,,,297563000.0,,178115000.0,,132567000.0,772245000.0,1208801000.0,,1351818000.0,2124063000.0,,,-14475000.0,,,,,,,,181673000.0,,,,,,218568000.0,,,-200343000.0,,,8285000.0,-10385000.0,
2014-09-30,,,,,,1737840000.0,329009000.0,-6844000.0,322165000.0,124520000.0,197645000.0,2.29,2.29,86164917.0,86164917.0,8169000.0,,322395000.0,,27110000.0,,,394601000.0,,1730894000.0,19463000.0,,43581000.0,2188539000.0,47285000.0,,,286601000.0,,185828000.0,,138180000.0,758812000.0,1286710000.0,,1429727000.0,2188539000.0,,,-7150000.0,,,,,,,,278015000.0,,,,,,311993000.0,,,-292508000.0,,,-7512000.0,-22005000.0,
2014-12-31,,,,,,2346590000.0,441307000.0,-8793000.0,432514000.0,165000000.0,267514000.0,3.1,3.1,86162137.0,86162137.0,34787000.0,,303170000.0,,-191412000.0,,,433143000.0,,1743245000.0,19463000.0,,40386000.0,2236237000.0,45314000.0,,,255638000.0,,220783000.0,,145752000.0,742173000.0,1351054000.0,,1494064000.0,2236237000.0,,,25544000.0,,,,,8526000.0,,,391674000.0,,,,,,367680000.0,,,-345814000.0,,,-41247000.0,4613000.0,
2015-03-31,,,,,,592680000.0,103565000.0,-1735000.0,101830000.0,39306000.0,62524000.0,0.73,0.73,85970829.0,85970829.0,113038000.0,,317705000.0,,32994000.0,,,499893000.0,,1778471000.0,19463000.0,,42557000.0,2340384000.0,48955000.0,,,321682000.0,,205617000.0,,149228000.0,797123000.0,1400269000.0,,1543261000.0,2340384000.0,,,-18789000.0,,,,,,,,172594000.0,,,,,,72153000.0,,,-70302000.0,,,-24041000.0,78251000.0,
2015-06-30,,,,,,1213932000.0,244464000.0,-3262000.0,241202000.0,93104000.0,148098000.0,1.73,1.73,85848208.0,85848208.0,12789000.0,,330091000.0,,34648000.0,,,421665000.0,,1891465000.0,19463000.0,,45474000.0,2378067000.0,61042000.0,,,298862000.0,,211609000.0,,149833000.0,778304000.0,1456812000.0,,1599763000.0,2378067000.0,,,-14451000.0,,,,,,,,254225000.0,,,,,,231253000.0,,,-220902000.0,,,-55321000.0,-21998000.0,
2015-09-30,,,,,,1853552000.0,384318000.0,-6258000.0,378060000.0,145594000.0,232466000.0,2.71,2.71,85645760.0,85645760.0,11412000.0,,337706000.0,,36646000.0,,,436206000.0,,1971210000.0,19463000.0,,47606000.0,2474485000.0,58258000.0,,,364172000.0,,218770000.0,,149130000.0,827072000.0,1504516000.0,,1647413000.0,2474485000.0,,,-9288000.0,,,,,,,,372274000.0,,,,,,362015000.0,,,-342643000.0,,,-53006000.0,-23375000.0,
2015-12-31,,,,,,2474202000.0,498240000.0,-8223000.0,490017000.0,185327000.0,304690000.0,3.57,3.57,85378480.0,85378480.0,11472000.0,,310501000.0,,110870000.0,,,381730000.0,,2023448000.0,19463000.0,,41863000.0,2466504000.0,66774000.0,,,285402000.0,,235054000.0,,154094000.0,781867000.0,1541795000.0,,1684637000.0,2466504000.0,,,43642000.0,,,,,21460000.0,,,553880000.0,,,,,,462059000.0,,,-437617000.0,,,-139578000.0,-23315000.0,
2016-03-31,,,,,,608185000.0,99548000.0,-1683000.0,97865000.0,37580000.0,60285000.0,0.72,0.72,83983028.0,83983028.0,7133000.0,,311650000.0,,,,,355624000.0,,2098158000.0,19463000.0,,42195000.0,2515440000.0,81079000.0,24944000.0,,323223000.0,,235054000.0,,157161000.0,815164000.0,1557510000.0,,1700276000.0,2515440000.0,,,,,,,,,,,168393000.0,,,,,,120294000.0,,,-119603000.0,,,-53129000.0,-4339000.0,
2016-06-30,,,,,,1230184000.0,232984000.0,-2995000.0,229989000.0,88316000.0,141673000.0,1.69,1.69,83668521.0,83682228.0,10673000.0,,319019000.0,,,,,371859000.0,,2224883000.0,19463000.0,,43597000.0,2659802000.0,79230000.0,37829000.0,,291351000.0,,252501000.0,,155849000.0,918033000.0,1598923000.0,,1741769000.0,2659802000.0,,,,,,,,,,,292231000.0,,,,,,295533000.0,,,-292536000.0,,,-494000.0,-799000.0,
