Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,11720700000.0,,,,,10345800000.0,1374900000.0,,1274200000.0,433600000.0,793000000.0,2.54,2.53,,,1587000000.0,,5574100000.0,,,,1012000000.0,8788500000.0,,677300000.0,7641200000.0,220800000.0,253500000.0,17920700000.0,7143900000.0,1685500000.0,,10082500000.0,,488100000.0,,462000000.0,,6465400000.0,-8000000.0,4194800000.0,17920700000.0,,78600000.0,,,,,,,,,1731600000.0,,,,,,-130600000.0,,,-226000000.0,,0.0,-1128000000.0,489700000.0,
2010-03-31,2920000000.0,,,,,2629000000.0,291000000.0,,266900000.0,90700000.0,163400000.0,0.53,0.52,,,900400000.0,,5184300000.0,,,,1084400000.0,7851000000.0,,647500000.0,7541100000.0,242000000.0,234600000.0,16829500000.0,6406400000.0,1631500000.0,,9235100000.0,,536500000.0,,462000000.0,,6567300000.0,-153500000.0,3921800000.0,16829500000.0,,19100000.0,,,,,,,,,-277900000.0,,,,,,-25200000.0,,,-43700000.0,,,-329200000.0,-686600000.0,
2010-06-30,5961200000.0,,,,,5254800000.0,706400000.0,,658600000.0,223900000.0,406700000.0,1.32,1.3,304300000.0,308700000.0,533700000.0,,5140600000.0,,,,1060000000.0,7454800000.0,,628500000.0,7470900000.0,230100000.0,231000000.0,16329200000.0,6351500000.0,1374400000.0,,9219600000.0,,559400000.0,,439000000.0,,6749800000.0,-278900000.0,3767300000.0,16329200000.0,,35000000.0,,-168800000.0,,,,,,,-170600000.0,,,,,,63100000.0,,,-140500000.0,,15000000.0,-671100000.0,-1053300000.0,
2010-09-30,8955700000.0,,,,,7935100000.0,1020600000.0,,942900000.0,320800000.0,581200000.0,1.9,1.88,302700000.0,306900000.0,1689300000.0,,5516900000.0,,,,1166500000.0,9132300000.0,,637400000.0,7726600000.0,256300000.0,238100000.0,18282700000.0,6592600000.0,1594100000.0,,9784200000.0,,560300000.0,,433700000.0,,6863900000.0,-58300000.0,4117200000.0,18282700000.0,,51900000.0,,-143400000.0,,,,,,,43500000.0,,,,,,98100000.0,,,-209200000.0,,16400000.0,257300000.0,102300000.0,
2011-03-31,3151300000.0,,,,,2829200000.0,322100000.0,,290000000.0,73900000.0,201900000.0,0.7,0.69,283600000.0,289200000.0,1512200000.0,,5470800000.0,,,,1374200000.0,9165900000.0,,661600000.0,8393400000.0,448600000.0,294900000.0,19168500000.0,6918000000.0,2017800000.0,,10396900000.0,,800400000.0,,657200000.0,,7183000000.0,14700000.0,3524600000.0,19168500000.0,,16400000.0,,-729600000.0,,,,,,,-176900000.0,,,,,,39100000.0,,,-239400000.0,,4300000.0,-390000000.0,-776500000.0,
2011-06-30,6638800000.0,,,,,5828500000.0,810300000.0,,750400000.0,231900000.0,477000000.0,1.68,1.65,281200000.0,286100000.0,986300000.0,,5981000000.0,,,,1267700000.0,9034400000.0,,663400000.0,8502400000.0,442700000.0,304200000.0,19156700000.0,7155600000.0,1760900000.0,,10354800000.0,,824400000.0,,594200000.0,,7388400000.0,73900000.0,3554300000.0,19156700000.0,,32900000.0,,-299500000.0,,,,,,,-262600000.0,,,,,,81100000.0,,,-342000000.0,,20500000.0,-754100000.0,-1302400000.0,
2011-12-31,13872500000.0,,,,,12201400000.0,1671100000.0,,1549000000.0,505800000.0,952600000.0,3.38,3.33,279000000.0,283300000.0,1781200000.0,,6632000000.0,,-698500000.0,,1344200000.0,10421500000.0,,682900000.0,8456300000.0,468400000.0,292100000.0,20505400000.0,8060000000.0,2138500000.0,,11671000000.0,,867600000.0,,602000000.0,,7724100000.0,-191700000.0,3504300000.0,20505400000.0,,74500000.0,93300000.0,471400000.0,,,,,,,1315300000.0,,,,,,185500000.0,,,-574600000.0,,30400000.0,-1205700000.0,-507500000.0,
2012-03-31,3307300000.0,,,,,2944800000.0,362500000.0,,333300000.0,109300000.0,204600000.0,0.73,0.72,273300000.0,277500000.0,1502700000.0,,5932400000.0,,,,1470900000.0,9620500000.0,,687400000.0,8574500000.0,462800000.0,292400000.0,19823500000.0,7230400000.0,2149200000.0,,10867200000.0,,896400000.0,,598600000.0,,7844700000.0,-96200000.0,3579000000.0,19823500000.0,,26300000.0,,-796500000.0,,,,,,,-500000.0,,,,,,45600000.0,,,-57200000.0,,11400000.0,-252300000.0,-278500000.0,
2012-06-30,6868200000.0,,,,,5999300000.0,868900000.0,,804900000.0,271200000.0,487300000.0,1.76,1.74,271200000.0,273900000.0,1665300000.0,,6041500000.0,,,,1437300000.0,9857500000.0,,698200000.0,8599600000.0,445100000.0,320300000.0,20106500000.0,7461100000.0,1825100000.0,,10689800000.0,,919600000.0,,627200000.0,,8045800000.0,-216200000.0,3269900000.0,20106500000.0,,44400000.0,,-570600000.0,,,,,,,157300000.0,,,,,,112800000.0,,,-209100000.0,,57500000.0,-55300000.0,-115900000.0,
2012-09-30,10274800000.0,,,,,9018600000.0,1256200000.0,,1151900000.0,389900000.0,691200000.0,2.51,2.49,269600000.0,271500000.0,1956300000.0,,6260200000.0,,,,1463900000.0,10397100000.0,,700000000.0,8728600000.0,446800000.0,333000000.0,20798000000.0,7430200000.0,1940500000.0,,10702200000.0,,948400000.0,,653400000.0,,8168100000.0,-120700000.0,3358600000.0,20798000000.0,,63100000.0,,-438100000.0,,,,,,,300100000.0,,,,,,158700000.0,,,-267600000.0,,79800000.0,109400000.0,175100000.0,
