Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-02-28,17315000000.0,206000000.0,,,,11553000000.0,5762000000.0,-75000000.0,,1396000000.0,,0.75,0.74,5015000000.0,5076000000.0,9331000000.0,8158000000.0,3898000000.0,315000000.0,978000000.0,,1299000000.0,23979000000.0,,2869000000.0,20415000000.0,,2255000000.0,59386000000.0,616000000.0,2574000000.0,5389000000.0,14251000000.0,,339000000.0,3275000000.0,1172000000.0,,14257000000.0,246000000.0,28476000000.0,59386000000.0,,310000000.0,-362000000.0,1614000000.0,18000000.0,,,,-136000000.0,,6170000000.0,,,,,5567000000.0,,,,-9769000000.0,,71000000.0,3835000000.0,336000000.0,
2010-05-31,26820000000.0,880000000.0,,,,17758000000.0,9062000000.0,-65000000.0,,2108000000.0,6230000000.0,1.22,1.21,5014000000.0,5073000000.0,9914000000.0,8555000000.0,5585000000.0,259000000.0,1159000000.0,,1532000000.0,27004000000.0,,2763000000.0,20425000000.0,,2065000000.0,61578000000.0,775000000.0,2976000000.0,5900000000.0,14691000000.0,,424000000.0,2695000000.0,1059000000.0,,16146000000.0,4000000.0,30798000000.0,61578000000.0,,436000000.0,-511000000.0,-362000000.0,73000000.0,,,,489000000.0,,8681000000.0,,,,,5606000000.0,,,,-10319000000.0,,110000000.0,2664000000.0,919000000.0,
2010-11-30,16084000000.0,1082000000.0,,,,11397000000.0,4687000000.0,165000000.0,,1219000000.0,,0.64,0.63,5044000000.0,5117000000.0,10420000000.0,14425000000.0,4406000000.0,236000000.0,2000000000.0,,2017000000.0,32723000000.0,,2870000000.0,20889000000.0,8526000000.0,1015000000.0,67243000000.0,762000000.0,2935000000.0,5742000000.0,13336000000.0,353000000.0,350000000.0,2791000000.0,1136000000.0,,18422000000.0,327000000.0,34412000000.0,67243000000.0,,254000000.0,76000000.0,-1343000000.0,-25000000.0,,,,546000000.0,,4761000000.0,,,,,806000000.0,,,,-6694000000.0,,86000000.0,2088000000.0,506000000.0,
2011-02-28,24847000000.0,1547000000.0,,,,17173000000.0,7674000000.0,180000000.0,,1903000000.0,,1.06,1.04,5057000000.0,5149000000.0,11864000000.0,12491000000.0,4495000000.0,276000000.0,2200000000.0,,2140000000.0,32459000000.0,,2894000000.0,21425000000.0,8324000000.0,1045000000.0,67666000000.0,673000000.0,2888000000.0,5849000000.0,11282000000.0,334000000.0,350000000.0,3078000000.0,1145000000.0,,20059000000.0,427000000.0,36617000000.0,67666000000.0,,383000000.0,174000000.0,-1377000000.0,9000000.0,,,,564000000.0,,7437000000.0,,,,,1673000000.0,,,,-5662000000.0,,139000000.0,-343000000.0,1950000000.0,
2011-05-31,35622000000.0,2057000000.0,,4519000000.0,,23589000000.0,12033000000.0,186000000.0,,2864000000.0,,1.69,1.67,5048000000.0,5128000000.0,16163000000.0,12685000000.0,6628000000.0,303000000.0,2105000000.0,,2206000000.0,39174000000.0,,2857000000.0,21553000000.0,7860000000.0,1015000000.0,73535000000.0,701000000.0,3219000000.0,6802000000.0,14192000000.0,316000000.0,59000000.0,3169000000.0,1098000000.0,,22581000000.0,542000000.0,39776000000.0,73535000000.0,,510000000.0,253000000.0,729000000.0,28000000.0,,,,231000000.0,,11214000000.0,,,,,1847000000.0,,,,-6081000000.0,,215000000.0,516000000.0,6249000000.0,
2011-08-31,8374000000.0,,,1050000000.0,,5691000000.0,2683000000.0,-20000000.0,,631000000.0,,0.36,0.36,5062000000.0,5150000000.0,13162000000.0,18498000000.0,4194000000.0,259000000.0,2300000000.0,,1831000000.0,39206000000.0,,2930000000.0,21831000000.0,7662000000.0,1078000000.0,73859000000.0,614000000.0,2964000000.0,7925000000.0,13056000000.0,311000000.0,,3281000000.0,1494000000.0,,23385000000.0,592000000.0,40892000000.0,73859000000.0,,148000000.0,-116000000.0,-2483000000.0,-57000000.0,,,,1004000000.0,,5421000000.0,,,,,343000000.0,160000000.0,,,-6323000000.0,,24000000.0,-2211000000.0,-3001000000.0,
2011-11-30,17166000000.0,,,2152000000.0,,11372000000.0,5794000000.0,41000000.0,,1399000000.0,,0.8,0.78,5052000000.0,5137000000.0,13286000000.0,17726000000.0,4434000000.0,218000000.0,2200000000.0,,1579000000.0,38482000000.0,,2900000000.0,21994000000.0,7152000000.0,1260000000.0,72910000000.0,445000000.0,2954000000.0,6091000000.0,11072000000.0,269000000.0,,3383000000.0,1410000000.0,,24383000000.0,292000000.0,41920000000.0,72910000000.0,,298000000.0,-137000000.0,-2128000000.0,-93000000.0,,,,-544000000.0,,6676000000.0,,,,,571000000.0,289000000.0,,,-5947000000.0,,53000000.0,-3231000000.0,-2877000000.0,
2012-02-29,26205000000.0,,,3297000000.0,,17094000000.0,9111000000.0,42000000.0,,2050000000.0,,1.3,1.28,5037000000.0,5118000000.0,13781000000.0,15961000000.0,4656000000.0,172000000.0,2100000000.0,,1678000000.0,37538000000.0,,2936000000.0,23819000000.0,7455000000.0,1636000000.0,74361000000.0,442000000.0,3240000000.0,6285000000.0,11632000000.0,306000000.0,,3216000000.0,1470000000.0,,25116000000.0,416000000.0,42873000000.0,74361000000.0,,474000000.0,-200000000.0,-2028000000.0,-139000000.0,,,,-536000000.0,,9686000000.0,,,,,2833000000.0,431000000.0,,,-6537000000.0,,71000000.0,-5350000000.0,-2382000000.0,
2012-05-31,37121000000.0,,,4523000000.0,,23415000000.0,13706000000.0,22000000.0,,,9981000000.0,1.99,1.96,5015000000.0,5095000000.0,14955000000.0,15721000000.0,6377000000.0,158000000.0,1396000000.0,,1935000000.0,40023000000.0,,3021000000.0,25119000000.0,7899000000.0,1670000000.0,78327000000.0,438000000.0,2963000000.0,7035000000.0,15388000000.0,296000000.0,48000000.0,3759000000.0,1569000000.0,,26087000000.0,112000000.0,43688000000.0,78327000000.0,,659000000.0,9000000.0,8000000.0,-150000000.0,,,,492000000.0,,13743000000.0,,,,,4702000000.0,648000000.0,,,-8381000000.0,,97000000.0,-6099000000.0,-1208000000.0,
2012-08-31,8181000000.0,,,1201000000.0,,5302000000.0,2879000000.0,11000000.0,,,2034000000.0,0.42,0.41,4867000000.0,4939000000.0,15667000000.0,15940000000.0,3775000000.0,148000000.0,1400000000.0,,1729000000.0,38172000000.0,,3037000000.0,25288000000.0,7376000000.0,2138000000.0,76558000000.0,388000000.0,2529000000.0,8316000000.0,13955000000.0,310000000.0,,3732000000.0,1614000000.0,,25117000000.0,311000000.0,43329000000.0,76558000000.0,,193000000.0,64000000.0,-2630000000.0,-10000000.0,,,,1243000000.0,,5671000000.0,,,,,361000000.0,139000000.0,,,-510000000.0,,62000000.0,-4520000000.0,712000000.0,
