Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-03-31,1280067000.0,,618347000.0,,449902000.0,,168445000.0,-9969000.0,158476000.0,61000000.0,97476000.0,0.71,0.7,137583000.0,139612000.0,29872000.0,,123539000.0,1903108000.0,74056000.0,,37331000.0,2231558000.0,,1784301000.0,743824000.0,,66974000.0,4837865000.0,794676000.0,148477000.0,,1254804000.0,,23726000.0,,162307000.0,,1747599000.0,,2800318000.0,4837865000.0,,4114000.0,18287000.0,-17424000.0,10110000.0,,,-23509000.0,,,170646000.0,,,,,,90725000.0,,1186000.0,-90257000.0,,1775000.0,-77452000.0,2937000.0,
2010-06-30,2661308000.0,,1290980000.0,,926371000.0,,349609000.0,-19688000.0,329921000.0,132850000.0,197071000.0,1.43,1.4,138230000.0,141117000.0,31611000.0,,129769000.0,1932479000.0,62588000.0,,34227000.0,2257497000.0,,1830745000.0,743780000.0,,63413000.0,4916519000.0,854659000.0,156844000.0,,1309104000.0,,26582000.0,,171148000.0,,1847194000.0,-5466000.0,2930452000.0,4916519000.0,,8438000.0,33248000.0,-25676000.0,-19261000.0,,,36298000.0,,,355743000.0,,,,,,182272000.0,,2704000.0,-180594000.0,,7763000.0,-170473000.0,4676000.0,
2010-09-30,4087195000.0,,1984395000.0,,1414855000.0,,548640000.0,-28527000.0,520113000.0,206500000.0,313613000.0,2.27,2.23,138831000.0,141706000.0,43193000.0,,125906000.0,1997718000.0,39261000.0,,32530000.0,2309596000.0,,1891560000.0,743921000.0,,59191000.0,5023419000.0,943147000.0,189633000.0,,1383262000.0,,57446000.0,,181886000.0,,1963736000.0,-4095000.0,3074271000.0,5023419000.0,,12792000.0,85823000.0,23749000.0,84500000.0,,,124909000.0,,,592563000.0,,,,,,276463000.0,,4728000.0,-274715000.0,,11755000.0,-301590000.0,16258000.0,
2011-03-31,1382738000.0,,669781000.0,,473344000.0,,196437000.0,-30263000.0,166174000.0,63700000.0,102474000.0,0.73,0.72,140579000.0,142866000.0,230048000.0,,128224000.0,2001314000.0,10018000.0,,29166000.0,2467411000.0,,1972420000.0,743895000.0,,47981000.0,5248086000.0,977627000.0,171564000.0,,1317974000.0,,63083000.0,,181538000.0,,2048214000.0,,3187850000.0,5248086000.0,,691000.0,16331000.0,9503000.0,-22175000.0,,,81907000.0,,,294113000.0,,,,,,94404000.0,,-227000.0,-92246000.0,,2148000.0,-1540000.0,200327000.0,
2011-06-30,2862056000.0,,1388442000.0,,969637000.0,,418805000.0,-35649000.0,383156000.0,146910000.0,236246000.0,1.7,1.67,138982000.0,141289000.0,268792000.0,,136184000.0,2035282000.0,16238000.0,67807000.0,29881000.0,2554184000.0,,2008594000.0,744028000.0,,45804000.0,5365902000.0,1115252000.0,180574000.0,,1458243000.0,,73701000.0,,183026000.0,,2016290000.0,,3153385000.0,5365902000.0,,1409000.0,20729000.0,19835000.0,11793000.0,,,219546000.0,,,561468000.0,,,,,,150649000.0,,-226000.0,-146780000.0,,7381000.0,-175617000.0,239071000.0,
2011-09-30,4397509000.0,,2142652000.0,,1482797000.0,,659855000.0,-41670000.0,618185000.0,233500000.0,384685000.0,2.81,2.76,136895000.0,139183000.0,276717000.0,,136520000.0,2009407000.0,20823000.0,65035000.0,28012000.0,2536514000.0,,2057875000.0,743943000.0,,46490000.0,5396783000.0,1190842000.0,159888000.0,,1506047000.0,,76919000.0,,186307000.0,,1731247000.0,,2830548000.0,5396783000.0,,2164000.0,19362000.0,22117000.0,-14082000.0,,,295151000.0,,,840149000.0,,,,,,243311000.0,,-226000.0,-237972000.0,,14705000.0,-355181000.0,246996000.0,
2011-12-31,5788816000.0,,2837349000.0,,1973381000.0,,866766000.0,-50993000.0,815773000.0,308100000.0,507673000.0,3.77,3.71,134667000.0,136983000.0,361552000.0,,135149000.0,1985748000.0,-90854000.0,68604000.0,56557000.0,2607610000.0,,2093767000.0,743907000.0,,44328000.0,5500501000.0,1279294000.0,150932000.0,,1580010000.0,,88864000.0,,189864000.0,,1733474000.0,,2844851000.0,5500501000.0,165880000.0,20579000.0,54120000.0,21219000.0,-37740000.0,,,383632000.0,,,1118991000.0,,,,,,328319000.0,,-516000.0,-319653000.0,,22985000.0,-467507000.0,331831000.0,
2012-03-31,1529392000.0,,761680000.0,,514179000.0,,247501000.0,-7709000.0,239792000.0,92300000.0,147492000.0,1.16,1.14,126970000.0,129327000.0,575196000.0,,144822000.0,2004917000.0,,68376000.0,37071000.0,2830382000.0,,2126599000.0,744031000.0,,43296000.0,5754125000.0,1469310000.0,143811000.0,,1801656000.0,,92316000.0,,191443000.0,,1742640000.0,,2871847000.0,5754125000.0,43833000.0,5224000.0,5132000.0,11360000.0,19169000.0,,,190034000.0,,,414528000.0,,,,,,75457000.0,,0.0,-73899000.0,,10784000.0,-126985000.0,213644000.0,
2012-06-30,3092241000.0,,1541541000.0,,1050437000.0,,491104000.0,-16242000.0,474862000.0,181250000.0,293612000.0,2.33,2.29,125920000.0,128261000.0,367717000.0,,151936000.0,2145339000.0,,61709000.0,37291000.0,2763992000.0,,2152785000.0,744131000.0,,41780000.0,5710092000.0,1699817000.0,157625000.0,,2012898000.0,,93713000.0,,193945000.0,,1489418000.0,,2612652000.0,5710092000.0,88230000.0,10891000.0,4375000.0,20802000.0,159591000.0,,,420554000.0,,,691458000.0,,,,,,151327000.0,,,-147156000.0,,23692000.0,-538137000.0,6165000.0,
2013-12-31,6649237000.0,,3369001000.0,,2265516000.0,,1103485000.0,-44543000.0,1058942000.0,388650000.0,670292000.0,6.14,6.03,109244000.0,111101000.0,231318000.0,,131504000.0,2375047000.0,-100935000.0,66619000.0,30713000.0,2835201000.0,,2425103000.0,756225000.0,18666000.0,37613000.0,6067208000.0,2056521000.0,181718000.0,,2423010000.0,,80713000.0,,201023000.0,,846333000.0,0.0,1966321000.0,6067208000.0,183180000.0,21722000.0,1919000.0,16937000.0,96876000.0,,,127178000.0,,,908026000.0,,,,,,395881000.0,,0.0,-388754000.0,,30811000.0,-536082000.0,-16810000.0,
2014-03-31,1727943000.0,,877716000.0,,590596000.0,,287120000.0,-12160000.0,274960000.0,101100000.0,173860000.0,1.64,1.61,106191000.0,108070000.0,511831000.0,,142703000.0,2397042000.0,,69034000.0,40663000.0,3161273000.0,,2463099000.0,756225000.0,,37011000.0,6429773000.0,2160897000.0,187428000.0,,2597850000.0,,75162000.0,,197295000.0,,999748000.0,,2163224000.0,6429773000.0,47477000.0,5096000.0,-3796000.0,13016000.0,21994000.0,,,104376000.0,,,345549000.0,,,,,,83085000.0,,,-81898000.0,,17850000.0,16862000.0,280513000.0,
2014-06-30,3575031000.0,,1828593000.0,,1204999000.0,,623594000.0,-23836000.0,599758000.0,220251000.0,379507000.0,3.58,3.52,105982000.0,107817000.0,453431000.0,,156605000.0,2462781000.0,,60615000.0,38535000.0,3171967000.0,,2528936000.0,756349000.0,,35406000.0,6507876000.0,2302282000.0,200498000.0,,2727117000.0,,66065000.0,,200751000.0,,948518000.0,,2117581000.0,6507876000.0,95004000.0,12137000.0,-12686000.0,28422000.0,87734000.0,,,245761000.0,,,655525000.0,,,,,,194929000.0,,,-192305000.0,,23849000.0,-241107000.0,222113000.0,
2014-09-30,5451903000.0,,2796794000.0,,1829432000.0,,967362000.0,-35286000.0,932076000.0,335572000.0,596504000.0,5.67,5.58,105146000.0,106945000.0,298283000.0,,152779000.0,2517927000.0,,67073000.0,34689000.0,3070751000.0,,2601112000.0,756335000.0,,32695000.0,6475176000.0,2409054000.0,201475000.0,,2845942000.0,,61789000.0,,194551000.0,,806641000.0,,1976406000.0,6475176000.0,143515000.0,17424000.0,-18108000.0,26167000.0,142880000.0,,,352533000.0,,,982954000.0,,,,,,317157000.0,,,-312083000.0,,32296000.0,-603906000.0,66965000.0,
2014-12-31,7216081000.0,,3708901000.0,,2438527000.0,,1270374000.0,-48192000.0,1222182000.0,444000000.0,778182000.0,7.46,7.34,104262000.0,106041000.0,250560000.0,,143900000.0,2554789000.0,-102422000.0,69311000.0,48418000.0,3066978000.0,,2658560000.0,756384000.0,14908000.0,45030000.0,6540301000.0,2417167000.0,189836000.0,,2830556000.0,,85164000.0,,209548000.0,,822473000.0,,2018418000.0,6540301000.0,194205000.0,23095000.0,1487000.0,19271000.0,179742000.0,,,360646000.0,,,1190430000.0,,,,,,429987000.0,,0.0,-423402000.0,,49150000.0,-747786000.0,19242000.0,
2015-03-31,1901903000.0,,986959000.0,,636586000.0,,350373000.0,-12709000.0,337664000.0,124800000.0,212864000.0,2.09,2.06,101612000.0,103257000.0,473646000.0,,162020000.0,2527982000.0,,69545000.0,40928000.0,3274121000.0,,2698848000.0,756384000.0,,43943000.0,6785710000.0,2470749000.0,200888000.0,,2952381000.0,,81330000.0,,211758000.0,,908354000.0,,2143500000.0,6785710000.0,54950000.0,5890000.0,-4441000.0,19867000.0,-26807000.0,,,53582000.0,,,406025000.0,,,,,,91140000.0,,,-89547000.0,,21188000.0,-93392000.0,223086000.0,
2015-06-30,3937421000.0,,2045750000.0,,1309609000.0,,736141000.0,-26269000.0,709872000.0,263500000.0,446372000.0,4.42,4.35,101078000.0,102684000.0,260042000.0,,175289000.0,2560975000.0,,75017000.0,37710000.0,3109033000.0,,2743816000.0,756852000.0,,43135000.0,6668147000.0,2535971000.0,229528000.0,,3006869000.0,,77279000.0,,217146000.0,,726179000.0,,1969985000.0,6668147000.0,106007000.0,11304000.0,-15326000.0,34199000.0,6186000.0,,,118804000.0,,,698453000.0,,,,,,186531000.0,,,-182942000.0,,32947000.0,-506029000.0,9482000.0,
2015-09-30,6017622000.0,,3135004000.0,,1983603000.0,,1151401000.0,-40661000.0,1110740000.0,398100000.0,712640000.0,7.09,6.98,100468000.0,102041000.0,276916000.0,,163889000.0,2606813000.0,,76861000.0,33085000.0,3157564000.0,,2805150000.0,757093000.0,,41194000.0,6775266000.0,2626126000.0,234211000.0,,3103912000.0,,72197000.0,,200076000.0,,732742000.0,,2002086000.0,6775266000.0,158065000.0,16656000.0,-22780000.0,24511000.0,52024000.0,,,208959000.0,,,1062722000.0,,,,,,296474000.0,,,-291249000.0,,50759000.0,-745117000.0,26356000.0,
2015-12-31,7966674000.0,,4162643000.0,,2648622000.0,,1514021000.0,-53655000.0,1460366000.0,529150000.0,931216000.0,9.32,9.17,99965000.0,101514000.0,116301000.0,,161078000.0,2631015000.0,,72609000.0,29023000.0,3010026000.0,,2861556000.0,757142000.0,12402000.0,34741000.0,6676684000.0,2608231000.0,232678000.0,,3046398000.0,,79772000.0,,199182000.0,,678840000.0,,1961314000.0,6676684000.0,210256000.0,21899000.0,-22650000.0,23858000.0,76226000.0,,,191064000.0,,,1281476000.0,,,,,,414020000.0,,,-407188000.0,,63078000.0,-1008547000.0,-134259000.0,
2016-03-31,2096150000.0,,1097579000.0,,678953000.0,,418626000.0,-13052000.0,405574000.0,150200000.0,255374000.0,2.63,2.59,97140000.0,98537000.0,716008000.0,,178282000.0,2701760000.0,,68486000.0,36927000.0,3701463000.0,,2913927000.0,757130000.0,,35081000.0,7419773000.0,2782609000.0,231661000.0,,3315677000.0,,76450000.0,,201928000.0,,637817000.0,,1939841000.0,7419773000.0,52778000.0,5178000.0,-3322000.0,19206000.0,70745000.0,,,174378000.0,,,488155000.0,,,,,,103974000.0,,,-102063000.0,,14762000.0,213615000.0,599707000.0,
2016-06-30,4272839000.0,,2224758000.0,,1381071000.0,,843687000.0,-29319000.0,814368000.0,301200000.0,513168000.0,5.31,5.24,96554000.0,97911000.0,398259000.0,,186192000.0,2741030000.0,,78824000.0,33828000.0,3438133000.0,,2979240000.0,757130000.0,,36137000.0,7210640000.0,2914641000.0,258295000.0,,3366675000.0,,72961000.0,,194670000.0,,379620000.0,,1690010000.0,7210640000.0,106430000.0,9853000.0,-6811000.0,28837000.0,110015000.0,,,306410000.0,,,798393000.0,,,,,,220416000.0,,,-217398000.0,,30136000.0,-299037000.0,281958000.0,
2016-09-30,6493794000.0,,3394784000.0,,2103288000.0,,1291496000.0,-45235000.0,1246261000.0,454600000.0,791661000.0,8.25,8.14,95994000.0,97309000.0,560320000.0,,190908000.0,2789892000.0,,96615000.0,32029000.0,3669764000.0,,3058684000.0,757251000.0,,36641000.0,7522340000.0,2999080000.0,253517000.0,,3465428000.0,,84211000.0,,185437000.0,,560304000.0,,1900763000.0,7522340000.0,161447000.0,14371000.0,4439000.0,35312000.0,158877000.0,,,390849000.0,,,1168018000.0,,,,,,356234000.0,,,-352698000.0,,46034000.0,-371301000.0,444019000.0,
2016-12-31,8593096000.0,,4509011000.0,,2809805000.0,,1699206000.0,-62015000.0,1637191000.0,599500000.0,1037691000.0,10.87,10.73,95447000.0,96720000.0,146598000.0,,197274000.0,2778976000.0,,82105000.0,53022000.0,3257975000.0,,3123431000.0,785399000.0,11329000.0,37384000.0,7204189000.0,2936656000.0,249901000.0,,3400649000.0,,90166000.0,,199219000.0,,289500000.0,,1627136000.0,7204189000.0,217866000.0,18859000.0,10394000.0,38548000.0,119270000.0,,,322427000.0,,,1454167000.0,,,,,,476344000.0,,58918000.0,-529096000.0,,55994000.0,-894774000.0,30297000.0,
2017-03-31,2156259000.0,,1131147000.0,,727990000.0,,403157000.0,-17933000.0,385224000.0,120290000.0,264934000.0,2.88,2.83,92001000.0,93495000.0,27539000.0,,195651000.0,2872646000.0,,71157000.0,38540000.0,3205533000.0,,3174650000.0,785568000.0,,37973000.0,7203724000.0,2987996000.0,232805000.0,,3505763000.0,,92610000.0,,205216000.0,,90267000.0,,1422596000.0,7203724000.0,57008000.0,5428000.0,2611000.0,-219000.0,93167000.0,,,51230000.0,,,376700000.0,,,,,,110632000.0,,636000.0,-111023000.0,,,-384736000.0,-119059000.0,
2017-06-30,4447088000.0,,2331209000.0,,1470607000.0,,860602000.0,-39052000.0,821550000.0,273795000.0,547755000.0,6.02,5.93,91012000.0,92347000.0,26528000.0,,203673000.0,2959315000.0,,61876000.0,38197000.0,3289589000.0,,3229398000.0,786938000.0,,39773000.0,7345698000.0,3091888000.0,242607000.0,,3566133000.0,,98048000.0,,208143000.0,,-428242000.0,,869312000.0,7345698000.0,114959000.0,10353000.0,8049000.0,10797000.0,179866000.0,,,155124000.0,,,710507000.0,,,,,,227506000.0,,1967000.0,-228721000.0,,,-601856000.0,-120070000.0,
