Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2020-03-31,2966000000.0,,,38000000.0,465000000.0,2572000000.0,329000000.0,,327000000.0,125000000.0,165000000.0,,,433100000.0,,1207000000.0,,2888000000.0,599000000.0,,,329000000.0,5514000000.0,,688000000.0,1608000000.0,462000000.0,289000000.0,9524000000.0,1102000000.0,1645000000.0,2541000000.0,5355000000.0,,,,303000000.0,13713000000.0,,-862000000.0,,9524000000.0,43000000.0,11000000.0,16000000.0,116000000.0,49000000.0,,85000000.0,,,,159000000.0,,,,,5000000.0,39000000.0,,-3000000.0,-92000000.0,,,-256000000.0,-239000000.0,
2020-06-30,5995000000.0,,,75000000.0,906000000.0,5188000000.0,745000000.0,,701000000.0,234000000.0,389000000.0,0.9,0.9,433100000.0,434100000.0,1912000000.0,,2865000000.0,629000000.0,,,502000000.0,6392000000.0,,704000000.0,1639000000.0,458000000.0,291000000.0,10441000000.0,1349000000.0,1917000000.0,2463000000.0,5762000000.0,,,,590000000.0,14017000000.0,-3418000000.0,-843000000.0,-4242000000.0,10441000000.0,92000000.0,27000000.0,-21000000.0,59000000.0,71000000.0,,67000000.0,,,,823000000.0,,,,,16000000.0,75000000.0,,0.0,-142000000.0,,,-180000000.0,468000000.0,
2020-09-30,9263000000.0,,,112000000.0,1387000000.0,7995000000.0,1199000000.0,,1114000000.0,337000000.0,655000000.0,1.51,1.51,433200000.0,435100000.0,1733000000.0,,2958000000.0,667000000.0,,,432000000.0,6271000000.0,,721000000.0,1700000000.0,489000000.0,288000000.0,10473000000.0,1392000000.0,1858000000.0,2503000000.0,6291000000.0,,,,629000000.0,13856000000.0,-3241000000.0,-819000000.0,-4024000000.0,10473000000.0,140000000.0,44000000.0,-51000000.0,79000000.0,101000000.0,,-57000000.0,19000000.0,,,1171000000.0,,,,,50000000.0,112000000.0,,13000000.0,-289000000.0,,,-589000000.0,293000000.0,
2020-12-31,12756000000.0,,,152000000.0,1924000000.0,11053000000.0,1639000000.0,,1511000000.0,455000000.0,906000000.0,2.09,2.08,433200000.0,434600000.0,1782000000.0,,3148000000.0,659000000.0,642000000.0,,446000000.0,6493000000.0,,774000000.0,1773000000.0,484000000.0,310000000.0,10710000000.0,1453000000.0,1977000000.0,2542000000.0,6673000000.0,,,,634000000.0,13911000000.0,-3076000000.0,-815000000.0,-3832000000.0,10710000000.0,191000000.0,63000000.0,-51000000.0,163000000.0,76000000.0,,-28000000.0,20000000.0,,,1480000000.0,,,,,53000000.0,183000000.0,,-3000000.0,-353000000.0,,,-844000000.0,342000000.0,561000000.0
2021-03-31,3408000000.0,,,35000000.0,482000000.0,2906000000.0,509000000.0,,475000000.0,123000000.0,308000000.0,0.71,0.71,431600000.0,433700000.0,1725000000.0,,3124000000.0,686000000.0,,,379000000.0,6346000000.0,,765000000.0,1727000000.0,448000000.0,330000000.0,10505000000.0,1459000000.0,1769000000.0,2826000000.0,6395000000.0,,,,638000000.0,13791000000.0,-2855000000.0,-823000000.0,-3910000000.0,10505000000.0,51000000.0,14000000.0,-28000000.0,14000000.0,39000000.0,,-61000000.0,29000000.0,,,585000000.0,,,,,24000000.0,44000000.0,,-28000000.0,-50000000.0,,,-574000000.0,-56000000.0,
2021-06-30,7109000000.0,,,74000000.0,966000000.0,6055000000.0,1070000000.0,,1007000000.0,276000000.0,634000000.0,1.48,1.47,429800000.0,432700000.0,1923000000.0,,3194000000.0,673000000.0,,,399000000.0,6681000000.0,,781000000.0,1742000000.0,458000000.0,290000000.0,10857000000.0,1569000000.0,1989000000.0,2815000000.0,6716000000.0,,,,624000000.0,14111000000.0,-2633000000.0,-803000000.0,-3856000000.0,10857000000.0,102000000.0,31000000.0,-39000000.0,54000000.0,17000000.0,,-55000000.0,124000000.0,,,1118000000.0,,,,,51000000.0,84000000.0,,-11000000.0,-67000000.0,,,-916000000.0,143000000.0,
2021-09-30,10729000000.0,,,113000000.0,1445000000.0,9133000000.0,1612000000.0,,1514000000.0,404000000.0,965000000.0,2.25,2.23,428500000.0,432000000.0,1553000000.0,,3217000000.0,628000000.0,,,441000000.0,6375000000.0,,775000000.0,1702000000.0,434000000.0,281000000.0,10472000000.0,1662000000.0,1905000000.0,2758000000.0,6363000000.0,,,,611000000.0,13705000000.0,-2404000000.0,-827000000.0,-3854000000.0,10472000000.0,152000000.0,48000000.0,-72000000.0,107000000.0,-18000000.0,,-12000000.0,230000000.0,,,1473000000.0,,,,,59000000.0,115000000.0,,-30000000.0,-69000000.0,,,-1621000000.0,-228000000.0,
2021-12-31,14298000000.0,,,159000000.0,1948000000.0,12212000000.0,2108000000.0,,1961000000.0,541000000.0,1246000000.0,2.91,2.89,427700000.0,431400000.0,1565000000.0,,3232000000.0,622000000.0,647000000.0,,382000000.0,8261000000.0,,774000000.0,1667000000.0,419000000.0,297000000.0,12279000000.0,1556000000.0,1993000000.0,2674000000.0,6247000000.0,,,,606000000.0,15263000000.0,-2256000000.0,-763000000.0,-3625000000.0,12279000000.0,203000000.0,65000000.0,-92000000.0,152000000.0,-14000000.0,,-43000000.0,130000000.0,,,1750000000.0,,,,,80000000.0,156000000.0,,-34000000.0,-89000000.0,,,58000000.0,1676000000.0,552000000.0
2022-03-31,3414000000.0,,,37000000.0,459000000.0,2904000000.0,526000000.0,,489000000.0,136000000.0,311000000.0,0.73,0.73,424200000.0,427700000.0,1235000000.0,,3262000000.0,626000000.0,,,342000000.0,7844000000.0,,757000000.0,1636000000.0,397000000.0,308000000.0,11795000000.0,1507000000.0,1754000000.0,2930000000.0,6242000000.0,,,,606000000.0,14736000000.0,-3529000000.0,-696000000.0,-5029000000.0,11795000000.0,48000000.0,13000000.0,17000000.0,51000000.0,14000000.0,,-56000000.0,-36000000.0,,,504000000.0,,,,,8000000.0,30000000.0,,0.0,-17000000.0,,,-823000000.0,-399000000.0,
2022-06-30,6902000000.0,,,75000000.0,898000000.0,5886000000.0,1013000000.0,,940000000.0,239000000.0,632000000.0,1.49,1.48,422800000.0,425900000.0,1218000000.0,,3189000000.0,596000000.0,,,527000000.0,6150000000.0,,724000000.0,1550000000.0,385000000.0,286000000.0,9913000000.0,1616000000.0,1903000000.0,2738000000.0,6338000000.0,,,,584000000.0,14665000000.0,-3245000000.0,-748000000.0,-4997000000.0,9913000000.0,97000000.0,28000000.0,6000000.0,104000000.0,39000000.0,,0.0,135000000.0,,,857000000.0,,,,,28000000.0,57000000.0,,-4000000.0,-10000000.0,,,-2937000000.0,-2212000000.0,
