Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2014-06-30,70291000.0,13287000.0,,1819000.0,50769000.0,64056000.0,,,-1037000.0,-444000.0,-593000.0,0.01,0.01,50284362.0,50331002.0,13968000.0,,906000.0,519000.0,3470000.0,,,336492000.0,,45358000.0,51889000.0,,,440195000.0,2620000.0,,1941000.0,329398000.0,13350000.0,3081000.0,,,,467000.0,,67838000.0,440195000.0,,274000.0,,-799000.0,-59000.0,,,-2400000.0,2719000.0,,5893000.0,,,,,,9278000.0,,,130873000.0,,,-136160000.0,606000.0,
2014-09-30,106889000.0,19723000.0,,2878000.0,76253000.0,95976000.0,,,5185000.0,2028000.0,3157000.0,0.06,0.06,51056462.0,52978051.0,18473000.0,,1468000.0,384000.0,2422000.0,,,418331000.0,,46642000.0,51889000.0,,,522956000.0,1976000.0,,2186000.0,407892000.0,15048000.0,3059000.0,,,,3157000.0,,70616000.0,522956000.0,,362000.0,,-237000.0,-195000.0,,,-3044000.0,4662000.0,,13301000.0,,,,,,11948000.0,,,50199000.0,,,-58389000.0,5111000.0,
2014-12-31,150929000.0,27318000.0,,4325000.0,107911000.0,135229000.0,,,9656000.0,3993000.0,5663000.0,0.11,0.11,49784154.0,51857309.0,25144000.0,,2794000.0,195000.0,1445000.0,,,693393000.0,,47919000.0,51889000.0,,,798942000.0,3042000.0,,2535000.0,678772000.0,16802000.0,3107000.0,,,,5663000.0,,74138000.0,798942000.0,7162000.0,712000.0,2275000.0,1089000.0,-267000.0,,,-2386000.0,6765000.0,,22337000.0,,,,,,14270000.0,,,-219050000.0,,,208495000.0,11782000.0,2013000.0
2015-03-31,55222000.0,8281000.0,,1867000.0,36403000.0,44684000.0,10538000.0,,10239000.0,4244000.0,,0.11,0.11,54749951.0,56562661.0,35673000.0,,1684000.0,718000.0,869000.0,,,633551000.0,,48692000.0,51889000.0,,,739589000.0,2527000.0,,2662000.0,613004000.0,18114000.0,2430000.0,,,,11658000.0,,,739589000.0,2133000.0,254000.0,,-1110000.0,523000.0,,,-515000.0,1439000.0,,13136000.0,,,,,,2502000.0,,,66863000.0,,,-69470000.0,10529000.0,
2015-06-30,104195000.0,16302000.0,,3774000.0,66547000.0,82849000.0,21346000.0,,20674000.0,8733000.0,11941000.0,0.21,0.21,57038021.0,58369083.0,42667000.0,,2562000.0,326000.0,373000.0,,,591947000.0,,50115000.0,51889000.0,,,699182000.0,2968000.0,,2958000.0,565495000.0,20077000.0,1805000.0,,,,17604000.0,,86370000.0,699182000.0,4420000.0,289000.0,,-242000.0,131000.0,,,-970000.0,3698000.0,,22779000.0,,,,,,4922000.0,,,113199000.0,,,-118455000.0,17523000.0,
2015-09-30,159535000.0,25211000.0,,6123000.0,106123000.0,131334000.0,28201000.0,,27284000.0,11496000.0,15788000.0,0.28,0.27,57050684.0,58367830.0,48547000.0,,3397000.0,639000.0,316000.0,,,671220000.0,,53674000.0,51889000.0,,,781582000.0,3853000.0,,3329000.0,641576000.0,22657000.0,464000.0,,,,21451000.0,,91679000.0,781582000.0,6822000.0,1721000.0,,592000.0,-245000.0,,,-850000.0,6649000.0,,34129000.0,,,,,,10150000.0,,,34883000.0,,,-45609000.0,23403000.0,
2015-12-31,224653000.0,35473000.0,,8627000.0,154745000.0,190218000.0,34435000.0,,33525000.0,12580000.0,20945000.0,0.37,0.36,56495170.0,57919700.0,50714000.0,,2354000.0,1093000.0,,,,761138000.0,,58858000.0,51889000.0,,,876773000.0,4899000.0,,3726000.0,727534000.0,25310000.0,641000.0,,,,26608000.0,,98314000.0,876773000.0,9421000.0,3010000.0,-1020000.0,-440000.0,224000.0,,,-431000.0,9699000.0,,42972000.0,,,,,,16549000.0,,,-52324000.0,,,34922000.0,25570000.0,19205000.0
2016-03-31,90126000.0,11971000.0,,3860000.0,49451000.0,61422000.0,28704000.0,,28427000.0,9839000.0,18588000.0,0.32,0.31,57132909.0,58362040.0,72075000.0,,2580000.0,736000.0,,,,1205803000.0,,66990000.0,51889000.0,,,1331632000.0,5694000.0,,3994000.0,1161793000.0,26825000.0,,,,,45196000.0,,118364000.0,1331632000.0,2909000.0,1223000.0,,226000.0,-423000.0,,,-1170000.0,1783000.0,,29948000.0,,,,,,8363000.0,,,-437279000.0,,,428692000.0,21361000.0,
2016-06-30,164006000.0,23836000.0,,8062000.0,95462000.0,119298000.0,44708000.0,,44377000.0,15368000.0,29009000.0,0.5,0.49,57591556.0,58707213.0,80893000.0,,2775000.0,441000.0,,,,1122559000.0,,76627000.0,51889000.0,,,1258983000.0,5530000.0,,4389000.0,1072497000.0,29322000.0,,,,,55617000.0,,128815000.0,1258983000.0,6118000.0,4817000.0,,421000.0,-652000.0,,,2619000.0,4675000.0,,54554000.0,,,,,,24340000.0,,,-361951000.0,,,337576000.0,30179000.0,
2016-09-30,241331000.0,38584000.0,,14294000.0,157457000.0,196041000.0,45290000.0,,44494000.0,9287000.0,35207000.0,0.61,0.59,57819734.0,58907281.0,74496000.0,,1479000.0,355000.0,,,,677678000.0,,87285000.0,51889000.0,,,820995000.0,4850000.0,,4821000.0,628894000.0,32064000.0,,,,,61815000.0,,131037000.0,820995000.0,9671000.0,18742000.0,,-875000.0,-963000.0,,,-3658000.0,7849000.0,,74435000.0,,,,,,32130000.0,,,71532000.0,,,-122185000.0,23782000.0,
2016-12-31,329141000.0,54066000.0,,20966000.0,217104000.0,271170000.0,57971000.0,,57243000.0,13403000.0,43840000.0,0.76,0.74,57550204.0,58968099.0,60158000.0,,1339000.0,675000.0,,,,925583000.0,,96848000.0,51889000.0,,,1078613000.0,3737000.0,,5230000.0,898894000.0,34481000.0,,,,,70448000.0,,116527000.0,1078613000.0,13632000.0,22471000.0,-1848000.0,-1015000.0,-418000.0,,,-1571000.0,10675000.0,,98953000.0,,,,,,43805000.0,,,-205051000.0,,,115542000.0,9444000.0,9323000.0
2017-03-31,119508000.0,17146000.0,,6797000.0,63697000.0,80843000.0,38665000.0,,38503000.0,12889000.0,25614000.0,0.44,0.43,57307187.0,58525980.0,92915000.0,,1847000.0,499000.0,,,,1051654000.0,,106485000.0,51889000.0,,,1218552000.0,3134000.0,,5611000.0,1005429000.0,36555000.0,,,,,96062000.0,,146179000.0,1218552000.0,4286000.0,3625000.0,,508000.0,-176000.0,,,-1349000.0,2455000.0,,40225000.0,,,,,,9136000.0,,,-101872000.0,,,94404000.0,32757000.0,
2017-06-30,217735000.0,35022000.0,,14892000.0,134959000.0,169981000.0,47754000.0,,47460000.0,7625000.0,39835000.0,0.69,0.67,57898914.0,58817181.0,68117000.0,,1803000.0,520000.0,,,,866739000.0,,116957000.0,51889000.0,,,1045943000.0,3439000.0,,6040000.0,828452000.0,38964000.0,,,,,110283000.0,,145048000.0,1045943000.0,8993000.0,17524000.0,,464000.0,-434000.0,,,-319000.0,5293000.0,,55293000.0,,,,,,21909000.0,,,49320000.0,,,-96654000.0,7959000.0,
2017-09-30,319022000.0,52848000.0,,23004000.0,206983000.0,259831000.0,59191000.0,,58795000.0,4893000.0,53902000.0,0.93,0.91,58003222.0,58873502.0,66610000.0,,1444000.0,750000.0,,,,876490000.0,,133765000.0,51889000.0,,,1069936000.0,2505000.0,,6526000.0,837612000.0,41841000.0,,,,,124350000.0,,157265000.0,1069936000.0,13898000.0,31757000.0,,105000.0,75000.0,,,-1463000.0,8656000.0,,92420000.0,,,,,,42926000.0,,,22584000.0,,,-108552000.0,6452000.0,
2017-12-31,433047000.0,72028000.0,,30430000.0,282394000.0,354422000.0,78625000.0,,76647000.0,9840000.0,66807000.0,1.15,1.13,57839155.0,58790019.0,46077000.0,,1576000.0,979000.0,,,,1149862000.0,,147705000.0,51889000.0,,,1355164000.0,6490000.0,,6982000.0,1140152000.0,44642000.0,,,,,137255000.0,,135402000.0,1355164000.0,19395000.0,38542000.0,-2087000.0,237000.0,-462000.0,,,79000.0,11913000.0,,130600000.0,,,,,,59389000.0,,,-290346000.0,,,145665000.0,-14081000.0,18332000.0
2018-03-31,153916000.0,23605000.0,,11250000.0,79291000.0,102896000.0,51020000.0,,52050000.0,10890000.0,41160000.0,0.71,0.7,57793023.0,58738732.0,68121000.0,,2350000.0,420000.0,,,,1205019000.0,,159561000.0,51889000.0,,,1608130000.0,3421000.0,,7358000.0,1141342000.0,46419000.0,53401000.0,,,,299685000.0,,333033000.0,1608130000.0,6069000.0,23222000.0,,774000.0,193000.0,,,-710000.0,2153000.0,,57664000.0,,,,,,18708000.0,,,-24667000.0,,,-10953000.0,22044000.0,
2018-06-30,282716000.0,44536000.0,,21981000.0,144123000.0,188659000.0,94057000.0,,95568000.0,18686000.0,76882000.0,1.33,1.31,57837312.0,58766903.0,54630000.0,,2414000.0,477000.0,,,,1002032000.0,,165370000.0,51889000.0,,,1418965000.0,4995000.0,,7867000.0,947056000.0,49322000.0,59363000.0,,,,335407000.0,,329738000.0,1418965000.0,12782000.0,26921000.0,,838000.0,-57000.0,,,593000.0,5565000.0,,100357000.0,,,,,,31873000.0,,,157041000.0,,,-248845000.0,8553000.0,
2018-09-30,416004000.0,66661000.0,,33507000.0,219041000.0,285702000.0,130302000.0,,132012000.0,26361000.0,105651000.0,1.83,1.8,57785466.0,58724228.0,85048000.0,,2213000.0,574000.0,,,,1037534000.0,,168397000.0,51889000.0,,,1468186000.0,6173000.0,,8409000.0,958149000.0,52405000.0,64206000.0,,,,364176000.0,,360377000.0,1468186000.0,20910000.0,31508000.0,,637000.0,56000.0,,,1789000.0,9190000.0,,145849000.0,,,,,,44264000.0,,,143050000.0,,,-249928000.0,38971000.0,
2018-12-31,566336000.0,90763000.0,,46247000.0,301858000.0,392621000.0,173715000.0,,174711000.0,37646000.0,137065000.0,2.37,2.34,57711315.0,58582486.0,45718000.0,,3414000.0,797000.0,,,,1064622000.0,,176962000.0,51889000.0,,,1521926000.0,6288000.0,,8980000.0,1028682000.0,55671000.0,70206000.0,,,1187173000.0,395590000.0,,334753000.0,1521926000.0,29657000.0,36576000.0,21077000.0,1838000.0,306000.0,,,1079000.0,13027000.0,,184817000.0,,,,,,59906000.0,,,62620000.0,,,-247796000.0,-359000.0,13511000.0
2019-03-31,199943000.0,29318000.0,,18489000.0,108137000.0,137455000.0,62488000.0,,62112000.0,14830000.0,47282000.0,0.82,0.81,57357490.0,58316154.0,91307000.0,,3835000.0,910000.0,,,,1549484000.0,,187511000.0,51900000.0,,26809000.0,2062828000.0,4081000.0,,9672000.0,1483710000.0,57839000.0,73928000.0,,16619000.0,1664275000.0,442872000.0,,398553000.0,2062828000.0,9347000.0,31071000.0,,421000.0,11000.0,,702000.0,-1251000.0,2860000.0,,80426000.0,,,,,,14889000.0,,,-452402000.0,,,417565000.0,45589000.0,
2019-06-30,369256000.0,54557000.0,,35264000.0,199325000.0,253882000.0,115374000.0,,114477000.0,18433000.0,96044000.0,1.67,1.64,57569000.0,58410000.0,94814000.0,,2850000.0,767000.0,,,,1287986000.0,,196371000.0,51900000.0,,30705000.0,1826192000.0,3622000.0,,10082000.0,1201278000.0,59922000.0,79642000.0,,18861000.0,1391430000.0,491634000.0,,434762000.0,1826192000.0,19675000.0,36668000.0,,-564000.0,248000.0,,2479000.0,-1284000.0,5353000.0,,122768000.0,,,,,,34705000.0,,,-46930000.0,,,119688000.0,,
2019-09-30,544262000.0,80949000.0,,54869000.0,297383000.0,378332000.0,165930000.0,,164968000.0,29772000.0,135196000.0,2.35,2.31,57654000.0,58403000.0,108127000.0,,2609000.0,700000.0,,,,1012975000.0,,224035000.0,51900000.0,,30345000.0,1592027000.0,4693000.0,,10634000.0,918478000.0,62731000.0,85921000.0,,18706000.0,1117129000.0,530786000.0,,474898000.0,1592027000.0,30644000.0,41122000.0,,-805000.0,181000.0,,2367000.0,-970000.0,8714000.0,,176419000.0,,,,,,71080000.0,,,-78148000.0,,,-175445000.0,,
2019-12-31,737671000.0,109747000.0,,73080000.0,401700000.0,511447000.0,226224000.0,,226087000.0,45511000.0,180576000.0,3.14,3.09,57561000.0,58395000.0,133667000.0,,9298000.0,1158000.0,,,,1871100000.0,,238458000.0,51900000.0,,33336000.0,2486917000.0,5051000.0,,11105000.0,1753522000.0,65139000.0,91217000.0,,19553000.0,1960289000.0,576166000.0,,526628000.0,2486917000.0,42211000.0,47268000.0,21011000.0,5884000.0,403000.0,,3555000.0,-221000.0,11593000.0,,224263000.0,,,,,,92934000.0,,,-219545000.0,,,650672000.0,,24566000.0
2020-03-31,242368000.0,30046000.0,,21621000.0,123058000.0,153104000.0,89264000.0,,88318000.0,25303000.0,63015000.0,1.09,1.08,57655000.0,58440000.0,181827000.0,,8059000.0,930000.0,,,,1651561000.0,,254423000.0,51900000.0,,35084000.0,2309725000.0,5694000.0,,11660000.0,1497915000.0,66795000.0,92609000.0,,22195000.0,1709937000.0,639181000.0,,599788000.0,2309725000.0,12215000.0,15811000.0,,-1239000.0,-254000.0,,1801000.0,408000.0,2211000.0,,82030000.0,,,,,,25726000.0,,,-183629000.0,,,-279011000.0,,
2020-06-30,423955000.0,59604000.0,,43399000.0,248511000.0,308115000.0,115840000.0,,115053000.0,23449000.0,91604000.0,1.59,1.57,57611000.0,58363000.0,113518000.0,,9295000.0,1376000.0,,,,1240058000.0,,266831000.0,51900000.0,,34342000.0,1921500000.0,3667000.0,,12273000.0,1117251000.0,68614000.0,,,21257000.0,1335647000.0,667770000.0,,585853000.0,1921500000.0,25290000.0,37029000.0,,-3000.0,433000.0,,1113000.0,-1017000.0,4643000.0,,107512000.0,,,,,,52458000.0,,,-189993000.0,,,-705420000.0,,
2020-09-30,620487000.0,90516000.0,,65171000.0,380095000.0,470611000.0,149876000.0,,149335000.0,30249000.0,119086000.0,2.07,2.04,57609000.0,58312000.0,156398000.0,,12355000.0,924000.0,,,,1778316000.0,,275624000.0,51900000.0,,36934000.0,2485199000.0,9237000.0,,13887000.0,1627801000.0,71500000.0,,,21524000.0,1852800000.0,695252000.0,,632399000.0,2485199000.0,39073000.0,56531000.0,,3057000.0,-32000.0,,3757000.0,4491000.0,9143000.0,,174328000.0,,,,,,73502000.0,,,-197767000.0,,,-219891000.0,,
2020-12-31,841434000.0,123546000.0,,90244000.0,531765000.0,655311000.0,186123000.0,,185936000.0,42483000.0,143453000.0,2.49,2.46,57620000.0,58285000.0,151710000.0,,9130000.0,1151000.0,,,,1864605000.0,,285218000.0,51900000.0,,34843000.0,2607912000.0,6787000.0,,13567000.0,1718030000.0,73259000.0,,,19263000.0,1952269000.0,719619000.0,,655643000.0,2607912000.0,53373000.0,90108000.0,21381000.0,-168000.0,41000.0,,1720000.0,1529000.0,10582000.0,,227207000.0,,,,,,94102000.0,,,-117877000.0,,,-165909000.0,,27530000.0
2021-03-31,272198000.0,36273000.0,,24711000.0,141379000.0,177652000.0,94546000.0,,95175000.0,30559000.0,64616000.0,1.12,1.11,57740000.0,58394000.0,215093000.0,,19792000.0,1088000.0,,,,2624207000.0,,301579000.0,51889000.0,,34231000.0,3406773000.0,12133000.0,,14191000.0,2425574000.0,74802000.0,,,16901000.0,2661297000.0,784235000.0,,745476000.0,3406773000.0,14916000.0,23581000.0,,10662000.0,125000.0,,-559000.0,803000.0,2167000.0,,89457000.0,,,,,,25330000.0,,,7455000.0,,,685369000.0,,
