Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-02-28,1504609000.0,,,,462926000.0,953428000.0,551181000.0,,554413000.0,192936000.0,361477000.0,1.0,1.0,361417000.0,361860000.0,279261000.0,115765000.0,159131000.0,,23221000.0,,25035000.0,4716531000.0,294088000.0,264273000.0,421559000.0,68085000.0,3772000.0,5788031000.0,35081000.0,41314000.0,3792000.0,4312423000.0,,5786000.0,27305000.0,45397000.0,4390911000.0,852936000.0,48562000.0,1397120000.0,5788031000.0,,19121000.0,-24862000.0,18050000.0,,,,,,,503016000.0,1267658000.0,,,,,41444000.0,,,-950856000.0,,,254332000.0,-193508000.0,
2010-05-31,2000820000.0,,,,622440000.0,1276025000.0,724795000.0,,729308000.0,252309000.0,476999000.0,1.32,1.32,361359000.0,361728000.0,284316000.0,82496000.0,186587000.0,,3799000.0,,25540000.0,4159117000.0,290106000.0,267583000.0,421559000.0,63262000.0,3592000.0,5226299000.0,37305000.0,41225000.0,3447000.0,3742178000.0,,7803000.0,27468000.0,46871000.0,3824320000.0,856290000.0,42409000.0,1401979000.0,5226299000.0,,25580000.0,-3856000.0,10190000.0,,,,,,,610923000.0,1554950000.0,,,,,61262000.0,,,-401322000.0,,,-398054000.0,-188453000.0,
2010-08-31,518300000.0,,,,157300000.0,317500000.0,200800000.0,,202200000.0,70300000.0,131900000.0,0.36,0.36,361600000.0,362000000.0,272900000.0,177200000.0,208600000.0,,0.0,,28300000.0,3999900000.0,266300000.0,268000000.0,421600000.0,58400000.0,3500000.0,5039000000.0,34400000.0,41400000.0,2900000.0,3520200000.0,,8100000.0,27900000.0,45800000.0,3602000000.0,873000000.0,54200000.0,1437000000.0,5039000000.0,,7100000.0,3600000.0,22200000.0,,,,,,,194300000.0,1958400000.0,,,,,16600000.0,,,172500000.0,,,-378200000.0,-11400000.0,
2010-11-30,1030300000.0,,,,306400000.0,625600000.0,404700000.0,,407600000.0,141800000.0,265800000.0,0.73,0.73,361700000.0,362100000.0,233200000.0,230300000.0,224600000.0,,0.0,,32100000.0,4013900000.0,226400000.0,279500000.0,421600000.0,54200000.0,3800000.0,5022700000.0,33800000.0,38000000.0,2700000.0,3485700000.0,,9200000.0,28100000.0,50200000.0,3573200000.0,894500000.0,39100000.0,1449500000.0,5022700000.0,,13500000.0,9700000.0,39800000.0,,,,,,,319200000.0,3913500000.0,,,,,44100000.0,,,128600000.0,,,-498900000.0,-51100000.0,
2011-02-28,1561600000.0,,,,472200000.0,958000000.0,603600000.0,,608000000.0,211600000.0,396400000.0,1.1,1.09,361800000.0,362600000.0,236000000.0,233700000.0,141600000.0,,12200000.0,,29000000.0,4864800000.0,182600000.0,303700000.0,508600000.0,74500000.0,3600000.0,5962800000.0,35700000.0,39700000.0,3400000.0,4390500000.0,,19700000.0,33200000.0,51200000.0,4494600000.0,913000000.0,29300000.0,1468200000.0,5962800000.0,,18800000.0,7400000.0,-43000000.0,,,,,,,552900000.0,4761400000.0,,,,115300000.0,79000000.0,,,-869300000.0,,,268100000.0,-48300000.0,
2011-05-31,2084300000.0,,,,644300000.0,1297900000.0,786400000.0,,792200000.0,276900000.0,515300000.0,1.42,1.42,361800000.0,362400000.0,119000000.0,345000000.0,161100000.0,,-6700000.0,,29400000.0,4257900000.0,207300000.0,308700000.0,513700000.0,77200000.0,3600000.0,5393800000.0,45400000.0,38600000.0,3000000.0,3788300000.0,,23100000.0,34100000.0,52100000.0,3897600000.0,919500000.0,37500000.0,1496200000.0,5393800000.0,,24800000.0,13600000.0,-23700000.0,,,,,,,715300000.0,6229100000.0,,,,126400000.0,100500000.0,,,-409500000.0,,,-471100000.0,-165300000.0,
2011-08-31,563100000.0,,,,166400000.0,333400000.0,229700000.0,,231200000.0,82300000.0,148900000.0,0.41,0.41,362200000.0,362800000.0,113100000.0,372000000.0,197900000.0,,0.0,,,3833400000.0,232900000.0,310500000.0,513600000.0,71300000.0,3900000.0,4991500000.0,38500000.0,39000000.0,2700000.0,3337100000.0,,31700000.0,,48900000.0,3452200000.0,951500000.0,44200000.0,1539300000.0,4991500000.0,24200000.0,6600000.0,10800000.0,37000000.0,,,,,,,187200000.0,1653500000.0,,,,,20200000.0,,,398000000.0,,,-591100000.0,-5900000.0,
2011-11-30,1108800000.0,,,,329000000.0,661200000.0,447600000.0,,450600000.0,161300000.0,289300000.0,0.8,0.8,362400000.0,362800000.0,96100000.0,315000000.0,221500000.0,,0.0,,,3740000000.0,265200000.0,316000000.0,513600000.0,65700000.0,3800000.0,4932000000.0,54900000.0,36000000.0,2500000.0,3248200000.0,,37100000.0,,53000000.0,3373300000.0,975800000.0,33900000.0,1558700000.0,4932000000.0,48300000.0,11900000.0,22900000.0,60700000.0,,,,,,,297200000.0,4730600000.0,,,,,44100000.0,,,434800000.0,,,-754900000.0,-22900000.0,
2012-02-29,1678300000.0,,,,511000000.0,1020300000.0,658000000.0,,662600000.0,237900000.0,424700000.0,1.17,1.17,362500000.0,363100000.0,146500000.0,356800000.0,135800000.0,,8600000.0,,,4872200000.0,295400000.0,316800000.0,518100000.0,61200000.0,3200000.0,6094900000.0,46000000.0,35000000.0,3400000.0,4372400000.0,,40200000.0,,51500000.0,4499500000.0,995000000.0,43100000.0,1595400000.0,6094900000.0,72900000.0,17600000.0,5200000.0,-24800000.0,,,,,,,562600000.0,7636200000.0,,,,6000000.0,62500000.0,,,-791200000.0,,,256100000.0,27500000.0,
2012-05-31,2229800000.0,,,,695100000.0,1375900000.0,853900000.0,,860300000.0,312300000.0,548000000.0,1.51,1.51,362400000.0,363000000.0,108800000.0,207500000.0,142400000.0,,-23700000.0,,,5075900000.0,473700000.0,324300000.0,517400000.0,55800000.0,3300000.0,6479600000.0,69700000.0,33800000.0,3000000.0,4745700000.0,,40600000.0,,52900000.0,4875100000.0,1002100000.0,37700000.0,1604500000.0,6479600000.0,97800000.0,22900000.0,11700000.0,-17600000.0,,,,,,,706600000.0,10180500000.0,,,,6000000.0,89600000.0,,,-1244300000.0,,,527500000.0,-10200000.0,
