Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,13399000000.0,,,,,,2299000000.0,,1694000000.0,460000000.0,1220000000.0,3.25,3.2,368000000.0,386000000.0,527000000.0,,1609000000.0,114000000.0,,,,5657000000.0,,28892000000.0,,,379000000.0,42945000000.0,984000000.0,349000000.0,,6813000000.0,,4732000000.0,,2116000000.0,,4213000000.0,-160000000.0,10333000000.0,42945000000.0,,,,156000000.0,109000000.0,,-2000000.0,-40000000.0,,13000000.0,3039000000.0,,,,,,-3958000000.0,,19000000.0,-3336000000.0,219000000.0,,605000000.0,308000000.0,359000000.0
2010-03-31,3475000000.0,,,,,,618000000.0,,446000000.0,185000000.0,,0.69,0.67,371000000.0,389000000.0,258000000.0,,1528000000.0,59000000.0,,,,5621000000.0,,29377000000.0,,,415000000.0,43540000000.0,882000000.0,481000000.0,,7780000000.0,,4656000000.0,,2110000000.0,,4302000000.0,-240000000.0,10369000000.0,43540000000.0,,,,114000000.0,59000000.0,,35000000.0,87000000.0,,-381000000.0,395000000.0,,,,,,855000000.0,,-9000000.0,-848000000.0,10000000.0,,184000000.0,-269000000.0,0.0
2010-06-30,6707000000.0,,,,,,1313000000.0,,970000000.0,372000000.0,598000000.0,1.56,1.54,373000000.0,390000000.0,265000000.0,,846000000.0,142000000.0,,,734000000.0,5612000000.0,,29983000000.0,,,466000000.0,44218000000.0,920000000.0,356000000.0,,7619000000.0,,4637000000.0,,2131000000.0,,4457000000.0,-232000000.0,10871000000.0,44218000000.0,,,,-47000000.0,-20000000.0,,28000000.0,7000000.0,,-326000000.0,1373000000.0,,,,,,1786000000.0,,-4000000.0,-1743000000.0,89000000.0,,108000000.0,-262000000.0,36000000.0
2010-09-30,10220000000.0,,,,,,1816000000.0,,1338000000.0,479000000.0,,2.22,2.19,390000000.0,392000000.0,347000000.0,,989000000.0,192000000.0,,,807000000.0,5751000000.0,,30675000000.0,,,524000000.0,45253000000.0,943000000.0,364000000.0,,7184000000.0,,5267000000.0,,2152000000.0,,4535000000.0,-224000000.0,11023000000.0,45253000000.0,,,,-246000000.0,-65000000.0,,28000000.0,17000000.0,,-34000000.0,2320000000.0,,,,,,2794000000.0,,25000000.0,-2797000000.0,141000000.0,,297000000.0,-180000000.0,52000000.0
2010-12-31,13841000000.0,,,,,,2308000000.0,,1660000000.0,547000000.0,,2.86,2.82,382000000.0,392000000.0,291000000.0,,944000000.0,152000000.0,,,193000000.0,5542000000.0,,31449000000.0,,,614000000.0,46025000000.0,1129000000.0,379000000.0,,7185000000.0,,5547000000.0,,2085000000.0,,4606000000.0,-202000000.0,11282000000.0,46025000000.0,,,,44000000.0,43000000.0,,9000000.0,48000000.0,,120000000.0,3206000000.0,,,,,,3802000000.0,,70000000.0,-3857000000.0,303000000.0,,415000000.0,-236000000.0,135000000.0
2011-03-31,3597000000.0,,,,,,484000000.0,,326000000.0,124000000.0,,0.5,0.5,396000000.0,397000000.0,240000000.0,,922000000.0,78000000.0,,,248000000.0,5471000000.0,,31872000000.0,,,641000000.0,46259000000.0,974000000.0,520000000.0,,7772000000.0,,5721000000.0,,2030000000.0,,4624000000.0,-193000000.0,11414000000.0,46259000000.0,,,,-35000000.0,-65000000.0,,,182000000.0,,,1088000000.0,,,,,,945000000.0,,61000000.0,-883000000.0,82000000.0,,-256000000.0,-51000000.0,
2011-06-30,7281000000.0,,,,,,1176000000.0,,868000000.0,300000000.0,568000000.0,1.41,1.41,399000000.0,400000000.0,350000000.0,,894000000.0,143000000.0,,,291000000.0,6122000000.0,,32127000000.0,,,606000000.0,47318000000.0,1103000000.0,426000000.0,,7022000000.0,,5945000000.0,,2068000000.0,,4802000000.0,-184000000.0,11789000000.0,47318000000.0,,,,82000000.0,-1000000.0,,,162000000.0,,,1905000000.0,,,,,,1897000000.0,,44000000.0,-1705000000.0,257000000.0,,-141000000.0,59000000.0,8000000.0
2011-09-30,11141000000.0,,,,,,1584000000.0,,1120000000.0,349000000.0,,1.91,1.9,403000000.0,404000000.0,277000000.0,,1011000000.0,198000000.0,,,331000000.0,5877000000.0,,32832000000.0,,,673000000.0,47517000000.0,1154000000.0,1689000000.0,,6818000000.0,,6212000000.0,,2120000000.0,,4817000000.0,-176000000.0,11959000000.0,47517000000.0,,,,186000000.0,60000000.0,,,93000000.0,,,3232000000.0,,,,,,2968000000.0,,102000000.0,-2930000000.0,391000000.0,,-316000000.0,-14000000.0,8000000.0
2011-12-31,14956000000.0,,,,,,1942000000.0,,1298000000.0,440000000.0,,2.1,2.1,401000000.0,402000000.0,513000000.0,,992000000.0,159000000.0,,,218000000.0,6480000000.0,,33655000000.0,,,682000000.0,49750000000.0,1177000000.0,1836000000.0,,7749000000.0,,6008000000.0,,2136000000.0,,4712000000.0,-213000000.0,12101000000.0,49750000000.0,,,,288000000.0,63000000.0,,,65000000.0,,,3739000000.0,,,,,,4038000000.0,,113000000.0,-3986000000.0,662000000.0,,469000000.0,222000000.0,-42000000.0
2012-03-31,3641000000.0,,,,,,487000000.0,,340000000.0,104000000.0,,0.56,0.56,414000000.0,416000000.0,257000000.0,,926000000.0,97000000.0,,,194000000.0,6166000000.0,,34249000000.0,,,662000000.0,50188000000.0,873000000.0,1769000000.0,,7275000000.0,,6190000000.0,,2133000000.0,,4752000000.0,-203000000.0,12560000000.0,50188000000.0,,,,-221000000.0,-50000000.0,,,-213000000.0,,,931000000.0,,,,,,1094000000.0,,-25000000.0,-1093000000.0,387000000.0,,-94000000.0,-256000000.0,
