Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,12406000000.0,,,,,9285000000.0,3121000000.0,,,1044000000.0,1592000000.0,3.15,3.14,505986000.0,507064000.0,350000000.0,,1229000000.0,,,,83000000.0,3646000000.0,,15440000000.0,16000000.0,123000000.0,233000000.0,28730000000.0,1081000000.0,428000000.0,,3214000000.0,,,,140000000.0,,4704000000.0,-116000000.0,8788000000.0,28730000000.0,838000000.0,,,,,,,,,,1855000000.0,1798000000.0,,1769000000.0,,,1794000000.0,,10000000.0,-792000000.0,0.0,,-1034000000.0,29000000.0,
2010-03-31,3680000000.0,,,,,2746000000.0,934000000.0,,,356000000.0,491000000.0,0.97,0.97,505950000.0,507147000.0,312000000.0,,1492000000.0,,,,105000000.0,3469000000.0,,15683000000.0,16000000.0,133000000.0,214000000.0,28775000000.0,1002000000.0,431000000.0,,2800000000.0,,,,141000000.0,,5022000000.0,-24000000.0,9201000000.0,28775000000.0,232000000.0,,,,,,,,,,1072000000.0,189000000.0,,181000000.0,,,427000000.0,,-11000000.0,-318000000.0,,,-792000000.0,-38000000.0,
2010-09-30,9389000000.0,,,,,7016000000.0,2373000000.0,,,866000000.0,1282000000.0,2.53,2.53,506001000.0,507068000.0,332000000.0,158000000.0,1211000000.0,,,,61000000.0,3671000000.0,,,16000000.0,129000000.0,220000000.0,29104000000.0,992000000.0,336000000.0,,3018000000.0,,,,151000000.0,,5466000000.0,-111000000.0,9557000000.0,29104000000.0,730000000.0,,,,,,,,,,1339000000.0,905000000.0,,886000000.0,,,1517000000.0,,-15000000.0,-1096000000.0,,,-261000000.0,-18000000.0,
2010-12-31,11793000000.0,,,,,8856000000.0,2937000000.0,,,1059000000.0,1564000000.0,3.09,3.08,505985000.0,507045000.0,280000000.0,160000000.0,1387000000.0,,43000000.0,,122000000.0,5051000000.0,,,16000000.0,136000000.0,206000000.0,29909000000.0,1176000000.0,319000000.0,,3485000000.0,,,,152000000.0,,5575000000.0,-156000000.0,9633000000.0,29909000000.0,974000000.0,,1071000000.0,,,,,,,,2164000000.0,1140000000.0,,1116000000.0,,,2160000000.0,,-21000000.0,-1669000000.0,,,-565000000.0,-70000000.0,
2011-03-31,3354000000.0,,,,,2498000000.0,856000000.0,,,329000000.0,526000000.0,1.04,1.04,505979000.0,507132000.0,900000000.0,164000000.0,1419000000.0,,80000000.0,,113000000.0,4466000000.0,,,16000000.0,135000000.0,204000000.0,29370000000.0,1067000000.0,358000000.0,,3483000000.0,,,,82000000.0,,5928000000.0,-187000000.0,9957000000.0,29370000000.0,245000000.0,,,,,,,,,,1042000000.0,331000000.0,,315000000.0,,,497000000.0,,-7000000.0,-155000000.0,,,-267000000.0,620000000.0,
2011-06-30,5823000000.0,,,,,4346000000.0,1477000000.0,,,556000000.0,849000000.0,1.68,1.67,505988000.0,506945000.0,159000000.0,,1128000000.0,,96000000.0,,111000000.0,3786000000.0,,,16000000.0,142000000.0,201000000.0,28789000000.0,1018000000.0,308000000.0,,3530000000.0,,,,82000000.0,,6077000000.0,-179000000.0,10109000000.0,28789000000.0,483000000.0,,,,,,,,,,1395000000.0,676000000.0,,657000000.0,,,1002000000.0,,4000000.0,-673000000.0,,,-843000000.0,-121000000.0,
2011-09-30,8443000000.0,,,,,6410000000.0,2033000000.0,,,757000000.0,1143000000.0,2.26,2.25,505959000.0,506999000.0,1242000000.0,,1164000000.0,,96000000.0,,120000000.0,4970000000.0,,,16000000.0,164000000.0,204000000.0,29911000000.0,1144000000.0,312000000.0,,3692000000.0,,,,77000000.0,,6198000000.0,-256000000.0,10159000000.0,29911000000.0,745000000.0,,,,,,,,,,2409000000.0,1110000000.0,,1088000000.0,,,1479000000.0,,13000000.0,-827000000.0,,,-620000000.0,962000000.0,
2011-12-31,11079000000.0,,,,,8337000000.0,2742000000.0,,,977000000.0,1503000000.0,2.97,2.96,505949000.0,506982000.0,834000000.0,,967000000.0,,0.0,,122000000.0,3911000000.0,,,16000000.0,131000000.0,232000000.0,29821000000.0,1184000000.0,291000000.0,,2957000000.0,,,,86000000.0,,6385000000.0,-337000000.0,10270000000.0,29821000000.0,982000000.0,,,,,,,,,,3557000000.0,1386000000.0,,1355000000.0,,,2083000000.0,,21000000.0,-1269000000.0,,1000000.0,-1734000000.0,554000000.0,
2012-03-31,2875000000.0,,,,,2092000000.0,783000000.0,,,212000000.0,493000000.0,0.97,0.97,506010000.0,507029000.0,931000000.0,,992000000.0,,,,28000000.0,3961000000.0,,,16000000.0,136000000.0,238000000.0,30002000000.0,1030000000.0,345000000.0,,3108000000.0,,,,85000000.0,,6699000000.0,-293000000.0,10624000000.0,30002000000.0,256000000.0,,,,,,,,,,1088000000.0,511000000.0,,499000000.0,,,687000000.0,,7000000.0,-706000000.0,,,-285000000.0,97000000.0,
2012-06-30,4973000000.0,,,,,3757000000.0,1216000000.0,,,358000000.0,704000000.0,1.39,1.39,505956000.0,506999000.0,765000000.0,,896000000.0,,90000000.0,,32000000.0,3940000000.0,,,16000000.0,52000000.0,250000000.0,30142000000.0,898000000.0,323000000.0,,2816000000.0,,,,93000000.0,,6730000000.0,-310000000.0,10644000000.0,30142000000.0,511000000.0,,,,,,,,,,1378000000.0,867000000.0,,850000000.0,,,1280000000.0,,42000000.0,-1339000000.0,,,-108000000.0,-69000000.0,
