Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-26,43232000000.0,20099000000.0,,,15026000000.0,,8044000000.0,,8079000000.0,2100000000.0,5946000000.0,3.81,3.77,,,3943000000.0,,,2618000000.0,,,,12571000000.0,,12671000000.0,6534000000.0,,965000000.0,39848000000.0,,,,8756000000.0,,659000000.0,,5591000000.0,22406000000.0,33805000000.0,-3794000000.0,16908000000.0,39848000000.0,1635000000.0,227000000.0,,,-17000000.0,,,,,,6796000000.0,,,,,,2128000000.0,,,-2401000000.0,,42000000.0,-2497000000.0,1879000000.0,
2010-03-20,9368000000.0,4463000000.0,,,4049000000.0,,840000000.0,,1401000000.0,-33000000.0,1430000000.0,0.9,0.89,,,3949000000.0,,,3283000000.0,,,,15265000000.0,,18850000000.0,13156000000.0,,1142000000.0,64144000000.0,,,,11654000000.0,,4143000000.0,,6607000000.0,42288000000.0,34496000000.0,-3569000000.0,21686000000.0,64144000000.0,376000000.0,47000000.0,,,-309000000.0,,,,,,241000000.0,,,,,2833000000.0,274000000.0,,3000000.0,-4011000000.0,,29000000.0,3921000000.0,6000000.0,
2010-06-12,24169000000.0,11208000000.0,,,9612000000.0,,3301000000.0,,3701000000.0,687000000.0,3033000000.0,1.9,1.87,,,4529000000.0,,,3530000000.0,,,,16743000000.0,,18396000000.0,13605000000.0,,1081000000.0,65074000000.0,,,,14572000000.0,,4159000000.0,,6843000000.0,45160000000.0,35328000000.0,-4226000000.0,19732000000.0,65074000000.0,969000000.0,119000000.0,,,-40000000.0,,,,,,2442000000.0,,,,,2833000000.0,968000000.0,,10000000.0,-4745000000.0,,47000000.0,3116000000.0,586000000.0,
2010-09-04,39683000000.0,18216000000.0,,,15288000000.0,,6101000000.0,,6360000000.0,1383000000.0,4955000000.0,3.11,3.06,1593000000.0,1618000000.0,5577000000.0,,,3359000000.0,,,,17901000000.0,,18534000000.0,13905000000.0,,1199000000.0,66702000000.0,,,,17117000000.0,,3865000000.0,,7039000000.0,46466000000.0,36487000000.0,-4358000000.0,20045000000.0,66702000000.0,1580000000.0,191000000.0,,,-224000000.0,,,,,,5788000000.0,,,,,2833000000.0,1670000000.0,,12000000.0,-5444000000.0,,73000000.0,1490000000.0,1634000000.0,
2010-12-25,57838000000.0,26575000000.0,,488000000.0,22814000000.0,,8332000000.0,,8232000000.0,1894000000.0,6320000000.0,3.97,3.91,1590000000.0,1614000000.0,5943000000.0,,,3372000000.0,3503000000.0,,,17569000000.0,,19058000000.0,14661000000.0,,1689000000.0,68153000000.0,3865000000.0,2672000000.0,,15892000000.0,,4057000000.0,,6729000000.0,46677000000.0,37090000000.0,-3630000000.0,21273000000.0,68153000000.0,2327000000.0,299000000.0,97000000.0,,-276000000.0,,,,,,8448000000.0,,,,,2833000000.0,3253000000.0,,17000000.0,-7668000000.0,,-107000000.0,1386000000.0,2000000000.0,1495000000.0
2011-03-19,11937000000.0,5447000000.0,,,4739000000.0,,1726000000.0,,1563000000.0,419000000.0,1143000000.0,0.72,0.71,1583000000.0,1605000000.0,3662000000.0,,,3831000000.0,,,,16512000000.0,,20329000000.0,15824000000.0,,1117000000.0,73085000000.0,,,,16840000000.0,,4972000000.0,,6657000000.0,49411000000.0,37466000000.0,-3035000000.0,22096000000.0,73085000000.0,523000000.0,72000000.0,,,77000000.0,,,,,,380000000.0,,,,,,433000000.0,,1000000.0,-2979000000.0,,24000000.0,226000000.0,-2281000000.0,
2011-06-11,28764000000.0,13410000000.0,,,10809000000.0,,4480000000.0,,4138000000.0,1089000000.0,3028000000.0,1.91,1.89,1583000000.0,1605000000.0,2913000000.0,,,4539000000.0,,,,17917000000.0,,20854000000.0,16299000000.0,,1133000000.0,75680000000.0,,,,18057000000.0,,4977000000.0,,6669000000.0,51310000000.0,38527000000.0,-2254000000.0,24065000000.0,75680000000.0,1187000000.0,146000000.0,,,742000000.0,,,,,,2353000000.0,,,,,,1231000000.0,,2000000.0,-3852000000.0,,52000000.0,-1699000000.0,-3030000000.0,
2011-09-03,46346000000.0,21862000000.0,,,16995000000.0,,7386000000.0,,6835000000.0,1775000000.0,5028000000.0,3.18,3.14,1581000000.0,1603000000.0,3083000000.0,,,4205000000.0,,,,17834000000.0,,20737000000.0,16272000000.0,,1176000000.0,75378000000.0,,,,17565000000.0,,5170000000.0,,6859000000.0,51375000000.0,39714000000.0,-2800000000.0,23691000000.0,75378000000.0,1877000000.0,222000000.0,,,466000000.0,,,,,,5834000000.0,,,,,,1962000000.0,,3000000.0,-4695000000.0,,56000000.0,-4143000000.0,-2860000000.0,
2011-12-31,66504000000.0,31593000000.0,,525000000.0,25145000000.0,,9633000000.0,,8834000000.0,2372000000.0,6443000000.0,4.08,4.03,1576000000.0,1597000000.0,4067000000.0,,,3827000000.0,-4150000000.0,,,17441000000.0,,19698000000.0,16800000000.0,,1021000000.0,72882000000.0,4083000000.0,3175000000.0,,18154000000.0,,4995000000.0,,8266000000.0,51983000000.0,40316000000.0,-6229000000.0,20704000000.0,72882000000.0,2737000000.0,326000000.0,755000000.0,,331000000.0,,,,,,8944000000.0,,,,,,3339000000.0,,16000000.0,-5618000000.0,,70000000.0,-5135000000.0,-1876000000.0,2218000000.0
2012-03-24,12428000000.0,5889000000.0,,,4792000000.0,,1722000000.0,,1547000000.0,414000000.0,1127000000.0,0.72,0.71,1568000000.0,1584000000.0,3485000000.0,,,4214000000.0,,,,17578000000.0,,20005000000.0,17208000000.0,,1032000000.0,74391000000.0,,,,16985000000.0,,5075000000.0,,7323000000.0,51437000000.0,40631000000.0,-4464000000.0,22758000000.0,74391000000.0,555000000.0,56000000.0,,,266000000.0,,,,,,-690000000.0,,,,,,316000000.0,,-13000000.0,-257000000.0,,35000000.0,283000000.0,-582000000.0,
2012-06-16,28886000000.0,13804000000.0,,,10928000000.0,,4099000000.0,,3716000000.0,1082000000.0,2615000000.0,1.67,1.65,1565000000.0,1583000000.0,3863000000.0,,,4274000000.0,,,,18033000000.0,,18514000000.0,16456000000.0,,1617000000.0,72390000000.0,,,,18269000000.0,,4867000000.0,,7365000000.0,51795000000.0,41274000000.0,-6636000000.0,20576000000.0,72390000000.0,1201000000.0,125000000.0,,,643000000.0,,,,,,1247000000.0,,,,,,901000000.0,,-13000000.0,-1138000000.0,,53000000.0,-292000000.0,-204000000.0,
2012-09-08,45538000000.0,21637000000.0,,,16920000000.0,,6899000000.0,,6335000000.0,1788000000.0,4517000000.0,2.89,2.86,1562000000.0,1580000000.0,5309000000.0,,,3905000000.0,,,,19270000000.0,,18530000000.0,16701000000.0,,1621000000.0,74017000000.0,,,,16220000000.0,,4930000000.0,,7551000000.0,52433000000.0,42332000000.0,-6086000000.0,21560000000.0,74017000000.0,1837000000.0,193000000.0,,,234000000.0,,,,,,5118000000.0,,,,,,1409000000.0,,-11000000.0,-1728000000.0,,89000000.0,-2164000000.0,1242000000.0,
2012-12-29,65492000000.0,31291000000.0,,552000000.0,24970000000.0,,9112000000.0,,8304000000.0,2090000000.0,6178000000.0,3.96,3.92,1557000000.0,1575000000.0,6297000000.0,,,3581000000.0,-4323000000.0,,,18720000000.0,,19136000000.0,16971000000.0,,1653000000.0,74638000000.0,4451000000.0,2722000000.0,,17089000000.0,,5063000000.0,,6543000000.0,52239000000.0,43158000000.0,-5487000000.0,22417000000.0,74638000000.0,2689000000.0,278000000.0,86000000.0,,-144000000.0,,,,,,8479000000.0,,,,,,2714000000.0,,-12000000.0,-3005000000.0,,124000000.0,-3306000000.0,2230000000.0,1840000000.0
2013-06-15,29388000000.0,13732000000.0,,,11079000000.0,,4527000000.0,,4150000000.0,1040000000.0,3085000000.0,1.99,1.97,1548000000.0,1567000000.0,7793000000.0,,,4131000000.0,,,,21963000000.0,,18390000000.0,16719000000.0,,1568000000.0,76653000000.0,,,,19162000000.0,,5100000000.0,,6414000000.0,53888000000.0,44523000000.0,-6275000000.0,22786000000.0,76653000000.0,1185000000.0,149000000.0,,,659000000.0,,,,,,3015000000.0,,,,,,911000000.0,,13000000.0,-786000000.0,,83000000.0,-527000000.0,1496000000.0,
2013-09-07,46297000000.0,21678000000.0,,,17237000000.0,,7307000000.0,,6727000000.0,1694000000.0,4998000000.0,3.23,3.2,1545000000.0,1564000000.0,9204000000.0,,,3738000000.0,,,,22931000000.0,,18072000000.0,16534000000.0,,1492000000.0,76814000000.0,,,,18468000000.0,,5047000000.0,,6604000000.0,54412000000.0,45554000000.0,-6907000000.0,22414000000.0,76814000000.0,1815000000.0,219000000.0,,,337000000.0,,,,,,6662000000.0,,,,,,1497000000.0,,13000000.0,-1378000000.0,,94000000.0,-2135000000.0,2907000000.0,
2014-03-22,12623000000.0,5747000000.0,,,5048000000.0,,1807000000.0,,1616000000.0,389000000.0,1216000000.0,0.8,0.79,1524000000.0,1540000000.0,9839000000.0,,,3748000000.0,,,,23285000000.0,,18129000000.0,16310000000.0,,2233000000.0,77493000000.0,,,,19457000000.0,,6092000000.0,,4811000000.0,54600000000.0,46770000000.0,-5940000000.0,22905000000.0,77493000000.0,532000000.0,72000000.0,,,406000000.0,,,,,,181000000.0,,,,,,355000000.0,,-5000000.0,-223000000.0,,47000000.0,542000000.0,464000000.0,
2014-06-14,29517000000.0,13525000000.0,,,11246000000.0,,4703000000.0,,4321000000.0,1107000000.0,3194000000.0,2.1,2.08,1519000000.0,1536000000.0,7607000000.0,,,4194000000.0,,,,25795000000.0,,18174000000.0,16457000000.0,,2315000000.0,80433000000.0,,,,20228000000.0,,6072000000.0,,4927000000.0,56833000000.0,47748000000.0,-5481000000.0,23604000000.0,80433000000.0,1162000000.0,140000000.0,,,822000000.0,,,,,,2672000000.0,,,,0.0,,921000000.0,,-5000000.0,-4162000000.0,,64000000.0,-255000000.0,-1768000000.0,
2014-09-06,46735000000.0,21520000000.0,,,17600000000.0,,7550000000.0,,6976000000.0,1744000000.0,5202000000.0,3.43,3.4,1515000000.0,1532000000.0,7282000000.0,,,3784000000.0,,,,26590000000.0,,17929000000.0,16225000000.0,,2276000000.0,80466000000.0,,,,22844000000.0,,5870000000.0,,5076000000.0,57279000000.0,48764000000.0,-6146000000.0,23208000000.0,80466000000.0,1794000000.0,207000000.0,,,481000000.0,,,,,,6693000000.0,,,,0.0,,1540000000.0,,-3000000.0,-6678000000.0,,86000000.0,-2027000000.0,-2093000000.0,
2014-12-27,66683000000.0,30884000000.0,35799000000.0,718000000.0,26126000000.0,,9581000000.0,,8757000000.0,2199000000.0,6513000000.0,4.31,4.27,1509000000.0,1527000000.0,6134000000.0,,,3143000000.0,2919000000.0,,,20663000000.0,,17244000000.0,14965000000.0,,860000000.0,70509000000.0,5127000000.0,2912000000.0,,18092000000.0,,5304000000.0,,5744000000.0,52961000000.0,49092000000.0,-10669000000.0,17578000000.0,70509000000.0,2625000000.0,297000000.0,-226000000.0,,111000000.0,,,,,,10506000000.0,,,,,,2859000000.0,,10000000.0,-4937000000.0,,114000000.0,-8264000000.0,-3241000000.0,1847000000.0
2015-03-21,12217000000.0,5442000000.0,6775000000.0,,4962000000.0,,1797000000.0,,1601000000.0,370000000.0,1221000000.0,0.82,0.81,1484000000.0,1503000000.0,6410000000.0,,,3462000000.0,,,,20922000000.0,,16678000000.0,14681000000.0,,960000000.0,69625000000.0,,,,20127000000.0,,5224000000.0,,5882000000.0,53636000000.0,49335000000.0,-11566000000.0,16010000000.0,69625000000.0,496000000.0,76000000.0,,,414000000.0,,,,,,270000000.0,,,,,,270000000.0,,0.0,320000000.0,,38000000.0,-210000000.0,276000000.0,
2015-06-13,28140000000.0,12609000000.0,15531000000.0,,10799000000.0,,4697000000.0,,4298000000.0,1073000000.0,3201000000.0,2.16,2.14,1480000000.0,1497000000.0,7562000000.0,,,3931000000.0,,,,23069000000.0,,16736000000.0,14912000000.0,,888000000.0,72262000000.0,,,,21546000000.0,,5269000000.0,,5908000000.0,55798000000.0,50268000000.0,-11101000000.0,16474000000.0,72262000000.0,1075000000.0,144000000.0,,,862000000.0,,,,,,2761000000.0,,,,,,832000000.0,,3000000.0,-158000000.0,,78000000.0,-1099000000.0,1428000000.0,
2015-09-05,44471000000.0,20004000000.0,24467000000.0,,16942000000.0,,6113000000.0,,5491000000.0,1723000000.0,3734000000.0,2.53,2.5,1475000000.0,1492000000.0,8698000000.0,,,3124000000.0,,,,22814000000.0,,16131000000.0,14407000000.0,,872000000.0,69902000000.0,,,,19071000000.0,,5019000000.0,,5915000000.0,56323000000.0,49767000000.0,-12514000000.0,13604000000.0,69902000000.0,1644000000.0,208000000.0,,,574000000.0,,,,,,6775000000.0,,,,,,1463000000.0,,3000000.0,-1306000000.0,,85000000.0,-2758000000.0,2564000000.0,
2015-12-26,63056000000.0,28384000000.0,34672000000.0,754000000.0,24885000000.0,,8353000000.0,,7442000000.0,1941000000.0,5452000000.0,3.71,3.67,1469000000.0,1485000000.0,9096000000.0,,,2720000000.0,2816000000.0,,,23031000000.0,,16317000000.0,14177000000.0,,750000000.0,69667000000.0,5546000000.0,2842000000.0,,17578000000.0,,4959000000.0,,5887000000.0,57637000000.0,50472000000.0,-13319000000.0,12068000000.0,69667000000.0,2416000000.0,295000000.0,-40000000.0,,244000000.0,,,,,,10580000000.0,,,,,,2758000000.0,,5000000.0,-3569000000.0,,133000000.0,-3828000000.0,2962000000.0,1808000000.0
2016-03-19,11862000000.0,5151000000.0,6711000000.0,,5078000000.0,,1619000000.0,,1387000000.0,442000000.0,931000000.0,0.64,0.64,1446000000.0,1459000000.0,8124000000.0,,,3219000000.0,,,,23966000000.0,,16105000000.0,14132000000.0,,832000000.0,70019000000.0,,,,16842000000.0,,5067000000.0,,5811000000.0,58788000000.0,50383000000.0,-13569000000.0,11257000000.0,70019000000.0,481000000.0,69000000.0,,,530000000.0,,,,,,131000000.0,,,,,,389000000.0,,,-1412000000.0,,75000000.0,331000000.0,-972000000.0,
2016-06-11,27257000000.0,11981000000.0,15276000000.0,,10662000000.0,,4583000000.0,,4118000000.0,1160000000.0,2936000000.0,2.03,2.01,1445000000.0,1458000000.0,9646000000.0,,,3487000000.0,,,,25878000000.0,,16219000000.0,14398000000.0,,867000000.0,72711000000.0,,,,18459000000.0,,5156000000.0,,5873000000.0,60335000000.0,51295000000.0,-12813000000.0,12395000000.0,72711000000.0,1044000000.0,123000000.0,,,755000000.0,,,,,,2921000000.0,,,,,,919000000.0,,-1000000.0,-1608000000.0,,84000000.0,-750000000.0,550000000.0,
2016-09-03,43284000000.0,19265000000.0,24019000000.0,,16566000000.0,,7404000000.0,,6722000000.0,1760000000.0,4928000000.0,3.41,3.39,1443000000.0,1456000000.0,10256000000.0,,,3120000000.0,,,,27099000000.0,,16305000000.0,14394000000.0,,843000000.0,73897000000.0,,,,20589000000.0,,5180000000.0,,6088000000.0,61179000000.0,52200000000.0,-12829000000.0,12750000000.0,73897000000.0,1611000000.0,190000000.0,,,381000000.0,,,,,,6595000000.0,,,,,,1566000000.0,,-9000000.0,-3031000000.0,,115000000.0,-2386000000.0,1160000000.0,
2016-12-31,62799000000.0,28209000000.0,34590000000.0,760000000.0,24735000000.0,,9785000000.0,,8553000000.0,2174000000.0,6329000000.0,4.39,4.36,1439000000.0,1452000000.0,9158000000.0,,,2723000000.0,2741000000.0,,,27089000000.0,,16591000000.0,14430000000.0,,636000000.0,74129000000.0,6158000000.0,2774000000.0,,21135000000.0,,5073000000.0,,6669000000.0,62930000000.0,52518000000.0,-13919000000.0,11246000000.0,74129000000.0,2368000000.0,284000000.0,54000000.0,,75000000.0,,,,,,10404000000.0,,,,,,3040000000.0,,-9000000.0,-7148000000.0,,139000000.0,-2942000000.0,62000000.0,1393000000.0
