Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,40834000000.0,,,,12597000000.0,,9103000000.0,,,2492000000.0,7966000000.0,2.69,2.56,,3118500000.0,4130000000.0,,6544000000.0,6864000000.0,1217000000.0,,,21761000000.0,,19646000000.0,56979000000.0,32624000000.0,4283000000.0,135293000000.0,5433000000.0,10463000000.0,,23676000000.0,,11045000000.0,,9316000000.0,66346000000.0,62616000000.0,-2236000000.0,,135293000000.0,,205000000.0,-7000000.0,826000000.0,-48000000.0,,,,,,7849000000.0,,,,,,1274000000.0,,,1646000000.0,,,-10344000000.0,-651000000.0,
2010-03-31,60012000000.0,,,,18582000000.0,,13071000000.0,,,3669000000.0,10551000000.0,3.57,3.39,,3110200000.0,4899000000.0,,5860000000.0,6750000000.0,1231000000.0,,,21490000000.0,,19427000000.0,55538000000.0,32201000000.0,4330000000.0,132986000000.0,5785000000.0,10449000000.0,,23272000000.0,,11407000000.0,,8596000000.0,66213000000.0,63879000000.0,-4049000000.0,,132986000000.0,,333000000.0,187000000.0,338000000.0,27000000.0,,,,,,12759000000.0,,,,,,1980000000.0,,,970000000.0,,,-13538000000.0,118000000.0,
2010-06-30,78938000000.0,,,,24998000000.0,,16021000000.0,,,4101000000.0,12736000000.0,4.32,4.11,2900800000.0,3099300000.0,2879000000.0,,5335000000.0,6384000000.0,5063000000.0,,,18782000000.0,,19244000000.0,54012000000.0,31636000000.0,4498000000.0,128172000000.0,7251000000.0,8559000000.0,,24282000000.0,,10902000000.0,,10189000000.0,66733000000.0,64614000000.0,-7822000000.0,,128172000000.0,,453000000.0,36000000.0,14000000.0,-86000000.0,,,,,,16072000000.0,,,,,,3067000000.0,,,-597000000.0,,,-17255000000.0,-1902000000.0,
2010-09-30,20122000000.0,,,,5932000000.0,,4501000000.0,,,1201000000.0,3081000000.0,1.07,1.02,,3025600000.0,2603000000.0,,6082000000.0,7277000000.0,968000000.0,,,20496000000.0,,19877000000.0,56171000000.0,32369000000.0,4779000000.0,133692000000.0,6716000000.0,9412000000.0,,27640000000.0,,10709000000.0,,10678000000.0,70491000000.0,66282000000.0,-5007000000.0,,133692000000.0,,87000000.0,48000000.0,434000000.0,604000000.0,,,,,,2452000000.0,,,,,,519000000.0,,,-928000000.0,,,-1901000000.0,-276000000.0,
2010-12-31,41469000000.0,,,,12732000000.0,,8761000000.0,,,1929000000.0,6414000000.0,2.24,2.13,,3013000000.0,3249000000.0,,6551000000.0,7423000000.0,963000000.0,,,21830000000.0,,19952000000.0,55760000000.0,32251000000.0,4480000000.0,134273000000.0,6267000000.0,9816000000.0,,27241000000.0,,10867000000.0,,10135000000.0,69560000000.0,68212000000.0,-5356000000.0,,134273000000.0,,180000000.0,142000000.0,931000000.0,779000000.0,,,,,,5329000000.0,,,,,,1256000000.0,,,-1541000000.0,,,-3528000000.0,370000000.0,
2011-03-31,61699000000.0,,,,19185000000.0,,12533000000.0,,,2697000000.0,9287000000.0,3.24,3.09,,3008600000.0,2946000000.0,,6264000000.0,7619000000.0,1099000000.0,,,21814000000.0,,20521000000.0,57030000000.0,32598000000.0,4575000000.0,136538000000.0,6458000000.0,9996000000.0,,26175000000.0,,10923000000.0,,10309000000.0,69106000000.0,69692000000.0,-3495000000.0,,136538000000.0,,295000000.0,186000000.0,495000000.0,817000000.0,,,,,,9385000000.0,,,,,,2066000000.0,,,-2369000000.0,,,-7087000000.0,67000000.0,
2011-12-31,44052000000.0,,,,13239000000.0,,7073000000.0,,,2066000000.0,4714000000.0,1.67,1.6,,2949700000.0,4414000000.0,,6905000000.0,7444000000.0,1096000000.0,,,23651000000.0,,20372000000.0,54307000000.0,31325000000.0,4656000000.0,134311000000.0,6735000000.0,8939000000.0,,29792000000.0,,11133000000.0,,9216000000.0,69411000000.0,72407000000.0,-6374000000.0,,134311000000.0,,168000000.0,32000000.0,1079000000.0,497000000.0,,,,,,5495000000.0,,,,,,1780000000.0,,,-1469000000.0,,,-2296000000.0,1646000000.0,
2012-03-31,63468000000.0,,,,19769000000.0,,10229000000.0,,,2776000000.0,7125000000.0,2.52,2.42,,2944900000.0,3991000000.0,,6200000000.0,7239000000.0,1219000000.0,,,23108000000.0,,20384000000.0,54833000000.0,31429000000.0,4851000000.0,134605000000.0,6684000000.0,8449000000.0,,26904000000.0,,11297000000.0,,9154000000.0,68696000000.0,73324000000.0,-5063000000.0,,134605000000.0,,277000000.0,-5000000.0,347000000.0,287000000.0,,,,,,9311000000.0,,,,,,2663000000.0,,,-2287000000.0,,,-5756000000.0,1223000000.0,
2012-06-30,83680000000.0,,,,26421000000.0,,13292000000.0,,,3468000000.0,10756000000.0,3.82,3.66,2751300000.0,2941200000.0,4436000000.0,,6068000000.0,6721000000.0,5839000000.0,,,21910000000.0,,20377000000.0,53773000000.0,30988000000.0,5196000000.0,132244000000.0,7920000000.0,8289000000.0,,24907000000.0,,10132000000.0,,12090000000.0,68209000000.0,75349000000.0,-9333000000.0,,132244000000.0,3204000000.0,377000000.0,-65000000.0,427000000.0,-77000000.0,,,,,,13284000000.0,,,,,134000000.0,3964000000.0,,,-1093000000.0,,,-10410000000.0,1668000000.0,
2012-09-30,20739000000.0,,,,6438000000.0,,3951000000.0,,,973000000.0,2814000000.0,1.0,0.96,,2931700000.0,5302000000.0,,6993000000.0,7332000000.0,1072000000.0,,,24124000000.0,,20877000000.0,54332000000.0,31163000000.0,5392000000.0,135888000000.0,7498000000.0,9086000000.0,,24898000000.0,,10164000000.0,,12315000000.0,70940000000.0,76574000000.0,-8179000000.0,,135888000000.0,,79000000.0,-18000000.0,795000000.0,502000000.0,,,,,,2770000000.0,,,,,,805000000.0,,,-739000000.0,,,-1231000000.0,866000000.0,
