Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,16228000000.0,,,,,,,,,867000000.0,,4.4,4.36,454000000.0,455000000.0,,,,,,,,,,,9505000000.0,3404000000.0,,269863000000.0,,,,,,,,,237296000000.0,13144000000.0,-1962000000.0,29942000000.0,269863000000.0,,,932000000.0,,,,-5485000000.0,,,,5753000000.0,34078000000.0,7291000000.0,18861000000.0,,,,,428000000.0,9479000000.0,,1000000.0,-15415000000.0,-183000000.0,
2010-03-31,3763000000.0,,,,,,,,,251000000.0,,0.67,0.66,498000000.0,500000000.0,,,,,,,,,,,9425000000.0,3289000000.0,,265396000000.0,,,,,,,,,235962000000.0,13340000000.0,-1288000000.0,26818000000.0,265396000000.0,,,254000000.0,,,,-437000000.0,,,,2272000000.0,9154000000.0,1815000000.0,6040000000.0,,,,,-297000000.0,5617000000.0,,,-8614000000.0,-725000000.0,
2010-06-30,7675000000.0,,,,,,,,,557000000.0,,2.18,2.15,524000000.0,527000000.0,,,,,,,,,,,9410000000.0,2728000000.0,,261695000000.0,,,,,,,,,230705000000.0,14073000000.0,-442000000.0,28377000000.0,261695000000.0,,48000000.0,571000000.0,,,,528000000.0,,,,4268000000.0,13111000000.0,3904000000.0,14123000000.0,,,,,-593000000.0,9276000000.0,,1000000.0,-14274000000.0,-730000000.0,
2010-09-30,11273000000.0,,,,,,,,,736000000.0,,4.28,4.24,523000000.0,526000000.0,,,,,,,,,,,8166000000.0,2352000000.0,,260133000000.0,,,,,,,,,227467000000.0,15114000000.0,146000000.0,30042000000.0,260133000000.0,,70000000.0,691000000.0,,,,1411000000.0,,,,4437000000.0,28344000000.0,5869000000.0,17994000000.0,,,,,-686000000.0,10444000000.0,,1000000.0,-15445000000.0,-564000000.0,
2010-12-31,15176000000.0,,,,,,,,,1037000000.0,,5.8,5.74,517000000.0,520000000.0,,,,,-159000000.0,,,,,4059000000.0,8149000000.0,2604000000.0,,264284000000.0,,,,,,,,,231446000000.0,15859000000.0,-431000000.0,30242000000.0,264284000000.0,,107000000.0,1201000000.0,,,,-753000000.0,,,,4811000000.0,36653000000.0,7730000000.0,23343000000.0,,,,,-753000000.0,5279000000.0,,1000000.0,-11531000000.0,-991000000.0,
2011-03-31,3631000000.0,,,,,,,,,308000000.0,,1.59,1.57,524000000.0,526000000.0,,,,,,,,,,,8146000000.0,2618000000.0,,259378000000.0,,,,,,,,,225661000000.0,16640000000.0,-309000000.0,31132000000.0,259378000000.0,,30000000.0,,,,,291000000.0,,,,727000000.0,7237000000.0,1590000000.0,8018000000.0,,,,,80000000.0,5113000000.0,,,-5748000000.0,92000000.0,
2011-06-30,7233000000.0,,,,,,,,,542000000.0,,3.27,3.24,524000000.0,527000000.0,,,,,,,,,,,8182000000.0,2412000000.0,,263117000000.0,,,,,,,,,228244000000.0,17344000000.0,69000000.0,32235000000.0,263117000000.0,,53000000.0,,,,,1048000000.0,,,,3705000000.0,12866000000.0,2792000000.0,15023000000.0,,,,,387000000.0,3231000000.0,,,-6368000000.0,568000000.0,
2011-09-30,10777000000.0,,,,,,,,,851000000.0,,4.84,4.79,524000000.0,526000000.0,,,,,,,,,,,8207000000.0,1949000000.0,,269470000000.0,,,,,,,,,232228000000.0,17985000000.0,397000000.0,34219000000.0,269470000000.0,494000000.0,63000000.0,,,,,4014000000.0,,,,4585000000.0,20921000000.0,4289000000.0,17136000000.0,,,,,244000000.0,-3726000000.0,,,-174000000.0,685000000.0,
2011-12-31,14326000000.0,,,,,,,,,998000000.0,,5.7,5.64,524000000.0,526000000.0,,,,,-1138000000.0,,,,,4644000000.0,8285000000.0,1859000000.0,,271205000000.0,,,,,,,,,233959000000.0,18253000000.0,-105000000.0,34053000000.0,271205000000.0,659000000.0,103000000.0,840000000.0,,,,4142000000.0,,,,6035000000.0,25551000000.0,6074000000.0,20533000000.0,,,,,160000000.0,-6549000000.0,,,1322000000.0,808000000.0,
2012-03-31,3732000000.0,,,,,,,,1092000000.0,281000000.0,,1.45,1.44,526000000.0,529000000.0,,,,,,,,,,,9169000000.0,2019000000.0,,295883000000.0,,,,,,,,,257647000000.0,18834000000.0,281000000.0,35045000000.0,295883000000.0,,31000000.0,,,,,97000000.0,,,,2764000000.0,6948000000.0,1994000000.0,3492000000.0,,,,,12000000.0,-7108000000.0,,12000000.0,4401000000.0,57000000.0,
