Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-07-03,1503180000.0,,461870000.0,34210000.0,263933000.0,,163727000.0,,147090000.0,49449000.0,96402000.0,0.97,0.97,98208000.0,99638000.0,38580000.0,,,389428000.0,49058000.0,,,995623000.0,,318124000.0,2033064000.0,451806000.0,54083000.0,3852700000.0,248679000.0,,,525728000.0,,139977000.0,24821000.0,,1760885000.0,1560944000.0,-77013000.0,,3852700000.0,,12365000.0,2396000.0,33438000.0,38651000.0,,,46938000.0,,,156414000.0,,,,,,28937000.0,,1286000.0,-29980000.0,,1322000.0,-105851000.0,5184000.0,
2010-10-02,2276915000.0,,698412000.0,51075000.0,392787000.0,,254550000.0,,229307000.0,75937000.0,151452000.0,1.54,1.52,98298000.0,99514000.0,56995000.0,,,410072000.0,50991000.0,,,1056834000.0,,327602000.0,2070911000.0,461378000.0,56033000.0,3972758000.0,266416000.0,,,572544000.0,,147772000.0,23857000.0,,1759088000.0,1597110000.0,-4955000.0,,3972758000.0,,16598000.0,4866000.0,36216000.0,49822000.0,,,60162000.0,,,249243000.0,,,,,,42981000.0,,1232000.0,-43873000.0,,2193000.0,-177577000.0,23599000.0,
2010-12-31,3030773000.0,,930640000.0,67156000.0,529329000.0,,334155000.0,,300147000.0,97200000.0,197828000.0,2.01,1.99,98037000.0,99294000.0,46056000.0,,,405356000.0,56349000.0,,,1069297000.0,,329435000.0,2066044000.0,453570000.0,55187000.0,3973533000.0,262357000.0,,,546796000.0,,169198000.0,23507000.0,,1768501000.0,1624605000.0,-22342000.0,,3973533000.0,,21468000.0,29453000.0,62344000.0,44495000.0,,,55321000.0,,,270376000.0,,,,,,59523000.0,,1148000.0,-60313000.0,,2686000.0,-190591000.0,12660000.0,
2011-04-02,790273000.0,,249059000.0,18122000.0,144760000.0,,86177000.0,,77087000.0,25053000.0,,0.52,0.51,98098000.0,99670000.0,57134000.0,,,411767000.0,56370000.0,,,1209077000.0,,338610000.0,2097428000.0,461244000.0,56328000.0,4162687000.0,256492000.0,,,546361000.0,,175877000.0,23548000.0,,1880243000.0,1655302000.0,18525000.0,,4162687000.0,,5725000.0,3845000.0,101505000.0,708000.0,,,-11992000.0,,,-48180000.0,,,,,14856000.0,13268000.0,,-58000.0,-28024000.0,,557000.0,80915000.0,11078000.0,
2011-07-02,1700448000.0,,536795000.0,38004000.0,303192000.0,,195599000.0,,172568000.0,52397000.0,117253000.0,1.19,1.17,98333000.0,100065000.0,68972000.0,,,484795000.0,60833000.0,,,1334639000.0,,410547000.0,2573430000.0,654908000.0,78788000.0,5052312000.0,315403000.0,,,711402000.0,,235422000.0,23832000.0,85660000.0,2685458000.0,1702119000.0,41902000.0,2249354000.0,5052312000.0,,10527000.0,3012000.0,1111000.0,-2425000.0,,,-22878000.0,,,152611000.0,,,,,733105000.0,35221000.0,,-119000.0,-768118000.0,,1465000.0,638322000.0,22916000.0,
2011-10-01,2590994000.0,,808857000.0,58095000.0,462260000.0,,288502000.0,,248672000.0,76447000.0,168345000.0,1.71,1.69,98472000.0,99802000.0,52665000.0,,,459916000.0,61411000.0,,,1278248000.0,,394922000.0,2516692000.0,619262000.0,73319000.0,4882443000.0,281448000.0,,,717602000.0,,228737000.0,23891000.0,79489000.0,2584327000.0,1733281000.0,-48039000.0,2182697000.0,4882443000.0,,14695000.0,4445000.0,-22657000.0,-15633000.0,,,-45759000.0,,,240559000.0,,,,,733105000.0,53063000.0,,441000.0,-786470000.0,,3137000.0,556900000.0,6609000.0,
2011-12-31,3456686000.0,,1073722000.0,78158000.0,626527000.0,,168517000.0,,111580000.0,73059000.0,34222000.0,0.35,0.34,98233000.0,99753000.0,50077000.0,,,449863000.0,-128058000.0,,,1237835000.0,,387525000.0,2273918000.0,592285000.0,94750000.0,4586313000.0,294858000.0,,,641841000.0,,188957000.0,26470000.0,97039000.0,2538921000.0,1579290000.0,-151241000.0,1933329000.0,4586313000.0,,19489000.0,-9084000.0,-1348000.0,-18263000.0,,,-24330000.0,,,320226000.0,,,,,733105000.0,73348000.0,,2943000.0,-808086000.0,,3310000.0,503553000.0,4021000.0,
2012-03-31,858177000.0,,280719000.0,20757000.0,175010000.0,,84952000.0,,71233000.0,9079000.0,60814000.0,0.62,0.61,98633000.0,100407000.0,55438000.0,,,475403000.0,62405000.0,,,1389207000.0,,393335000.0,2297175000.0,594929000.0,103560000.0,4778206000.0,293398000.0,,,659323000.0,,194469000.0,13382000.0,89863000.0,2634599000.0,1617999000.0,-110060000.0,2027301000.0,4778206000.0,,5249000.0,,100353000.0,20028000.0,,,-4077000.0,,,-67509000.0,,,,,,15621000.0,,3076000.0,-17169000.0,,1384000.0,90048000.0,5361000.0,
2012-06-30,1799702000.0,,592847000.0,41648000.0,348455000.0,,202744000.0,,173582000.0,37943000.0,132644000.0,1.34,1.32,99047000.0,101165000.0,60598000.0,,,460039000.0,58899000.0,,,1276025000.0,,381063000.0,2255134000.0,570503000.0,103544000.0,4586269000.0,288265000.0,,,661716000.0,,190173000.0,13294000.0,92175000.0,2468397000.0,1667794000.0,-192097000.0,2001789000.0,4586269000.0,,10075000.0,,5531000.0,12276000.0,,,-4271000.0,,,166761000.0,,,,,19905000.0,31312000.0,,3073000.0,-49422000.0,,1740000.0,-98056000.0,10521000.0,
2012-09-29,2665214000.0,,870924000.0,61383000.0,553120000.0,,256421000.0,,209255000.0,41966000.0,163062000.0,1.64,1.6,100445000.0,102910000.0,642570000.0,,,1379971000.0,131531000.0,,,3740446000.0,,1156327000.0,4766519000.0,1954512000.0,354531000.0,11972335000.0,602707000.0,,,2131949000.0,,539451000.0,49041000.0,279140000.0,4906094000.0,1676199000.0,-160134000.0,,11972335000.0,,28527000.0,,-27301000.0,600000.0,,,-30673000.0,,,247351000.0,,,,,-671797000.0,49942000.0,,3074000.0,623911000.0,,2145000.0,-271424000.0,592493000.0,
2012-12-31,4416146000.0,,1269592000.0,93557000.0,1158436000.0,,-43119000.0,,-183965000.0,-79353000.0,-107186000.0,-0.84,-0.84,127368000.0,127368000.0,261341000.0,,,1380271000.0,-330785000.0,,326108000.0,3260368000.0,,1224488000.0,4894512000.0,1909656000.0,506287000.0,11795311000.0,569596000.0,333224000.0,,1537921000.0,73397000.0,488102000.0,49324000.0,453587000.0,5311954000.0,1292288000.0,-7198000.0,6366860000.0,11795311000.0,,35847000.0,-146896000.0,-55720000.0,-125099000.0,,,-61990000.0,,,67960000.0,,,,,-470459000.0,94532000.0,,5858000.0,375577000.0,,4976000.0,-232306000.0,211264000.0,
